particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
      Department of Labor and Employment,7967852,3058652,3057329,4,0,2011,,0,2,12,DEPT,,Department of Labor and Employment,Department of Labor and Employment,,7967852,3058652,3057329
             National Maritime Polytechnic,96879,67385,95906,0,0,2011,126,0,2,12,DEPT,NMP,Department of Labor and Employment,National Maritime Polytechnic,,96879,67385,95906
             Technical Education and Skills Development Authority,7870973,2991267,2961423,0,0,2011,127,0,2,12,DEPT,TESDA,Department of Labor and Employment,Technical Education and Skills Development Authority,,7870973,2991267,2961423
      Department of National Defense,87292,90717,83463,4,0,2011,,0,2,12,DEPT,,Department of National Defense,Department of National Defense,,87292,90717,83463
             Military Shrines Service,24724,24182,24906,0,0,2011,128,0,2,12,DEPT,PVAO-MSS,Department of National Defense,Military Shrines Service,,24724,24182,24906
             National Defense College of the Philippines,62568,66535,58557,0,0,2011,129,0,2,12,DEPT,NDCP,Department of National Defense,National Defense College of the Philippines,,62568,66535,58557
      Department of Science and Technology,1635649,895038,990280,4,0,2011,,0,2,12,DEPT,,Department of Science and Technology,Department of Science and Technology,,1635649,895038,990280
             Philippine Science High School,862921,419693,479001,0,0,2011,130,0,2,12,DEPT,PSHS,Department of Science and Technology,Philippine Science High School,,862921,419693,479001
             Science Education Institute,772728,475345,511279,0,0,2011,131,0,2,12,DEPT,SEI,Department of Science and Technology,Science Education Institute,,772728,475345,511279
      Other Executive Offices,3045912,3653502,2536929,4,0,2011,,0,2,12,DEPT,,Other Executive Offices,Other Executive Offices,,3045912,3653502,2536929
             Commission on Higher Education,1898789,2538629,1694772,0,0,2011,132,0,2,12,DEPT,CHED,Other Executive Offices,Commission on Higher Education,,1898789,2538629,1694772
             Commission on the Filipino Language,27260,38159,32657,0,0,2011,133,0,2,12,DEPT,CFL-OEO,Other Executive Offices,Commission on the Filipino Language,,27260,38159,32657
             National Commission for Culture and the Arts,759789,648547,534380,5,0,2011,,0,2,12,DEPT,,Other Executive Offices,National Commission for Culture and the Arts,National Commission for Culture and the Arts,759789,648547,534380
                 National Commission for Culture and the Arts (Proper),448224,325674,268936,0,0,2011,134,0,2,12,DEPT,NCCA-PROPER,Other Executive Offices,National Commission for Culture and the Arts,National Commission for Culture and the Arts (Proper),448224,325674,268936
                 National Historical Commission of the Philippines (National Historical Institute),151585,123133,90665,0,0,2011,135,0,2,12,DEPT,NHI-NCCA,Other Executive Offices,National Commission for Culture and the Arts,National Historical Commission of the Philippines (National Historical Institute),151585,123133,90665
                 The National Library of the Philippines (The National Library),95170,109000,94897,0,0,2011,136,0,2,12,DEPT,NL-NCCA,Other Executive Offices,National Commission for Culture and the Arts,The National Library of the Philippines (The National Library),95170,109000,94897
                 National Archives of the Philippines (formerly Records
                    Management and Archives Office),64810,90740,79882,0,0,2011,137,0,2,12,DEPT,RMAO-NCCA,Other Executive Offices,National Commission for Culture and the Arts,National Archives of the Philippines (formerly Records Management and Archives Office),64810,90740,79882
             Philippine Sports Commission,247524,347428,197874,0,0,2011,138,0,2,12,DEPT,PSCOM,Other Executive Offices,Philippine Sports Commission,,247524,347428,197874
             Film Development Council of the Philippines,112550,80739,77246,0,0,2011,139,0,2,12,DEPT,FDCP,Other Executive Offices,Film Development Council of the Philippines,,112550,80739,77246
   Other Special Purpose Funds,259554,34987701,34137989,3,1,2011,,0,2,12,OSPF,,,,,259554,34987701,34137989
      Allocations to Local Government Units,259554,351724,0,4,0,2011,,0,2,12,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,259554,351724,0
             Municipal Development Fund,259554,351724,0,0,0,2011,140,0,2,12,OSPF,MDF,Allocations to Local Government Units,Municipal Development Fund,,259554,351724,0
      DepEd - School Building Program,0,2000000,1000000,0,0,2011,141,0,2,12,OSPF,DECS-SBP,DepEd - School Building Program,,,0,2000000,1000000
      Calamity Fund,0,92000,230000,0,0,2011,142,0,2,12,OSPF,CF,Calamity Fund,,,0,92000,230000
      Miscellaneous Personnel Benefits Fund,0,31446995,30401169,0,0,2011,143,0,2,12,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,31446995,30401169
      Priority Development Assistance Fund,0,1096982,2506820,0,0,2011,144,0,2,12,OSPF,PDAF,Priority Development Assistance Fund,,,0,1096982,2506820
Health,23414766,40029757,38626521,2,1,2011,,0,2,13,,,,,,23414766,40029757,38626521
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,22203383,30336933,34564941,3,1,2011,,0,2,13,DEPT,,,,,22203383,30336933,34564941
      Department of Health,21153725,29284420,33331691,4,0,2011,,0,2,13,DEPT,,Department of Health,Department of Health,,21153725,29284420,33331691
             Office of the Secretary,20345660,25238784,32722520,0,0,2011,145,0,2,13,DEPT,OSEC-DOH,Department of Health,Office of the Secretary,,20345660,25238784,32722520
             Commission on Population,438008,274102,298124,0,0,2011,146,0,2,13,DEPT,POPCOM-DOH,Department of Health,Commission on Population,,438008,274102,298124
             National Nutrition Council,370057,3771534,311047,0,0,2011,147,0,2,13,DEPT,NNC-DOH,Department of Health,National Nutrition Council,,370057,3771534,311047
      Other Executive Offices,138500,179187,165168,4,0,2011,,0,2,13,DEPT,,Other Executive Offices,Other Executive Offices,,138500,179187,165168
             Dangerous Drugs Board,138500,179187,165168,0,0,2011,148,0,2,13,DEPT,DDB-OEO,Other Executive Offices,Dangerous Drugs Board,,138500,179187,165168
      Department of National Defense,746631,713554,848060,4,0,2011,,0,2,13,DEPT,,Department of National Defense,Department of National Defense,,746631,713554,848060
             Veterans Memorial Medical Center,746631,713554,848060,0,0,2011,149,0,2,13,DEPT,PVAO-VMMC,Department of National Defense,Veterans Memorial Medical Center,,746631,713554,848060
      Department of Science and Technology,164527,159772,220022,4,0,2011,,0,2,13,DEPT,,Department of Science and Technology,Department of Science and Technology,,164527,159772,220022
             Food and Nutrition Research Institute,98992,104056,141236,0,0,2011,150,0,2,13,DEPT,FNRI,Department of Science and Technology,Food and Nutrition Research Institute,,98992,104056,141236
             Philippine Council for Health Research and Development,65535,55716,78786,0,0,2011,151,0,2,13,DEPT,PCHRD,Department of Science and Technology,Philippine Council for Health Research and Development,,65535,55716,78786
   Budgetary Support to Government Corporations,1189078,1767960,797360,3,1,2011,,0,2,13,BSGC,,,,,1189078,1767960,797360
      Lung Center of the Philippines,169583,301560,157560,0,0,2011,152,0,2,13,BSGC,LCP,Lung Center of the Philippines,,,169583,301560,157560
      National Kidney and Transplant Institute,305164,529050,162800,0,0,2011,153,0,2,13,BSGC,NKI,National Kidney and Transplant Institute,,,305164,529050,162800
      Philippine Children`s Medical Center,251650,366300,318000,0,0,2011,154,0,2,13,BSGC,PCMD,Philippine Children`s Medical Center,,,251650,366300,318000
      Philippine Heart Center,291915,531050,122000,0,0,2011,155,0,2,13,BSGC,PHC,Philippine Heart Center,,,291915,531050,122000
      Philippine Institute of Traditional and Alternative Health Care,40000,40000,37000,0,0,2011,156,0,2,13,BSGC,PITAHC,Philippine Institute of Traditional and Alternative Health Care,,,40000,40000,37000
      Philippine Health Insurance Corporation,130766,0,0,0,0,2011,157,0,2,13,BSGC,PHIC,Philippine Health Insurance Corporation,,,130766,0,0
   Other Special Purpose Funds,22305,7924864,3264220,3,1,2011,,0,2,13,OSPF,,,,,22305,7924864,3264220
      Allocations to Local Government Units,22305,5200226,0,4,0,2011,,0,2,13,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,22305,5200226,0
             Municipal Development Fund,22305,30226,0,0,0,2011,158,0,2,13,OSPF,MDF,Allocations to Local Government Units,Municipal Development Fund,,22305,30226,0
             Premium Subsidy for Indigents under the National
                Health Insurance Program,0,5170000,0,0,0,2011,159,0,2,13,OSPF,NHIP,Allocations to Local Government Units,Premium Subsidy for Indigents under the National Health Insurance Program,,0,5170000,0
      Miscellaneous Personnel Benefits Fund,0,1705851,1649120,0,0,2011,160,0,2,13,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1705851,1649120
      Calamity Fund,0,40000,100000,0,0,2011,161,0,2,13,OSPF,CF,Calamity Fund,,,0,40000,100000
      Tax Expenditures Fund,0,381420,150000,0,0,2011,162,0,2,13,OSPF,TEF,Tax Expenditures Fund,,,0,381420,150000
      Priority Development Assistance Fund,0,597367,1365100,0,0,2011,163,0,2,13,OSPF,PDAF,Priority Development Assistance Fund,,,0,597367,1365100
"Social Security, Welfare and Employment",75620378,103643354,94134682,2,1,2011,,0,2,14,,,,,,75620378,103643354,94134682
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,18927369,20122811,52030655,3,1,2011,,0,2,14,DEPT,,,,,18927369,20122811,52030655
      Department of Justice,951625,901634,1270681,4,0,2011,,0,2,14,DEPT,,Department of Justice,Department of Justice,,951625,901634,1270681
             Public Attorney's Office,927844,880076,1270681,0,0,2011,164,0,2,14,DEPT,PAO,Department of Justice,Public Attorney's Office,,927844,880076,1270681
             Commission on the Settlement of Land Problems,23781,21558,0,0,0,2011,165,0,2,14,DEPT,COSLAP,Department of Justice,Commission on the Settlement of Land Problems,,23781,21558,0
      Department of Labor and Employment,3319079,3147155,3092202,4,0,2011,,0,2,14,DEPT,,Department of Labor and Employment,Department of Labor and Employment,,3319079,3147155,3092202
             Office of the Secretary,2287565,2147893,1993499,0,0,2011,166,0,2,14,DEPT,OSEC-DOLE,Department of Labor and Employment,Office of the Secretary,,2287565,2147893,1993499
             Institute for Labor Studies,24995,20684,21928,0,0,2011,167,0,2,14,DEPT,ILS,Department of Labor and Employment,Institute for Labor Studies,,24995,20684,21928
             National Conciliation and Mediation Board,123622,116255,127772,0,0,2011,168,0,2,14,DEPT,NCMB,Department of Labor and Employment,National Conciliation and Mediation Board,,123622,116255,127772
             National Labor Relations Commission,452170,441551,492831,0,0,2011,169,0,2,14,DEPT,NLRC,Department of Labor and Employment,National Labor Relations Commission,,452170,441551,492831
             National Wages and Productivity Commission,130220,133960,144817,0,0,2011,170,0,2,14,DEPT,NWPC,Department of Labor and Employment,National Wages and Productivity Commission,,130220,133960,144817
             Philippine Overseas Employment Administration,300507,286812,311355,0,0,2011,171,0,2,14,DEPT,POEA,Department of Labor and Employment,Philippine Overseas Employment Administration,,300507,286812,311355
      Department of National Defense,301699,313947,13018937,4,0,2011,,0,2,14,DEPT,,Department of National Defense,Department of National Defense,,301699,313947,13018937
             Philippine Veterans Affairs Office (Proper),301699,313947,13018937,0,0,2011,172,0,2,14,DEPT,AFP-PVAO,Department of National Defense,Philippine Veterans Affairs Office (Proper),,301699,313947,13018937
      Department of Social Welfare and Development,13889840,15442285,34319418,4,0,2011,,0,2,14,DEPT,,Department of Social Welfare and Development,Department of Social Welfare and Development,,13889840,15442285,34319418
             Office of the Secretary,13840222,15322360,34207874,0,0,2011,173,0,2,14,DEPT,OSEC-DSWD,Department of Social Welfare and Development,Office of the Secretary,,13840222,15322360,34207874
             Council for the Welfare of Children,22573,21683,23411,0,0,2011,174,0,2,14,DEPT,CWCY,Department of Social Welfare and Development,Council for the Welfare of Children,,22573,21683,23411
             Inter-Country Adoption Board,27045,24482,24977,0,0,2011,175,0,2,14,DEPT,ICAB,Department of Social Welfare and Development,Inter-Country Adoption Board,,27045,24482,24977
             National Youth Commission,0,73760,63156,0,0,2011,176,0,2,14,DEPT,NYC-DSWD,Department of Social Welfare and Development,National Youth Commission,,0,73760,63156
      Other Executive Offices,465126,317790,329417,4,0,2011,,0,2,14,DEPT,,Other Executive Offices,Other Executive Offices,,465126,317790,329417
             Commission on Filipinos Overseas,45437,46783,50853,0,0,2011,177,0,2,14,DEPT,CFO-OEO,Other Executive Offices,Commission on Filipinos Overseas,,45437,46783,50853
             Philippine Commission on Women (National Commission
                on the Role of Filipino Women),83638,65240,111552,0,0,2011,178,0,2,14,DEPT,NCRFW,Other Executive Offices,Philippine Commission on Women (National Commission on the Role of Filipino Women),,83638,65240,111552
             National Anti-Poverty Commission,172656,112989,73851,0,0,2011,179,0,2,14,DEPT,NAPC,Other Executive Offices,National Anti-Poverty Commission,,172656,112989,73851
             Presidential Commission for the Urban Poor,131825,63830,63853,0,0,2011,180,0,2,14,DEPT,PCUP,Other Executive Offices,Presidential Commission for the Urban Poor,,131825,63830,63853
             National Council on Disability Affairs,31570,28948,29308,0,0,2011,181,0,2,14,DEPT,NCDA,Other Executive Offices,National Council on Disability Affairs,,31570,28948,29308
   Other Special Purpose Funds,56693009,83520543,42104027,3,1,2011,,0,2,14,OSPF,,,,,56693009,83520543,42104027
      Allocations to Local Government Units,77055,104418,0,4,0,2011,,0,2,14,OSPF,,Allocations to Local Government Units,Allocations to Local Government Units,,77055,104418,0
             Municipal Development Fund,77055,104418,0,0,0,2011,182,0,2,14,OSPF,MDF,Allocations to Local Government Units,Municipal Development Fund,,77055,104418,0
      Miscellaneous Personnel Benefits Fund,0,593340,573607,0,0,2011,183,0,2,14,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,593340,573607
      Calamity Fund,0,288000,720000,0,0,2011,184,0,2,14,OSPF,CF,Calamity Fund,,,0,288000,720000
      Retirement Benefits Fund (Pension and Gratuity Fund),56615954,79964246,35000000,0,0,2011,185,0,2,14,OSPF,PGF,Retirement Benefits Fund (Pension and Gratuity Fund),,,56615954,79964246,35000000
      Contingent Fund,0,61600,77000,0,0,2011,186,0,2,14,OSPF,COF,Contingent Fund,,,0,61600,77000
      Priority Development Assistance Fund,0,2508940,5733420,0,0,2011,187,0,2,14,OSPF,PDAF,Priority Development Assistance Fund,,,0,2508940,5733420
Housing and Community Development,8401043,5465663,5738510,2,1,2011,,0,2,15,,,,,,8401043,5465663,5738510
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,360032,291496,291809,3,1,2011,,0,2,15,DEPT,,,,,360032,291496,291809
      Other Executive Offices,360032,291496,291809,4,0,2011,,0,2,15,DEPT,,Other Executive Offices,Other Executive Offices,,360032,291496,291809
             Housing and Land Use Regulatory Board,254150,192884,178076,0,0,2011,188,0,2,15,DEPT,HLURB,Other Executive Offices,Housing and Land Use Regulatory Board,,254150,192884,178076
             Housing and Urban Development Coordinating Council,105882,98612,113733,0,0,2011,189,0,2,15,DEPT,HUDCC,Other Executive Offices,Housing and Urban Development Coordinating Council,,105882,98612,113733
   Budgetary Support to Government Corporations,8041011,5100000,5375000,3,1,2011,,0,2,15,BSGC,,,,,8041011,5100000,5375000
      Home Guaranty Corporation,200000,600000,500000,0,0,2011,190,0,2,15,BSGC,HIGC,Home Guaranty Corporation,,,200000,600000,500000
      National Home Mortgage Finance Corporation,0,900000,500000,0,0,2011,191,0,2,15,BSGC,NHMFC,National Home Mortgage Finance Corporation,,,0,900000,500000
      National Housing Authority,5059860,3600000,4375000,0,0,2011,192,0,2,15,BSGC,NHA,National Housing Authority,,,5059860,3600000,4375000
      Home Development Mutual Fund,1697001,0,0,0,0,2011,193,0,2,15,BSGC,HDMF,Home Development Mutual Fund,,,1697001,0,0
      National Livelihood Development Corporation,1084150,0,0,0,0,2011,194,0,2,15,BSGC,LIVECOR,National Livelihood Development Corporation,,,1084150,0,0
   Other Special Purpose Funds,0,74167,71701,3,1,2011,,0,2,15,OSPF,,,,,0,74167,71701
      Miscellaneous Personnel Benefits Fund,0,74167,71701,0,0,2011,195,0,2,15,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,74167,71701
Land Distribution,1286497,1278907,3966110,2,1,2011,,0,2,16,,,,,,1286497,1278907,3966110
,,,,0,0,2011,,0,,,,,,,,,,
   Other Special Purpose Funds,1286497,1278907,3966110,3,1,2011,,0,2,16,OSPF,,,,,1286497,1278907,3966110
      Agrarian Reform Fund,1286497,1278907,3966110,4,0,2011,,0,2,16,OSPF,,Agrarian Reform Fund,Agrarian Reform Fund,,1286497,1278907,3966110
             Land Bank of the Philippines,1286497,1278907,3966110,0,0,2011,196,0,2,16,OSPF,LBP,Agrarian Reform Fund,Land Bank of the Philippines,,1286497,1278907,3966110
Other Social Services,1848583,2162375,1586493,2,1,2011,,0,2,17,,,,,,1848583,2162375,1586493
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,1358469,1269011,1346570,3,1,2011,,0,2,17,DEPT,,,,,1358469,1269011,1346570
      Department of Environment and Natural Resources,675862,657675,691127,4,0,2011,,0,2,17,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,675862,657675,691127
             National Commission on Indigenous Peoples,675862,657675,691127,0,0,2011,197,0,2,17,DEPT,NCIP-DENR,Department of Environment and Natural Resources,National Commission on Indigenous Peoples,,675862,657675,691127
      Other Executive Offices,403041,309421,369977,4,0,2011,,0,2,17,DEPT,,Other Executive Offices,Other Executive Offices,,403041,309421,369977
             National Youth Commission,63423,0,0,0,0,2011,198,0,2,17,DEPT,NYC,Other Executive Offices,National Youth Commission,,63423,0,0
             National Commission on Muslim Filipinos (Office on Muslim Affairs),339618,309421,369977,0,0,2011,199,0,2,17,DEPT,OMA,Other Executive Offices,National Commission on Muslim Filipinos (Office on Muslim Affairs),,339618,309421,369977
      Commission on Human Rights,279566,301915,285466,0,0,2011,200,0,2,17,DEPT,CHR,Commission on Human Rights,,,279566,301915,285466
   Other Special Purpose Funds,490114,893364,239923,3,1,2011,,0,2,17,OSPF,,,,,490114,893364,239923
      Miscellaneous Personnel Benefits Fund,0,222502,215103,0,0,2011,201,0,2,17,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,222502,215103
      Priority Development Assistance Fund,0,10861,24820,0,0,2011,202,0,2,17,OSPF,PDAF,Priority Development Assistance Fund,,,0,10861,24820
      Kalayaan Barangay Program Fund,0,330000,0,0,0,2011,203,0,2,17,OSPF,KSB,Kalayaan Barangay Program Fund,,,0,330000,0
      Kilos Asenso Support Fund,490114,330000,0,0,0,2011,204,0,2,17,OSPF,KILOS,Kilos Asenso Support Fund,,,490114,330000,0
,,,,0,0,,,0,,,,,,,,,,
Subsidy to Local Government Units,92495881,98346879,106169368,0,1,2011,205,0,2,18,,IRA,,,,92495881,98346879,106169368
,,,,0,0,,,0,,,,,,,,,,
DEFENSE,62966770,73353856,101602283,1,1,2011,,0,3,,,,,,,62966770,73353856,101602283
,,,,0,0,2011,,0,,,,,,,,,,
Domestic Security,62966770,73353856,101602283,2,1,2011,,0,3,19,,,,,,62966770,73353856,101602283
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,62730871,56627202,90623255,3,1,2011,,0,3,19,DEPT,,,,,62730871,56627202,90623255
      Department of National Defense,62730871,56627202,90623255,4,0,2011,,0,3,19,DEPT,,Department of National Defense,Department of National Defense,,62730871,56627202,90623255
             DND Proper (Office of the Secretary),484347,469671,316608,0,0,2011,206,0,3,19,DEPT,OSEC-DND,Department of National Defense,DND Proper (Office of the Secretary),,484347,469671,316608
             Armed Forces of the Philippines,61872432,55784370,89875721,5,0,2011,,0,3,19,DEPT,,Department of National Defense,Armed Forces of the Philippines,Armed Forces of the Philippines,61872432,55784370,89875721
                 General Headquarters (Proper),11040046,5321310,34732305,0,0,2011,207,0,3,19,DEPT,AFP-GHQ,Department of National Defense,Armed Forces of the Philippines,General Headquarters (Proper),11040046,5321310,34732305
                 Philippine Air Force (Air Forces),9197269,9291073,10166488,0,0,2011,208,0,3,19,DEPT,AFP-PAF,Department of National Defense,Armed Forces of the Philippines,Philippine Air Force (Air Forces),9197269,9291073,10166488
                 Philippine Army (Land Forces),30607947,30532560,33607948,0,0,2011,209,0,3,19,DEPT,AFP-PA,Department of National Defense,Armed Forces of the Philippines,Philippine Army (Land Forces),30607947,30532560,33607948
                 Philippine Navy (Maritime Forces),11027170,10639427,11368980,0,0,2011,210,0,3,19,DEPT,AFP-PN,Department of National Defense,Armed Forces of the Philippines,Philippine Navy (Maritime Forces),11027170,10639427,11368980
             Government Arsenal,374092,373161,430926,0,0,2011,211,0,3,19,DEPT,GA,Department of National Defense,Government Arsenal,,374092,373161,430926
   Budgetary Support to Government Corporations,235899,0,0,3,1,2011,,0,3,19,BSGC,,,,,235899,0,0
      AFP Commissary and Exchange Service,235899,0,0,0,0,2011,212,0,3,19,BSGC,AFPCES,AFP Commissary and Exchange Service,,,235899,0,0
   Other Special Purpose Funds,0,16726654,10979028,3,1,2011,,0,3,19,OSPF,,,,,0,16726654,10979028
      Miscellaneous Personnel Benefits Fund,0,10902614,10540028,0,0,2011,213,0,3,19,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,10902614,10540028
      Contingent Fund,0,11200,14000,0,0,2011,214,0,3,19,OSPF,COF,Contingent Fund,,,0,11200,14000
      Calamity Fund,0,50000,125000,0,0,2011,215,0,3,19,OSPF,CF,Calamity Fund,,,0,50000,125000
      AFP  Modernization Program,0,5000000,0,0,0,2011,216,0,3,19,OSPF,AFPMP,AFP  Modernization Program,,,0,5000000,0
      Tax Expenditures Fund,0,762840,300000,0,0,2011,217,0,3,19,OSPF,TEF,Tax Expenditures Fund,,,0,762840,300000
,,,,0,0,,,0,,,,,,,,,,
GENERAL PUBLIC SERVICES,272960495,285688752,287980045,1,1,2011,,0,4,,,,,,,272960495,285688752,287980045
,,,,0,0,2011,,0,,,,,,,,,,
General Administration,96323063,93860365,80403960,2,1,2011,,0,4,21,,,,,,96323063,93860365,80403960
,,,,0,0,2011,,0,,,,,,,,,,
   Department/Agencies,91999062,75283672,66208980,3,1,2011,,0,4,21,DEPT,,,,,91999062,75283672,66208980
      Congress of the Philippines,8013009,9033499,7738033,4,0,2011,,0,4,21,DEPT,,Congress of the Philippines,Congress of the Philippines,,8013009,9033499,7738033
             Senate,2286979,2819958,2348824,0,0,2011,218,0,4,21,DEPT,SP,Congress of the Philippines,Senate,,2286979,2819958,2348824
             Senate Electoral Tribunal,102608,102269,101273,0,0,2011,219,0,4,21,DEPT,SET,Congress of the Philippines,Senate Electoral Tribunal,,102608,102269,101273
             Commission on Appointments,336052,327496,347038,0,0,2011,220,0,4,21,DEPT,CA,Congress of the Philippines,Commission on Appointments,,336052,327496,347038
             House of Representatives,5189118,5675865,4822825,0,0,2011,221,0,4,21,DEPT,HR,Congress of the Philippines,House of Representatives,,5189118,5675865,4822825
             House Electoral Tribunal,98252,107911,118073,0,0,2011,222,0,4,21,DEPT,HET,Congress of the Philippines,House Electoral Tribunal,,98252,107911,118073
      Office of the President,5660840,4367030,4193781,0,0,2011,223,0,4,21,DEPT,OP-PROPER,Office of the President,,,5660840,4367030,4193781
      Office of the Vice-President,197455,187381,179805,0,0,2011,224,0,4,21,DEPT,OVP,Office of the Vice-President,,,197455,187381,179805
      Department of Budget and Management,1531388,961543,757303,0,0,2011,225,0,4,21,DEPT,OSEC-DBM,Department of Budget and Management,,,1531388,961543,757303
      Department of Budget and Management,0,0,23577,4,0,2011,,0,4,21,DEPT,,Department of Budget and Management,Department of Budget and Management,,0,0,23577
             Government Procurement Policy Board - Technical Support Office,0,0,23577,0,0,2011,226,0,4,21,DEPT,GPPB-TSO,Department of Budget and Management,Government Procurement Policy Board - Technical Support Office,,0,0,23577
      Department of Finance,27240715,10825513,12226320,4,0,2011,,0,4,21,DEPT,,Department of Finance,Department of Finance,,27240715,10825513,12226320
             Office of the Secretary,574924,570664,1959422,0,0,2011,227,0,4,21,DEPT,OSEC-DOF,Department of Finance,Office of the Secretary,,574924,570664,1959422
             Bureau of Customs,5512037,2321003,1959827,0,0,2011,228,0,4,21,DEPT,BOC,Department of Finance,Bureau of Customs,,5512037,2321003,1959827
             Bureau of Internal Revenue,5699965,6830379,6993597,0,0,2011,229,0,4,21,DEPT,BIR,Department of Finance,Bureau of Internal Revenue,,5699965,6830379,6993597
             Bureau of Local Government Finance,172386,180948,188900,0,0,2011,230,0,4,21,DEPT,BLGF,Department of Finance,Bureau of Local Government Finance,,172386,180948,188900
             Bureau of the Treasury,14805690,396859,629713,0,0,2011,231,0,4,21,DEPT,BTR,Department of Finance,Bureau of the Treasury,,14805690,396859,629713
             Central Board of Assessment Appeals,9363,8441,8878,0,0,2011,232,0,4,21,DEPT,CBAA,Department of Finance,Central Board of Assessment Appeals,,9363,8441,8878
             Fiscal Incentives Review Board,102,123,0,0,0,2011,233,0,4,21,DEPT,FIRB,Department of Finance,Fiscal Incentives Review Board,,102,123,0
             Insurance Commission,122551,161683,143241,0,0,2011,234,0,4,21,DEPT,IC,Department of Finance,Insurance Commission,,122551,161683,143241
             Privatization and Management Office,28104,36749,28651,0,0,2011,235,0,4,21,DEPT,PMO,Department of Finance,Privatization and Management Office,,28104,36749,28651
             National Tax Research Center,38070,36080,39786,0,0,2011,236,0,4,21,DEPT,NTRC,Department of Finance,National Tax Research Center,,38070,36080,39786
             Cooperative Development Authority,277523,282584,274305,0,0,2011,237,0,4,21,DEPT,CDA-DOF,Department of Finance,Cooperative Development Authority,,277523,282584,274305
      Department of Foreign Affairs,10884444,12797025,11101166,4,0,2011,,0,4,21,DEPT,,Department of Foreign Affairs,Department of Foreign Affairs,,10884444,12797025,11101166
             Office of the Secretary,10822342,12740180,11047320,0,0,2011,238,0,4,21,DEPT,OSEC-DFA,Department of Foreign Affairs,Office of the Secretary,,10822342,12740180,11047320
             Foreign Service Institute,44481,34785,35189,0,0,2011,239,0,4,21,DEPT,FSI,Department of Foreign Affairs,Foreign Service Institute,,44481,34785,35189
             Technical Cooperation Council of the Philippines,2817,5440,3299,0,0,2011,240,0,4,21,DEPT,TCCP,Department of Foreign Affairs,Technical Cooperation Council of the Philippines,,2817,5440,3299
             UNESCO National Commission of the Philippines,14804,16620,15358,0,0,2011,241,0,4,21,DEPT,UNESCO,Department of Foreign Affairs,UNESCO National Commission of the Philippines,,14804,16620,15358
      Department of Justice,1062792,806888,895454,4,0,2011,,0,4,21,DEPT,,Department of Justice,Department of Justice,,1062792,806888,895454
             Bureau of Immigration,558999,360887,400533,0,0,2011,242,0,4,21,DEPT,BI,Department of Justice,Bureau of Immigration,,558999,360887,400533
             Office of the Government Corporate Counsel,63541,62993,69064,0,0,2011,243,0,4,21,DEPT,OGCC,Department of Justice,Office of the Government Corporate Counsel,,63541,62993,69064
             Office of the Solicitor General,440252,383008,425857,0,0,2011,244,0,4,21,DEPT,OSG,Department of Justice,Office of the Solicitor General,,440252,383008,425857
      Department of the Interior and Local Government,2164460,2502766,2734691,4,0,2011,,0,4,21,DEPT,,Department of the Interior and Local Government,Department of the Interior and Local Government,,2164460,2502766,2734691
             Office of the Secretary,2164460,2502766,2734691,0,0,2011,245,0,4,21,DEPT,OSEC-DILG,Department of the Interior and Local Government,Office of the Secretary,,2164460,2502766,2734691
      Department of Public Works and Highways,476120,406723,331890,4,0,2011,,0,4,21,DEPT,,Department of Public Works and Highways,Department of Public Works and Highways,,476120,406723,331890
             Office of the Secretary,476120,406723,331890,0,0,2011,246,0,4,21,DEPT,OSEC-DPWH,Department of Public Works and Highways,Office of the Secretary,,476120,406723,331890
      Department of Science and Technology,1143360,927385,1321271,4,0,2011,,0,4,21,DEPT,,Department of Science and Technology,Department of Science and Technology,,1143360,927385,1321271
             National Research Council of the Philippines,219548,31985,40003,0,0,2011,247,0,4,21,DEPT,NRCP,Department of Science and Technology,National Research Council of the Philippines,,219548,31985,40003
"             Philippine Atmospheric, Geophysical and Astronomical
                Services Administration",712281,783585,1075601,0,0,2011,248,0,4,21,DEPT,PAGASA,Department of Science and Technology,"Philippine Atmospheric, Geophysical and Astronomical Services Administration",,712281,783585,1075601
             Philippine Institute of Volcanology and Seismology,211531,111815,205667,0,0,2011,249,0,4,21,DEPT,PIVS,Department of Science and Technology,Philippine Institute of Volcanology and Seismology,,211531,111815,205667
