particulars,date,pbo_obr_number,acctg_obr_number,payee ,purpose,obligated amount,balance
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11124,53,Felimon Ramos and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,82742.71,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11132,54,Leoncia Agsamusam and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,86149.89,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11133,55,Leo de los Angeles and Co.,W/P Oct. 16-Dec. 15 (Basud Mangcamagong-Msalong-salong Road) 95%,132226.56,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11131,56,Leo de los Angeles and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Basud Mangcamagong-Msalong-salong Road),53997.39,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11126,57,Rodolfo Echano and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,153545.32,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11113,58,Virgilio Espanol and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),38642.2,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11112,59,Arnulfo Espeso and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),36506.71,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11132,60,Felimon Ramos and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),29896.86,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11111,61,Rodel Paquita and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Basud Mangcamagong-Msalong-salong Road),55319.36,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/18/2013,1312-11157,62,Rodolfo Echano and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),62539.35,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11181,63,Dante Francisco and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,139250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11184,64,Dante Francisco and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),56641.33,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11123,65,Leoncia Agsamusam and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),35235.59,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11189,67,Ferdinand Mariano and Co.,W/P Oct. 16-Dec. 15 (Basud Mangcamagong-Msalong-salong Road) 95%,122500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11182,68,Redemptor Factor and Co.,W/P Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road) 95%,174250,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11213,69,Redemptor Factor and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Labo-Fundado-Bakal Road),70877.93,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,1312-11183,73,Ferdinand Mariano and Co.,Labor Cost Adj Oct. 16-Dec. 15 (Basud Mangcamagong-Msalong-salong Road),49828.1,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",12/26/2013,1312-11290,76,Cesar Reambillo and Co.,W/P Oct. 1-31 (Basud Mangcamagong-Msalong-salong Road) 80%,77500,-
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,-,-,-,Total Expenditures,-,4042577.24
"Construction, Improvement or Rehablitation of Prov'l Roads and Bridges- 1918(32)",-,-,-,-,Unobligated Balance,-,110724.39
LGU Development Assistance Program- 8919(30),-,-,-,-,Balance Last Quarter,-,8065528.39
LGU Development Assistance Program- 8919(30),10/24/2013,1310-9525,14,Denan Marcilla and Co.,"W/P Sept. 11-30 (Rehabilitation of Existing Spillway Brgy. Binauangan, Capalonga) 60%",63000,-
LGU Development Assistance Program- 8919(30),-,1310-9524,15,Denan Marcilla and Co.,"W/P Oct. 1-7 (Rehabilitation of Existing Spillway Brgy. Binauangan, Capalonga) 100%",22500,-
LGU Development Assistance Program- 8919(30),11/7/2013,1308-7424,2,Compadre Glass Supply and Hardware,"PO Number 13081354-materials (Construction of MP Bldg Brgy. Poblacion, Vinzons)",823477,-
LGU Development Assistance Program- 8919(30),11/18/2013,1309-8781,64,Brentmin Roofing Enterprises,PO Number 13091614-rental of heavy equipment,18000,-
LGU Development Assistance Program- 8919(30),11/19/2013,1308-7704,65,Brentmin Roofing Enterprises,"PO Number 13081377-materials (Construction of MP Hall Brgy. Alawihao, Daet)",1197079,-
LGU Development Assistance Program- 8919(30),11/21/2013,1303-3205,67,Compadre Hadrware,"PO Number 13030749-materials (Construction of Mp Bldg. Brgy. Del Pilar, Capalonga)",148115,-
LGU Development Assistance Program- 8919(30),11/25/2013,1311-10324,71,Arnel Era and Co.,"W/P Sept. 16-30 (Construction of MP Hall (Phase 2) Brgy. Itok, Capalonga) 45%",45000,-
LGU Development Assistance Program- 8919(30),11/28/2013,1309-8307,72,Brentmin Roofing Enterprises,"PO Number 13091528-materials (Construction of MP Hall Brgy. Matoog-toog, Mercedes)",77951,-
LGU Development Assistance Program- 8919(30),12/2/2013,1309-8485,1,Brentmin Roofing Enterprises,"PO Number 13091554-materials (Rehabilitation of Footbridge Brgy. Mambalite, Daet)",135170,-
LGU Development Assistance Program- 8919(30),12/4/2013,1307-6903,20,B2K Lumber Construction Supplies and Services,"PO Number 13010219-materials (Construction of MP Bldg. Brgy. Kagtalaba, Sta Elena)",735821,-
LGU Development Assistance Program- 8919(30),12/12/2013,1312-10914,39,Ceasar King and Co.,"W/P Oct. 1-31(Construction of MP Hall (Phase I) Brgy. Cobangbang, Daet) 60%",157500,-
LGU Development Assistance Program- 8919(30),-,1310-9632,42,Larry Abanto,"Reimbursement of PO Number 13101738-materials (Construction of MP Hall Brgy. Masalong-salong, Mercedes",77951,-
LGU Development Assistance Program- 8919(30),-,1312-10921,43,Ceasar King and Co.,"W/P Nov. 1 -13 (Construction of MP Hall (Phase I) Brgy. Cobangbang, Daet) 100%",55750,-
LGU Development Assistance Program- 8919(30),12/17/2013,1312-11059,48,Arnel Era and Co.,"W/P Oct. 1-30 (Construction of MP Hall (Phase 2) Brgy. Itok, Capalonga) 100%",96500,-
LGU Development Assistance Program- 8919(30),12/18/2013,1312-11180,66,Joderick Ibasa and Co.,"W/P Nov. 2-30 (Construction of MP Hall Pob. I, Vinzons) 45%",200000,-
LGU Development Assistance Program- 8919(30),12/20/2013,1312-11249,72,Ramil Solo and Co.,"W/P Dec. 2-16 (Construction of Mp Hall Brgy. Matoog-toog, Mercedes) 100%",22000,-
LGU Development Assistance Program- 8919(30),12/23/2013,1311-10331,74,Larry Abanto,"Reimbursement of PO Number 13101698-materials (Construction of MP Hall Brgy. Colasi, Mercedes",101909.5,-
LGU Development Assistance Program- 8919(30),-,1312-11282,75,Oscar Maas and Co.,"W/P Dec. 2-20 (Construction of Open Canal P2 Brgy. San Lorenzo, Sta Elena) 100%",33750,-
LGU Development Assistance Program- 8919(30),1/2/2014,1310-9630,78,Brentmin Roofing Enterprises,PO Number 13101747-rental of heavy equipment,24600,-
LGU Development Assistance Program- 8919(30),1/3/2013,1312-11456,81,Rico Velasco and Co.,"W/P Dec. 2-23 (Rehabilitation of Footbridge Brgy. Mambalite, Daet) 100%",64000,-
LGU Development Assistance Program- 8919(30),-,-,-,-,Total Expenditures,-,4100073.5
LGU Development Assistance Program- 8919(30),-,-,-,-,Unobligated Balance,-,3965454.89
Counterpart or Equity to National Government Projects- 1918(33),-,-,-,-,Balance Last Quarter,-,443417.54
Counterpart or Equity to National Government Projects- 1918(33),-,-,-,-,Total Expenditures,-,-
Counterpart or Equity to National Government Projects- 1918(33),-,-,-,-,Unobligated Balance,-,443417.54
Loan Amortization- 9921,-,-,-,-,Balance Last Quarter,-,7159101.34
Loan Amortization- 9921,-,-,-,-,Total Expenditures,-,-
Loan Amortization- 9921,-,-,-,-,Unobligated Balance,-,7159101.34
-,-,-,-,-,Balance Last Quarter,-,30658419.52
-,-,-,-,-,Total Obligations or Expenditures,-,14982035.43
-,-,-,-,-,Balance,-,15676384.09
