particulars,date,pbo_obr_number,acctg_obr_number,payee,purpose,obligated_amount,balance
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4721 ,49,Alfredo Oco and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4735,50,Ma. Christina Sullivan and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4723,51,Aaron Joshua Pera and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4756 ,52,Nova Jerez ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4718,53,Andres Aldeza and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4717 ,54,Elmer Barrameda and Co. ,W/P Apr. 1-30 (Rehab of Daet-SLR Road) ,"1 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4755 ,55,Dan John Legaspi and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4732 ,56,Ricky Sernicula ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"6 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4258 ,57,Nelson Sarcilla ,W/P Apr. 1-30 (Talisay-San Jose Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4759 ,58,Fidel Bares ,W/P Apr. 1-30 (Talisay-San Jose Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4734 ,59,Marites Totanes ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4708,60, Erma Decena and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4709 ,61,Rowena Jamito and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"2 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4716 ,62,Manolo Mortiga and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"7 1,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4733 ,63,Kenneth Talain and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4757 ,64,Herbert Mago and Co., W/P Mar. 1-31 (Daet-Mambalite Road) ,"7 6,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4719 ,65, Elpidio Tenorio and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4712,66,Roldan Lavina ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4782 ,67,Mariel Joy Tolentino and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/15/2013,1305-4821 ,70,Austin Mago and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 4,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/15/2013,1305-4856 ,72,Melchor Segundo ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road))," 2 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4850 ,73,Arjay Juanillo Asis and co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4849 ,74,Aldrin Ramirez and co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4848 ,75,Lemor Infante and co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)) ,"3 7,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4865 ,76,Ruben Figueroa and co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road)," 2 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/16/2013, 1305-4843 ,77,Carlos Haspela and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/17/2013,1305-4975 ,85,Frankie Balutan and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4973 ,87,Wilson Zantua and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4968 ,88,Ivan Ray Liwag ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/20/2013,1305-5047 ,96,Vicente de Jesus and Co. ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-5048 ,97,Jake Anacin and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-5073 ,98,Ronnie Rioflorindo ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/21/2013,1305-5102 ,99,Noly Bernaldez and Co. ,W/P Apr. 1-30 (Labo-Contod-Vinzons-Crucero Road) ,"3 1,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-5106 ,111,Leonel Brillantes ,W/P Apr. 1-30 (Basud-Mangacamagong-Masalong-salong Road),"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-5094 ,112,Marcelito Sureta ,W/P Apr. 1-30 (Rehab of Daet-SLR Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-5083 ,113,Aldrin Articulo and Co. ,W/P Apr. 1-30 (Daet-San Vicente Road) ,"2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),5/31/2013,1305-4792 ,140,NBB Trading and Contractual Services ,PO#13050996-asphalt (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"2 10,600.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-4742 ,141,NBB Trading and Contractual Services ,PO#13050992-materials (Rehab of Daet-Mambalite Road) ,"3 96,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/3/2013,1306-5390 ,2,Arjay Juanillo Asis and co. ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5391 ,3,Ruben Figueroa and co. ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"2 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5393 ,4,Aldrin Ramirez and co. ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5392,5,Lemor Infante and co. ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"3 7,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/6/2013,1306-5553 ,15,Christian Monteo and Co. ,W/P Apr. 1-30 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"4 2,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5555,16,Denan Marcilla and Co. ,W/P May 14-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"9 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5578 ,20,Vicente de Jesus and Co. ,W/P May 14-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5595 ,22,Florabel Vinzons and Co. ,W/P May 14-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) `,"1 8,476.57",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/7/2013,1306-5609,23,Randy Vibal and Co., W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"4 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5607,24, Rio Winzer Abanes and Co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"1 11,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5608 ,25,Solina Abejero and Co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"1 07,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5615 ,26,Apolinar Lotik ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5613 ,27,Rodel Paquita and co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"3 0,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5611 ,28,Danilo Manlangit and co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"4 2,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5612 ,29,Jake Anacin and co. ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5599 ,30, Austin Mago and co.,W/P May 1-31 (Rehab. Of Basud-Mangcamagong-Masalongsalong Road) ,"1 4,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5610 ,31,April Rose Opamil and co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5601 ,32,Nikkel Martel Factor and co. ,W/P May 1-31 (Rehab. Of Basud-Mangcamagong-Masalongsalong Road) ,"31,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5603 ,33,Juan Ferrer and one ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5604 ,34,Elmer Barrameda and one ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"1 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/10/2013,1306-5620,35,Jorita Garcia ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5619 ,36,Roldan Laviña ,W/P May 1-31 (Rehab of Labo-Contod-Vinzons-Crucero Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5614 ,37,Rodolfo Echano and co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"5 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5667 ,38,Aldrin Asis and co. ,W/P May 1-31 (Rehab. Of Basud-Mangcamagong-Masalongsalong Road)," 3 1,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/11/2013,1306-5670 ,41,"Jhonny Enova, Jr, and Co. ",W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road) ,"4 6,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5672 ,42,Joemel Tabernilla and Co. ,W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5668 ,43,Lourd Francis Villamor and Co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"4 3,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5669 ,44,Franklin Obina and Co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"3 1,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5671 ,45,Ferdinand Mariano and Co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"1 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5679 ,46,Aldrin Victoriano and Co. ,W/P May 1-31 (Rehab. Of Basud-Mangcamagong-Masalongsalong Road) ,"2 7,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5680 ,47, Leo de los Angeles and Co. ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"3 5,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5728 ,48,Renato Sanchez ,W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road)," 5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5724 ,49,Virgilio Espanol and Co. ,W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road) ,"8 1,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5723 ,50,Efren Abrera and Co., W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road)," 6 5,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/13/2013,1306-5721,51,Rolando Ubana and Co. ,W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road) ,"7 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5727 ,52,Albert Mesa and co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"5 9,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5730,53,Rhoda Mia Paulo ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5729 ,54,"Andres Aldeza, Jr. and Co. ",W/P May 1-31 (Rehab of Capalonga-Calabaca Road)," 1 5,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5772 ,55, Fidel Bares and Co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"6 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5678 ,56, Ivan Ray Liwag and Co. ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road)," 1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5789,57," Marcelito Sureta, Jr. and Co. ",W/P May 1-31 (Rehab of Daet-Mambalite Road)," 1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5677 ,58, Luisa Blanca and Co. ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"3 6,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5777 ,59,Erma Decena, W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5726 ,60,Dante Francisco and Co. ,W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road)," 1 11,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5774 ,61,Ruel Candelaria and Co. ,W/P May 1-31 (Rehab of Labo-Tulay na Lupa Road) ,"5 2,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5776 ,62,Aaron Joshua Pera and Co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5775 ,63, Mylene Bulawan ,W/P May 1-31 (Rehab. Of Basud-Mangcamagong-Masalongsalong Road) ,"6 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5725 ,64,Ma. Salome Bertillo and Co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"2 0,383.87",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/14/2013,1306-5808 ,66, Lorvichito Indias ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"7 ,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5806 ,67,Alfredo Oco and Co. ,W/P May 1-31 (Daet-San Vicente Road)," 2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5810 ,68,Ricky Sernicula ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road) ,"6 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5813 ,69,Shahani Abriol ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5812,70,Ma. Christina Sullivan and Co. ,W/P May 1-31 (Rehab. Of Basud-Mangcamagong-Masalongsalong Road) ,"1 0,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5811,71,Nova Jerez ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road)," 7 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5807 ,72,Manolo Mortiga and Co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"7 9,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5809 ,73,Rowena Jamito ,W/P May 1-31 (Rehab of Daet-Mambalite Road)," 5 ,000",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5893,75,Delia Gilana ,W/P May 1-31 (Rehab of Capalonga-Calabaca Road)," 5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5867 ,76, Wilson Zantua and co. ,W/P May 1-31 (Rehab. Of Jct Borabod-Awitan Daet Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5868,77,Noe Balane and co. ,W/P May 1-31 (Rehab/Construction Jct MSR Calabasa Road) ,"7 ,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/18/2013, 1305-5195,78,Daet Supershell Service Station ,PO#13051041-fuel (Rehab of Basud-Mangcamagong-Masalong-salong Road) ,"9 0,199.84",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5934 ,79,Edgar Ramos and co., W/P May 1-31 (Daet-San Vicente Road) ,"2 3,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5931 ,80,Danilo Libertes and co., W/P May 1-31 (Rehab of Bagasbas-Mercedes Road) ,"7 4,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5932 ,81,Felix Ramores and Co. ,W/P May 1-31 (Rehab of Bagasbas-Mercedes Road) ,"2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5935 ,82,Nelson Sarcilla ,W/P May 1-31 (Daet-San Vicente Road)," 5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5936 ,83,Mariel Joy Tolentino and Co. ,W/P May 1-31 (Daet-San Vicente Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5937,84,Franco Saspa ,W/P May 1-31 (Daet-San Vicente Road)," 5 ,250.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1305-5194 ,85,Daet Supershell Service Station ,PO#13051041-fuel (Labo-Contod-Vinzons-Crucero Road) ,"3 5,199.94",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5956 ,86,Dan John Legaspi and co. ,W/P May 1-31 (Rehab or Construction Jct MSR Calabasa Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5977 ,87,Lalyn Rosario and co. ,W/P Apr 1-30 (Daet-San Vicente Road) ,"2 1,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-5933 ,88,Noli Bernaldez and co. ,W/P May 1-31 (Rehab or Construction Jct MSR Calabasa Road) ,"3 1,500.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-6146 ,96,Denan Marcilla and Co. ,W/P June 1-6 (Rehab of Labo-Contod-Vinzons-Crucero Road) 100% ,"3 6,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),6/27/2013,1306-6198,97,Ruel Serdon and co. ,W/P June 7-8 (Rehab of Labo-Contod-Vinzons-Crucero Road) 100%," 4 ,000.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,1306-6234 ,98,Richard Loria and Co. ,W/P May 1-31 (Rehab of Bagasbas-Mercedes Road) ,"1 5,750.00",-
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,-,-,-,Total Expenditures ,-,"9,843,722.87"
Construction or Improvement or Rehablitation of Prov'l Roads and Bridges - 1918(32),-,-,-,-,Unobligated Balance,-,"4,177,931.37"
LGU Development Assistance Program - 8919(30),-,-,-,-,Appropriation (SP Res#257-2012/AO#27-2012),-,"8,357,731.39"
LGU Development Assistance Program - 8919(30),-,-,-,-,Less: Realigment(SP Res#097-2013/AO#03-2013) ,-,"7,148,000.00"
LGU Development Assistance Program - 8919(30),-,-,-,-,Add: SB#1 (SP Res#097-2013/AO#03-2013 ,-,"27,450,224.00"
LGU Development Assistance Program - 8919(30),-,-,-,-,Add: SB#1 (SP Res#097-2013/AO#03-2013 ,-,"218,779.00"
LGU Development Assistance Program - 8919(30),4/1/2013, 1302-1972 ,2,DLS Const Supply and Gen. Mdse. ,"PO13020425-materials (Const of pathway Brgy. Banocboc, Vinzons) ","4 4,850.00",-
LGU Development Assistance Program - 8919(30),-,1303-3220(D) ,64,JCO Construction and Supply ,"PO#13030675-materials (Rehab of MP Bldg. Sta Elena E/S, Sta Elena CN"," 3 32,768.00",-
LGU Development Assistance Program - 8919(30),-,1303-3192 ,65,JCO Construction and Supply," PO#13030735-materials (Const of Hanging Br (Phase I) Cabuluan, Sta Elena CN ","3 81,531.00",-
LGU Development Assistance Program - 8919(30),4/12/2013,1303-3107 ,66, JCO Construction and Supply," PO#13020477-materials (Const of MP Bldg. Brgy. Tabugon, Sta Elena CN ","8 41,245.00",-
LGU Development Assistance Program - 8919(30),-,1303-3109 ,67,JCO Construction and Supply ,"PO#13020506-materials (Const of MP Bldg. Brgy. Don Tomas, Sta Elena CN ","7 88,715.00",-
LGU Development Assistance Program - 8919(30),-,1303-3114 ,68,JCO Construction and Supply ,"PO#13020454-materials (Const of MP Bldg. Brgy. San Pedro, Sta Elena CN ","7 50,229.00",-
LGU Development Assistance Program - 8919(30),-,1303-3220-C ,69,RUR Construction and Supply ,"PO#13030535-materials (Const of MP Bldg. Brgy. Magsaysay, Capalonga CN)"," 7 73,042.00",-
LGU Development Assistance Program - 8919(30),-,1303-3119 ,70,RUR Construction and Supply," PO#13030536-materials (Const of MP Bldg. Brgy. Mataque, Capalonga CN) ","7 70,310.00",-
LGU Development Assistance Program - 8919(30),4/17/2013,1303-3261,91,JCO Construction and Supply ,"PO#13030780-materials (Rehab of MP Bldg. Rizal E/S Brgy. Rizal, Sta Elena CN ","1 18,522.00",-
LGU Development Assistance Program - 8919(30),-,1303-3190 ,92, JCO Construction and Supply ,"PO#13030737-materials (Rehab of MP Bldg. Basiad E/S Brgy. Basiad, Sta Elena CN) ","1 02,815.00",-
LGU Development Assistance Program - 8919(30),-,1303-3220-B ,93,JCO Construction and Supply," PO#13030777-materials (Const of Manpower Dev't Center Bldg. Sitio Dawahan Brgy. Don Tomas, Sta Elena CN) ","1 60,265.00",-
LGU Development Assistance Program - 8919(30),-,1303-3112 ,94,JCO Construction and Supply ,"PO#13030467-materials (Const of Elevated Water tank Brgy. San Lorenzo, Sta Elena) ","1 12,355.00",-
LGU Development Assistance Program - 8919(30),-,1303-3189 ,95,JCO Construction and Supply ,"PO#13030724-materials (Const of Hanging Br. (phase 1) Brgy. Basiad-Kagtalaba, Sta Elena) ","2 19,837.00",-
LGU Development Assistance Program - 8919(30),4/22/2013,1304-3484 ,98,"Brentmin Roofing Enterprises PO#13040816-equipment expenses (Const of MP Bldg. Brgy. Tabas, Paracale) 1 7,900.00","PO#13040816-equipment expenses (Const of MP Bldg. Brgy. Tabas, Paracale) ","1 7,900.00",-
LGU Development Assistance Program - 8919(30),4/23/2013,1303-3116 ,100,AEVS Construction Supply," PO#13020508-materials (Const of MP Bldg. Brgy. Bactas, Basud) ","7 16,535.00",-
LGU Development Assistance Program - 8919(30),-,1303-3111,103,B2k Lumber Construction Supplies and Services," PO#13030577-materials (Conreting of Brgy. Road P2 Brgy. VI, Mercedes) ","2 07,812.00",-
LGU Development Assistance Program - 8919(30),4/24/2013,1303-3121 ,105,Compadre Hardware ,"PO#13020415-materials (Rehab of MP Bldg. Brgy. V, Mercedes) ","2 48,417.00",-
