Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Fund_Source,Loan_Type,IA,Region,BD_NBD,Sector,Subsector,Subsubsector,Main_Region,Region,MultiRegion,Fin_Year_ID,AllFinInfo_LoanID,Reporting_Date,MaxReport_Date,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulativ_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Max_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
IFAD-661-PH,Rural Micro-Enterprise Promotion Programme,FALSE,FALSE,OTHERS,IFAD,Project,DTI,NGA,TRUE,"Industry, Trade and Tourism","Industry, Trade and Tourism",,NATIONWIDE,Nationwide,Nationwide,993,IFAD-661-PH,12/31/09,6/30/13,0.12,0.29,1.10,0.30,1.81,0.09,0.26,1.34,0.33,2.02,0.00,0.00,0.00,0.00,0.00,15.85,15.85,89.60%,4.31,6.52,18.64,18.64,66.10%,2.21,0.00,11.42%,11/11/05,6/30/14,,6/30/14,10/31/06,7.67,3.17,-4.50,41.34%,23.12%,14.33,18.22%,Ongoing
KfW-02,Community Based Forest and Mangrove Management Project,FALSE,FALSE,OTHERS,Germany,Project,DENR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,MULTI-REGIONAL,Multi-Regional,"VI, VII",1120,KfW-02,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,5.31,5.31,0.00%,0.00,0.00,0.00%,12/24/08,1/13/16,,1/13/16,1/12/10,6.01,-0.03,-6.04,-0.55%,0.00%,5.31,-0.55%,Newly Signed
PH20030908,Development of Sub-specialty Capabilities for Heart-Lung-Kidney Diseases in Selected Regional Hospitals,FALSE,FALSE,OTHERS,Netherlands,Project,DOH,NGA,TRUE,Social Reform and Community Development,"Health, Population and Nutrition",,MULTI-REGIONAL,Multi-Regional,"NCR, V, VII, X, XI",996,PH20030908,12/31/09,12/31/12,0.00,0.00,0.68,0.00,0.68,0.00,0.00,0.68,0.96,1.64,0.00,0.00,0.00,0.00,0.00,4.66,4.66,41.53%,16.17,18.54,20.15,20.15,87.25%,2.36,0.00,14.64%,1/20/05,12/31/10,3/1/12,3/1/12,4/25/05,6.86,4.69,-2.17,68.39%,80.27%,3.98,-11.88%,Ongoing
PH-4446,Local Government Finance & Development Project,TRUE,TRUE,WB,WB,Project,DOF,GFI,TRUE,Infrastructure,Social Infrastructure,Urban Community Infrastructure,MULTI-REGIONAL,Multi-Regional,"I,II,III,IV,V,VI,VII,VIII,IX,X,XI,CAR,ARMM",1108,PH-4446,12/31/09,12/31/09,1.73,4.52,0.00,0.00,6.25,1.73,4.52,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,9.77,9.77,100.00%,60.00,60.00,60.00,60.00,100.00%,0.00,0.00,63.97%,9/8/99,6/30/06,12/30/08,12/30/08,2/28/00,8.84,9.85,1.00,111.34%,100.00%,0.00,11.34%,Closed
PH-4833,Support for Strategic Local Development and Investment Project,FALSE,FALSE,WB,WB,Project,LBP,GFI,FALSE,Infrastructure,Urban Infrastructure,,NATIONWIDE,Nationwide,Nationwide,1066,PH-4833,12/31/09,6/30/13,3.20,4.22,0.00,11.10,18.52,3.00,5.74,11.68,8.94,29.36,0.00,0.00,0.00,0.00,0.00,85.69,85.69,63.08%,32.65,31.00,100.00,100.00,105.32%,-1.65,0.00,21.61%,10/3/06,6/30/12,2/28/14,2/28/14,2/28/07,7.01,2.84,-4.16,40.56%,32.65%,67.35,7.91%,Ongoing
PH-7058,Metro Manila Urban Transport Integration Project,FALSE,FALSE,WB,WB,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,LUZON,NCR,NCR,1054,PH-7058,12/31/09,12/31/11,0.77,1.08,0.11,1.45,3.40,0.35,0.04,0.36,0.47,1.22,0.00,0.00,0.00,0.00,0.00,11.91,11.91,278.69%,51.20,59.21,60.00,60.00,86.46%,8.02,0.00,28.55%,8/8/01,3/31/07,3/31/10,3/31/10,12/6/01,8.32,8.07,-0.25,97.04%,85.33%,8.80,11.71%,Ongoing
PH-7147,KALAHI-CIDSS Project,TRUE,FALSE,WB,WB,Project,DSWD,NGA,TRUE,Social Reform and Community Development,Social Welfare and Community Development,Social Welfare and Community Development,MULTI-REGIONAL,Multi-Regional,"CAR, IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",1055,PH-7147,12/31/09,12/31/11,9.76,7.23,0.00,0.00,16.99,7.92,8.32,2.24,0.59,19.07,0.00,0.00,0.00,0.00,0.00,26.64,26.64,89.10%,90.36,93.57,100.00,100.00,96.57%,3.21,0.00,63.78%,10/2/02,6/30/09,5/31/11,5/31/11,12/16/02,8.46,7.05,-1.41,83.29%,90.36%,9.64,-7.07%,Ongoing
PH-7152,Agrarian Reform Communities Development Project II,TRUE,TRUE,WB,WB,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Agrarian Reform,MULTI-REGIONAL,Multi-Regional,"II, III, IV, V, VII, IX, X",1056,PH-7152,12/31/09,12/31/11,1.97,2.77,1.17,0.64,6.55,3.20,3.20,3.20,3.70,13.30,0.00,0.00,0.00,0.00,0.00,6.57,6.57,49.21%,49.84,50.00,50.00,50.00,99.68%,0.16,0.00,99.62%,1/22/03,12/31/07,6/30/10,6/30/10,6/4/03,7.08,6.58,-0.50,92.99%,99.68%,0.16,-6.69%,Ongoing
PH-7153,ARMM Social Fund for Peace and Development,TRUE,FALSE,WB,WB,Project,ARG,LGU,TRUE,Social Reform and Community Development,Social Welfare and Community Development,Social Welfare and Community Development,MINDANAO,ARMM,ARMM,1057,PH-7153,12/31/09,12/31/10,1.02,0.67,0.38,0.06,2.13,1.18,1.15,0.47,0.47,3.27,0.00,0.00,0.00,0.00,0.00,3.19,3.19,65.21%,32.19,32.62,33.60,33.60,98.67%,0.43,0.00,66.74%,1/20/03,6/30/08,5/31/10,5/31/10,5/19/03,7.04,6.63,-0.41,94.12%,95.80%,1.41,-1.68%,Ongoing
PH-7191,Judicial Reform Support Project,FALSE,FALSE,WB,WB,Project,SC,NGA,TRUE,Governance and Institutions Development,Political Governance,Political Governance,NATIONWIDE,Nationwide,Nationwide,1058,PH-7191,12/31/09,12/31/12,0.81,0.14,0.57,0.23,1.76,1.92,2.44,2.96,0.23,7.55,0.00,0.00,0.00,0.00,0.00,11.44,11.44,23.27%,11.74,13.00,21.90,21.90,90.32%,1.26,0.00,15.35%,10/2/03,12/31/09,6/30/12,6/30/12,12/4/03,8.58,6.08,-2.50,70.87%,53.60%,10.16,17.27%,Ongoing
PH-7204,Rural Power Project,FALSE,FALSE,WB,WB,Project,DBP,GFI,FALSE,Infrastructure,"Energy, Power and Electrification",Power Generation and Transmission,NATIONWIDE,Nationwide,Nationwide,1059,PH-7204,12/31/09,12/31/09,0.38,0.08,0.00,0.00,0.46,0.38,0.08,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,-0.32,-0.32,100.00%,10.00,10.00,10.00,10.00,100.00%,0.00,0.00,-145.74%,12/8/03,12/31/09,,12/31/09,5/6/04,5.66,5.66,0.00,100.00%,100.00%,0.00,0.00%,Closed
PH-7205,Laguna De Bay Institutional Strengthening and Community Participation (LISCOP) Project,TRUE,TRUE,WB,WB,Project,LLDA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,Environment,LUZON,IV - A,IV-A,1060,PH-7205,12/31/09,12/31/11,0.09,0.29,0.21,0.43,1.02,0.44,0.74,0.78,0.86,2.82,0.00,0.00,0.00,0.00,0.00,3.00,3.00,36.03%,3.20,4.50,5.00,5.00,71.11%,1.30,0.00,33.87%,1/26/04,1/31/09,1/31/11,1/31/11,4/2/04,6.84,5.75,-1.09,84.13%,64.00%,1.80,20.13%,Ongoing
PH-7236,National Program Support for Diversified Farm Income and Market Development Project,FALSE,FALSE,WB,WB,Program,DA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"VI, VII, X",1061,PH-7236,12/31/09,12/31/09,0.38,0.00,0.00,0.00,0.38,0.38,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,32.68,32.68,100.00%,27.71,60.00,60.00,27.71,46.18%,32.29,32.29,1.17%,8/24/04,6/30/09,,6/30/09,10/29/04,4.67,5.18,0.50,110.79%,100.00%,0.00,10.79%,Closed
PH-7290,Second Women's Health and Safe Motherhood Project,FALSE,FALSE,WB,WB,Project,DOH,NGA,TRUE,Social Reform and Community Development,"Health, Population and Nutrition",,MULTI-REGIONAL,Multi-Regional,"II, V, VIII, CARAGA",1063,PH-7290,12/31/09,6/30/13,0.27,0.25,0.54,0.12,1.19,0.04,0.51,1.37,1.22,3.13,0.00,0.00,0.00,0.00,0.00,15.00,15.00,37.92%,2.19,5.92,16.00,16.00,37.04%,3.73,0.00,7.92%,6/30/05,6/30/12,6/30/13,6/30/13,12/28/05,7.51,4.01,-3.50,53.41%,13.71%,13.81,39.70%,Ongoing
PH-7298,Land Administration & Management Project Phase II,TRUE,FALSE,WB,WB,Project,DENR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,Land,MULTI-REGIONAL,Multi-Regional,"VIII, VII",1062,PH-7298,12/31/09,6/30/13,1.00,0.39,1.30,0.85,3.54,0.34,1.09,0.75,0.87,3.05,0.00,0.00,0.00,0.00,0.00,14.28,14.28,116.32%,8.61,10.43,19.00,19.00,82.54%,1.82,0.00,24.81%,6/30/05,3/31/11,3/30/14,3/30/14,10/11/05,8.47,4.23,-4.25,49.87%,45.30%,10.39,4.57%,Ongoing
PH-7311,Manila Third Sewerage Project,FALSE,FALSE,WB,WB,Project,LBP,GFI,FALSE,Infrastructure,Water Resources,,LUZON,NCR,NCR,1064,PH-7311,12/31/09,12/31/12,1.01,1.55,1.21,2.83,6.59,1.04,1.67,1.67,0.83,5.21,0.00,0.00,0.00,0.00,0.00,47.64,47.64,126.52%,22.98,49.00,64.00,64.00,46.91%,26.02,0.00,13.83%,7/22/05,6/30/10,6/30/12,6/30/12,3/6/06,6.32,3.83,-2.50,60.49%,35.91%,41.02,24.58%,Ongoing
PH-7393,National Support for Basic Education,FALSE,FALSE,WB,WB,Program,DepEd,NGA,TRUE,Social Reform and Community Development,Education and Manpower Development,,NATIONWIDE,Nationwide,Nationwide,1067,PH-7393,12/31/09,12/31/12,4.67,26.24,0.00,11.91,42.82,12.84,17.39,9.74,13.32,53.28,0.00,0.00,0.00,0.00,0.00,124.50,124.50,80.36%,116.03,170.00,200.00,200.00,68.25%,53.97,0.00,34.39%,10/3/06,12/31/11,12/31/12,12/31/12,1/1/07,6.00,3.00,-3.00,49.98%,58.01%,83.97,-8.03%,Ongoing
PH-7395,National Sector Support for Health Reform,FALSE,FALSE,WB,WB,Program,DOH,NGA,TRUE,Social Reform and Community Development,"Health, Population and Nutrition",,NATIONWIDE,Nationwide,Nationwide,1065,PH-7395,12/31/09,12/31/12,0.00,2.09,0.00,17.56,19.65,4.78,2.07,7.69,12.92,27.45,0.00,0.00,0.00,0.00,0.00,91.68,91.68,71.59%,37.98,48.08,110.00,110.00,78.98%,10.11,0.00,21.44%,10/3/06,6/30/11,3/30/12,3/30/12,3/27/07,5.01,2.77,-2.25,55.19%,34.52%,72.03,20.67%,Ongoing
PH-7431,National Program Support for Tax Administration,FALSE,FALSE,WB,WB,Program,BIR,NGA,TRUE,Governance and Institutions Development,Economic Governance,,NATIONWIDE,Nationwide,Nationwide,1068,PH-7431,12/31/09,6/30/13,0.04,0.00,0.07,0.08,0.19,1.52,1.52,1.52,1.52,6.06,0.00,0.00,0.00,0.00,0.00,10.60,10.60,3.12%,0.59,6.80,11.00,11.00,8.63%,6.21,0.00,1.78%,3/30/07,12/31/11,6/30/13,6/30/13,6/25/07,6.02,2.52,-3.50,41.88%,5.34%,10.41,36.54%,Ongoing
PH-7440,Mindanao Rural Development Project-Phase 2,TRUE,TRUE,WB,WB,Project,DA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Agrarian Reform,MINDANAO,Mindanao Wide,"XI, XII, CARAGA, ARMM",1069,PH-7440,12/31/09,6/30/13,1.49,1.60,0.30,1.47,4.86,0.89,2.87,4.56,4.61,12.93,0.00,0.00,0.00,0.00,0.00,80.70,80.70,37.58%,7.91,21.00,83.75,83.75,37.66%,13.09,0.00,6.02%,5/3/07,12/31/12,12/31/14,12/31/14,7/3/07,7.50,2.50,-5.00,33.31%,9.44%,75.84,23.87%,Ongoing
PH-7470,National Program Support for Environment and Natural Resources Management Project,FALSE,FALSE,WB,WB,Program,DENR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Environment and Natural Resources,,NATIONWIDE,Nationwide,,1070,PH-7470,12/31/09,6/30/13,1.00,5.15,0.21,1.06,7.41,0.00,5.60,5.60,5.74,16.94,0.00,0.00,0.00,0.00,0.00,45.00,45.00,43.75%,11.42,16.00,50.00,50.00,71.35%,4.58,0.00,16.47%,8/29/07,12/31/12,12/31/13,12/31/13,11/27/07,6.10,2.10,-4.00,34.37%,22.83%,38.58,11.54%,Ongoing
PH-75520,National Road Improvement Management Project Phase II,FALSE,FALSE,WB,WB,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,NATIONWIDE,Nationwide,Nationwide,1071,PH-75520,12/31/09,6/30/13,0.00,0.58,3.00,0.00,3.58,0.00,3.58,2.36,6.19,12.13,0.00,0.00,0.00,0.00,0.00,232.00,232.00,29.53%,6.58,30.00,232.00,232.00,21.93%,23.42,0.00,1.54%,10/24/08,12/31/12,12/31/14,12/31/14,4/16/09,5.71,0.71,-5.00,12.42%,2.84%,225.42,9.58%,Ongoing
PH-76150,The Global Food Crisis Response Program Development Policy Operation,FALSE,FALSE,WB,WB,Program,DOF,GFI,FALSE,Social Reform and Community Development,Social Welfare and Community Development,,NATIONWIDE,Nationwide,,1072,PH-76150,12/31/09,12/31/09,200.00,0.00,0.00,0.00,200.00,200.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,200.00,200.00,100.00%,200.00,200.00,200.00,200.00,100.00%,0.00,0.00,100.00%,12/16/08,6/30/09,,6/30/09,2/23/09,0.35,0.85,0.50,244.88%,100.00%,0.00,144.88%,Closed
PH-76730,Rural Power Project (Additional Financing),FALSE,FALSE,WB,WB,Project,DBP,GFI,FALSE,Infrastructure,"Energy, Power and Electrification",,NATIONWIDE,Nationwide,,1106,PH-76730,12/31/09,12/31/12,0.00,0.00,0.10,3.95,4.05,0.00,0.00,1.50,1.50,3.00,0.00,0.00,0.00,0.00,0.00,40.00,40.00,134.97%,4.05,1.50,40.00,40.00,269.93%,-2.55,0.00,10.12%,5/25/09,12/31/12,,12/31/12,9/25/09,3.27,0.27,-3.00,8.13%,10.12%,35.95,-1.99%,Ongoing
PH-76890,Agrarian Reform Communities Development Project II (Additional Financing),FALSE,FALSE,WB,WB,Project,DAR,NGA,FALSE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,,MULTI-REGIONAL,Multi-Regional,"II, III, IV-A, IV-B, V, VII, IX, X, XI",1097,PH-76890,12/31/09,12/31/11,0.00,0.00,4.03,0.00,4.03,0.00,0.00,2.50,2.50,5.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,80.60%,4.03,2.50,10.00,10.00,161.20%,-1.53,0.00,40.30%,5/12/09,6/30/10,12/31/10,12/31/10,7/31/09,1.42,0.42,-1.00,29.54%,40.30%,5.97,-10.76%,Ongoing
PH-7709,Participatory Irrigation Development Project,FALSE,FALSE,WB,WB,Project,NIA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,MULTI-REGIONAL,Multi-Regional,"CAR,II,IV,V,IX,XI",1111,PH-7709,12/31/09,6/30/13,3.75,0.00,0.00,0.00,3.75,3.55,0.00,0.00,0.00,3.55,0.00,0.00,0.00,0.00,0.00,70.36,70.36,105.63%,0.00,0.00,70.36,70.36,0.00%,0.00,0.00,5.33%,8/7/09,3/31/15,,3/31/15,11/3/09,5.41,0.16,-5.25,2.94%,0.00%,70.36,2.94%,Newly Effective
PH-C21,Development Policy Support Program II,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Program,DOF,GFI,FALSE,Governance and Institutions Development,Economic Governance,,NATIONWIDE,Nationwide,,1040,PH-C21,12/31/09,12/31/09,94.79,0.00,0.00,0.00,94.79,94.79,0.00,0.00,0.00,94.79,0.00,0.00,0.00,0.00,0.00,101.29,101.29,100.00%,101.29,101.29,101.29,101.29,100.00%,0.00,0.00,93.58%,3/30/09,,,,3/31/09,,0.75,0.00,0.00%,100.00%,0.00,0.00%,Closed
PHL-10,"Gapan-San Fernando-Olongapo Road Project, Phase II",FALSE,FALSE,OTHERS,Korea,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,LUZON,III,,1116,PHL-10,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.35,28.35,0.00%,0.00,0.28,28.35,28.35,0.00%,0.28,0.00,0.00%,7/13/09,4/20/14,,4/20/14,10/20/09,4.50,0.20,-4.30,4.38%,0.00%,28.35,4.38%,Newly Effective
PHL-5,Laguindingan Airport Development Project,FALSE,FALSE,OTHERS,Korea,Project,DOTC,NGA,TRUE,Infrastructure,Transportation,Airport and Airnavigation,MINDANAO,X,X,1092,PHL-5,12/31/09,6/30/13,6.64,19.35,9.83,0.00,35.82,9.87,4.70,4.33,6.84,25.74,0.00,0.00,0.00,0.00,0.00,75.80,75.80,139.16%,58.74,74.76,92.20,92.20,78.56%,16.03,0.00,47.26%,2/24/98,6/19/02,10/25/14,10/25/14,6/19/98,16.36,11.54,-4.82,70.55%,63.70%,33.47,6.85%,Ongoing
PHL-7,Northrail-Southrail Linkage Project,FALSE,FALSE,OTHERS,Korea,Project,PNR,GOCC,FALSE,Infrastructure,Transportation,Railways,LUZON,NCR,NCR,1093,PHL-7,12/31/09,12/31/11,1.71,5.67,5.65,1.68,14.71,7.38,8.76,5.69,1.45,23.28,0.00,0.00,0.00,0.00,0.00,23.28,23.28,63.17%,41.85,47.49,50.42,50.42,88.11%,5.65,0.00,63.17%,5/7/04,3/16/07,12/29/10,12/29/10,3/16/05,5.79,4.80,-1.00,82.83%,82.99%,8.58,-0.16%,Ongoing
PHL-8,Widening of Gapan-San Fernando-Olongapo,FALSE,FALSE,OTHERS,Korea,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,LUZON,III,III,956,PHL-8,12/31/09,12/31/12,1.45,1.54,1.42,1.88,6.29,1.71,2.33,2.51,1.47,8.02,0.00,0.00,0.00,0.00,0.00,22.23,22.23,78.44%,8.00,18.96,22.30,22.30,42.18%,10.96,0.00,28.29%,8/24/05,3/27/12,7/27/12,7/27/12,3/27/06,6.34,3.77,-2.57,59.42%,35.85%,14.31,23.57%,Ongoing
PHL-9,Bacolod-Silay Airport Access Road Project,FALSE,FALSE,OTHERS,Korea,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,,VISAYAS,VI,,1115,PHL-9,12/31/09,6/30/13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.06,13.06,0.00%,0.00,0.13,13.06,13.06,0.00%,0.13,0.00,0.00%,7/13/09,6/20/13,3/31/14,3/31/14,10/20/09,4.45,0.20,-4.25,4.44%,0.00%,13.06,4.44%,Newly Effective
PH-P191,Metro Iligan Regional Infrastructure Dev't. Project,TRUE,TRUE,GOJ-JICA,GOJ-JICA,Project,Lanao del Norte Provl Govt,LGU,TRUE,Infrastructure,Social Infrastructure,Urban Community Infrastructure,MINDANAO,XII,XII,1013,PH-P191,12/31/09,12/31/10,0.00,1.45,0.90,2.09,4.44,1.43,1.09,0.90,0.87,4.29,0.00,0.00,0.00,0.00,0.00,29.60,29.60,103.50%,22.05,41.48,47.18,47.18,53.14%,19.44,0.00,15.00%,9/10/98,1/7/08,6/7/10,6/7/10,1/7/99,11.42,10.99,-0.43,96.21%,46.73%,25.13,49.48%,Ongoing
PH-P193,Agno River Flood Control Project Phase II-A,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control,LUZON,I,I,1014,PH-P193,12/31/09,12/31/10,1.44,0.41,2.28,0.93,5.06,1.70,1.56,1.68,2.82,7.76,0.00,0.00,0.00,0.00,0.00,15.02,15.02,65.21%,63.52,71.66,73.40,73.40,88.63%,8.15,0.00,33.68%,9/10/98,1/7/07,3/7/10,3/7/10,1/7/99,11.17,10.99,-0.18,98.38%,86.53%,9.89,11.85%,Ongoing
PH-P196,Central Luzon Irrigation Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,NIA,GOCC,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,LUZON,III,III,1015,PH-P196,12/31/09,12/31/09,0.62,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.75,27.75,28.70,0.96,0.00%,126.33,126.33,154.08,126.33,100.00%,0.00,27.75,64.92%,9/10/98,1/7/07,1/7/09,1/7/09,1/7/99,10.01,10.99,0.98,109.80%,100.00%,0.00,9.80%,Closed
PH-P200,Secondary Education Dev't. and Improvement Project,TRUE,FALSE,GOJ-JICA,GOJ-JICA,Project,DepEd,NGA,TRUE,Social Reform and Community Development,Education and Manpower Development,Education,MULTI-REGIONAL,Multi-Regional,"II, III, IV, V, VIII, IX, XII, ARMM, CAR, CARAGA",1016,PH-P200,12/31/09,12/31/09,4.07,0.00,0.00,0.00,4.07,4.90,0.00,0.00,0.00,4.90,0.00,0.00,0.00,7.99,7.99,15.01,7.02,83.06%,70.60,70.60,78.59,70.60,100.00%,0.00,7.99,57.97%,12/28/99,3/28/09,,3/28/09,3/28/00,9.01,9.77,0.76,108.46%,100.00%,0.00,8.46%,Closed
PH-P202,Bohol Irrigation Project (Phase II),FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,NIA,GOCC,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,VISAYAS,VII,VII,999,PH-P202,12/31/09,12/31/09,9.68,0.00,0.00,0.00,9.68,7.77,0.00,0.00,0.00,7.77,0.00,0.00,0.00,0.74,0.74,11.08,10.34,124.58%,65.51,65.51,66.25,65.51,100.00%,0.00,0.74,93.62%,12/28/99,3/28/08,3/28/09,3/28/09,3/28/00,9.01,9.77,0.76,108.46%,100.00%,0.00,8.46%,Closed
PH-P212,KAMANAVA Area Flood Control and Drainage System Improvement Proj.,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control,LUZON,NCR,NCR,1017,PH-P212,12/31/09,12/31/09,4.65,3.13,13.62,0.00,21.40,6.93,3.49,10.42,0.00,20.84,0.00,0.00,0.00,1.56,1.56,23.16,21.60,102.69%,95.77,95.77,97.33,95.77,100.00%,0.00,1.56,99.08%,4/7/00,9/4/08,9/4/09,9/4/09,9/4/00,9.01,9.33,0.32,103.59%,100.00%,0.00,3.59%,Closed
PH-P215,Subic Bay Port Development Project,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,SBMA,GOCC,FALSE,Infrastructure,Transportation,Ports,LUZON,III,III,1018,PH-P215,12/31/09,12/31/10,1.85,6.58,5.02,30.67,44.12,16.12,6.30,6.38,22.96,51.76,0.00,0.00,0.00,0.00,0.00,52.77,52.77,85.24%,170.95,179.31,179.31,179.31,95.34%,8.36,0.00,83.62%,8/13/00,12/27/09,12/27/10,12/27/10,1/27/01,9.92,8.93,-0.99,90.03%,95.34%,8.36,-5.31%,Ongoing
PH-P217,"Arterial Road Links Project, Phase V",FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,MULTI-REGIONAL,Multi-Regional,"I, CAR, V, VI, VIII",1019,PH-P217,12/31/09,12/31/10,4.34,2.80,4.54,2.61,14.29,5.40,2.54,4.39,1.47,13.80,0.00,0.00,0.00,0.00,0.00,27.60,27.60,103.55%,77.42,78.16,90.41,90.41,99.06%,0.74,0.00,51.78%,5/30/01,9/25/09,9/25/10,9/25/10,9/25/01,9.01,8.27,-0.73,91.85%,85.64%,12.98,6.21%,Ongoing
PH-P220,Rural Road Network Development Project III,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Transportation,Roads and Bridges,MULTI-REGIONAL,Multi-Regional,"I, II, III, IV, V, VI, CARAGA",1020,PH-P220,12/31/09,12/31/12,2.86,0.92,6.41,2.25,12.44,3.39,5.19,10.99,3.63,23.20,0.00,0.00,0.00,0.00,0.00,55.73,55.73,53.62%,24.45,39.03,67.64,67.64,62.64%,14.58,0.00,22.32%,5/30/01,9/25/09,3/25/12,3/25/12,9/25/01,10.50,8.27,-2.23,78.74%,36.15%,43.19,42.59%,Ongoing
PH-P221,Help for Catubig Agricultural Advancement Project Stage I,TRUE,TRUE,GOJ-JICA,GOJ-JICA,Project,NIA,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Irrigation,VISAYAS,VIII,VIII,1021,PH-P221,12/31/09,6/30/13,0.96,1.26,0.45,0.27,2.94,1.43,1.26,2.06,0.39,5.14,0.00,0.00,0.00,0.00,0.00,29.92,29.92,57.20%,29.93,40.36,56.79,56.79,74.16%,10.43,0.00,9.83%,5/30/01,1/23/11,1/23/13,1/23/13,1/23/02,11.01,7.94,-3.07,72.15%,52.70%,26.86,19.45%,Ongoing
PH-P222,Mindanao Sustainable Settlement Area Development Project,TRUE,FALSE,GOJ-JICA,GOJ-JICA,Project,DAR,NGA,TRUE,"Agriculture, Natural Resources and Agrarian Reform",Agriculture and Agrarian Reform,Agrarian Reform,MINDANAO,Mindanao Wide,"X, XI, CARAGA",1022,PH-P222,12/31/09,12/31/09,1.27,0.21,0.72,0.00,2.20,1.35,1.82,0.70,0.00,3.87,0.00,0.00,0.00,8.15,8.15,11.65,3.50,56.85%,62.87,62.87,71.01,62.87,100.00%,0.00,8.15,62.91%,5/30/01,9/25/09,,9/25/09,9/25/01,8.01,8.27,0.27,103.32%,100.00%,0.00,3.32%,Closed
PH-P223,Agno River Flood Control Project Phase II-B,FALSE,FALSE,GOJ-JICA,GOJ-JICA,Project,DPWH,NGA,TRUE,Infrastructure,Water Resources,Flood Control,LUZON,Luzon Wide,"I, III",1023,PH-P223,12/31/09,12/31/09,0.03,0.79,0.74,0.00,1.56,1.42,1.05,0.43,0.00,2.90,0.00,0.00,0.00,0.99,0.99,2.57,1.58,53.79%,29.41,29.41,30.40,29.41,100.00%,0.00,0.99,98.67%,5/30/01,9/25/09,,9/25/09,9/25/01,8.01,8.27,0.27,103.32%,100.00%,0.00,3.32%,Closed
