particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               Leyte Normal University,514,782,759,0,"6,468",0,0,0,"4,435","4,364",122,0,0,399,0,"5,757",0,0,0,0,0,0,0,0,0,"23,600"
               Visayas State University (Leyte State University),"1,545","1,098",915,0,"5,161",0,0,0,"5,205","1,334",162,0,0,327,0,"12,815",81,2,0,0,330,0,1,0,0,"28,976"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"1,476",154,936,524,"1,388",0,0,0,"1,408",180,125,0,0,58,0,"5,555",0,11,797,0,0,0,38,0,0,"12,650"
               Palompon Institute of Technology,876,420,"1,224",401,"1,733",0,0,0,"1,562",194,122,0,0,121,0,964,28,9,435,0,81,0,80,0,0,"8,250"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,130",262,839,8,"2,336",30,0,0,"2,068","4,214",108,0,0,524,0,"3,465",61,7,"1,149",0,4,0,113,0,0,"16,318"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),671,110,"1,848",487,"3,016",7,0,0,923,"1,161",152,0,0,283,0,"1,617",13,10,498,0,326,0,60,0,0,"11,182"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),796,462,812,56,"5,809",122,0,120,"2,801","2,309",122,0,0,232,0,"1,085",3,5,0,0,828,0,173,0,0,"15,735"
               University of Eastern Philippines,852,569,"1,596",170,"4,248",61,0,690,"1,298","1,490",92,0,0,535,0,"2,250",0,0,"1,555",0,677,0,0,0,0,"16,083"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"4,176","1,693","2,356",273,"12,118",180,0,675,"12,004","6,318","1,602",0,0,"1,378",0,"10,204",457,197,423,10,737,0,"1,188",45,67,"56,101"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"1,769",297,847,72,"2,929",0,0,0,"1,083",609,179,0,0,127,0,322,32,20,185,0,237,0,62,0,0,"8,770"
               Jose Rizal Memorial State University,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),"1,162",338,872,62,"3,247",0,0,0,"3,405",895,627,0,0,303,0,"1,777",131,0,88,0,11,0,22,45,67,"13,052"
               Western Mindanao State University,393,460,201,133,"3,465",180,0,670,"2,979","3,772",122,0,0,692,0,"5,796",208,152,0,10,480,0,"1,059",0,0,"20,772"
               Zamboanga City State Polytechnic College,139,246,0,6,450,0,0,0,"2,154",41,102,0,0,53,0,537,0,0,126,0,0,0,0,0,0,"3,854"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,713,352,436,0,"2,027",0,0,5,"2,383","1,001",572,0,0,203,0,"1,772",86,25,24,0,9,0,45,0,0,"9,653"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"8,918","3,482","12,154",4,"25,944",191,0,750,"34,011","10,296",848,0,0,"3,824",0,"39,488",769,127,"1,752",0,409,0,430,0,299,"143,696"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State University,"1,441",130,949,0,"3,617",0,0,0,"4,051","1,933",298,0,0,310,0,"1,445",1,0,649,0,180,0,0,0,0,"15,004"
               Camiguin Polytechnic State College,211,200,300,0,"1,282",0,0,0,"1,901",143,110,0,0,74,0,0,0,0,0,0,66,0,47,0,0,"4,334"
               Central Mindanao University,"2,500",800,"4,636",0,"13,243",0,0,0,"5,400",875,98,0,0,"1,314",0,"5,805",100,0,462,0,20,0,80,0,0,"35,333"
               Mindanao University of Science and Technology,590,357,853,2,"3,097",131,0,0,"4,493",414,162,0,0,805,0,"6,558",406,75,161,0,29,0,68,0,0,"18,201"
               MSU-Iligan Institute of Technology,"3,462","1,899","4,849",2,"3,245",60,0,750,"17,275","5,292",0,0,0,"1,092",0,"24,069",258,21,388,0,114,0,159,0,299,"63,234"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,454,33,292,0,880,0,0,0,649,"1,149",70,0,0,163,0,"1,223",4,17,0,0,0,0,74,0,0,"5,008"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,260,63,275,0,580,0,0,0,242,490,110,0,0,66,0,388,0,14,92,0,0,0,2,0,0,"2,582"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,"3,550","2,123",540,6,"7,189",74,0,44,"11,391","29,325",780,0,0,575,0,"14,015",176,13,"1,112",0,280,0,208,0,0,"71,401"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,322,144,123,0,663,0,0,0,"1,727",175,121,0,0,144,0,549,0,0,89,0,0,0,67,0,0,"4,124"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,756,158,73,6,"1,148",60,0,44,"1,298","1,194",111,0,0,101,0,809,0,12,465,0,0,0,22,0,0,"6,257"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,334,135,117,0,569,2,0,0,539,86,297,0,0,36,0,689,0,0,0,0,23,0,20,0,0,"2,847"
               University of Southeastern Philippines,"2,138","1,686",227,0,"4,809",12,0,0,"7,827","27,870",251,0,0,294,0,"11,968",176,1,558,0,257,0,99,0,0,"58,173"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,"5,253","1,425","2,279",507,"16,575",0,0,"7,346","9,570","8,023",397,0,0,594,0,"5,971",167,83,"2,309",0,136,0,465,0,0,"61,100"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,649,520,587,225,"1,764",0,0,0,"1,728","1,309",103,0,0,27,0,"1,243",109,9,362,0,45,0,131,0,0,"8,811"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,753,27,336,88,"6,850",0,0,0,"1,051",283,116,0,0,146,0,677,9,2,88,0,2,0,24,0,0,"10,452"
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Kudarat Polytechnic State College),"1,712",133,315,109,"1,669",0,0,0,"1,266","1,541",68,0,0,90,0,370,49,60,273,0,50,0,135,0,0,"7,840"
               University of Southern Mindanao,"2,139",745,"1,041",85,"6,292",0,0,"7,346","5,525","4,890",110,0,0,331,0,"3,681",0,12,"1,586",0,39,0,175,0,0,"33,997"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,"3,139",868,"4,034",97,"9,472",4,0,0,"4,403","6,443","2,278",0,0,660,0,"6,295",388,140,755,0,36,0,78,0,0,"39,090"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,402,91,544,50,"4,140",0,0,0,439,74,104,0,0,139,0,75,42,2,90,0,12,0,35,0,0,"6,239"
               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology),366,276,"1,917",0,"1,611",4,0,0,"1,121","3,185","1,967",0,0,302,0,"2,793",117,14,607,0,0,0,40,0,0,"14,320"
               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),"2,057",257,"1,027",45,"1,904",0,0,0,"1,843","1,481",99,0,0,120,0,"1,864",229,74,0,0,13,0,0,0,0,"11,013"
               Surigao State College of Technology,314,244,546,2,"1,817",0,0,0,"1,000","1,703",108,0,0,99,0,"1,563",0,50,58,0,11,0,3,0,0,"7,518"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,"12,742","1,651","8,070",410,"24,992","1,798",28,"9,770","22,290","8,219","1,347",0,0,986,0,"7,347",543,161,"1,288",0,841,48,288,331,0,"103,150"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,551,50,215,5,"1,096",144,0,20,200,152,16,0,0,50,0,747,15,5,10,0,5,0,25,25,0,"3,331"
               Basilan State College,901,202,263,23,"1,962",2,0,98,969,219,96,0,0,127,0,555,0,9,362,0,25,0,67,0,0,"5,880"
               Mindanao State University,"7,966","1,019","6,538",204,"17,827","1,322",28,"9,223","18,983","4,880",593,0,0,649,0,"5,448",528,62,316,0,342,48,136,106,0,"76,218"
               MSU-Tawi-Tawi College of Technology and Oceanography,"1,427",200,399,0,"1,850",330,0,300,"1,158","2,641",364,0,0,100,0,597,0,0,600,0,100,0,0,200,0,"10,266"
               Sulu State College,830,80,310,0,921,0,0,0,475,90,68,0,0,0,0,0,0,0,0,0,156,0,0,0,0,"2,930"
               Tawi-Tawi Regional Agricultural College,"1,067",100,345,178,"1,336",0,0,129,505,237,210,0,0,60,0,0,0,85,0,0,213,0,60,0,0,"4,525"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"42,622","9,853","11,745",9,"41,254","12,317",0,"38,064","23,739","3,062","2,448",0,0,"36,343",0,"529,559","3,292","7,007","23,311",0,"8,437",0,"2,089",0,0,"795,151"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"42,622","9,853","11,745",9,"41,254","12,317",0,"38,064","23,739","3,062","2,448",0,0,"36,343",0,"529,559","3,292","7,007","23,311",0,"8,437",0,"2,089",0,0,"795,151"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"619,668","107,549","284,306","10,753","551,546","58,714",72,"58,010","179,924","186,999","8,406","19,950",0,"29,992",0,"1,514,965","31,607","11,796","67,261",0,"4,517","274,689",434,53,372,"4,021,583"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"512,445","77,095","198,342","7,145","387,445","42,834",0,"50,010","122,433","155,258","5,239","19,950",0,"15,237",0,"1,156,609","27,790","8,482","50,943",0,"3,299","236,973",353,53,372,"3,078,307"
          Environmental Management Bureau,"37,350","10,503","23,758",428,"46,221","6,879",72,"8,000","15,461","18,706","1,581",0,0,"1,826",0,"115,454","2,585",521,"12,418",0,355,0,0,0,0,"302,118"
          Mines and Geo-Sciences Bureau,"43,394","7,475","20,695","2,886","40,978","6,501",0,0,"17,744","8,477","1,476",0,0,"1,883",0,"34,033","1,038","2,307","2,542",0,348,731,81,0,0,"192,589"
          National Mapping and Resource Information Authority,"19,207","10,556","37,996",168,"70,013","1,438",0,0,"21,519","4,154",0,0,0,"10,747",0,"196,425",1,486,"1,050",0,351,"36,985",0,0,0,"411,096"
          National Water Resources Board,"2,618","1,196","1,627",0,"1,422",59,0,0,"1,779",302,110,0,0,299,0,"2,809",193,0,308,0,18,0,0,0,0,"12,740"
          Palawan Council for Sustainable Development Staff,"4,654",724,"1,888",126,"5,467","1,003",0,0,988,102,0,0,0,0,0,"9,635",0,0,0,0,146,0,0,0,0,"24,733"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"244,091","124,471","742,152","6,511","458,438","453,584","175,658","108,500","442,645","66,152","20,783","15,000",0,"7,735,476","292,958","3,933,008","33,545","15,337","9,140",0,"4,799",246,"2,163",0,0,"14,884,657"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"15,290","6,762","5,510",0,"17,407","7,442",0,0,"34,225","4,089","6,727",500,0,"4,987",0,"130,649","1,759",667,"1,138",0,382,150,0,0,0,"237,684"
          Bureau of Customs,"15,558","20,453","415,599","2,261","77,387","6,623",0,0,"135,875","21,392","1,458","4,500",0,"5,652",0,"3,074,503","26,910","1,500",0,0,207,0,0,0,0,"3,809,878"
          Bureau of Internal Revenue,"176,093","68,607","287,034","3,799","319,154","390,612","175,658",0,"200,697","10,070","3,561","10,000",0,"13,646","292,958","615,383","3,478","12,097",0,0,"2,979",96,48,0,0,"2,585,970"
          Bureau of Local Government Finance,"10,925","4,576","2,473",0,"9,618","7,002",0,0,"2,570","14,182","1,519",0,0,750,0,"26,484",0,0,0,0,0,0,0,0,0,"80,099"
          Bureau of the Treasury,"5,108","7,692","11,975",266,"9,594","15,302",0,0,"34,102","1,404","2,596",0,0,"7,705,161",0,"39,222",124,23,504,0,305,0,14,0,0,"7,833,392"
          Central Board of Assessment Appeals,28,98,21,1,261,171,0,0,24,203,170,0,0,11,0,154,0,0,0,0,12,0,0,0,0,"1,154"
          Cooperative Development Authority,"14,742","5,452","5,162",121,"9,097","9,152",0,"108,500","6,389","2,789","2,353",0,0,"2,761",0,"6,211","1,069",221,"7,400",0,180,0,105,0,0,"181,704"
          Insurance Commission,"4,921","4,256","1,901",0,"4,329",372,0,0,"6,926","10,346",72,0,0,526,0,"17,165",0,510,0,0,0,0,"1,063",0,0,"52,387"
          National Tax Research Center,253,334,439,0,"1,113","4,770",0,0,"2,338",441,38,0,0,67,0,"1,118",205,0,90,0,21,0,15,0,0,"11,242"
          Securities and Exchange Commission,"1,173","6,241","12,038",63,"10,478","12,138",0,0,"19,499","1,236","2,289",0,0,"1,915",0,"22,119",0,319,8,0,713,0,918,0,0,"91,147"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"436,449","116,131","192,037","62,460","1,832,727","751,310",2,"324,534","150,573","16,822","12,195","3,000",0,"90,806",0,"240,913","6,131","2,719","155,078",0,"9,879",0,"2,826,716",0,0,"7,230,482"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"432,602","114,570","191,545","62,460","1,830,906","749,891",0,"324,534","148,100","14,161","10,008","3,000",0,"90,703",0,"234,163","5,383","2,713","154,290",0,"9,500",0,"2,826,716",0,0,"7,205,245"
          Foreign Service Institute,318,"1,023",264,0,"1,016","1,236",0,0,"2,473","1,356",827,0,0,38,0,"1,688",217,6,0,0,333,0,0,0,0,"10,795"
          Technical Cooperation Council of the Philippines,342,50,75,0,186,39,2,0,0,747,0,0,0,2,0,79,0,0,131,0,20,0,0,0,0,"1,673"
          UNESCO National Commission of the Philippines,"3,187",488,153,0,619,144,0,0,0,558,"1,360",0,0,63,0,"4,983",531,0,657,0,26,0,0,0,0,"12,769"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"271,182","75,629","259,235","132,450","4,647,792","44,263",0,"1,711,944","457,115","1,155,992","25,153",0,0,"513,016",0,"3,892,994","95,047","147,005","43,298",359,"1,649",10,"2,562","7,228",0,"13,483,923"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"258,478","70,461","256,229","131,802","4,631,462","38,704",0,"1,603,592","449,886","1,023,426","22,307",0,0,"510,797",0,"3,861,014","87,924","123,949","33,499",359,"1,391",10,"2,562","3,606",0,"13,111,458"
          Commission on Population,"3,275","2,324","1,597",68,"6,414","1,616",0,"108,352","5,401","5,976",248,0,0,"1,466",0,"11,458",688,101,0,0,227,0,0,0,0,"149,211"
          National Nutrition Council,"9,429","2,844","1,409",580,"9,916","3,943",0,0,"1,828","126,590","2,598",0,0,753,0,"20,522","6,435","22,955","9,799",0,31,0,0,"3,622",0,"223,254"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"180,643","188,835","858,966","21,527","5,860,834","445,383",0,"515,141","893,215","480,354","7,129",0,"270,029","170,172",0,"350,815","167,948","4,985","9,665",0,"14,026",25,98,"9,686","25,852","10,475,328"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"42,453","27,140","15,776","8,036","51,492","60,778",0,"515,109","35,840","68,189","4,021",0,0,"4,208",0,"188,473","2,611",937,"3,351",0,823,0,38,0,"25,852","1,055,127"
          Bureau of Fire Protection,"13,995","14,313","182,564","1,203","490,720","32,480",0,0,"63,107","15,190",33,0,0,"16,973",0,"7,321","32,592",255,296,0,333,0,0,930,0,"872,305"
          Bureau of Jail Management and Penology,"18,978","7,006","59,389",244,"1,534,402","38,101",0,32,"127,228","11,205",0,0,0,"2,795",0,"2,832","9,461",9,0,0,0,25,0,"3,200",0,"1,814,907"
          Local Government Academy,"2,495","1,938","1,297",99,"4,582","7,499",0,0,"3,981","56,218",110,0,0,622,0,"12,375","1,290",0,0,0,35,0,58,0,0,"92,599"
          National Police Commission,"14,178","9,002","3,853",153,"21,065","24,346",0,0,"15,204","1,900","2,600",0,0,"1,293",0,"23,143",804,6,0,0,450,0,0,0,0,"117,997"
          Philippine National Police,"73,371","123,624","515,553","9,507","3,526,206","264,560",0,0,"611,871","283,013",0,0,"270,029","143,803",0,"72,405","118,836","3,092",0,0,"11,466",0,0,"5,556",0,"6,032,892"
          Philippine Public Safety College,"15,173","5,812","80,534","2,285","232,367","17,619",0,0,"35,984","44,639",365,0,0,478,0,"44,266","2,354",686,"6,018",0,919,0,2,0,0,"489,501"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"134,934","103,970","107,385","3,869","1,122,717","136,041",0,"1,706","211,425","45,490","20,895","159,577",0,"12,452",0,"267,940","6,835","3,094","19,070",0,"6,577",0,"1,317","19,624",411,"2,385,329"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"21,267","21,908","5,509","1,440","39,927","1,009",0,0,"24,475","16,884","4,405","120,477",0,"1,193",0,"65,161",141,872,"6,223",0,"1,438",0,0,"19,624",0,"351,953"
          Bureau of Corrections,"48,623","2,019","48,160",0,"793,893",0,0,"1,500","66,175","2,310",306,0,0,275,0,"3,001","1,600",719,"3,100",0,"1,000",0,500,0,0,"973,181"
          Bureau of Immigration,"6,759","34,835","28,249",7,"44,152","6,292",0,0,"27,807","4,451",201,"6,000",0,"3,452",0,"12,970","2,779",86,128,0,362,0,0,0,0,"178,530"
          Land Registration Authority,"4,782","6,672","3,069",467,"126,112","9,573",0,0,"19,030",315,"1,057",0,0,"2,970",0,"89,670",91,371,"6,757",0,237,0,0,0,102,"271,275"
          National Bureau of Investigation,"31,121","12,012","14,461","1,442","56,062","69,639",0,206,"38,933","7,934","1,500","23,000",0,"1,401",0,"16,491",912,720,0,0,"1,124",0,515,0,309,"277,782"
          Office of the Government Corporate Counsel,147,685,66,0,"1,045","4,585",0,0,"2,418",36,"1,421",0,0,136,0,117,28,0,12,0,45,0,0,0,0,"10,741"
          Office of the Solicitor General,"2,490","12,853","2,583",0,"9,794","30,890",0,0,"15,097","1,153","4,725","2,600",0,931,0,"17,675",168,55,85,0,"1,294",0,0,0,0,"102,393"
          Parole and Probation Administration,"14,944","5,757","2,477",0,"11,306","3,477",0,0,"7,338","7,020","1,517",0,0,687,0,"11,117",791,11,724,0,46,0,2,0,0,"67,214"
          Presidential Commission on Good Government,"1,301","2,209","1,311",13,"4,426","2,697",0,0,"3,834",987,"1,367","7,500",0,758,0,"43,467",25,160,383,0,131,0,0,0,0,"70,569"
          Public Attorney's Office,"3,500","5,020","1,500",500,"36,000","7,879",0,0,"6,318","4,400","4,396",0,0,649,0,"8,271",300,100,"1,658",0,900,0,300,0,0,"81,691"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"157,477","111,875","82,604","33,053","339,368","181,191",32,"668,212","177,152","1,462,779","25,899",0,0,"41,292",0,"459,984","21,489","7,174","90,111",468,"4,794",119,651,39,60,"3,865,823"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"91,725","45,990","23,571","27,253","85,915","106,816",0,"599,516","44,330","49,658","4,367",0,0,"6,733",0,"165,864","11,311","1,736","64,881",0,"1,992",0,317,0,3,"1,331,978"
          Institute for Labor Studies,566,548,467,0,"1,223",116,0,0,995,259,110,0,0,156,0,"1,889",36,50,0,0,107,0,0,0,0,"6,522"
          National Conciliation and Mediation Board,"4,586","3,320","1,991",0,"5,593","8,940",0,0,"3,921","1,919",68,0,0,526,0,"16,615",166,2,"1,988",0,182,0,0,0,0,"49,817"
          National Labor Relations Commission,"2,991","14,913","2,545",90,"6,813","32,017",9,0,"17,340","4,028","9,762",0,0,"1,166",0,"13,413",294,237,251,0,166,0,0,0,0,"106,035"
          National Maritime Polytechnic,"1,793","1,214","4,346",24,"5,019",993,0,7,"3,621",485,108,0,0,"1,089",0,"8,642",562,160,"1,200",0,201,0,12,0,0,"29,476"
          National Wages and Productivity Commission,"4,241","2,355",938,65,"5,087","10,570",0,0,"3,397",879,312,0,0,487,0,"4,730",297,"1,038","7,758",0,267,0,6,0,0,"42,427"
          Philippine Overseas Employment Administration,"5,898","11,504","5,936","3,199","19,299","5,890",0,0,"21,530",668,"5,052",0,0,"2,517",0,"39,359",435,358,"5,833",468,320,0,0,0,0,"128,266"
          Professional Regulation Commission,"9,008","7,521","2,198",0,"75,516","9,676",0,0,"18,333","1,429","2,723",0,0,"1,062",0,"107,952",0,692,833,0,234,0,0,0,0,"237,177"
          Technical Education and Skills Development Authority,"36,669","24,510","40,612","2,422","134,903","6,173",23,"68,689","63,685","1,403,454","3,397",0,0,"27,556",0,"101,520","8,388","2,901","7,367",0,"1,325",119,316,39,57,"1,934,125"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"662,183","243,434","3,820,189","68,406","9,610,677","57,484",820,"132,169","1,561,737","479,002","46,470","49,000","116,544","1,413,214",0,"382,401","23,708","6,518","454,215",764,"11,852","1,940",485,"1,790",30,"19,145,032"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"13,660","17,935","22,166",0,"37,684","5,370",0,105,"17,953","19,822","1,963","33,000",0,"2,016",0,"64,571",776,64,"16,019",0,"1,123",0,0,0,0,"254,227"
          Government Arsenal,"3,001",585,"8,838","1,444","189,036",0,0,0,"16,805","2,843",420,0,0,"36,638",0,"46,746",145,165,688,0,109,0,0,0,0,"307,463"
          National Defense College of the Philippines,"3,971","1,605","2,115",0,"8,438",310,0,0,53,517,"1,672",0,0,327,0,"6,828",496,0,23,0,254,0,1,0,0,"26,610"
          Office of Civil Defense,"27,915","6,232","2,214","2,415","526,218",924,0,0,800,"29,829",162,0,0,"1,458",0,"12,113",76,"1,164","6,860",0,424,0,0,"1,297",0,"620,101"
          Philippine Veterans Affairs Office,"2,612","17,258","17,692",8,"312,887","8,944",0,"131,754","76,723","2,644",679,0,0,764,0,"55,845","1,328",250,"5,351",0,95,0,0,0,0,"634,834"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"2,610","16,339","15,248",8,"33,141","8,944",0,"131,754","9,656","2,456",533,0,0,332,0,"33,989","1,328",250,"5,351",0,58,0,0,0,0,"261,997"
               Veterans Memorial Medical Center,2,919,"2,444",0,"279,746",0,0,0,"67,067",188,146,0,0,432,0,"21,856",0,0,0,0,37,0,0,0,0,"372,837"
,,,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"611,024","199,819","3,767,164","64,539","8,536,414","41,936",820,310,"1,449,403","423,347","41,574","16,000","116,544","1,372,011",0,"196,298","20,887","4,875","425,274",764,"9,847","1,940",484,493,30,"17,301,797"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"114,049","50,871","852,440","14,910","3,579,132","3,460",0,50,"285,331","241,670",311,"16,000","12,521","90,854",0,"11,221","2,105",273,"80,250",0,825,"1,724",41,50,0,"5,358,088"
               Philippine Air Force (Air Force),"332,980","36,738","1,917,878","4,960","1,138,505","2,448",0,0,"296,544","64,194","9,671",0,"12,000","161,980",0,"9,205","8,632","4,185","110,254",50,"4,084",216,284,57,0,"4,114,865"
               Philippine Navy (Naval Forces),"30,900","18,671","741,019","41,012","2,318,471","3,567",0,0,"327,470","33,325","4,876",0,"16,375","18,315",0,"117,323",53,28,"3,795",0,"1,420",0,0,283,0,"3,676,903"
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,,,,,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),"133,095","93,539","255,827","3,657","1,500,306","32,461",820,260,"540,058","84,158","26,716",0,"75,648","1,100,862",0,"58,549","10,097",389,"230,975",714,"3,518",0,159,103,30,"4,151,941"
,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"7,800","6,424","10,557,025",561,"12,982","5,791",0,850,"16,321","7,382","1,351",0,0,"880,961",0,"520,506",677,"1,860",144,0,134,0,15,0,0,"12,020,784"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"7,800","6,424","10,557,025",561,"12,982","5,791",0,850,"16,321","7,382","1,351",0,0,"880,961",0,"520,506",677,"1,860",144,0,134,0,15,0,0,"12,020,784"
,,,,,,,,,,,,,,,,,,,,,,,,,,
