particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A020,A021,A022,A023,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"4,191","2,265","5,285",785,"15,433",0,0,0,"8,873","1,258",395,0,0,420,0,0,"2,063",710,664,"1,101",0,"1,200",0,275,0,0,"44,918"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"2,876",690,"9,863",262,"13,101",227,0,0,"13,547","11,661",100,0,0,"1,919",0,0,"14,038",945,78,"1,072",0,60,0,280,0,0,"70,719"
               Siquijor State College,843,803,896,236,"2,495",0,0,40,"2,955",852,82,0,0,105,0,0,294,0,0,426,0,129,0,100,0,0,"10,256"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"20,324","11,087","68,476","2,518","77,979",917,0,"1,851","45,151","17,302","2,015",0,0,"5,325",0,0,"49,018","2,095",655,"9,166",10,"4,397",0,"1,476",55,75,"319,892"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"1,732","1,368","6,572",0,"5,728",36,0,0,"1,760","2,234",146,0,0,360,0,0,"5,537",518,66,"1,430",0,214,0,434,0,0,"28,135"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"2,100",940,"13,703",12,"7,425",0,0,0,"5,400","4,475",162,0,0,680,0,0,"6,878",350,0,"1,736",0,61,0,150,0,0,"44,072"
               Leyte Normal University,"1,144","2,070","9,900",0,"12,450",0,0,0,"8,550","1,400",122,0,0,798,0,0,"7,937",0,0,0,0,0,0,0,0,0,"44,371"
               Visayas State University (Leyte State University),"3,819","2,418","10,721",0,"10,289",0,0,0,"12,546","1,680",357,0,0,459,0,0,"8,407",652,40,450,0,680,0,77,0,0,"52,595"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"3,874","1,025","2,550","1,525","4,202",151,0,384,"2,047","1,896",375,0,0,170,0,0,"6,068",35,55,"1,661",10,438,0,60,55,75,"26,656"
               Palompon Institute of Technology,"1,750",438,"3,016",242,"4,300",90,0,0,"2,460",750,122,0,0,750,0,0,"1,755",100,260,292,0,71,0,0,0,0,"16,396"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,955",550,"7,067",133,"6,247",95,0,0,"3,573","1,385",110,0,0,700,0,0,"4,449",290,84,"1,268",0,196,0,245,0,0,"28,347"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"1,174",655,"2,640",100,"7,594",100,0,0,"2,400","1,457",122,0,0,394,0,0,"2,470",100,50,0,0,650,0,210,0,0,"20,116"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),"1,300",730,"5,030",198,"11,762",280,0,120,"4,038",600,202,0,0,280,0,0,"1,100",50,100,0,0,"1,120",0,300,0,0,"27,210"
               University of Eastern Philippines,"1,476",893,"7,277",308,"7,982",165,0,"1,347","2,377","1,425",297,0,0,734,0,0,"4,417",0,0,"2,329",0,967,0,0,0,0,"31,994"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"17,919","8,731","15,687","1,157","32,127",411,0,820,"24,948","11,873","1,340",0,0,"2,526",0,0,"26,914",872,650,"1,110",0,944,250,"1,180",250,325,"150,034"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"2,695",888,"1,600",445,"4,325",203,0,150,"1,750","1,170",110,0,0,300,0,0,"1,170",380,345,600,0,400,250,275,250,250,"17,556"
               Jose Rizal Memorial State University,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),"2,494",667,"2,501",150,"5,755",0,0,0,"6,509",880,110,0,0,721,0,0,"2,527",113,30,252,0,17,0,124,0,75,"22,925"
               Western Mindanao State University,"9,739","6,497","5,842",550,"17,485",208,0,670,"11,895","7,866",900,0,0,"1,303",0,0,"18,637",208,275,0,0,254,0,576,0,0,"82,905"
               Zamboanga City State Polytechnic College,997,350,"5,300",12,"1,876",0,0,0,"2,559",295,110,0,0,113,0,0,976,0,0,258,0,0,0,50,0,0,"12,896"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,"1,994",329,444,0,"2,686",0,0,0,"2,235","1,662",110,0,0,89,0,0,"3,604",171,0,0,0,273,0,155,0,0,"13,752"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"15,248","7,805","54,066",241,"51,234",476,"1,537",50,"68,313","20,861","1,846",0,0,"7,125",0,0,"43,117","1,989",708,"4,613",0,"1,630",120,"2,263",0,622,"283,864"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State University,"5,000",600,"4,000",140,"10,869",0,0,50,"10,700","4,000",122,0,0,800,0,0,"5,212",400,400,"1,500",0,350,0,0,0,0,"44,143"
               Camiguin Polytechnic State College,581,540,"2,410",0,"4,072",0,0,0,"2,000",613,110,0,0,102,0,0,0,0,0,0,0,230,0,64,0,0,"10,722"
               Central Mindanao University,"3,500","1,860","28,775",0,"17,182",0,"1,537",0,"9,240","2,910",310,0,0,"1,609",0,0,"4,500",300,0,920,0,20,0,100,0,0,"72,763"
               Mindanao University of Science and Technology,"1,263",837,"6,087",0,"3,779",270,0,0,"14,878","2,162",162,0,0,"3,091",0,0,"4,410",506,135,"1,470",0,775,0,253,0,0,"40,078"
               MSU-Iligan Institute of Technology,"3,499","3,568","10,844",15,"12,281",26,0,0,"30,304","8,952",910,0,0,"1,248",0,0,"26,900",663,13,473,0,155,0,"1,646",0,622,"102,119"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,"1,000",200,"1,300",0,"1,572",80,0,0,741,"1,662",122,0,0,180,0,0,"1,508",80,80,0,0,60,120,200,0,0,"8,905"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,405,200,650,86,"1,479",100,0,0,450,562,110,0,0,95,0,0,587,40,80,250,0,40,0,0,0,0,"5,134"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,"7,150","3,630","11,081",83,"26,520",167,0,550,"19,237","10,250",440,0,0,940,0,0,"23,610",420,64,"3,766",0,500,0,470,100,0,"108,978"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,700,390,"1,196",23,"1,635",0,0,0,"2,410",700,110,0,0,180,0,0,"1,083",70,0,290,0,0,0,120,0,0,"8,907"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"1,600",0,830,0,"4,950",67,0,550,"2,390","2,000",110,0,0,250,0,0,"4,726",0,0,606,0,0,0,0,0,0,"18,079"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,"1,100",200,"1,500",60,"2,400",100,0,0,"2,000",600,110,0,0,100,0,0,"2,406",0,50,0,0,50,0,100,100,0,"10,876"
               University of Southeastern Philippines,"3,750","3,040","7,555",0,"17,535",0,0,0,"12,437","6,950",110,0,0,410,0,0,"15,395",350,14,"2,870",0,450,0,250,0,0,"71,116"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,"9,544","1,619","8,776",481,"23,570",0,0,"19,950","12,969","8,657",562,0,0,"1,194",0,0,"10,127",938,445,"3,300",0,500,0,834,0,0,"103,466"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,735,531,"1,019",262,"1,141",0,0,0,338,890,110,0,0,450,0,0,928,65,29,287,0,356,0,52,0,0,"7,193"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,667,35,516,0,"7,202",0,0,0,872,265,110,0,0,150,0,0,701,73,26,145,0,73,0,72,0,0,"10,907"
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Kudarat Polytechnic State College),"4,694",314,"1,913",219,"6,678",0,0,0,"3,515","2,875",180,0,0,200,0,0,"2,612",800,390,933,0,65,0,435,0,0,"25,823"
               University of Southern Mindanao,"3,448",739,"5,328",0,"8,549",0,0,"19,950","8,244","4,627",162,0,0,394,0,0,"5,886",0,0,"1,935",0,6,0,275,0,0,"59,543"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,"7,085","1,933","22,262",370,"21,128",100,0,10,"10,501","7,939","2,837",0,0,"3,082",0,0,"17,488",960,445,763,0,413,50,210,0,0,"97,576"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,780,100,550,50,"2,856",30,0,10,750,350,110,0,0,50,0,0,"1,150",30,60,30,0,30,50,100,0,0,"7,086"
               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology),"1,871",848,"4,059",0,"7,101",0,0,0,"3,440","1,944",947,0,0,462,0,0,"7,217",425,50,433,0,0,0,50,0,0,"28,847"
               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),"2,594",290,"11,811",300,"6,446",0,0,0,"2,221","2,825","1,410",0,0,470,0,0,"4,691",505,220,0,0,303,0,0,0,0,"34,086"
               Surigao State College of Technology,"1,840",695,"5,842",20,"4,725",70,0,0,"4,090","2,820",370,0,0,"2,100",0,0,"4,430",0,115,300,0,80,0,60,0,0,"27,557"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,"11,203","1,964","6,565",864,"43,129",888,38,"2,998","32,509","4,232","1,860",0,0,"1,189",0,0,"4,173","1,812",229,"1,209",0,"1,478",0,586,153,351,"117,430"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,283,40,54,9,199,72,0,12,111,56,122,0,0,0,0,0,220,9,3,45,0,0,0,15,15,203,"1,468"
               Basilan State College,"1,335",360,500,110,"2,000",100,0,245,"3,720",169,500,0,0,183,0,0,"1,000",0,130,271,0,115,0,110,138,0,"10,986"
               Mindanao State University,"4,265",854,"3,860",446,"30,147",666,38,"2,164","26,321","2,562",588,0,0,974,0,0,"2,723",977,70,226,0,533,0,251,0,148,"77,813"
               MSU-Tawi-Tawi College of Technology and Oceanography,"1,053",200,359,0,"6,197",0,0,300,400,700,364,0,0,0,0,0,100,0,0,200,0,100,0,0,0,0,"9,973"
               Sulu State College,"3,280",300,"1,380",120,"3,905",0,0,0,"1,230",300,68,0,0,0,0,0,120,800,0,350,0,210,0,110,0,0,"12,173"
               Tawi-Tawi Regional Agricultural College,987,210,412,179,681,50,0,277,727,445,218,0,0,32,0,0,10,26,26,117,0,520,0,100,0,0,"5,017"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"92,180","13,658","19,366",300,"39,376","13,890","93,170","46,000","33,824","23,061","2,556",0,0,"515,459",0,0,"532,504","6,561","28,162","20,328",0,"9,638",0,"1,450",0,0,"1,491,483"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"92,180","13,658","19,366",300,"39,376","13,890","93,170","46,000","33,824","23,061","2,556",0,0,"515,459",0,0,"532,504","6,561","28,162","20,328",0,"9,638",0,"1,450",0,0,"1,491,483"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"1,232,642","208,424","723,084","20,708","1,168,099","44,764",0,"2,821","184,544","358,796","11,407","13,950",0,"37,510",0,0,"6,217,738","48,037","29,816","102,984",0,"8,933","1,242,622",938,528,0,"11,658,345"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,044,935","184,103","592,877","2,580","891,555","28,866",0,"2,821","142,791","292,232","8,163","13,950",0,"22,101",0,0,"4,369,937","26,291","25,580","75,232",0,"3,947","1,114,983",775,528,0,"8,844,247"
          Environmental Management Bureau,"40,995","7,410","59,908",155,"95,271","5,529",0,0,"10,897","29,818","1,614",0,0,"3,836",0,0,"173,763","15,887","2,744","11,508",0,172,0,0,0,0,"459,507"
          Mines and Geo-Sciences Bureau,"86,331","8,336","37,210",627,"53,973","8,604",0,0,"20,655","26,636","1,520",0,0,"2,573",0,0,"203,159","1,782","1,368","4,118",0,"4,144","1,961",163,0,0,"463,160"
          National Mapping and Resource Information Authority,"50,526","6,940","31,354","17,141","120,843",960,0,0,"7,538","9,310",0,0,0,"8,650",0,0,"1,448,917","3,645",74,"11,763",0,450,"125,678",0,0,0,"1,843,789"
          National Water Resources Board,"3,819","1,160",630,20,"2,114",75,0,0,"1,873",470,110,0,0,350,0,0,"9,558",432,50,363,0,35,0,0,0,0,"21,059"
          Palawan Council for Sustainable Development Staff,"6,036",475,"1,105",185,"4,343",730,0,0,790,330,0,0,0,0,0,0,"12,404",0,0,0,0,185,0,0,0,0,"26,583"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"575,227","225,925","1,059,127","12,918","772,207","577,353","182,617",0,"484,443","124,317","21,763","15,500",0,"62,339","15,518,556","2,182,808","1,177,733","43,963","31,731","6,128",0,"14,805",158,"4,966",0,0,"23,094,584"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"10,657","5,838","14,564",0,"15,952","12,582",0,0,"39,103","5,104","3,252","1,000",0,"22,242",0,0,"282,361",373,40,"1,141",0,"8,942",158,"1,779",0,0,"425,088"
          Bureau of Customs,"19,702","37,507","610,100","3,871","117,179","6,697",0,0,"178,925","12,350","5,061","4,500",0,"6,452","6,532,475",0,"66,052","36,910","1,500",0,0,500,0,0,0,0,"7,639,781"
          Bureau of Internal Revenue,"500,515","127,450","393,651","8,389","598,388","507,005","182,617",0,"187,135","69,810","3,798","10,000",0,"22,005","8,986,081","2,182,808","710,634","4,872","23,570",0,0,"4,478",0,598,0,0,"14,523,804"
          Bureau of Local Government Finance,"11,699","3,870","3,111",0,"4,811","8,589",0,0,"5,947","11,727","1,830",0,0,"1,154",0,0,"10,497",0,0,0,0,0,0,0,0,0,"63,235"
          Bureau of the Treasury,"5,520","30,223","24,488",420,"10,197","18,684",0,0,"34,433","7,478","2,596",0,0,"3,566",0,0,"52,321",150,320,336,0,205,0,0,0,0,"190,937"
          Central Board of Assessment Appeals,75,117,50,0,270,170,0,0,60,150,110,0,0,20,0,0,160,0,0,0,0,30,0,0,0,0,"1,212"
          Cooperative Development Authority,"20,344","7,049","4,214",75,"9,283","7,712",0,0,"7,544","5,780","2,292",0,0,"2,417",0,0,"7,118","1,378","2,497","4,138",0,206,0,165,0,0,"82,212"
          Insurance Commission,"5,075","5,600","4,530",0,"5,700",550,0,0,"7,151","8,400",122,0,0,"1,450",0,0,"32,749",0,"1,700",0,0,0,0,"1,750",0,0,"74,777"
          National Tax Research Center,470,806,650,0,"1,700","4,945",0,0,"2,400",200,110,0,0,80,0,0,750,280,10,88,0,40,0,20,0,0,"12,549"
          Securities and Exchange Commission,"1,170","7,465","3,769",163,"8,727","10,419",0,0,"21,745","3,318","2,592",0,0,"2,953",0,0,"15,091",0,"2,094",425,0,404,0,654,0,0,"80,989"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"545,078","160,525","163,533","95,217","2,384,028","812,192",0,"186,759","135,407","74,103","4,309",0,0,"76,523",0,0,"224,073","18,811","15,009","193,521",0,"15,979",0,0,0,0,"5,105,067"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"540,854","159,309","163,138","95,217","2,381,550","810,765",0,"186,759","132,907","71,136","3,542",0,0,"76,349",0,0,"217,693","17,026","14,980","192,481",0,"15,538",0,0,0,0,"5,079,244"
          Foreign Service Institute,"1,411",596,245,0,"1,443","1,227",0,0,"2,500","1,271",422,0,0,124,0,0,"1,680",520,24,0,0,400,0,0,0,0,"11,863"
          Technical Cooperation Council of the Philippines,75,18,0,0,80,50,0,0,0,21,0,0,0,0,0,0,"2,800",0,0,40,0,16,0,0,0,0,"3,100"
          UNESCO National Commission of the Philippines,"2,738",602,150,0,955,150,0,0,0,"1,675",345,0,0,50,0,0,"1,900","1,265",5,"1,000",0,25,0,0,0,0,"10,860"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"343,586","146,840","249,011","63,928","10,450,550","24,679",0,"13,588,058","544,002","3,467,323","19,299",0,0,"65,821",0,0,"1,619,729","87,245","141,575","93,148",705,"4,686",0,723,"9,279",0,"30,920,187"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"316,392","141,462","244,214","57,547","10,431,473","21,776",0,"13,462,327","535,311","3,451,646","19,025",0,0,"63,862",0,0,"1,493,367","62,009","93,339","42,348",705,"4,326",0,680,330,0,"30,442,139"
          Commission on Population,"12,373","2,953","2,702",301,"7,656","2,104",0,"125,731","6,171","14,777",152,0,0,"1,491",0,0,"20,070",579,356,0,0,318,0,43,0,0,"197,777"
          National Nutrition Council,"14,821","2,425","2,095","6,080","11,421",799,0,0,"2,520",900,122,0,0,468,0,0,"106,292","24,657","47,880","50,800",0,42,0,0,"8,949",0,"280,271"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"368,510","276,960","1,118,793","27,070","6,219,655","440,163",0,"4,079,377","1,065,902","694,592","7,764","20,000","306,029","197,768",0,0,"253,602","178,799","8,240","10,551",212,"21,774","1,377",305,"10,339",0,"15,307,782"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"107,127","66,730","40,920","3,041","74,026","87,281",0,"4,079,315","57,590","114,505","4,472","20,000",0,"8,446",0,0,"89,207","14,836",599,"1,610",0,603,0,20,0,0,"4,770,328"
          Bureau of Fire Protection,"16,997","19,021","222,800","2,252","561,934","32,620",0,0,"69,550","15,000",0,0,0,"27,050",0,0,"10,287","34,758","3,952",0,212,255,0,0,"2,518",0,"1,019,206"
          Bureau of Jail Management and Penology,"19,100","10,310","86,132","3,445","1,733,418","10,000",0,62,"124,800","10,350",0,0,0,"50,845",0,0,"7,417","7,892",582,0,0,0,"1,071",0,"2,587",0,"2,068,011"
          Local Government Academy,"1,393","2,143","2,813",93,"5,250","7,500",0,0,"2,895","51,962",110,0,0,300,0,0,"7,047","1,050",0,0,0,30,0,50,0,0,"82,636"
          National Police Commission,"13,624","11,037","6,767",540,"25,471","28,010",0,0,"16,715","3,380","2,518",0,0,"1,438",0,0,"20,522",480,362,0,0,235,0,0,0,0,"131,099"
          Philippine National Police,"161,346","161,180","705,089","17,341","3,655,531","250,658",0,0,"754,980","378,861",0,0,"306,029","109,127",0,0,"85,242","109,850","2,558",0,0,"19,891",0,0,"5,234",0,"6,722,917"
          Philippine Public Safety College,"48,923","6,539","54,272",358,"164,025","24,094",0,0,"39,372","120,534",664,0,0,562,0,0,"33,880","9,933",187,"8,941",0,760,306,235,0,0,"513,585"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"156,777","114,584","107,247","7,664","1,303,720","85,397",0,"2,206","222,369","61,613","23,526","189,285",0,"16,676",0,0,"334,539","13,573","9,246","68,374",0,"6,927",450,"2,349","24,000","2,909","2,753,431"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"26,953","20,648","7,900","4,574","44,563","1,622",0,0,"22,137","33,332","4,961","163,285",0,"3,061",0,0,"131,156","7,018","7,071","56,820",0,"1,045",400,"1,034","24,000","2,600","564,180"
          Bureau of Corrections,"61,872","3,135","50,392",0,"920,313",0,0,"2,000","72,922","5,000",306,0,0,275,0,0,"10,360","1,600",720,"5,000",0,"1,000",0,500,0,0,"1,135,395"
          Bureau of Immigration,"6,759","44,287","14,580",0,"42,500","7,500",0,0,"24,580","5,000",201,"8,000",0,"3,452",0,0,"16,100","2,500",93,138,0,363,0,0,0,0,"176,053"
          Land Registration Authority,"5,500","4,254","2,600","1,040","165,310","8,700",0,0,"22,360",150,"2,056",0,0,"5,500",0,0,"38,350",52,208,"3,224",0,200,0,0,0,0,"259,504"
          National Bureau of Investigation,"32,334","13,067","15,039","1,500","62,438","4,159",0,206,"42,069","2,754","1,500","18,000",0,"1,401",0,0,"87,308",948,749,0,0,"1,124",0,515,0,309,"285,420"
          Office of the Government Corporate Counsel,150,720,100,0,"1,200","4,822",0,0,"2,250",100,"1,504",0,0,150,0,0,360,25,0,0,0,80,0,0,0,0,"11,461"
          Office of the Solicitor General,"2,475","14,215","6,400",0,"10,600","45,312",0,0,"16,185","3,513","5,592",0,0,"1,000",0,0,"8,079",250,200,250,0,"1,912",0,0,0,0,"115,983"
          Parole and Probation Administration,"15,084","5,739","2,936",0,"11,196","4,220",0,0,"7,904","7,214","1,520",0,0,687,0,0,"11,182",830,21,784,0,53,0,0,0,0,"69,370"
          Presidential Commission on Good Government,"1,500","3,500","5,800",50,"4,600",600,0,0,"3,600",150,"1,490",0,0,500,0,0,"23,557",50,84,500,0,250,50,0,0,0,"46,281"
          Public Attorney's Office,"4,150","5,019","1,500",500,"41,000","8,462",0,0,"8,362","4,400","4,396",0,0,650,0,0,"8,087",300,100,"1,658",0,900,0,300,0,0,"89,784"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"206,220","119,975","107,961","34,184","297,443","238,720",0,"823,755","209,971","1,180,926","19,206",0,0,"23,155",0,0,"511,265","35,328","15,843","76,570",600,"4,545",0,"1,824",0,"2,213","3,909,704"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"125,786","55,723","34,381","26,767","69,709","126,044",0,"791,580","35,150","67,556","5,034",0,0,"6,461",0,0,"177,109","20,352","4,542","50,330",0,"1,449",0,145,0,0,"1,598,118"
          Institute for Labor Studies,931,734,589,0,"1,325",275,0,0,"1,150",285,110,0,0,138,0,0,"2,140",350,70,0,0,130,0,0,0,0,"8,227"
          National Conciliation and Mediation Board,"5,944","4,325","2,122",0,"6,034","11,073",0,0,"4,256","4,855",122,0,0,943,0,0,"17,839","1,211",290,"3,226",0,206,0,0,0,0,"62,446"
          National Labor Relations Commission,"6,617","16,320","2,545",706,"11,271","35,496",0,0,"17,474","4,881","5,970",0,0,"1,946",0,0,"17,279","1,140",800,100,0,50,0,0,0,0,"122,595"
          National Maritime Polytechnic,"1,769","1,390","4,268",154,"5,780","1,580",0,57,"4,584",485,82,0,0,"1,839",0,0,"9,551","1,200",160,"1,200",0,201,0,60,0,0,"34,360"
          National Wages and Productivity Commission,"4,828","2,894","1,201",140,"6,326","13,017",0,0,"4,507","1,253",588,0,0,558,0,0,"8,489",485,"1,523","9,012",0,301,0,50,0,0,"55,172"
          Philippine Overseas Employment Administration,"8,429","8,484","5,781","3,996","20,673","7,147",0,0,"23,552","4,892","3,321",0,0,"3,077",0,0,"36,594",393,329,"7,478",600,403,0,0,0,0,"135,149"
          Professional Regulation Commission,"17,500","8,917","2,500",0,"73,000","37,372",0,0,"22,000","3,100","1,888",0,0,"1,971",0,0,"139,238",0,"3,400",870,0,228,0,0,0,0,"311,984"
          Technical Education and Skills Development Authority,"34,416","21,188","54,574","2,421","103,325","6,716",0,"32,118","97,298","1,093,619","2,091",0,0,"6,222",0,0,"103,026","10,197","4,729","4,354",0,"1,577",0,"1,569",0,"2,213","1,581,653"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"599,342","288,411","4,849,362","153,672","9,985,225","70,746",13,"153,488","1,727,797","450,590","44,323","55,000","214,397","190,456",0,0,"322,672","26,032","4,543","486,477","3,526","13,937","5,287",412,"1,077","201,500","19,848,285"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"21,680","10,341","132,101",0,"65,121","10,000",0,240,"22,200","16,000","2,202","33,000",0,"2,371",0,0,"16,060","1,770",460,"27,400",0,900,0,0,0,0,"361,846"
          Government Arsenal,"2,456",498,"7,400",851,"501,904",0,0,0,"22,950","3,561",119,0,0,"2,081",0,0,"10,937",61,98,476,0,177,0,0,0,0,"553,569"
          National Defense College of the Philippines,"6,472","1,212","1,000",0,"11,050","2,000",0,0,207,369,80,0,0,441,0,0,"6,277",590,0,187,0,"1,174",0,0,0,0,"31,059"
          Office of Civil Defense,"11,497","25,562","13,059","15,050","285,484","1,317",0,20,765,563,162,0,0,"10,046",0,0,"4,383",150,150,"5,364",0,289,0,0,76,"200,000","573,937"
