function_or_program_or_project_or_activity_a,function_or_program_or_project_or_activity_b,appropriation,allotment,obligation,balance_of_appropriation,balance_of_allotments
"Infrastructure-2206 Rehabilitation Roads-220602 La Torre-Casat via Nagragadian Road (Protection Structure, Widening and Cross Drain)-22060205",Maintenance and Other Operating Expenses,6627.57,6627.57,0,0,6627.57
"CVR Aritao-Canabuan Road (Protection Structure, Widening and Cross Drain)-220260206","CVR Aritao-Canabuan Road (Protection Structure, Widening and Cross Drain)-220260206",5642.7,5642.7,0,0,5642.7
"CVR Aritao-Canabuan Road (Protection Structure, Widening and Cross Drain)-220260206",Maintenance and Other Operating Expenses,5642.7,5642.7,0,0,5642.7
Other Road Project (Roads not classified as provincial roads)-220603 CVR junction-aliaga GK Road Improvement-22060305,Other Road Project (Roads not classified as provincial roads)-220603 CVR junction-aliaga GK Road Improvement-22060305,3137.7,3137.7,0,0,3137.7
Other Road Project (Roads not classified as provincial roads)-220603 CVR junction-aliaga GK Road Improvement-22060305,Maintenance and Other Operating Expenses,3137.7,3137.7,0,0,3137.7
"Construction of Bridges-220604 2 Unit Hanging, Dupax Sur-22060401","Construction of Bridges-220604 2 Unit Hanging, Dupax Sur-22060401",2363,2363,0,0,2363
"Construction of Bridges-220604 2 Unit Hanging, Dupax Sur-22060401",Capital Outlay,2363,2363,0,0,2363
CVR Masoc-Ambaguio Road-22060501,CVR Masoc-Ambaguio Road-22060501,311.63,311.63,0,0,311.63
CVR Masoc-Ambaguio Road-22060501,Maintenance and Other Operating Expenses,311.63,311.63,0,0,311.63
Ibung-Nagbitin-Calao Road-22060507,Ibung-Nagbitin-Calao Road-22060507,647.58,647.58,0,0,647.58
Ibung-Nagbitin-Calao Road-22060507,Maintenance and Other Operating Expenses,647.58,647.58,0,0,647.58
Bambang-Salinas-San Fabian Road-22060509,Bambang-Salinas-San Fabian Road-22060509,939.85,939.85,0,0,939.85
Bambang-Salinas-San Fabian Road-22060509,Maintenance and Other Operating Expenses,939.85,939.85,0,0,939.85
CVR Aritao-Comon-Sta. Clara-Canabuan Road-22060514,CVR Aritao-Comon-Sta. Clara-Canabuan Road-22060514,490.47,490.47,0,0,490.47
CVR Aritao-Comon-Sta. Clara-Canabuan Road-22060514,Maintenance and Other Operating Expenses,490.47,490.47,0,0,490.47
CVR Bato-Magapuy-Paitan Road-22060517,CVR Bato-Magapuy-Paitan Road-22060517,64662.34,64662.34,0,0,64662.34
CVR Bato-Magapuy-Paitan Road-22060517,Maintenance and Other Operating Expenses,64662.34,64662.34,0,0,64662.34
Bangan-Tucanon-Tabueng Road-22060519,Bangan-Tucanon-Tabueng Road-22060519,2256.69,2256.69,0,0,2256.69
Bangan-Tucanon-Tabueng Road-22060519,Maintenance and Other Operating Expenses,2256.69,2256.69,0,0,2256.69
Ibung-Careb Road-2206053,Ibung-Careb Road-2206053,15810.25,15810.25,0,0,15810.25
Ibung-Careb Road-2206053,Maintenance and Other Operating Expenses,15810.25,15810.25,0,0,15810.25
Other Road Project (Roads not classified as provincial roads)-220603 CVR junction-aliaga GK Road Improvement-22060305,Other Road Project (Roads not classified as provincial roads)-220603 CVR junction-aliaga GK Road Improvement-22060305,679.5,679.5,0,0,679.5
Other Road Project (Roads not classified as provincial roads)-220603 CVR junction-aliaga GK Road Improvement-22060305,Maintenance and Other Operating Expenses,679.5,679.5,0,0,679.5
Construction of Flood Control Structures-2007 Drainage Rehabilitation and Road Improvement (Presidencia Road)-22060702,Construction of Flood Control Structures-2007 Drainage Rehabilitation and Road Improvement (Presidencia Road)-22060702,43884.1,43884.1,0,0,43884.1
Construction of Flood Control Structures-2007 Drainage Rehabilitation and Road Improvement (Presidencia Road)-22060702,Capital Outlay,43884.1,43884.1,0,0,43884.1
Roads and Bridges Construction (Supplemental Bidget #3)(AO#2008-083)-220608,Roads and Bridges Construction (Supplemental Bidget #3)(AO#2008-083)-220608,1009073.32,947073.32,0,62000,947073.32
Roads and Bridges Construction (Supplemental Bidget #3)(AO#2008-083)-220608,Capital Outlay,1009073.32,947073.32,0,62000,947073.32
Provincial Waterworks Reservior Roofing (PWWS) (Supplemental Budget #3)(AO#2008-83)-220609,Provincial Waterworks Reservior Roofing (PWWS) (Supplemental Budget #3)(AO#2008-83)-220609,203521.77,203521.77,0,0,203521.77
Provincial Waterworks Reservior Roofing (PWWS) (Supplemental Budget #3)(AO#2008-83)-220609,Capital Outlay,203521.77,203521.77,0,0,203521.77
2006-2300 Provincial Commitment-2310 Barangay Development Assistance Program-23104,2006-2300 Provincial Commitment-2310 Barangay Development Assistance Program-23104,171000,171000,0,0,171000
2006-2300 Provincial Commitment-2310 Barangay Development Assistance Program-23104,Maintenance and Other Operating Expenses,171000,171000,0,0,171000
Development Administration-2320 Capability Building Enchancing Skills (PDC RES#4S. 2009-Realignment to Competency Development)-23203,Development Administration-2320 Capability Building Enchancing Skills (PDC RES#4S. 2009-Realignment to Competency Development)-23203,6583,6583,0,0,6583
Development Administration-2320 Capability Building Enchancing Skills (PDC RES#4S. 2009-Realignment to Competency Development)-23203,Maintenance and Other Operating Expenses,6583,6583,0,0,6583
"Rewards and Incentives, Reg. Awards Program-23204","Rewards and Incentives, Reg. Awards Program-23204",159708.5,159708.5,0,0,159708.5
"Rewards and Incentives, Reg. Awards Program-23204",Maintenance and Other Operating Expenses,159708.5,159708.5,0,0,159708.5
ICHRP(Integrated Comprehensive Human Resource Development Program)-23205,ICHRP(Integrated Comprehensive Human Resource Development Program)-23205,45750,45750,0,0,45750
ICHRP(Integrated Comprehensive Human Resource Development Program)-23205,Maintenance and Other Operating Expenses,45750,45750,0,0,45750
Organizational Diagnosis-23207,Organizational Diagnosis-23207,4614.75,4614.75,0,0,4614.75
Organizational Diagnosis-23207,Maintenance and Other Operating Expenses,4614.75,4614.75,0,0,4614.75
Enhancing Skills-23208,Enhancing Skills-23208,9017,9017,0,0,9017
Enhancing Skills-23208,Maintenance and Other Operating Expenses,9017,9017,0,0,9017
Tax Mapping Project-23209,Tax Mapping Project-23209,3510.48,3510.48,0,0,3510.48
Tax Mapping Project-23209,Maintenance and Other Operating Expenses,3510.48,3510.48,0,0,3510.48
Development of Recruitment and Promotion Manual-23210,Development of Recruitment and Promotion Manual-23210,22504,22504,0,0,22504
Development of Recruitment and Promotion Manual-23210,Maintenance and Other Operating Expenses,22504,22504,0,0,22504
Document Processing and Tracking System-23211,Document Processing and Tracking System-23211,1597.06,1597.06,0,0,1597.06
Document Processing and Tracking System-23211,Maintenance and Other Operating Expenses,1597.06,1597.06,0,0,1597.06
Development of Government System Operational Manula-23212,Development of Government System Operational Manula-23212,441,441,0,0,441
Development of Government System Operational Manula-23212,Maintenance and Other Operating Expenses,441,441,0,0,441
Guidance and Counseling-23214,Guidance and Counseling-23214,1500,1500,0,0,1500
Guidance and Counseling-23214,Maintenance and Other Operating Expenses,1500,1500,0,0,1500
Legal Claims and Perfection of Ownership of Real Property in Nueva Vizcaya-23216,Legal Claims and Perfection of Ownership of Real Property in Nueva Vizcaya-23216,60279.56,60279.56,0,0,60279.56
Legal Claims and Perfection of Ownership of Real Property in Nueva Vizcaya-23216,Maintenance and Other Operating Expenses,60279.56,60279.56,0,0,60279.56
Lets Talk About Tax-23217,Lets Talk About Tax-23217,20000,20000,0,0,20000
Lets Talk About Tax-23217,Maintenance and Other Operating Expenses,20000,20000,0,0,20000
"Social Development-2330 Provision of X-ray Building and Installation of X-ray Unit (PDC EXECOM RES. #5S. 2008 from SIDCOM 2004 LTMH Access Road P100,000)-23301","Social Development-2330 Provision of X-ray Building and Installation of X-ray Unit (PDC EXECOM RES. #5S. 2008 from SIDCOM 2004 LTMH Access Road P100,000)-23301",24184.69,24184.69,0,0,24184.69
"Social Development-2330 Provision of X-ray Building and Installation of X-ray Unit (PDC EXECOM RES. #5S. 2008 from SIDCOM 2004 LTMH Access Road P100,000)-23301",Maintenance and Other Operating Expenses,24184.69,24184.69,0,0,24184.69
Construction of Cafeteria-23304,Construction of Cafeteria-23304,24854.63,24854.63,0,0,24854.63
Construction of Cafeteria-23304,Maintenance and Other Operating Expenses,24854.63,24854.63,0,0,24854.63
Replacement of Water Pipelines and Search for Potable Water Source-23305,Replacement of Water Pipelines and Search for Potable Water Source-23305,39763.75,39763.75,0,0,39763.75
Replacement of Water Pipelines and Search for Potable Water Source-23305,Maintenance and Other Operating Expenses,39763.75,39763.75,0,0,39763.75
Purchase of Diagnostic Equipment-23306,Purchase of Diagnostic Equipment-23306,1703.33,1703.33,0,0,1703.33
Purchase of Diagnostic Equipment-23306,Maintenance and Other Operating Expenses,1703.33,1703.33,0,0,1703.33
Purchase of Diagnostic Equipment-23306,Purchase of Diagnostic Equipment-23306,2136.89,2136.89,0,0,2136.89
Purchase of Diagnostic Equipment-23306,Maintenance and Other Operating Expenses,2136.89,2136.89,0,0,2136.89
Improvement of Nightingale Hall-23308,Improvement of Nightingale Hall-23308,650,650,0,0,650
Improvement of Nightingale Hall-23308,Maintenance and Other Operating Expenses,650,650,0,0,650
Installation of Elevated Stainless Steel Water Tank at PHO-23309,Installation of Elevated Stainless Steel Water Tank at PHO-23309,5242.15,5242.15,0,0,5242.15
Installation of Elevated Stainless Steel Water Tank at PHO-23309,Maintenance and Other Operating Expenses,5242.15,5242.15,0,0,5242.15
Maintenance of Drug Testing Center at PHO-23310,Maintenance of Drug Testing Center at PHO-23310,4814.4,4814.4,0,0,4814.4
Maintenance of Drug Testing Center at PHO-23310,Maintenance and Other Operating Expenses,4814.4,4814.4,0,0,4814.4
Maintenance of Medical and Dental Clinic at PHO-23311,Maintenance of Medical and Dental Clinic at PHO-23311,18751,18751,0,0,18751
Maintenance of Medical and Dental Clinic at PHO-23311,Maintenance and Other Operating Expenses,18751,18751,0,0,18751
Provincial Search for Philippine Health Program-23312,Provincial Search for Philippine Health Program-23312,6.25,6.25,0,0,6.25
Provincial Search for Philippine Health Program-23312,Maintenance and Other Operating Expenses,6.25,6.25,0,0,6.25
BHW Upgrading-23314,BHW Upgrading-23314,357,357,0,0,357
BHW Upgrading-23314,Maintenance and Other Operating Expenses,357,357,0,0,357
Skill Competition-23315,Skill Competition-23315,99072,99072,0,0,99072
Skill Competition-23315,Maintenance and Other Operating Expenses,99072,99072,0,0,99072
Scholarship Program (TESDA)-23316,Scholarship Program (TESDA)-23316,11760,11760,0,0,11760
Scholarship Program (TESDA)-23316,Maintenance and Other Operating Expenses,11760,11760,0,0,11760
Scholarship Program (SP)-23317,Scholarship Program (SP)-23317,681,681,0,0,681
Scholarship Program (SP)-23317,Maintenance and Other Operating Expenses,681,681,0,0,681
Award and Incentives-23318,Award and Incentives-23318,6400,6400,0,0,6400
Award and Incentives-23318,Maintenance and Other Operating Expenses,6400,6400,0,0,6400
Family and Community Welfare and Development Project-23320,Family and Community Welfare and Development Project-23320,487.78,487.78,0,0,487.78
Family and Community Welfare and Development Project-23320,Maintenance and Other Operating Expenses,487.78,487.78,0,0,487.78
Early Childhood Care and Development (Elderly)-23322,Early Childhood Care and Development (Elderly)-23322,371.5,371.5,0,0,371.5
Early Childhood Care and Development (Elderly)-23322,Maintenance and Other Operating Expenses,371.5,371.5,0,0,371.5
Disabled Persons Welfare Development Project (Elderly)-23323,Disabled Persons Welfare Development Project (Elderly)-23323,306.92,306.92,0,0,306.92
Disabled Persons Welfare Development Project (Elderly)-23323,Maintenance and Other Operating Expenses,306.92,306.92,0,0,306.92
Disabled Persons Welfare Development Project (Person with Diasability)-23324,Disabled Persons Welfare Development Project (Person with Diasability)-23324,447.75,447.75,0,0,447.75
Disabled Persons Welfare Development Project (Person with Diasability)-23324,Maintenance and Other Operating Expenses,447.75,447.75,0,0,447.75
Population Management Program-23325,Population Management Program-23325,240,240,0,0,240
Population Management Program-23325,Maintenance and Other Operating Expenses,240,240,0,0,240
Disaster Preparedness and Management Program-23326,Disaster Preparedness and Management Program-23326,510,510,0,0,510
Disaster Preparedness and Management Program-23326,Maintenance and Other Operating Expenses,510,510,0,0,510
Econimic Development-2340 Agriculture-2341 Exotic Fruit Tree and Vegetable Seedlings Production-234102,Econimic Development-2340 Agriculture-2341 Exotic Fruit Tree and Vegetable Seedlings Production-234102,4001.55,4001.55,0,0,4001.55
Econimic Development-2340 Agriculture-2341 Exotic Fruit Tree and Vegetable Seedlings Production-234102,Maintenance and Other Operating Expenses,4001.55,4001.55,0,0,4001.55
Coconut Seedling Production-23104,Coconut Seedling Production-23104,1417.37,1417.37,0,0,1417.37
Coconut Seedling Production-23104,Maintenance and Other Operating Expenses,1417.37,1417.37,0,0,1417.37
Tissue Cultured Banana Plantlets-234105,Tissue Cultured Banana Plantlets-234105,76690.12,76690.12,0,0,76690.12
Tissue Cultured Banana Plantlets-234105,Maintenance and Other Operating Expenses,76690.12,76690.12,0,0,76690.12
Technical Assistance on Forest Land Use-23501,Technical Assistance on forest Land Use-23501,94986.81,94986.81,0,0,94986.81
Technical Assistance on Forest Land Use-23501,Maintenance and Other Operating Expenses,94986.81,94986.81,0,0,94986.81
Infrastructure-2360 Others-2365 GK Road Network-23501 Improvement of Dupax LK Road-23650101,Infrastructure-2360 Others-2365 GK Road Network-23501 Improvement of Dupax LK Road-23650101,4586.69,4586.69,0,0,4586.69
Infrastructure-2360 Others-2365 GK Road Network-23501 Improvement of Dupax LK Road-23650101,Capital Outlay,4586.69,4586.69,0,0,4586.69
Multi-Purpose Pavement Bascaran GK-23650102,Multi-Purpose Pavement Bascaran GK-23650102,4227.05,4227.05,0,0,4227.05
Multi-Purpose Pavement Bascaran GK-23650102,Capital Outlay,4227.05,4227.05,0,0,4227.05
Improvement of CVR-Aliaga GK Road-23650103,Improvement of CVR-Aliaga GK Road-23650103,4954.01,4954.01,0,0,4954.01
Improvement of CVR-Aliaga GK Road-23650103,Capital Outlay,4954.01,4954.01,0,0,4954.01
Improvement of Diadi GK Road-23650104,Improvement of Diadi GK Road-23650104,3953.04,3953.04,0,0,3953.04
Improvement of Diadi GK Road-23650104,Capital Outlay,3953.04,3953.04,0,0,3953.04
Flood Control and Drainage-2366 Provincial Flood Control and Drainage MPDP-236602,Flood Control and Drainage-2366 Provincial Flood Control and Drainage MPDP-236602,122373,122373,0,0,122373
Flood Control and Drainage-2366 Provincial Flood Control and Drainage MPDP-236602,Maintenance and Other Operating Expenses,122373,122373,0,0,122373
2009-2400 Provincial Commitment-2401 Municipal Development Assistance Project-Go-Exec-240102,2009-2400 Provincial Commitment-2401 Municipal Development Assistance Project-Go-Exec-240102,2297896.19,2297896.19,293905.71,0,2003990.48
2009-2400 Provincial Commitment-2401 Municipal Development Assistance Project-Go-Exec-240102,Maintenance and Other Operating Expenses,2297896.19,2297896.19,293905.71,0,2003990.48
PDC Operation-PPDO-240104,PDC Operation-PPDO-240104,346825,50123,0,296702,50123
PDC Operation-PPDO-240104,Maintenance and Other Operating Expenses,346825,50123,0,296702,50123
Investment Promotion-PPDO-240105,Investment Promotion-PPDO-240105,100000,100000,0,0,100000
Investment Promotion-PPDO-240105,Maintenance and Other Operating Expenses,100000,100000,0,0,100000
Local Legislative Research Assessment and Oversight-SP-240107,Local Legislative Research Assessment and Oversight-SP-240107,321.05,321.05,0,0,321.05
Local Legislative Research Assessment and Oversight-SP-240107,Maintenance and Other Operating Expenses,321.05,321.05,0,0,321.05
Spanish Exchange Project-Go-IT Divisin-240108,Spanish Exchange Project-Go-IT Divisin-240108,114425.95,14425.95,0,100000,14425.95
Spanish Exchange Project-Go-IT Divisin-240108,Maintenance and Other Operating Expenses,114425.95,14425.95,0,100000,14425.95
Establish of Gawad Kalinga Sites-Go Housing/GK-240109,Establish of Gawad Kalinga Sites-Go Housing/GK-240109,1849200.14,1849200.14,194446.6,0,1654753.54
Establish of Gawad Kalinga Sites-Go Housing/GK-240109,Maintenance and Other Operating Expenses,1791200.14,1791200.14,194446.6,0,1596753.54
Establish of Gawad Kalinga Sites-Go Housing/GK-240109,Capital Outlay,58000,58000,0,0,58000
Agriculture Facilities Development-OPAG-240110,Agriculture Facilities Development-OPAG-240110,33337,11637,0,21700,11637
Agriculture Facilities Development-OPAG-240110,Maintenance and Other Operating Expenses,33337,11637,0,21700,11637
Repair and Maint of Irrigation System-240111,Repair and Maint of Irrigation System-240111,220562.54,220562.54,0,0,220562.54
Repair and Maint of Irrigation System-240111,Maintenance and Other Operating Expenses,220562.54,220562.54,0,0,220562.54
Lower Magat Eco Tourism Park Project-PLGU-LMET-240112,Lower Magat Eco Tourism Park Project-PLGU-LMET-240112,25218.9,25218.9,0,0,25218.9
Lower Magat Eco Tourism Park Project-PLGU-LMET-240112,Maintenance and Other Operating Expenses,25218.9,25218.9,0,0,25218.9
Panagyaman-PLGU-Governor's Office-Go-Exec-240201,Panagyaman-PLGU-Governor's Office-Go-Exec-240201,9559.7,9559.7,0,0,9559.7
Panagyaman-PLGU-Governor's Office-Go-Exec-240201,Maintenance and Other Operating Expenses,9559.7,9559.7,0,0,9559.7
Development Administration Sector-2402 Management Development Support Project-GO-EXEC-240201,Development Administration Sector-2402 Management Development Support Project-GO-EXEC-240201,11747.13,11747.13,0,0,11747.13
Development Administration Sector-2402 Management Development Support Project-GO-EXEC-240201,Maintenance and Other Operating Expenses,11747.13,11747.13,0,0,11747.13
5S of Good Housekeeping-PA's Office-240202,5S of Good Housekeeping-PA's Office-240202,43169.25,18169.25,0,25000,18169.25
5S of Good Housekeeping-PA's Office-240202,Maintenance and Other Operating Expenses,43169.25,18169.25,0,25000,18169.25
Departmental Re-engineering-PA's Office-240203,Departmental Re-engineering-PA's Office-240203,50000,50000,0,0,50000
Departmental Re-engineering-PA's Office-240203,Maintenance and Other Operating Expenses,50000,50000,0,0,50000
Project Management Cycle-PA's Office-240204,Project Management Cycle-PA's Office-240204,50000,25000,0,25000,25000
Project Management Cycle-PA's Office-240204,Maintenance and Other Operating Expenses,50000,25000,0,25000,25000
Documents Processing ABD Tracking System-PA's Office-240205,Documents Processing abd tracking System-PA's Office-240205,34790,34790,0,0,34790
Documents Processing ABD Tracking System-PA's Office-240205,Maintenance and Other Operating Expenses,34790,34790,0,0,34790
Development of Government Operation Manual-PA/IASO-240206,Development of Government Operation Manual-PA/IASO-240206,50000,25000,0,25000,25000
Development of Government Operation Manual-PA/IASO-240206,Maintenance and Other Operating Expenses,50000,25000,0,25000,25000
IEC on Government System and Procedures-PA/IASO-240207,IEC on Government System and Procedures-PA/IASO-240207,8931.09,8931.09,0,0,8931.09
IEC on Government System and Procedures-PA/IASO-240207,Maintenance and Other Operating Expenses,8931.09,8931.09,0,0,8931.09
Taripnong-Go-PAIAD-240208,Taripnong-Go-PAIAD-240208,88950,38950,0,50000,38950
Taripnong-Go-PAIAD-240208,Maintenance and Other Operating Expenses,88950,38950,0,50000,38950
Updating of Integrated PPFP/CDF/PDIP-PPDO-240209,Updating of Integrated PPFP/CDF/PDIP-PPDO-240209,150000,0,0,150000,0
Updating of Integrated PPFP/CDF/PDIP-PPDO-240209,Maintenance and Other Operating Expenses,150000,0,0,150000,0
Sustaining CSO/POS Collaborative Program-PPDO/COS-240210,Sustaining CSO/POS Collaborative Program-PPDO/COS-240210,45000,1000,0,44000,1000
Sustaining CSO/POS Collaborative Program-PPDO/COS-240210,Maintenance and Other Operating Expenses,45000,1000,0,44000,1000
Barangay Treasurer's Capabilities Building Project-PTO-240211,Barangay Treasurer's Capabilities Building Project-PTO-240211,24836,24836,0,0,24836
Barangay Treasurer's Capabilities Building Project-PTO-240211,Maintenance and Other Operating Expenses,24836,24836,0,0,24836
Examination of Books of Accounts of Business-PTO-240212,Examination of Books of Accounts of Business-PTO-240212,2227.13,2227.13,0,0,2227.13
Examination of Books of Accounts of Business-PTO-240212,Maintenance and Other Operating Expenses,2227.13,2227.13,0,0,2227.13
Tax Information and Education Campaign-PTO-240213,Tax Information and Education Campaign-PTO-240213,4365,4365,0,0,4365
Tax Information and Education Campaign-PTO-240213,Maintenance and Other Operating Expenses,4365,4365,0,0,4365
RPT Raffle Bonanza-PTO-240214,RPT Raffle Bonanza-PTO-240214,25010,10,0,25000,10
RPT Raffle Bonanza-PTO-240214,Maintenance and Other Operating Expenses,25010,10,0,25000,10
Campus Lecture on Real Property Tax-PTO-240215,Campus Lecture on Real Property Tax-PTO-240215,15980,15980,0,0,15980
Campus Lecture on Real Property Tax-PTO-240215,Maintenance and Other Operating Expenses,15980,15980,0,0,15980
Application and Administrative Remedies in Collection of RPT Delinquents-PTO-240216,Application and Administrative Remedies in Collection of RPT Delinquents-PTO-240216,2850.37,2850.37,0,0,2850.37
Application and Administrative Remedies in Collection of RPT Delinquents-PTO-240216,Maintenance and Other Operating Expenses,2850.37,2850.37,0,0,2850.37
Collection Enforcement on RPT/RPT Caravan/Motorcade-PTO-240217,Collection Enforcement on RPT/RPT Caravan/Motorcade-PTO-240217,2150,2150,0,0,2150
Collection Enforcement on RPT/RPT Caravan/Motorcade-PTO-240217,Maintenance and Other Operating Expenses,2150,2150,0,0,2150
General Revision of RPT Assessment-PASSO-240219,General Revision of RPT Assessment-PASSO-240219,1960,1960,0,0,1960
General Revision of RPT Assessment-PASSO-240219,Maintenance and Other Operating Expenses,1960,1960,0,0,1960
Tax Mapping of Kasibu-PASSO-240220,Tax Mapping of Kasibu-PASSO-240220,106029,106029,0,0,106029
Tax Mapping of Kasibu-PASSO-240220,Maintenance and Other Operating Expenses,92499,92499,0,0,92499
Tax Mapping of Kasibu-PASSO-240220,Capital Outlay,13530,13530,0,0,13530
Preperartion of Comprehensive Capitol Site Development Plan Project-PGSO-240221,Preperartion of Comprehensive Capitol Site Development Plan Project-PGSO-240221,50000,0,0,50000,0
Preperartion of Comprehensive Capitol Site Development Plan Project-PGSO-240221,Maintenance and Other Operating Expenses,50000,0,0,50000,0
Legal Research and Development Materials-PLO-240222,Legal Research and Development Materials-PLO-240222,1159.44,1159.44,0,0,1159.44
Legal Research and Development Materials-PLO-240222,Maintenance and Other Operating Expenses,1159.44,1159.44,0,0,1159.44
Legal Assistance Program-PLO-240223,Legal Assistance Program-PLO-240223,3398.01,3398.01,0,0,3398.01
Legal Assistance Program-PLO-240223,Maintenance and Other Operating Expenses,3398.01,3398.01,0,0,3398.01
Performance of all Directives Relative to Research and Oversight Functions of the Different-SP-240227,Performance of all Directives Relative to Research and Oversight Functions of the Different-SP-240227,252535,252535,0,0,252535
Performance of all Directives Relative to Research and Oversight Functions of the Different-SP-240227,Maintenance and Other Operating Expenses,199789.4,199789.4,0,0,199789.4
Performance of all Directives Relative to Research and Oversight Functions of the Different-SP-240227,Capital Outlay,52745.6,52745.6,0,0,52745.6
Special Awars-PHRMO-240226,Special Awars-PHRMO-240226,50000,0,0,50000,0
Special Awars-PHRMO-240226,Maintenance and Other Operating Expenses,50000,0,0,50000,0
Operationalization of the Public employment Service (Peso)-PHRMO-240227,Operationalization of the Public employment Service (Peso)-PHRMO-240227,4750,4750,0,0,4750
Operationalization of the Public employment Service (Peso)-PHRMO-240227,Maintenance and Other Operating Expenses,4750,4750,0,0,4750
Regular Tax Mapping and Assessment Audit-240228,Regular Tax Mapping and Assessment Audit-240228,30954.07,30954.07,0,0,30954.07
Regular Tax Mapping and Assessment Audit-240228,Maintenance and Other Operating Expenses,944.07,944.07,0,0,944.07
Regular Tax Mapping and Assessment Audit-240228,Capital Outlay,30010,30010,0,0,30010
Social Sector-2403 Provincial Scholarship (Degree and Non-Degree Courses)-GO/TESDA-240302,Social Sector-2403 Provincial Scholarship (Degree and Non-Degree Courses)-GO/TESDA-240302,700000,0,0,700000,0
Social Sector-2403 Provincial Scholarship (Degree and Non-Degree Courses)-GO/TESDA-240302,Maintenance and Other Operating Expenses,700000,0,0,700000,0
Nueva Vizcaya Sports Development Support Project-GO-240303,Nueva Vizcaya Sports Development Support Project-GO-240303,468000,468000,0,0,468000
Nueva Vizcaya Sports Development Support Project-GO-240303,Maintenance and Other Operating Expenses,468000,468000,0,0,468000
Provincial Government of Nueva Vizcaya Training for Work Scholarship Program--GO/Tesda/TWSP-240305,Provincial Government of Nueva Vizcaya Training for Work Scholarship Program--GO/Tesda/TWSP-240305,150000,150000,0,0,150000
Provincial Government of Nueva Vizcaya Training for Work Scholarship Program--GO/Tesda/TWSP-240305,Maintenance and Other Operating Expenses,150000,150000,0,0,150000
Skill Olympians Support Project-GO/TESDA-240306,Skill Olympians Support Project-GO/TESDA-240306,66000,66000,0,0,66000
Skill Olympians Support Project-GO/TESDA-240306,Maintenance and Other Operating Expenses,66000,66000,0,0,66000
Health Aid to Barangay (Liga ng mga Barangay)-240307,Health Aid to Barangay (Liga ng mga Barangay)-240307,79430,79430,0,0,79430
Health Aid to Barangay (Liga ng mga Barangay)-240307,Maintenance and Other Operating Expenses,79430,79430,0,0,79430
BHW Capacity Enhancement Program-PHO/Provincial Federation of BHWS-240308,BHW Capacity Enhancement Program-PHO/Provincial Federation of BHWS-240308,17,17,0,0,17
BHW Capacity Enhancement Program-PHO/Provincial Federation of BHWS-240308,Maintenance and Other Operating Expenses,17,17,0,0,17
RH Negative-PNCR/PHO-240309,RH Negative-PNCR/PHO-240309,4198.49,4198.49,0,0,4198.49
RH Negative-PNCR/PHO-240309,Maintenance and Other Operating Expenses,4198.49,4198.49,0,0,4198.49
"Aritao Water System-Aritao Rural Waterworks and Sanitation, Inc.(ARWASA)-240310","Aritao Water System-Aritao Rural Waterworks and Sanitation, Inc.(ARWASA)-240310",100000,100000,96750,0,3250
"Aritao Water System-Aritao Rural Waterworks and Sanitation, Inc.(ARWASA)-240310",Maintenance and Other Operating Expenses,100000,100000,96750,0,3250
Construction of Mabuslo Water System (Purok II and III)-PEO-240311,Construction of Mabuslo Water System (Purok II and III)-PEO-240311,33000,0,0,33000,0
Construction of Mabuslo Water System (Purok II and III)-PEO-240311,Maintenance and Other Operating Expenses,33000,0,0,33000,0
Construction of Water System Province-PEO-240312,Construction of Water System Province-PEO-240312,20491.98,20491.98,0,0,20491.98
Construction of Water System Province-PEO-240312,Maintenance and Other Operating Expenses,20491.98,20491.98,0,0,20491.98
"Construction of Reservior (Barangay Busilac, Purok 6)-PEO-240313","Construction of Reservior (Barangay Busilac, Purok 6)-PEO-240313",135000,0,0,135000,0
"Construction of Reservior (Barangay Busilac, Purok 6)-PEO-240313",Maintenance and Other Operating Expenses,135000,0,0,135000,0
"Potable Water Supply for Purok I, Magsaysay Bayombong-PLGU/BLGU/PWO-240314","Potable Water Supply for Purok I, Magsaysay Bayombong-PLGU/BLGU/PWO-240314",8100,8100,0,0,8100
"Potable Water Supply for Purok I, Magsaysay Bayombong-PLGU/BLGU/PWO-240314",Maintenance and Other Operating Expenses,8100,8100,0,0,8100
Bambang Poblacion Water Supply-240315,Bambang Poblacion Water Supply-240315,450000,0,0,450000,0
Bambang Poblacion Water Supply-240315,Maintenance and Other Operating Expenses,450000,0,0,450000,0
Pabasa sa Nutrition Projedt-GO-Nutrition-240316,Pabasa sa Nutrition Projedt-GO-Nutrition-240316,961.25,961.25,0,0,961.25
Pabasa sa Nutrition Projedt-GO-Nutrition-240316,Maintenance and Other Operating Expenses,961.25,961.25,0,0,961.25
Supplemental Feeding Project-PSWDO-DEPED-240317,Supplemental Feeding Project-PSWDO-DEPED-240317,523.4,523.4,0,0,523.4
Supplemental Feeding Project-PSWDO-DEPED-240317,Maintenance and Other Operating Expenses,523.4,523.4,0,0,523.4
Provincial Task Force for AHMP Project-GO/Nutrition/DEPED-240318,Provincial Task Force for AHMP Project-GO/Nutrition/DEPED-240318,1095.2,1095.2,0,0,1095.2
Provincial Task Force for AHMP Project-GO/Nutrition/DEPED-240318,Maintenance and Other Operating Expenses,1095.2,1095.2,0,0,1095.2
Nutrition Congress-GO/Nutrition-240319,Nutrition Congress-GO/Nutrition-240319,875,875,0,0,875
