program_or_project,activity,code,appropriation,allotment,appropriation_balance,obligation,allotment_balance
Office of the City Mayor- Public Information Division- Personal Services,Cash Gift,724,20000,20000,-,20000,-
Office of the City Mayor- Public Information Division- Personal Services,Year- End Bonus,725,108344,108344,-,108344,-
Office of the City Mayor- Public Information Division- Personal Services,Life and Retirement Insurance Contributions,731,157353.6,157353.6,-,143461.56,13892.04
Office of the City Mayor- Public Information Division- Personal Services,PAG-IBIG Contributions,732,4900,4900,-,4000,900
Office of the City Mayor- Public Information Division- Personal Services,PHILHEALTH Contributions,733,14987.5,14987.5,-,13537.5,1450
Office of the City Mayor- Public Information Division- Personal Services,ECC Contributions,734,4900,4900,-,4000,900
Office of the City Mayor- Public Information Division- Maintenance and Other Operating Expenses,-,-,586120,586120,-,425247,160873
Office of the City Mayor- Public Information Division- Maintenance and Other Operating Expenses,Other Supplies Expense,765,6000,6000,-,6000,-
Office of the City Mayor- Public Information Division- Maintenance and Other Operating Expenses,"Cable, Satellite and Radio Expenses",775,390120,390120,-,277725,112395
Office of the City Mayor- Public Information Division- Maintenance and Other Operating Expenses,Printing and Binding Expenses,781,110000,110000,-,68000,42000
Office of the City Mayor- Public Information Division- Maintenance and Other Operating Expenses,Subscription Expenses,786,80000,80000,-,73522,6478
Office of the City Mayor- Public Information Division- Capital Outlay,-,-,200000,200000,-,198284.5,1715.5
Office of the City Mayor- Public Information Division- Capital Outlay,Books,224,200000,200000,-,198284.5,1715.5
City Legal Officer,-,1131,1409021.96,1409021.96,-,1354189.72,54832.24
City Legal Officer- Personal Services,-,-,1319021.96,1319021.96,-,1319021.72,0.24
City Legal Officer- Personal Services,Salaries and Wages-Regular,701,693948,693948,-,693948,-
City Legal Officer- Personal Services,Salaries and Wages-Casual,705,340270.96,340270.96,-,340270.96,-
City Legal Officer- Personal Services,PERA,711,48000,48000,-,48000,-
City Legal Officer- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
City Legal Officer- Personal Services,Clothing Allowance,715,8000,8000,-,8000,-
City Legal Officer- Personal Services,Cash Gift,724,10000,10000,-,10000,-
City Legal Officer- Personal Services,Year- End Bonus,725,57829,57829,-,57829,-
City Legal Officer- Personal Services,Life and Retirement Insurance Contributions,731,83274,83274,-,83273.76,0.24
City Legal Officer- Personal Services,PAG-IBIG Contributions,732,2400,2400,-,2400,-
City Legal Officer- Personal Services,PHILHEALTH Contributions,733,6900,6900,-,6900,-
City Legal Officer- Personal Services,ECC Contributions,734,2400,2400,-,2400,-
City Legal Officer- Maintenance and Other Operating Expenses,-,-,50000,50000,-,-,50000
City Legal Officer- Maintenance and Other Operating Expenses,Office Books,755,50000,50000,-,-,50000
City Legal Officer- Maintenance and Other Operating Expenses,Professional Services - Legal Services,791,-,-,-,-,-
City Legal Officer- Capital Outlay,-,-,40000,40000,-,35168,4832
City Legal Officer- Capital Outlay,Software (LEX LIBRES),223,40000,40000,-,35168,4832
Office of the City Prosecutor,-,1141,1171068.96,1171068.96,-,1160051.96,11017
Office of the City Prosecutor- Personal Services,-,-,333068.96,333068.96,-,333068.96,6
Office of the City Prosecutor- Personal Services,Salaries and Wages-Casual,705,333068.96,333068.96,-,333068.96,6
Office of the City Prosecutor- Maintenance and Other Operating Expenses,-,-,838000,838000,-,826989,11011
Office of the City Prosecutor- Maintenance and Other Operating Expenses,Internet Expenses,774,12000,12000,-,10989,1011
Office of the City Prosecutor- Maintenance and Other Operating Expenses,Subscription Expenses(Computer Anti-Virus),786,10000,10000,-,-,10000
Office of the City Prosecutor- Maintenance and Other Operating Expenses,Donations,878,816000,816000,-,816000,-
Office of the Regional Trial Court,-,1151,269000,269000,-,244000,25000
Office of the Regional Trial Court- Maintenance and Other Operating Expenses,-,-,269000,269000,-,244000,25000
Office of the Regional Trial Court- Maintenance and Other Operating Expenses,Donations,878,269000,269000,-,244000,25000
Municipal Trial Court in Cities,-,1158,503670.96,503670.96,-,497181.36,6489.6
Municipal Trial Court in Cities- Personal Services,-,-,339270.96,339270.96,-,339270.96,-
Municipal Trial Court in Cities- Personal Services,Salaries and Wages-Casual,705,339270.96,339270.96,-,339270.96,-
Municipal Trial Court in Cities- Maintenance and Other Operating Expenses,-,-,164400,164400,-,157910.4,6489.6
Municipal Trial Court in Cities- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,12000,12000,-,5510.4,6489.6
Municipal Trial Court in Cities- Maintenance and Other Operating Expenses,Telephone Expenses-Mobile,773,6000,6000,-,6000,-
Municipal Trial Court in Cities- Maintenance and Other Operating Expenses,Internet Expenses,774,-,-,-,-,-
Municipal Trial Court in Cities- Maintenance and Other Operating Expenses,Donations,878,146400,146400,-,146400,-
Office of the PNP or Traffic Officer,-,1181-1,212200,212200,-,207585.2,4614.8
Office of the PNP or Traffic Officer- Maintenance and Other Operating Expenses,-,-,182200,182200,-,180429.2,1770.8
Office of the PNP or Traffic Officer- Maintenance and Other Operating Expenses,Military and Police Supplies Expense,764,116000,116000,-,115770,230
Office of the PNP or Traffic Officer- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,23000,23000,-,21459.2,1540.8
Office of the PNP or Traffic Officer- Maintenance and Other Operating Expenses,Repair and Maintenance - Military and Police Equipment,834,-,-,-,-,-
Office of the PNP or Traffic Officer- Maintenance and Other Operating Expenses,Donations,878,43200,43200,-,43200,-
Office of the PNP or Traffic Officer- Capital Outlay,-,-,30000,30000,-,27156,2844
Office of the PNP or Traffic Officer- Capital Outlay,"Other Property, Plant and Equipment - Camera",250,30000,30000,-,27156,2844
Office of the City Mayor- Traffic Enforcement Services,-,1181-2,2118967,2118967,-,2033376.02,85590.98
Office of the City Mayor- Traffic Enforcement Services- Personal Services,-,-,2118967,2118967,-,2033376.02,85590.98
Office of the City Mayor- Traffic Enforcement Services- Personal Services,Salaries and Wages-Casual,705,2118967,2118967,-,2033376.02,85590.98
Office of the City Fire Marshall,-,1191,97900,97900,-,91339.09,6560.91
Office of the City Fire Marshall- Maintenance and Other Operating Expenses,-,-,97900,97900,-,91339.09,6560.91
Office of the City Fire Marshall- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,11500,11500,-,4939.09,6560.91
Office of the City Fire Marshall- Maintenance and Other Operating Expenses,Donations,878,86400,86400,-,86400,-
Office of the City Fire Marshall- Non- Office,-,1919,20287823.97,20287823.97,-,19918447.52,369376.45
Office of the City Fire Marshall- Maintenance and Other Operating Expenses,-,-,20287823.97,20287823.97,-,19918447.52,369376.45
Office of the City Fire Marshall- Maintenance and Other Operating Expenses,Water Expenses,-,400000,400000,-,350359.41,49640.59
Office of the City Fire Marshall- Maintenance and Other Operating Expenses,Electricity Expenses,-,19887823.97,19887823.97,-,19568088.11,319735.86
Office of the City DILG Director,-,1999,43200,43200,-,43200,-
Office of the City DILG Director- Maintenance and Other Operating Expenses,-,-,43200,43200,-,43200,-
Office of the City DILG Director- Maintenance and Other Operating Expenses,Donations,878,43200,43200,-,43200,-
City Health Office,-,4411,21646836.12,21646836.12,-,20224892.33,1421943.79
City Health Office- Personal Services,-,-,21477836.12,21477836.12,-,20068799.13,1409036.99
City Health Office- Personal Services,Salaries and Wages-Regular,701,8808978,8808978,-,8571579.32,237398.68
City Health Office- Personal Services,Salaries and Wages-Casual,705,3372109.8,3372109.8,-,3338295.48,33814.32
City Health Office- Personal Services,PERA,711,722000,722000,-,701909.09,20090.91
City Health Office- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
City Health Office- Personal Services,Clothing Allowance,715,124000,124000,-,120000,4000
City Health Office- Personal Services,BHW Clothing Allowance,715,225000,225000,-,199000,26000
City Health Office- Personal Services,Subsistence Allowance,716,558000,558000,-,498350,59650
City Health Office- Personal Services,Laundry Allowance,716,55800,55800,-,52650,3150
City Health Office- Personal Services,BHW Subsistence Allowance,716,4050000,4050000,-,3519000,531000
City Health Office- Personal Services,Hazard Pay,721,935778,935778,-,501284,434494
City Health Office- Personal Services,BHW Hazard Allowance,721,398000,398000,-,398000,-
City Health Office- Personal Services,Overtime and Night Pay,723,50000,50000,-,49668.3,331.7
City Health Office- Personal Services,Cash Gift,724,150000,150000,-,145000,5000
City Health Office- Personal Services,Year- End Bonus,725,729917,729917,-,709149,20768
City Health Office- Personal Services,Life and Retirement Insurance Contributions,731,1057078.32,1057078.32,-,1028251.44,28826.88
City Health Office- Personal Services,PAG-IBIG Contributions,732,36100,36100,-,35100,1000
City Health Office- Personal Services,Philhealth Contirbutions,733,102975,102975,-,100462.5,2512.5
City Health Office- Personal Services,ECC Contributions,734,36100,36100,-,35100,1000
City Health Office- Maintenance and Other Operating Expenses,-,-,18000,18000,-,15031.2,2968.8
City Health Office- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,18000,18000,-,15031.2,2968.8
City Health Office- Capital Outlay,-,-,151000,151000,-,141062,9938
City Health Office- Capital Outlay,Risographing Machine,233,100000,100000,-,100000,-
City Health Office- Capital Outlay,Blood Weighing Scale,233,6000,6000,-,-,6000
City Health Office- Capital Outlay,"Digital BP Apparatus, Desk type",233,45000,45000,-,41062,3938
Office of the City Mayor- Health and Sanitation Services,-,6522,6743305.48,6743305.48,-,6622493.2,120812.28
Office of the City Mayor- Health and Sanitation Services- Personal Services,-,-,4853305.48,4853305.48,-,4759493.3,93812.18
Office of the City Mayor- Health and Sanitation Services- Personal Services,Salaries and Wages-Casual,705,4556905.48,4556905.48,-,4487644.84,69260.64
Office of the City Mayor- Health and Sanitation Services- Personal Services,Hazard Pay,721,143400,143400,-,125762.9,17637.1
Office of the City Mayor- Health and Sanitation Services- Personal Services,Overtime and Night Pay,723,153000,153000,-,146085.56,6914.44
Office of the City Mayor- Health and Sanitation Services- Maintenance and Other Operating Expenses,-,-,1890000,1890000,-,1862999.9,27000.1
Office of the City Mayor- Health and Sanitation Services- Maintenance and Other Operating Expenses,Telephone Expenses - Landline,772,6000,6000,-,5510.4,489.6
Office of the City Mayor- Health and Sanitation Services- Maintenance and Other Operating Expenses,Rent Expense (Dumpsite),782,84000,84000,-,84000,-
Office of the City Mayor- Health and Sanitation Services- Maintenance and Other Operating Expenses,Repairs and Maintenance - Other Transportation Equipment,848,1800000,1800000,-,1773489.5,26510.5
Social Welfare and Development Office,-,7611,4215843.82,4215843.82,-,4028150.33,187693.49
Social Welfare and Development Office- Personal Services,-,-,2378843.82,2378843.82,-,2351447.33,27396.49
Social Welfare and Development Office- Personal Services,Salaries and Wages-Regular,701,1789304,1789304,-,1770463.64,18840.36
Social Welfare and Development Office- Personal Services,PERA,711,92000,92000,-,89909.09,2090.91
Social Welfare and Development Office- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Social Welfare and Development Office- Personal Services,Clothing Allowance,715,16000,16000,-,12000,4000
Social Welfare and Development Office- Personal Services,Cash Gift,724,20000,20000,-,20000,-
Social Welfare and Development Office- Personal Services,Year- End Bonus,725,154760,154760,-,154760,-
Social Welfare and Development Office- Personal Services,Life and Retirement Insurance Contributions,731,214717.32,214717.32,-,212664.6,2052.72
Social Welfare and Development Office- Personal Services,PAG-IBIG Contributions,732,4600,4600,-,4500,100
Social Welfare and Development Office- Personal Services,PHILHEALTH Contributions,732,16862.5,16862.5,-,16650,212.5
Social Welfare and Development Office- Personal Services,ECC Contributions,734,4600,4600,-,4500,100
Social Welfare and Development Office- Maintenance and Other Operating Expenses,-,-,1637000,1637000,-,1497203,139797
Social Welfare and Development Office- Maintenance and Other Operating Expenses,Paupers Burial,878,600000,600000,-,560500,39500
Social Welfare and Development Office- Maintenance and Other Operating Expenses,Burial Assistance (Veterans),878,75000,75000,-,31000,44000
Social Welfare and Development Office- Maintenance and Other Operating Expenses,Fire or Shelter Victims Assistance,878,400000,400000,-,398000,2000
Social Welfare and Development Office- Maintenance and Other Operating Expenses,Child and Youth Welfare Offender Fund,878,50000,50000,-,5703,44297
Social Welfare and Development Office- Maintenance and Other Operating Expenses,Luntiang Paraiso Welfare Fund,878,100000,100000,-,100000,-
Social Welfare and Development Office- Maintenance and Other Operating Expenses,Donations (CO # 83),878,412000,412000,-,402000,10000
Social Welfare and Development Office- Capital Outlay,-,-,200000,200000,-,179500,20500
Social Welfare and Development Office- Capital Outlay,Assistive Devices,250,200000,200000,-,179500,20500
Office of the City Agriculturist,-,8711,7442882.1,7442882.1,-,6923103.87,519778.23
Office of the City Agriculturist- Personal Services,-,-,5424232.1,5424232.1,-,5271937.02,152295.08
Office of the City Agriculturist- Personal Services,Salaries and Wages-Regular,701,3864081,3864081,-,3754667.55,109413.45
Office of the City Agriculturist- Personal Services,Salaries and Wages-Casual,705,169365.48,169365.48,-,167578.84,1786.64
Office of the City Agriculturist- Personal Services,PERA,711,326000,326000,-,317454.56,8545.44
Office of the City Agriculturist- Personal Services,Represantation Allowance,713,66000,66000,-,66000,-
Office of the City Agriculturist- Personal Services,Clothing Allowance,715,60000,60000,-,44000,16000
Office of the City Agriculturist- Personal Services,Cash Gift,724,70000,70000,-,70000,-
Office of the City Agriculturist- Personal Services,Year End Bonus,725,326557,326557,-,325087,1470
Office of the City Agriculturist- Personal Services,Life and Retirement Insurance Contributions,731,463691.12,463691.12,-,450424.07,13267.05
Office of the City Agriculturist- Personal Services,Pag-ibig Contributions,732,16300,16300,-,16025,275
Office of the City Agriculturist- Personal Services,PHILHEALTH Contributions,733,45937.5,45937.5,-,44800,1137.5
Office of the City Agriculturist- Personal Services,ECC Contirbutions,734,16300,16300,-,15900,400
Office of the City Agriculturist- Maintenance and Other Operating Expenses,-,-,1143650,1143650,-,899005.44,244644.56
Office of the City Agriculturist- Maintenance and Other Operating Expenses,Traveling Expenses - Local (Beneficiaries),751,75000,75000,-,-,75000
Office of the City Agriculturist- Maintenance and Other Operating Expenses,Training Expenses (Beneficiaries),753,75000,75000,-,62574,12426
Office of the City Agriculturist- Maintenance and Other Operating Expenses,Gasoline Expenses (Watercraft),761,500000,500000,-,375434.54,124565.46
Office of the City Agriculturist- Maintenance and Other Operating Expenses,Repairs and Maintenance-Diving Equipment,840,20000,20000,-,19850,150
Office of the City Agriculturist- Maintenance and Other Operating Expenses,Repairs and Maintenance-Watercraft,844,150000,150000,-,144385,5615
Office of the City Agriculturist- Maintenance and Other Operating Expenses,Repairs and Maintenance-Farm Machineries,827,323650,323650,-,296761.9,26888.1
Office of the City Agriculturist- Capital Outlay,-,-,875000,875000,-,752161.41,122838.59
Office of the City Agriculturist- Capital Outlay,Other Structures,215,500000,500000,-,382111.41,117888.59
Office of the City Agriculturist- Capital Outlay,Other Structures- Bodega and Working Shed- Construction of Potting Shed at Energy Park ( Reference number: 0144-04-12),-,-,230000,-,226511.41,3488.59
Office of the City Agriculturist- Capital Outlay,"Other Structures- Bodega and Working Shed- Energy Park, Brgy Apokon (Reference number: 291-11-12)",-,-,175000,-,103425,71575
Office of the City Agriculturist- Capital Outlay,"Other Structures- Bodega and Working Shed- Construction of Trellis Shed for Grapes Vines at Energy Park, Brgy. Apokon ( Reference number: 305-11-12 )",-,-,85000,-,42311,42689
-,"Other Structures- Bodega and Working Shed- Construction of Working Shed for Aviary Personnel, Energy Park, Brgy. Apokon ( Reference number: 305-11-12 )",-,-,10000,-,9864,136
Office of the City Agriculturist- Capital Outlay,Agricultural Equipment,227,110000,110000,-,110000,-
Office of the City Agriculturist- Capital Outlay,Fish Laboratory Equipment (Oxygen Meter),227,100000,100000,-,98000,2000
Office of the City Agriculturist- Capital Outlay,Diving Equipment,240,150000,150000,-,148550,1450
Office of the City Agriculturist- Capital Outlay,"Other Property, Plant and Equipment",250,-,-,-,-,-
Office of the City Agriculturist- Capital Outlay,"Other Property, Plant and Equipment- Welding Machine",-,10000,10000,-,9000,1000
Office of the City Agriculturist- Capital Outlay,"Other Property, Plant and Equipment- Grinder",-,5000,5000,-,4500,500
Office of the City Veterenarian,-,8721,2747405,2747405,-,2282247.91,465157.09
Office of the City Veterenarian- Personal Services,-,-,2747405,2747405,-,2276737.51,464667.49
Office of the City Veterenarian- Personal Services,Salaries and Wages-Regular,701,1834728,1834728,-,1659561.55,175166.45
Office of the City Veterenarian- Personal Services,Salaries and Wages-Casual,705,272915,272915,-,61392.23,211522.77
Office of the City Veterenarian- Personal Services,PERA,711,120000,120000,-,96909.1,23090.9
Office of the City Veterenarian- Personal Services,Representation Allowance,713,66000,66000,-,60500,5500
Office of the City Veterenarian- Personal Services,Clothing Allowance,715,20000,20000,-,16000,4000
Office of the City Veterenarian- Personal Services,Cash Gift,724,25000,25000,-,20000,5000
Office of the City Veterenarian- Personal Services,Year- End Bonus,725,152894,152894,-,137706,15188
Office of the City Veterenarian- Personal Services,Life and Retirement Insurance Contributions,731,220168,220168,-,199142.45,21025.55
Office of the City Veterenarian- Personal Services,PAG-IBIG Contributions,732,6000,6000,-,4900,1100
Office of the City Veterenarian- Personal Services,PHILHEALTH Contributions,733,17700,17700,-,15762.5,1937.5
Office of the City Veterenarian- Personal Services,ECC Contributions,734,6000,6000,-,4863.68,1136.32
Office of the City Veterenarian- Maintenance and Other Operating Expenses,-,-,6000,6000,-,5510.4,489.6
Office of the City Veterenarian- Maintenance and Other Operating Expenses,Telephone Expenses - Landline,772,6000,6000,-,5510.4,489.6
City Environment and Natural Resources,-,8731,4316305.08,4316305.08,-,4260619.04,55686.04
City Environment and Natural Resources- Personal Services,-,-,4316305.08,4316305.08,-,4255108.64,55196.44
City Environment and Natural Resources- Personal Services,Salaries and Wages-Regular,701,2531391,2531391,-,2487244,44147
City Environment and Natural Resources- Personal Services,Salaries and Wages-Casual,705,863399.92,863399.92,-,863053.36,346.56
City Environment and Natural Resources- Personal Services,PERA,711,206000,206000,-,206000,-
City Environment and Natural Resources- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
City Environment and Natural Resources- Personal Services,Clothing Allowance,715,32000,32000,-,28000,4000
City Environment and Natural Resources- Personal Services,Cash Gift,724,45000,45000,-,45000,-
City Environment and Natural Resources- Personal Services,Year- End Bonus,725,215071,215071,-,214386,685
City Environment and Natural Resources- Personal Services,Life and Retirement Insurance Contributions,731,303768.16,303768.16,-,298325.28,5442.88
City Environment and Natural Resources- Personal Services,PAG-IBIG Contributions,732,10300,10300,-,10200,100
City Environment and Natural Resources- Personal Services,PHILHEALTH Contributions,733,27075,27075,-,26700,375
City Environment and Natural Resources- Personal Services,ECC Contributions,734,10300,10300,-,10200,100
City Environment and Natural Resources- Maintenance and Other Operating Expenses,-,-,6000,6000,-,5510.4,489.6
City Environment and Natural Resources- Maintenance and Other Operating Expenses,Telephone Expenses Landline,772,6000,6000,-,5510.4,489.6
Office of the City Architect,-,8741,4558524,4558524,-,4239051.17,319472.83
Office of the City Architect- Personal Services,-,-,4408524,4408524,-,4239051.17,169472.83
Office of the City Architect- Personal Services,Salaries and Wages-Regular,701,2672679,2672679,-,2648809.2,23869.8
Office of the City Architect- Personal Services,Salaries and Wages-Casual,705,818744,818744,-,678175.89,140568.11
Office of the City Architect- Personal Services,PERA,711,186000,186000,-,186000,-
Office of the City Architect- Personal Services,Representation Allowance,713,66000,66000,-,66000,-
Office of the City Architect- Personal Services,Clothing Allowance,715,28000,28000,-,28000,-
Office of the City Architect- Personal Services,Cash Gift,724,40000,40000,-,40000,-
Office of the City Architect- Personal Services,Year- End Bonus,725,228829,228829,-,226659,2170
Office of the City Architect- Personal Services,Life and Retirement Insurance Contributions,731,320722,320722,-,317857.08,2864.92
Office of the City Architect- Personal Services,PAG-IBIG Contributions,732,9300,9300,-,9300,-
Office of the City Architect- Personal Services,PHILHEALTH Contributions,733,28950,28950,-,28950,-
Office of the City Architect- Personal Services,ECC Contributions,734,9300,9300,-,9300,-
Office of the City Architect- Capital Outlay,-,-,150000,150000,-,-,150000
Office of the City Architect- Capital Outlay,Office Equipment,221,150000,150000,-,-,150000
CEO- Administrative Division,-,8751,152149321.7,145093158.6,7056163.09,144185303.2,907855.34
CEO- Administrative Division- Personal Services,-,-,4628218.67,4628218.67,-,3814219.55,813999.12
CEO- Administrative Division- Personal Services,Salaries and Wages-Regular,701,1451856,1451856,-,850970.82,600885.18
CEO- Administrative Division- Personal Services,Salaries and Wages-Casual,705,2647751.67,2647751.67,-,2641787.77,5963.9
CEO- Administrative Division- Personal Services,PERA,711,72000,72000,-,49818.18,22181.82
CEO- Administrative Division- Personal Services,Representation Allowance,713,114000,114000,-,66000,48000
CEO- Administrative Division- Personal Services,Clothing Allowance,715,12000,12000,-,8000,4000
CEO- Administrative Division- Personal Services,Cash Gift,724,15000,15000,-,10000,5000
CEO- Administrative Division- Personal Services,Year- End Bonus,725,120988,120988,-,70360,50628
CEO- Administrative Division- Personal Services,Life and Retirement Insurance Contributions,731,174223,174223,-,103370.28,70852.72
CEO- Administrative Division- Personal Services,PAG-IBIG Contributions,732,3600,3600,-,2500,1100
CEO- Administrative Division- Personal Services,PHILHEALTH Contributions,733,13200,13200,-,8912.5,4287.5
CEO- Administrative Division- Personal Services,ECC Contributions,734,3600,3600,-,2500,1100
CEO- Administrative Division- Maintenance and Other Operating Expenses,-,-,316000,316000,-,222143.78,93856.22
CEO- Administrative Division- Maintenance and Other Operating Expenses,Gasoline Expenses,761,312000,312000,-,222143.78,89856.22
CEO- Administrative Division- Maintenance and Other Operating Expenses,Postage and Deliveries,771,2500,2500,-,-,2500
CEO- Administrative Division- Maintenance and Other Operating Expenses,"Membership, Dues and Contribution to Organization",778,1500,1500,-,-,1500
CEO- Administrative Division- Financial Expenses,-,-,147205103,140148939.9,7056163.09,140148939.9,-
CEO- Administrative Division- Financial Expenses,Interest Expenses,975,40986978,35701919.92,5285058.08,35701919.92,-
CEO- Administrative Division- Financial Expenses,Loans Payable,444,104195200,104195200,0.01,104195200,-
CEO- Administrative Division- Financial Expenses,Documentary Stamps Expenses,972,1155000,251820,903180,251820,-
CEO- Administrative Division- Financial Expenses,Commitment Fee,974,250000,-,250000,-,-
CEO- Administrative Division- Financial Expenses,Other Financial Charges,979,617925,-,617925,-,-
CEO- Construction and Maintenance Division,-,8752,247991735,247991735,-,16602348.09,231389386.9
CEO- Construction and Maintenance Division- Personal Services,-,-,6819037.03,6819037.03,-,6721516.28,97520.75
CEO- Construction and Maintenance Division- Personal Services,Salaries and Wages-Regular,701,2970660,2970660,-,2925213.18,45446.82
CEO- Construction and Maintenance Division- Personal Services,Salaries and Wages-Casual,705,2446121.77,2446121.77,-,2421108.81,25012.96
CEO- Construction and Maintenance Division- Personal Services,PERA,711,310000,310000,-,304000,6000
CEO- Construction and Maintenance Division- Personal Services,Clothing Allowance,715,56000,56000,-,48000,8000
CEO- Construction and Maintenance Division- Personal Services,Overtime and Night Pay,723,300000,300000,-,299208.98,791.02
CEO- Construction and Maintenance Division- Personal Services,Cash Gift,724,65000,65000,-,65000,-
CEO- Construction and Maintenance Division- Personal Services,Year- End Bonus,725,247750,247750,-,246457,1293
CEO- Construction and Maintenance Division- Personal Services,Life and Retirement Insurance Contributions,731,356479.76,356479.76,-,346828.31,9651.45
CEO- Construction and Maintenance Division- Personal Services,PAG-IBIG Contributions,732,15500,15500,-,15200,300
CEO- Construction and Maintenance Division- Personal Services,PHILHEALTH Contributions,733,36025.5,36025.5,-,35300,725.5
CEO- Construction and Maintenance Division- Personal Services,ECC Contributions,734,15500,15500,-,15200,300
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,-,-,6086750,6086750,-,5830154.81,256595.19
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,Gasoline Expenses,761,1104000,1104000,-,1087921.25,16078.75
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,Telephone Expenses -Landline,772,12000,12000,-,11020.8,979.2
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,"Membership,Dues and Contribution to Organization",778,9750,9750,-,-,9750
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,"Fabrication of RCPC,CHB and Paving Blocks w/ Cement at Tagum City (Reference number: 002-01-12)",795,2091000,2091000,-,1981643.49,109356.51
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,Repair and Maintenance - Airconditioning Facilities at Tagum City ( Reference number: 011-01-12 ),821,230000,230000,-,191656,38344
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,Repair and Maintenance - Motor Vehicles,841,200000,200000,-,198288.5,1711.5
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,Repair and Maintenance - Park and Plaza at Tagum City (Reference number: 005-01-12),852,528000,528000,-,449582.26,78417.74
CEO- Construction and Maintenance Division- Maintenance and Other Operating Expenses,"Repair and Maintenance - City Gov't. Building, School Bldg. and Demolition Crew at T.C. (Reference number: 013-01-12)",811,1912000,1912000,-,1910042.51,1957.49
CEO- Construction and Maintenance Division- Capital Outlay,-,-,235085948,235085948,-,4050677,231035271
CEO- Construction and Maintenance Division- Capital Outlay,"Other Property, Plant and Equipment",250,-,-,-,-,-
CEO- Construction and Maintenance Division- Capital Outlay,"Other Property, Plant and Equipment- 2 units Chainsaw",-,125000,125000,-,117700,7300
CEO- Construction and Maintenance Division- Capital Outlay,"Other Property, Plant and Equipment- Submersible Pump",-,27648,27648,-,27000,648
CEO- Construction and Maintenance Division- Capital Outlay,"Other Property, Plant and Equipment- Step Ladder Fiber",-,33300,33300,-,33000,300
CEO- Construction and Maintenance Division- Capital Outlay,Completion of New City Hall Building,-,-,-,-,-,-
CEO- Construction and Maintenance Division- Capital Outlay,Construction of New Tagum City Hall Bldg. (Reference number: 0148-04-12),211,231000000,231000000,-,-,231000000
CEO- Construction and Maintenance Division- Capital Outlay,Development and Maintenance of New City Hall,211,-,-,-,-,-
CEO- Construction and Maintenance Division- Capital Outlay,"Concreting of Pavement, New City Hall, Brgy. Apokon (Reference number: 233-07-12)",-,3900000,3900000,-,3872977,27023
CEO- Motorpool Division,-,8754,70644857.9,70644857.9,-,70192567.39,452290.51
CEO- Motorpool Division- Personal Services,-,-,12257433.98,12257433.98,-,12203754.66,53679.32
CEO- Motorpool Division- Personal Services,Salaries and Wages-Regular,701,2111009,2111009,-,2077519.45,33489.55
CEO- Motorpool Division- Personal Services,Salaries and Wages-Casual,705,8743161.16,8743161.16,-,8741736.52,1424.64
CEO- Motorpool Division- Personal Services,PERA,711,268000,268000,-,264000,4000
CEO- Motorpool Division- Personal Services,Clothing Allowance,715,52000,52000,-,44000,8000
CEO- Motorpool Division- Personal Services,Overtime and Night Pay,723,550000,550000,-,549153.86,846.14
CEO- Motorpool Division- Personal Services,Cash Gift,724,55000,55000,-,55000,-
CEO- Motorpool Division- Personal Services,Year- End Bonus,725,173680,173680,-,172853,827
CEO- Motorpool Division- Personal Services,Life and Retirement Insurance Contributions,731,253321.32,253321.32,-,248954.33,4366.99
CEO- Motorpool Division- Personal Services,PAG-IBIG Contributions,732,13400,13400,-,13200,200
CEO- Motorpool Division- Personal Services,PHILHEALTH Contributions,733,24462.5,24462.5,-,24137.5,325
CEO- Motorpool Division- Personal Services,ECC Contributions,734,13400,13400,-,13200,200
CEO- Motorpool Division- Maintenance and Other Operating Expenses,-,-,56760765.68,56760765.68,-,56434740.73,326024.95
CEO- Motorpool Division- Maintenance and Other Operating Expenses,Gasoline Expenses,761,26990383.18,26990383.18,-,26774858.95,215524.23
CEO- Motorpool Division- Maintenance and Other Operating Expenses,Oil and Lubricants,761,1500000,1500000,-,1485714.73,14285.27
CEO- Motorpool Division- Maintenance and Other Operating Expenses,Other Supplies Expense,765,24400,24400,-,19330,5070
CEO- Motorpool Division- Maintenance and Other Operating Expenses,Telephone Expenses-Landline,772,12000,12000,-,11921.9,78.1
CEO- Motorpool Division- Maintenance and Other Operating Expenses,Repair and Maintenance - Construction and Heavy Equipment,830,28033982.5,28033982.5,-,27979926.15,54056.35
