particulars_1,particulars_2,code,appropriation,allotment,pr,obr,balances
Peace and Order Fund: Development of Park and Highways,"Merville Subdivision, Brgy. Magdum (Reference number: 046-01-12)- Labor",-,"105,236.00","105,236.00",-,"12,400.00","92,836.00"
Peace and Order Fund: Development of Park and Highways,"Merville Subdivision, Brgy. Magdum (Reference number: 046-01-12)- Contingencies",-,"4,094.00","4,094.00",-,-,"4,094.00"
Total,-,-,"300,000.00","300,000.00",-,"199,752.60","100,247.40"
Peace and Order Fund: Development of Park and Highways,"Ferrare Subdivision, Brgy. Mag. East (Reference number: 047-01-12)- Materials",-,"127,390.00","127,390.00",-,"124,251.80","3,138.20"
Peace and Order Fund: Development of Park and Highways,"Ferrare Subdivision, Brgy. Mag. East (Reference number: 047-01-12)- Labor",-,"69,626.00","69,626.00",-,"67,270.00","2,356.00"
Peace and Order Fund: Development of Park and Highways,"Ferrare Subdivision, Brgy. Mag. East (Reference number: 047-01-12)- Contingencies",-,"2,984.00","2,984.00",-,-,"2,984.00"
Total,-,-,"200,000.00","200,000.00",-,"191,521.80","8,478.20"
Peace and Order Fund: Development of Park and Highways,"First Avenue Open Park, Brgy. Mag. South (Reference number: 048-01-12)- Materials",-,"145,670.00","145,670.00",-,"142,296.80","3,373.20"
Peace and Order Fund: Development of Park and Highways,"First Avenue Open Park, Brgy. Mag. South (Reference number: 048-01-12)- Labor",-,"105,488.00","105,488.00",-,"105,488.00",-
Peace and Order Fund: Development of Park and Highways,"First Avenue Open Park, Brgy. Mag. South (Reference number: 048-01-12)- Contingencies",-,"8,842.00","8,842.00",-,"3,632.00","5,210.00"
Total,-,-,"260,000.00","260,000.00",-,"251,416.80","8,583.20"
Peace and Order Fund: Development of Park and Highways,"Fabrication and Installation of Paving Blocks @ National Highway, Brgy. Visayan Village (Reference number: 052-01-12)- Materials",-,"114,400.00","114,400.00",-,"113,360.00","1,040.00"
Peace and Order Fund: Development of Park and Highways,"Fabrication and Installation of Paving Blocks @ National Highway, Brgy. Visayan Village (Reference number: 052-01-12)- Labor",-,"172,980.00","172,980.00",-,"103,194.47","69,785.53"
Peace and Order Fund: Development of Park and Highways,"Fabrication and Installation of Paving Blocks @ National Highway, Brgy. Visayan Village (Reference number: 052-01-12)- Contingencies",-,"12,620.00","12,620.00",-,-,"12,620.00"
Total,-,-,"300,000.00","300,000.00",-,"216,554.47","83,445.53"
Peace and Order Fund: Development of Park and Highways,"City Hall Concrete Benches, Brgy. Mag. Poblacion (Reference number: 086-02-12)- Materials",-,"50,400.00","50,400.00","25,740.00","24,636.50",23.5
Peace and Order Fund: Development of Park and Highways,"City Hall Concrete Benches, Brgy. Mag. Poblacion (Reference number: 086-02-12)- Labor",-,"249,200.00","249,200.00",-,"134,695.00","114,505.00"
Peace and Order Fund: Development of Park and Highways,"City Hall Concrete Benches, Brgy. Mag. Poblacion (Reference number: 086-02-12)- Contingencies",-,400,400,-,-,400
Total,-,-,"300,000.00","300,000.00","25,740.00","159,331.50","114,928.50"
Peace and Order Fund: Development of Park and Highways,Unprogram,-,"1,640,000.00",-,-,-,-
Construction of Purok Centers,-,215,"500,000.00",-,-,-,-
Construction of Purok Centers,Unprogram,-,"500,000.00",-,-,-,-
Electrification Program,-,205,"8,060,000.00","6,000,000.00",-,"5,267,623.83","732,376.17"
Electrification Program,"Rewiring of Streetlights Lines @ Brgy. East, Brgy. Cuambogan, Brgy. Liboganon, Brgy. Madaum and Brgy. Bincungan, (Reference number: 016-01-12)- Materials",-,"665,325.00","665,325.00",-,"665,325.00",-
Electrification Program,"Rewiring of Streetlights Lines @ Brgy. East, Brgy. Cuambogan, Brgy. Liboganon, Brgy. Madaum and Brgy. Bincungan, (Reference number: 016-01-12)- Labor",-,"325,830.00","325,830.00",-,"283,799.83","42,030.17"
Electrification Program,"Rewiring of Streetlights Lines @ Brgy. East, Brgy. Cuambogan, Brgy. Liboganon, Brgy. Madaum and Brgy. Bincungan, (Reference number: 016-01-12)- Contingencies",-,"8,845.00","8,845.00",-,"1,940.00","6,905.00"
Total,-,-,"1,000,000.00","1,000,000.00",-,"951,064.83","48,935.17"
Electrification Program,Brgy. Apokon (Reference number: 050-01-12)- Materials,-,"4,208,600.00","4,208,600.00",-,"4,208,505.00",95
Electrification Program,Brgy. Apokon (Reference number: 050-01-12)- Labor,-,"764,010.00","764,010.00",-,"108,054.00","655,956.00"
Electrification Program,Brgy. Apokon (Reference number: 050-01-12)- Contingencies,-,"27,390.00","27,390.00",-,-,"27,390.00"
Total,-,-,"5,000,000.00","5,000,000.00",-,"4,316,559.00","683,441.00"
Electrification Program,Unprogram,-,"2,060,000.00",-,-,-,-
Construction of Septic Tank,-,215,"500,000.00",-,-,-,-
Construction of Septic Tank,Unprogram,-,"500,000.00",-,-,-,-
Total CMO- Adm.,-,-,"66,360,000.00","34,799,468.33","4,713,620.00","25,143,550.63","4,942,297.70"
Office of the City Agriculturist- Operationalization of City Agricultural and Fishery Program (CAFP),-,-,"1,718,640.00","1,718,640.00",-,"789,931.41","928,708.59"
Office of the City Agriculturist- Operationalization of City Agricultural and Fishery Program (CAFP),General Services,795,"1,718,640.00","1,718,640.00",-,"789,931.41","928,708.59"
Organic Fertilizer Production Project,-,-,"245,520.00","245,520.00",-,"121,210.00","124,310.00"
Organic Fertilizer Production Project,General Services,795,"245,520.00","245,520.00",-,"121,210.00","124,310.00"
Reforestation Program,-,-,"1,854,160.00","1,854,160.00",-,"829,814.00","1,024,346.00"
Reforestation Program,General Services,795,"1,854,160.00","1,854,160.00",-,"829,814.00","1,024,346.00"
Fishery Law Enforcement Program,-,-,"122,760.00","122,760.00",-,"62,000.00","60,760.00"
Fishery Law Enforcement Program,General Services,795,"122,760.00","122,760.00",-,"62,000.00","60,760.00"
Landscaping and Management Program,-,-,"2,434,410.00","2,434,410.00",-,"1,180,231.00","1,254,179.00"
Landscaping and Management Program,General Services,795,"2,434,410.00","2,434,410.00",-,"1,180,231.00","1,254,179.00"
Agricultural Productivity and Greening Program,-,-,"2,864,664.00","2,864,664.00",-,"1,431,402.14","1,433,261.86"
Agricultural Productivity and Greening Program,General Services,795,"2,864,664.00","2,864,664.00",-,"1,431,402.14","1,433,261.86"
Fabrication of Artificial Coral Reef,-,215,"500,000.00","500,000.00","33,000.00","307,275.00","159,725.00"
Fabrication of Artificial Coral Reef,Brgy. Liboganon (Reference number: 053-01-12)- Materials,-,"180,510.00","180,510.00","33,000.00","147,470.00",40
Fabrication of Artificial Coral Reef,Brgy. Liboganon (Reference number: 053-01-12)- Labor,-,"310,620.00","310,620.00",-,"159,805.00","150,815.00"
Fabrication of Artificial Coral Reef,Brgy. Liboganon (Reference number: 053-01-12)- Contingencies,-,"8,870.00","8,870.00",-,-,"8,870.00"
Total,-,-,"500,000.00","500,000.00","33,000.00","307,275.00","159,725.00"
Fabrication of Artificial Coral Reef,Unprogram,-,-,-,-,-,-
Total- CAGRO,-,-,"9,740,154.00","9,740,154.00","33,000.00","4,721,863.55","4,985,290.45"
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",-,805,"2,938,750.00","2,500,000.00","314,090.00","1,068,253.26","1,117,656.74"
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Reference number: 09-01-12- Materials,-,"800,000.00","800,000.00","314,090.00","444,499.00","41,411.00"
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Reference number: 09-01-12- Labor,-,"1,642,364.00","1,642,364.00",-,"621,804.26","1,020,559.74"
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Reference number: 09-01-12- Contingencies,-,"57,636.00","57,636.00",-,"1,950.00","55,686.00"
Total,-,-,"2,500,000.00","2,500,000.00","314,090.00","1,068,253.26","1,117,656.74"
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Unprogram,-,"438,750.00",-,-,-,-
CEO- Construction and Maintenance Division- Repair and Maintenance - Roads and Road Marking,-,851,"2,500,000.00","2,500,000.00","51,000.00","1,111,681.05","1,337,318.95"
CEO- Construction and Maintenance Division- Repair and Maintenance - Roads and Road Marking,Reference number: 12-01-12- Materials,-,"1,146,965.00","1,146,965.00","51,000.00","559,960.00","536,005.00"
CEO- Construction and Maintenance Division- Repair and Maintenance - Roads and Road Marking,Reference number: 12-01-12- Labor,-,"1,262,634.00","1,262,634.00",-,"551,721.05","710,912.95"
CEO- Construction and Maintenance Division- Repair and Maintenance - Roads and Road Marking,Reference number: 12-01-12- Contingencies,-,"90,401.00","90,401.00",-,-,"90,401.00"
Total,-,-,"2,500,000.00","2,500,000.00","51,000.00","1,111,681.05","1,337,318.95"
CEO- Construction and Maintenance Division- Repair and Maintenance - Drainage,-,855,"2,130,000.00","2,130,000.00",-,"701,651.50","1,428,348.50"
CEO- Construction and Maintenance Division- Repair and Maintenance - Drainage,Reference number: 04-01-12- Materials,-,"628,150.00","628,150.00",-,"156,936.50","471,213.50"
CEO- Construction and Maintenance Division- Repair and Maintenance - Drainage,Reference number: 04-01-12- Labor,-,"1,429,512.00","1,429,512.00",-,"544,715.00","884,797.00"
CEO- Construction and Maintenance Division- Repair and Maintenance - Drainage,Reference number: 04-01-12- Contingencies,-,"72,338.00","72,338.00",-,-,"72,338.00"
Total,-,-,"2,130,000.00","2,130,000.00",-,"701,651.50","1,428,348.50"
CEO- Construction and Maintenance Division- Repair and Maintenance - Road Right of Way (Clearing and Maintenance),-,851,"800,000.00","800,000.00",-,"326,700.81","473,299.19"
CEO- Construction and Maintenance Division- Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 03-01-12- Labor,-,"391,902.00","391,902.00",-,"170,928.81","220,973.19"
CEO- Construction and Maintenance Division- Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 03-01-12- Contingencies,-,"8,098.00","8,098.00",-,-,"8,098.00"
Total,-,-,"400,000.00","400,000.00",-,"170,928.81","229,071.19"
CEO- Construction and Maintenance Division- Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 10-01-12- Labor,-,"399,006.00","399,006.00",-,"155,772.00","243,234.00"
CEO- Construction and Maintenance Division- Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 10-01-12- Contingencies,-,994,994,-,-,994
Total,-,-,"400,000.00","400,000.00",-,"155,772.00","244,228.00"
Total- CEO- Construction and Maintenance Division,-,-,"8,368,750.00","7,930,000.00","365,090.00","3,208,286.62","4,356,623.38"
City Environment and Natural Resources Office- Watershed Development Program (Botanical Park),-,-,"570,636.00","570,636.00",-,"283,458.00","287,178.00"
City Environment and Natural Resources Office- Watershed Development Program (Botanical Park),General Services,795,"570,636.00","570,636.00",-,"283,458.00","287,178.00"
City Environment and Natural Resources Office- Solid Waste Management Program - SWM Evaluation or Intensive Education Campaign (IEC),-,-,"61,380.00","61,380.00",-,-,"61,380.00"
City Environment and Natural Resources Office- Solid Waste Management Program - SWM Evaluation or Intensive Education Campaign (IEC),General Services,795,"61,380.00","61,380.00",-,-,"61,380.00"
Total- CENRO,-,-,"632,016.00","632,016.00",-,"283,458.00","348,558.00"
Grand Total,-,-,"85,100,920.00","53,101,638.33","5,111,710.00","33,357,158.80","14,632,769.53"
