date,or_jev_number,particulars,type_of_income,total
6/3/1996,OR#2952152,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
6/11/1996,OR#2952153,Excess allowance of Philcomsat Directors,Collateral Income,40320
7/10/1996,OR#2952154,Excess allowance of Philcomsat Directors,Collateral Income,40320
7/12/1996,OR#2952155,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
8/5/1996,OR#2952156,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
8/5/1996,OR#2952157,Excess allowance of Philcomsat Directors,Collateral Income,40320
8/29/1996,OR#2952158,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
9/2/1996,OR#2952159,Excess allowance of Philcomsat Directors,Collateral Income,40320
9/30/1996,OR#2952160,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
10/1/1996,OR#2952161,Excess allowance of Philcomsat Directors,Collateral Income,40320
10/11/1996,OR#2952166,Sales proceeds-15 cattle held in Tacloban 4/96,Proceeds from disposition of Recovered Assets,105567.78
10/11/1996,OR#2952165,Sales proceeds-Antipolo property at Pantarora,Proceeds from disposition of Recovered Assets,23846336.62
10/11/1996,OR#2952163,"Interest earned from sale of 4 parcels of land at Dasmarinas, Makati",Collateral Income,4598115.54
10/11/1996,OR#2952164,Excess 1994 director's fees-SMC,Collateral Income,47370443.85
10/16/1996,OR#2950332,SMC cash Dividends for the 4th quarter 1994,Collateral Income,3332562.23
10/16/1996,OR#2950330,SMC cash Dividends for the 3rd quarter 1995,Collateral Income,4104739.87
10/16/1996,OR#2950329,SMC cash Dividends for the 2nd quarter 1995,Collateral Income,4131949.91
10/16/1996,OR#2950333,SMC cash Dividends for the 1st quarter 1995,Collateral Income,6682784.49
10/16/1996,OR#2950331,SMC cash Dividends for the 4th quarter 1996,Collateral Income,7451403.2
10/18/1996,OR#2952167,SMC cash Dividends for the 2nd quarter 1995,Collateral Income,4147718.4
11/5/1996,OR#2952168,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
11/13/1996,OR#2952169,Excess allowance of Philcomsat Directors,Collateral Income,40320
11/18/1996,OR#2952172,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,19652
11/18/1996,OR#2952171,SMC cash Dividends fro 2nd quarter 1996,Collateral Income,4251971.57
12/3/1996,OR#2952173,PCGG share in the recompense to members of Philcomsat board-year ended 1994,Collateral Income,2099248.66
12/3/1996,OR#2952174,PCGG share in the recompense to members of Philcomsat board-year ended 1995,Collateral Income,8877281.66
12/3/1996,OR#2952175,SMC-excess of director's fees,Collateral Income,55552887.73
12/6/1996,OR#2952177,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
12/6/1996,OR#2952176,Excess allowance of Philcomsat Directors,Collateral Income,40320
12/26/1996,OR#2952178,Excess allowance of Philcomsat Directors,Collateral Income,40320
1/10/1997,OR#2952179,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,10360
1/30/1997,OR#2952180,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,10360
2/11/1997,OR#2952181,Excess allowance of Philcomsat Directors,Collateral Income,40320
3/4/1997,OR#2952182,Excess allowance of Philcomsat Directors,Collateral Income,40320
3/6/1997,OR#2952183,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,10360
4/11/1997,OR#2952184,Excess allowance of Philcomsat Directors,Collateral Income,40320
5/2/1997,OR#2952185,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,10360
5/16/1997,OR#2952186,Excess allowance of Philcomsat Directors,Collateral Income,40320
5/28/1997,OR#2952187,Per Diem of Mr. Gunigundo as PLDT Director waived for CARP Fund,Collateral Income,10360
6/19/1997,OR#2952188,Excess allowance of Philcomsat Directors,Collateral Income,40320
7/10/1997,OR#2952189,Excess allowance of Philcomsat Directors,Collateral Income,40320
7/31/1997,OR#2952190,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,10360
8/13/1997,OR#2952191,Excess allowance of Philcomsat Directors,Collateral Income,40320
9/4/1997,OR#2952192,Excess allowance of Philcomsat Directors,Collateral Income,40320
9/5/1997,OR#2952193,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,10360
10/16/1997,OR#2952194,Excess allowance of Philcomsat Directors,Collateral Income,40320
10/26/1997,OR#2952195,"Proceeds from sale of the IRC property at Victoria Valley, Cainta Rizal",Collateral Income,34880344.94
11/3/1997,OR#2952197,Per Diem of Mr. Gunigundo as PLDt Director waived for CARP Fund,Collateral Income,20720
11/6/1997,OR#2952199,Excess allowance of Philcomsat Directors,Collateral Income,40320
11/17/1997,OR#2952200,PCGG's profit sharing of the Board Member on the 5% net income after tax for CY1996,Collateral Income,3935922.51
11/21/1997,CA#97-11-3878,Cash Dividend from Meralco shares of stock,Collateral Income,4466594.65
11/26/1997,CA#97-11-3911,Cash Dividend from Meralco shares of stock,Collateral Income,9099607.84
11/28/1997,CA#97-12-4151,"Remittance for CARP($1,622,74489@P3489)",Collateral Income,57001545.03
12/1/1997,CA#97-12-4005,Cash Dividend from SMC,Collateral Income,4602239.77
12/1/1997,CA#97-12-4005,Cash Dividend from Meralco shares of stock,Collateral Income,64651730.55
12/5/1997,CA#97-12-4066,Excess Directors fees of SMC,Collateral Income,47455419.27
12/8/1997,OR#2952201,Excess allowance of Philcomsat Directors,Collateral Income,40320
12/11/1997,OR#2952202,Per Diem of Mr. Gunigundo as PLDT Director,Collateral Income,10360
12/24/1997,OR#2952203,Excess allowance of Philcomsat Directors,Collateral Income,40320
1/19/1998,OR #2539205,Per diem of Mr. Gunigundo as PLDT Director waived for CARP Fund,Collateral Income,10360
2/5/1998,OR #2539206,Excess allowance of Philcomsat Directors,Collateral Income,40320
2/25/1998,OR #2539207,Per diem of Mr. Gunigundo as PLDT Director waived for CARP Fund,Collateral Income,10360
3/13/1998,OR #2539208,Excess allowance of Philcomsat Directors,Collateral Income,40320
3/25/1998,OR #2539209,Per diem of Mr. Gunigundo as PLDT Director waived for CARP Fund,Collateral Income,10360
4/7/1998,OR #2539212,Excess allowance of Philcomsat Directors,Collateral Income,40320
4/30/1998,OR #2539213,Per diem of Mr. Gunigundo as PLDT Director waived for CARP Fund,Collateral Income,10360
5/7/1998,OR #2539214,Excess allowance of Philcomsat Directors,Collateral Income,40320
5/14/1998,OR #2539218,Per diem of Mr. Gunigundo as PLDT Director waived for CARP Fund,Collateral Income,10360
5/28/1998,OR #2539217,SMC's excess directors fees for CY 1997,Collateral Income,34027551.08
6/4/1998,OR #2539218,SMC cash dividends-4th quarter 1997,Collateral Income,4750075.32
6/15/1998,OR #2539187,Excess allowance of Philcomsat Directors,Collateral Income,40320
6/15/1998,OR #2539186,SMC's cash dividends for the 1st quarter of 1998,Collateral Income,4605382.07
7/10/1998,OR #2539220,Excess allowance of Philcomsat Directors,Collateral Income,40320
8/13/1998,OR #2539223,Excess allowance of Philcomsat Directors,Collateral Income,40320
8/13/1998,OR #2539193,Cash dividend remitted by Chemfields Inc/Performance Inv Corp,Collateral Income,10000000
8/13/1998,OR #2539194,Cash dividend remitted by Chemfields Inc/Independent Realty Corp,Collateral Income,10000000
8/13/1998,OR #2539195,Cash dividend remitted by Chemfields Inc/Mid Land Pasig Corp,Collateral Income,10000000
8/13/1998,JEV# 0144520,PCGG escrow deposits transferred to CARP Fund,Collateral Income,1104044471
9/2/1998,JEV# 0144533,PCGG escrow deposits transferred to CARP Fund,Collateral Income,94971.95
9/30/1998,JEV# 0144527,PCGG escrow deposits transferred to CARP Fund,Collateral Income,92351.11
9/30/1998,JEV# 0144528,PCGG escrow deposits transferred to CARP Fund,Collateral Income,39290688.03
10/30/1998,JEV# 0144531,PCGG escrow deposits transferred to CARP Fund,Collateral Income,134790.62
2/3/1999,OR #2539235,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,172500
3/31/1999,OR #2539238,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,87083
5/4/1999,OR #2539241,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
5/4/1999,OR #2539240,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,162917
5/28/1999,OR #2539243,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
6/7/1999,OR #2539244,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
7/1/1999,OR #2539246,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
7/8/1999,OR #2539247,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
7/29/1999,OR #2539250,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
9/3/1999,OR #2953752,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
9/14/1999,OR #2953753,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,524160
10/7/1999,OR #2953755,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,40320
11/8/1999,OR #2953757,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,250000
11/11/1999,OR #2953758,Excess allowance of Philcomsat Directors,Collateral Income,40320
12/6/1999,OR #2953760,Excess allowance of Philcomsat Directors,Collateral Income,40320
12/14/1999,OR #2953761,"IRC remittance re: proceeds from sale of 68,838 PLDT shares",Proceeds from disposition of Recovered Assets,74117751.63
12/17/1999,OR #2953763,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
12/29/1999,JEV# 0144565,Adjustment of IRC remittance in CY 1998 which was transferred from 105 to Fund 158,Collateral Income,2671196.16
12/29/1999,JEV# 0144566(2),PCGG escrow deposits transferred to CARP Fund,Collateral Income,39358654.03
12/29/1999,JEV# 0144566(1),PCGG escrow deposits transferred to CARP Fund,Collateral Income,263822616.9
1/10/2000,OR# 2953765,Excess allowances of Philcomsat Directors,Collateral Income,40320
1/28/2000,OR# 2953767,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
2/4/2000,OR# 2953768,Excess allowances of Philcomsat Directors,Collateral Income,40320
2/15/2000,JEV#0144571,Transfer of Esrow deposit to CARP Fund,Collateral Income,4403102.16
3/6/2000,OR# 2953769,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
3/21/2000,OR# 2953779,Excess allowances of Philcomsat Directors,Collateral Income,40320
3/29/2000,OR# 2953780,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
3/29/2000,OR# 2953781,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
4/5/2000,OR# 2953782,Excess allowances of Philcomsat Directors,Collateral Income,40320
4/26/2000,OR# 2953783,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
5/4/2000,OR# 2270708,Cash dividend from Chemfields Inc remitted by Mid-Pasig Land Dev't Corp,Collateral Income,10000000
5/4/2000,OR# 2270709,Cash dividend from Chemfields Inc remitted by Performance Investment Corp,Collateral Income,10000000
5/4/2000,OR# 2270710,Cash dividend from Chemfields Inc remitted by Independent Realty Corp,Collateral Income,10000000
5/12/2000,OR# 2953784,Excess allowances of Philcomsat Directors,Collateral Income,40320
6/2/2000,OR# 2953785,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
6/6/2000,OR# 2953786,Excess allowances of Philcomsat Directors,Collateral Income,40320
6/21/2000,OR# 2953787,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
6/28/2000,OR# 2953788,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
7/24/2000,OR# 2953792,Excess allowances of Philcomsat Directors,Collateral Income,40320
8/9/2000,OR# 2953794,Excess allowances of Philcomsat Directors,Collateral Income,40320
8/15/2000,OR# 2953795,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
8/31/2000,OR# 2953796,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
9/13/2000,OR# 2953797,Excess allowances of Philcomsat Directors,Collateral Income,40320
10/5/2000,OR# 2953799,Excess allowances of Philcomsat Directors,Collateral Income,40320
10/11/2000,OR# 9971401,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
11/13/2000,OR# 9971405,Per Diem of PLDT Director which was waived for CARP Fund,Collateral Income,125000
11/20/2000,OR# 9971406,Excess allowances of Philcomsat Directors,Collateral Income,40320
1/29/2001,OR# 9971413,Excess allowances of Philcomsat Directors for the month of November and December,Collateral Income,80640
2/13/2001,OR# 9971414,"Remittance by Sand igan Bayan of the proceeds in the implementation of the Third Alias Writ of Execution dtd December 1, 2000",Collateral Income,81933969.5
2/28/2001,Jev#0144592,PCGG space rentals for the use of 3 vault spaces for the months of November and December 2000,-,-34320
3/31/2001,OR# 9971416,"Proceeds of the sale of Bataan property located at Mariveles, Bataan",Proceeds from disposition of Recovered Assets,4168927.26
3/31/2001,OR# 9971417,Excess allowances of Philcomsat Directors for the month of November and,Collateral Income,80640
4/20/2001,OR# 9971419,Excess allowances of Philcomsat Directors,Collateral Income,40320
5/11/2001,OR# 9971420,Excess allowances of Philcomsat Directors,Collateral Income,40320
5/23/2001,OR# 9971421,SMC's directors fees from May 2000 to March 2001,Collateral Income,27164500
5/31/2001,JEV# 0144595,Pre-terminated trust deposit by PCGG with LBP which was transferred and credited to the TOP account with BSP Proceeds of sale of BATAAN Fairchild property,Proceeds from disposition of Recovered Assets,240464012.1
6/15/2001,OR# 9971422,Excess allowance of Philcomsat Directors,Collateral Income,40320
7/13/2001,OR# 9971423,Excess allowance of Philcomsat Directors,Collateral Income,40320
8/10/2001,OR# 9971424,Excess allowance of Philcomsat Directors,Collateral Income,40320
8/31/2001,JEV# 0144598,"Share of Mr. Anos fonacier from the proceeds of Cebu Plaza Hotel which was surrenderred to the NG per DBM letter dated July 20, 2001",Proceeds from disposition of Recovered Assets,11235679
9/7/2001,OR# 9971429,Excess allowances of Philcomsat Directors,Collateral Income,40320
9/7/2001,OR# 9971428,SMC's cash dividend for the 3rd quarter of CY 2001,Collateral Income,6899123.55
10/11/2001,OR# 9971432,Excess allowances of Philcomsat Directors,Collateral Income,35840
10/30/2001,JEV# 0146007,proceeds from sale of Caloocan property,Proceeds from disposition of Recovered Assets,557392.14
10/30/2001,Various JEV's,PCGG space rentals for use of 3 vault spaces for the year 2001,-,-145391.02
10/30/2001,JEV# 0146007,Philcomsat Durectors fees in CY 1999,Collateral Income,28941908.31
11/15/2001,OR# 9971433,Excess allowances of Philcomsat Directors,Collateral Income,35840
12/11/2001,OR# 9971434,Excess allowances of Philcomsat Directors,Collateral Income,35840
12/21/2001,OR# 9971436,SMC's cash dividend for December 2001,Collateral Income,6899102.25
12/28/2001,JEV# 0146014,Proceeds from the sale of IBC 13,Proceeds from disposition of Recovered Assets,89813551.24
12/28/2001,JEV# 0146015,PCGG's space rentals for the uses of 3 vault spaces,-,-108000.75
12/28/2001,JEV# 0146016,PCGG's space rentals for the uses of 3 vault spaces,-,-30280.25
1/11/2002,JEV# 02032113,Proceeds of sale of Cebu property,Proceeds from disposition of Recovered Assets,9633920.44
1/31/2002,OR# 6588794,Excess allowance of Philcomsat,Collateral Income,17280
2/15/2002,OR# 6588828,Excess allowance of Philcomsat,Collateral Income,17280
3/14/2002,Transmittal letter,Proceeds of sale of Cebu property,Proceeds from disposition of Recovered Assets,1086182.99
3/15/2002,OR# 6588896,Excess allowance of Philcomsat,Collateral Income,17280
4/29/2002,JEV#02054524,Proceeds from sale of Meralco shares of stocks,Proceeds from disposition of Recovered Assets,76917626.93
4/30/2002,OR# 2282450,Excess allowance of Philcomsat,Collateral Income,17280
5/20/2002,OR# 2950397,SMC Director's fees,Collateral Income,21582396.2
5/27/2002,OR# 6582475,Excess allowance of Philcomsat,Collateral Income,27840
6/6/2002,OR# 2278821,SMC cash dividends,Collateral Income,9649993.15
6/18/2002,OR# 3268560,SMC Director's fees,Collateral Income,1575
6/28/2002,OR# 3268612,SMC cash dividends,Collateral Income,8271422.7
8/29/2002,OR# 3270366,SMC cash dividends,Collateral Income,8271422.7
9/11/2002,OR# 3270427,Cash dividends-Chemfield(PIC),Collateral Income,7300000
9/11/2002,OR# 3270428,Cash dividends-Chemfield(MLDC),Collateral Income,7300000
9/11/2002,OR# 3270429,Cash dividends-Chemfield(IRC),Collateral Income,7300000
10/23/2002,OR# 4164118,Cash Dividends-Philcomsat,Collateral Income,139200
11/6/2002,OR# 4165008,SMC cash dividends,Collateral Income,8271422.7
11/28/2002,OR# 4165090,Cash Dividends-Philcomsat,Collateral Income,27840
1/28/2003,OR# 4167043,SMC Cash dividends,Collateral Income,8271422.7
2/7/2003,JEV#03-02-1124,Proceeds from Sale Picasso Painting,Proceeds from disposition of Recovered Assets,21449729.27
2/28/2003,OR# 4167167,Payment for lost property,Proceeds from disposition of Recovered Assets,5000
5/16/2003,OR# 4167706,Payment for lost property,Proceeds from disposition of Recovered Assets,5667
5/16/2003,OR# 4167705,SMC Cash dividends,Collateral Income,8271422.7
5/20/2003,OR# 4167719,SMC Excess Director's fee,Collateral Income,40210082.5
8/8/2003,OR# 4168296,SMC Cash dividends,Collateral Income,44340.52
8/18/2003,OR# 4168540,UCPB Director's fee,Collateral Income,366120
8/18/2003,OR# 4168539,SMC Cash dividends,Collateral Income,8279969.55
11/11/2003,OR# 8448018,SMC Cash dividends,Collateral Income,9659964.47
11/11/2003,OR# 8448017,COCOCHEM Director's fee,Collateral Income,19908959.04
1/28/2004,OR# 8451029,Cash dividend from SMC for the 1st quarter of 2004,Collateral Income,9659964.47
2/4/2004,JEV# 04-02-0963,"Swiss Deposits which were forfieted in favor of the ROP: amount recovered by PCGG in GR No 152154 subject of Writ of Execution on Jan 22, 2004",Proceeds from disposition of Recovered Assets,35043241671
2/27/2004,JEV# 04-02-1692,PCGG Remittance for CARP Fund(RGB),Collateral Income,18735132.79
4/26/2004,OR# 9389747,PCGG Remittance for CARP Fund(Partial redemption of LBP Bonds),Proceeds from disposition of Recovered Assets,4776445.38
5/12/2004,OR# 9389800,Cash dividend from SMC,Collateral Income,9659964.47
5/12/2004,OR# 9389799,Director's fees for the 5 nominated directors of SMC for CY 2003,Collateral Income,40278682.5
6/14/2004,OR# 9389928,Profit sharing accruing to Board of Directors of PCGG in COCOCHEM,Collateral Income,14159990
6/28/2004,OR# 9389977,Partial redemption of LBP bonds issued by LBP,Proceeds from disposition of Recovered Assets,2508750.55
7/13/2004,OR# 6019700,Interest on the cash component of the partial compensation paid by the LBP to PCGG,Collateral Income,394418.11
9/21/2004,OR# 6028510,Dividends from IRC Group of Companies,Collateral Income,15000000
12/16/2004,OR# 60284045,"Proceeds from LBP bonds partial redemption issued to PCGG as absolute owner of certain haciendas, 40% of which were ceded to it by Roberto Benedicto",Proceeds from disposition of Recovered Assets,1773392.24
1/26/2005,OR# 3848252,"Proceeds of the partial redemtion of LBP bonds issued by LBP to PCGG as absolute owner of a certain haciendas, 40% of which were ceded to it by Roberto Benedicto",Proceeds from disposition of Recovered Assets,609006.16
3/11/2005,OR# 8025343,Prior year's income from Independent Realty Corp,Collateral Income,10000000
4/7/2005,OR# 0600050,Cash Proceeds from antitrust settlement with respect to the proof of claim with the sale of Picasso paintings at Christie's,Proceeds from disposition of Recovered Assets,480586.64
5/23/2005,OR# 0600228,Proceeds of the partial redemption of LBP Bonds issued by LBP to PCGG,Proceeds from disposition of Recovered Assets,632371.89
6/21/2005,OR# 0600318,Profit sharing accruing to Directors of PCGG in the Board of COCOCHEM on CY 2004,Collateral Income,4293500
6/21/2005,OR# 7962024,Representing 2004 Director's fees for five(5) PCGG nominated directors in SMC,Collateral Income,24002444.33
7/20/2005,OR# 7962156,Proceeds of the partial redemption of LBP Bonds issued by LBP to PCGG,Proceeds from disposition of Recovered Assets,1295443.03
7/28/2005,OR# 7962195,IRC group of companies remittance to CARP,Collateral Income,10000000
10/10/2005,OR# 7964727,Proceeds of the partial redemption of LBP Bonds issued by LBP to PCGG,Proceeds from disposition of Recovered Assets,1534491.03
11/17/2005,OR# 7964903,PCGG remittance for CARP Fund,Collateral Income,4057268.09
5/25/2006,OR# 9991677,Director's fees of the five nominated directors of SMC for CY 2003,Collateral Income,25574000
8/29/2006,OR# 8348392,Proceeds of the partial redemtion of LBP bonds issued by LBP to PCGG,Proceeds from disposition of Recovered Assets,2439512.35
11/28/2006,OR# 8351995,Remittance to CARP Fund,Collateral Income,20000000
1/4/2007,OR# 4357333,Remittance of the Independent Realty Corp from the sale of Soriano Corp shares of Stocks,Proceeds from disposition of Recovered Assets,3000000
2/28/2007,JEV# 07-02-2008,Proceeds from the sale of 111415 share of PTIC remitted by Metro Pacific Holdings,Proceeds from disposition of Recovered Assets,25238759508
3/13/2007,OR# 4357603,Remittance to CARP Fund,Collateral Income,2002319.19
6/4/2007,OR# 4357393,Director's fees of the five nominated directors in SMC remitted under CARP Fund,Collateral Income,23850296.34
10/24/2007,OR# 4353497,Proceeds of the partial redemtion of LBP bonds issued by LBP to PCGG,Proceeds from disposition of Recovered Assets,2976907.61
2/8/2008,OR# 4363881,Sale of Tagaytay property,Proceeds from disposition of Recovered Assets,135176508.7
2/27/2008,OR# 4363940,Bid Bond posted by the buyer for the sale pof Tagaytay Property,Collateral Income,17265972.87
4/21/2008,OR# 1493277,Proceeds from the sale of Eastern Telecommunicactions Phils(ETPI) share disposed by PMO,Collateral Income,93890908.98
7/9/2008,OR# 1493565,Proceeds of the partial redemption of LBP bonds issued by LBP to PCGG,Collateral Income,2084093.55
7/15/2008,OR# 1493586,Director's fee for the five PCGG directors in San Miquel Corp(SMC),Collateral Income,17424791.1
8/8/2008,OR# 1493681,Payment of cash dividends by PTIC pertaining to the shares of Prime holdings Inc,Collateral Income,536990792.4
9/12/2008,OR# 1493825,Proceeds from the sale of Bulletin shares of stocks sold by Hanz Menzi holdings and Management Inc to Bulletin Publishing Corp,Proceeds from disposition of Recovered Assets,147361700
11/24/2008,OR# 1494094,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,277966821.3
12/4/2008,OR# 1494131,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,112258938.6
12/24/2008,JEV# 08-12-13335,"Proceeds from the sale of Meralco shares and cash dividends, as well as the interrest thereon",Collateral Income,711048037.2
1/15/2009,OR# 1494287,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,93248289
1/19/2009,OR# 1494303,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,148217051.2
2/3/2009,OR# 1494369,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,87274291.5
4/1/2009,JEV# 09-04-3034,Amount transferred to the Office of the Solicitor GeneraL (OSG) Fund 152,-,-18263312.87
4/3/2009,OR# 1496665,Proceeds from the sale of Lepanto Consolisated Mining Co shares of stocks by IRC Group of Companies,Collateral Income,15162114.63
5/29/2009,OR# 1496889,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,104433.5
6/4/2009,OR# 1496908,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,778996.7
6/18/2009,OR# 1496965,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,3281850
7/7/2009,OR# 1497067,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,102000000
7/20/2009,OR# 1497111,Director's fee for the five PCGG directors in San Miquel Corp(SMC),Collateral Income,17320391.1
8/6/2009,OR# 1497194,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,38250000
8/13/2009,OR# 1497229,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,53848595.65
9/3/2009,OR# 1497331,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,212500000
10/16/2009,OR# 1497501,Cash Dividends from Philippine Telecom Investment Corp (PTIC),Collateral Income,450904
12/21/2009,OR# 1497791,Proceeds of the partial redemption of LBP bonds issued by LBP to PCGG,Proceeds from disposition of Recovered Assets,4289427.65
4/15/2010,OR# 4677477,Monetary settlement from Consolidated Prime Dev't Corp,Proceeds from disposition of Recovered Assets,80181818.19
6/28/2010,OR# 4677730,"Proceeds from sale of 454,600 shares of Philex Mining Corp by IRC Group of companies",Proceeds from disposition of Recovered Assets,5237442.06
6/28/2010,OR# 4677731,Proceeds from Port Centre Dev't Corp by IRC Group of Companies,Proceeds from disposition of Recovered Assets,13677618.34
6/28/2010,OR# 4677729,Lease Income from Payanig Property by the IRC Group of Companies,Collateral Income,27000000
7/1/2010,OR# 4677746,Lease Income from Payanig Property by the IRC Group of Companies,Collateral Income,27000000
7/1/2010,OR# 4677745,Lease Income from Payanig Property by the IRC Group of Companies,Collateral Income,18000000
12/20/2010,JEV#10-12-11804,Adjustment of PCGG remittance on 4/15/10 re: 5% share of OSG on the monetary settlements from the Consolidated Prime Dev't Corp,-,-4454545.45
12/29/2010,OR# 5440491,From GEI Account under PCGG Civil Case No 190 (RP vs Fe Roa Gimenez Ignacio Gimenez and Roberto Oland ay,Proceeds from disposition of Recovered Assets,322125505.7
2/18/2011,OR# 5440861,Remittance from IRC Group of Companies,Collateral Income,10800000
3/31/2011,JEV#11-03-03143,Transfer of PCGG Escrow Deposit to Agrarian reform fund as requested by Comm Richard Amurao and Chairman and res Bautista by PCGG,Proceeds from disposition of Recovered Assets,68522811.71
8/2/2011,JEV#11-08-07795,Transfer of PCGG Escrow Deposit to Agrarian reform fund as requested by Comm Richard Amurao and Chairman and res Bautista by PCGG,Proceeds from disposition of Recovered Assets,21445067.11
9/14/2011,OR# 5442453,Remittance from IRC Group of Companies,Collateral Income,9000000
10/19/2011,OR# 5442622,Proceeds of the redemption of AR bonds issued by LBP to PCGG as the absolute owner of certain haciendas of which 40% were ceded to it by Roberto Benedicto,Proceeds from disposition of Recovered Assets,4065794.69
12/8/2011,OR# 5443837,Remittance from IRC Group of Companies,Collateral Income,4320000
12/28/2011,OR# 5443940,Remittance from Mid-Pasig Land Dev't Corp,Collateral Income,61410410.27
12/28/2011,OR# 5443939,Remittance from Independent Realty Corp,Collateral Income,107789589.7
2/6/2012,OR# 5444149,Rental payment from Globe Telecom,Collateral Income,42592.13
3/5/2012,OR# 5444298,Rental payment from Globe Telecom,Collateral Income,42592.13
4/12/2012,OR# 5444490,Rental payment from Globe Telecom,Collateral Income,42592.13
5/7/2012,OR# 5444595,Rental payment from Globe Telecom,Collateral Income,42592.13
6/5/2012,OR# 5444723,Rental payment from Globe Telecom,Collateral Income,42592.13
6/28/2012,OR# 5444839,Rental payment from Globe Telecom,Collateral Income,42592.13
7/10/2012,OR# 5444913,Collection out of the compromise agreement by and between Roberto Benedicto and PCGG,Proceeds from disposition of Recovered Assets,18094922.86
8/2/2012,OR# 4700013,Rental payment from Globe Telecom,Collateral Income,42592.13
9/4/2012,OR# 4700133,Rental payment from Globe Telecom,Collateral Income,42592.13
9/19/2012,OR# 4700217,Collection out of the compromise agreement by and between Roberto Benedicto and PCGG,Proceeds from disposition of Recovered Assets,1862173.73
9/28/2012,JEV#12-09-09223,Remittance via Phil Dollar Domestic Transfer System from PNB credited to BTR dollar Account,Collateral Income,380547000
10/4/2012,OR# 4700296,Rental payment from Globe Telecom,Collateral Income,42592.13
11/15/2012,OR# 4700434,Rental payment from Globe Telecom,Collateral Income,42592.13
12/6/2012,OR# 4700551,Rental payment from Globe Telecom,Collateral Income,42592.13
12/27/2012,OR# 4700658,Remaining balance of Meralco shares,Proceeds from disposition of Recovered Assets,54515697.29
12/27/2012,OR# 4700657,Rental payment from Globe Telecom,Collateral Income,4752000
1/16/2013,OR# 4700790,Rental payment from Globe Telecom,Collateral Income,42592.13
2/4/2013,OR# 4702103,Rental payment from Globe Telecom,Collateral Income,42592.13
3/11/2013,OR# 4702287,Rental payment from Globe Telecom,Collateral Income,42592.13
