Shelter Repair and Livelihood Rehabilitation Support to Typhoon Affected Families in Region II - Philippines,IOM,"DSWD, NDCC, OCD, LGUs",0.67,0.67,0.69,0.69,15-Dec-10,14-Jun-11,Social Reform and Community Development,II,II,Emergency / Relief,Emergency / Relief,,,,,
"Emergency Relief Assist to the Typhoon & Flood Affected Population in Region II & III, Philippines",IOM,"NDRRMC, DSWD",0.75,0.75,0.00,0.00,14-Nov-11,13-May-12,Social Reform and Community Development,Multi-regional,"II, III",Emergency / Relief,Emergency / Relief,,,,,
"Health Assistance to Families in Conflict Affected Areas in Mindanao, Philippines",IOM,"DOH, DSWD, LGUs",0.19,0.19,0.02,0.02,15-Sep-11,14-Mar-12,Social Reform and Community Development,Multi-regional,CAAM,Emergency / Relief,Emergency / Relief,,,,,
"Emergency Camp Coordination and Management and Essential NFI Distribution Support to Flood Affected Populations of Central Mindanao, Philippines",IOM,LGUs  ,1.50,1.50,0.58,0.58,15-Jul-11,14-Jun-12,Social Reform and Community Development,Multi-regional,Central Mindanao,Emergency / Relief,Emergency / Relief,,,,,
"Assisting Sustainable Internally Displaced Persons (IDP) Return to Communities of Origin in Maguindanao, Philippines",IOM,LGUs / Local NGOs,0.26,0.26,0.26,0.26,15-Jul-10,14-Jun-11,Social Reform and Community Development,Multi-regional,"ARMM, Central Mindanao",Emergency / Relief,Emergency / Relief,,,,,
"Camp Management Support and Emergency NFI Distribution to Flood-Affected Families in Camarines Sur Province, Philippines",IOM,"DSWD, NDCC",0.28,0.28,0.22,0.22,08-Sep-11,07-Dec-11,Social Reform and Community Development,V,V,Emergency / Relief,Emergency / Relief,,,,,
Emergency Shelter Assistance to Typhoon-Affected Families in Region 10,IOM,"DSWD, NDCC",1.00,1.00,0.00,0.00,23-Dec-11,22-Jun-12,Social Reform and Community Development,X,X,Emergency / Relief,Emergency / Relief,,,,,
CCCM & NFI Support to Typhoon-Affected Communities in Cagayan de Oro and Iligan City ,IOM,"DSWD, NDCC",0.50,0.50,0.00,0.00,21-Dec-11,04-Jan-12,Social Reform and Community Development,X,X,Emergency / Relief,Emergency / Relief,,,,,
Emergency Assistance to Typhoon-Affected Families in Region 10,IOM,"DSWD, NDCC",0.75,0.75,0.00,0.00,20-Dec-11,19-Mar-12,Social Reform and Community Development,X,X,Emergency / Relief,Emergency / Relief,,,,,
"Camp Management Support and Emergency NFI Distribution to Flood Affected Families in Cotabato City, Central Mindanao, Philippines",IOM,"DSWD, NDCC ",0.14,0.14,0.14,0.14,15-Jul-11,14-Oct-11,Social Reform and Community Development,XII,XII,Emergency / Relief,Emergency / Relief,,,,,
Alternatives to Migration - Decent Jobs for Filipino Youth ,IOM,"DepEd, DOLE, NYC, TESDA, LGUs",1.82,1.82,0.99,0.99,28-Jul-09,27-Jul-12,Social Reform and Community Development,Multi-regional," V, VI, ARMM, XIII",Others,Others,,,,,
Migration Profile Development Programme for the Philippines,IOM,"DFA, DOLE, CFO",0.10,0.10,0.00,0.00,01-Dec-11,30-Nov-12,Social Reform and Community Development,Nationwide,Nationwide,Others,Others,,,,,
"GFMD Migration and Development Series - 'Migration Profiles as a Tool for Informed Policy Making, Integration and Reintegration and Emergency Response' ",IOM,"DFA, DOLE",0.06,0.06,0.34,0.34,01-Oct-11,30-Apr-12,Social Reform and Community Development,Nationwide,Nationwide,Others,Others,,,,,
Improving Knowledge of Remittance Corridors and Enhancing Development Through Inter-regional Dialogue and Pilot Projects in South-East Asia and Europe (Special Focus on the Philippines and Indonesia) ,IOM,DOLE,0.05,0.05,0.05,0.05,07-Jun-10,28-Feb-11,Social Reform and Community Development,Nationwide,Nationwide,Others,Others,,,,,
Mainstreaming Migration in Local Development Plans - A Pilot Project for the Philippines,IOM,"DILG, LGUs",0.10,0.10,0.03,0.03,01-Jan-11,30-Jun-12,Social Reform and Community Development,V,V,Others,Others,,,,,
Technical Assistance to the EU-Philippine Justice Support Programme (EP JUST) ,IOM,DOJ,3.19,3.19,3.18,3.18,13-Nov-09,07-Apr-11,Governance and Institutions Development,Nationwide,Nationwide,TA,TA,,,,,
JICA,,,,,,,,,,,,,,,,,,
"F/U Cooperation for TCP ""Establishment of Ecological Solid Waste Management in Three Cities""",JICA,NSWMC,,0.02,,0.02,14-Jan-11,31-Mar-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"VI, VIII, XI",Others,Follow-up,,,,,
F/U Cooperation for the Project for Improvement of Water Quality in Local Areas,JICA,LWUA,,0.85,,0.85,01-Jul-10,31-May-11,Infrastructure,Multi-regional,"I, IVA, VI, VIII",Others,Follow-up,,,,,
Follow-Up Research for 2010 TRS,JICA,BOC,,0.04,,0.04,01-Sep-11,31-Mar-12,Governance and Institutions Development,Nationwide,Nationwide,Others,Follow-up,,,,,
F/U Cooperation for the Project in Benguet General Hospital,JICA,LGU: Benguet,,0.16,,0.16,15-Jun-11,02-Jul-12,Social Reform and Community Development,Nationwide,Nationwide,Others,Follow-up,,,,,
F/U Cooperation for the Project in Benguet General Hospital,JICA,PG of Benguet,12.77,0.01,12.77,0.01,15-Jun-11,02-Jul-12,Social Reform and Community Development,Nationwide,Nationwide,Others,Follow-up,,,,,
Follow up Cooperation for SERD-CAAM,JICA,OPAPP/BDA,,0.01,,0.01,01-Feb-11,31-Mar-11,Governance and Institutions Development,XII,XII,Others,Follow-up,,,,,
Special Assistance for Project Sustainability on Malitubog-Maridagao Irrigation Project,JICA,DA/NIA/ATI,,0.16,,0.16,10-Mar-11,28-Jun-11,"Agriculture, Agrarian Reform and Natural Resources",ARMM,ARMM,TA,TA (Study),,,,,
Special Assistance for Project Implementation and Impact Assessment for ARMM Social Fund for Peace and Development,JICA,ARMMSF-PMO,,0.20,,0.20,05-Jan-11,11-Mar-11,Social Reform and Community Development,ARMM,ARMM,TA,TA (Study),,,,,
Preparatory Survey for the Project on Flood Disaster Management for Mindanao River,JICA,DPWH,,0.36,,0.36,21-Jan-10,24-Jun-11,Infrastructure,Multi-regional,Mindanao-wide,TA,TA (Study),,,,,
Data Collection Survey on Agricultural Information Support System with the use of ICT,JICA,DA,,0.17,,0.17,01-Jun-11,15-Sep-11,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TA,TA (Study),,,,,
Study on Institutional Improvement for PPP in the Philippines,JICA,NEDA/DOF,,0.63,,0.63,25-Feb-11,30-Nov-11,Governance and Institutions Development,Nationwide,Nationwide,TA,TA (Study),,,,,
Assistance for formulating strategy and plan for road operation and maintenance,JICA,DPWH,,0.11,,0.11,27-Sep-10,14-Dec-11,Infrastructure,Nationwide,Nationwide,TA,TA (Study),,,,,
Development Study on Energy Efficiency and Conservation for the Philippines,JICA,DOE,,0.24,,0.24,01-Jan-11,31-Mar-12,Infrastructure,Nationwide,Nationwide,TA,TA (Development Study),,,,,
Pasig-Marikina River Channel Improvement Project Phhase3,JICA,DPWH,,0.33,,0.33,15-Sep-10,30-Jul-11,Infrastructure,Nationwide,Nationwide,TA,TA (Study),,,,,
Development of Community-driven Enterprise Development Framework for Social Protection Reform,JICA,DSWD,,0.11,,0.11,01-Feb-11,29-Jul-11,Social Reform and Community Development,Nationwide,Nationwide,TA,TA (Study),,,,,
Project Formulation and Monitoring in Social Security Sector,JICA,DSWD,,0.13,,0.13,01-Mar-11,28-Feb-12,Social Reform and Community Development,Nationwide,Nationwide,TA,TA (Study),,,,,
Development of DBP Program Monitoring System (DPMS),JICA,DBP,,0.03,,0.03,05-Apr-10,04-Feb-11,Governance and Institutions Development,NCR,NCR,TA,TA (Study),,,,,
Formulation and Monitoring of Development Policy Support Program,JICA,DOF,,0.23,,0.23,11-Apr-10,11-Mar-11,Governance and Institutions Development,NCR,NCR,TA,TA (Study),,,,,
Assistance for formulation on Route Rationalization and Stabilization Measurement,JICA,DOTC-MIA,,0.09,,0.09,01-Jul-10,30-Jun-11,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Consultancy Services for Manila Water Supply Preliminary Environmental and Social Impact Study,JICA,MWSS,,0.03,,0.03,09-Sep-11,09-Dec-11,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Preparatory Study for Metro Manila Interchange Construction Project (VI),JICA,DPWH,,0.53,,0.53,14-Oct-11,30-Nov-12,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Preparatory Survey for Expressway Projects in Mega Manila Region,JICA,DPWH,,1.02,,1.02,14-Feb-11,30-Jun-12,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Preparatory Survey for PPP Project for Develeopment of a connector road in Manila,JICA,DPWH,,1.69,,1.69,07-Dec-10,04-Nov-11,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Preparatory Survey on LRT Line 2 Extension Project,JICA,LRTA,,1.03,,1.03,01-Jan-11,17-Oct-12,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Preparatory Survey Phase 2 for Metro Manila Sewerage and Sanitation Improvement Project,JICA,MWSS/MMDA,,0.45,,0.45,07-Jun-10,31-Jul-11,Infrastructure,NCR,NCR,TA,TA (Study),,,,,
Preparatory Survey for Expressway Projects in Mega Manila Region,JICA,DPWH,81.06,0.00,81.06,0.00,14-Feb-11,30-Jun-12,Infrastructure,NCR,NCR,TA,Study,,,,,
Emergency and Educational Preparedness Program of Albay for Mayon Volcano Disaster Areas,JICA,LGU: Albay,,0.28,,0.28,26-Jul-10,31-Mar-11,Governance and Institutions Development,V,V,TA,TA (Study),,,,,
Survey on Water Supply Operation and Management in Metro Cebu,JICA,LGU: Cebu,,0.06,,0.06,03-Mar-11,15-Mar-11,Infrastructure,VII,VII,TA,TA (Study),,,,,
Preparatory Study on New Bohol Airport Construction and Sustainable Environment Protection Project,JICA,DOT/DOTC,,0.80,,0.80,15-Apr-11,31-Aug-12,Infrastructure,VIII,VI,TA,TA (Study),,,,,
Rice-Based Farming Systems Training and Support Program for the ARMM,JICA,PhilRice,1.41,1.41,1.41,1.41,02-Feb-05,01-Feb-10,"Agriculture, Agrarian Reform and Natural Resources",ARMM,ARMM,TCP,TCP,,,,,
ARMM Human Capacity Development Project,JICA,LGU: ARMM,,5.03,,5.03,18-May-08,31-Mar-13,Governance and Institutions Development,ARMM,ARMM,TCP,TCP,,,,,
ARMM Human Capacity Development Project,JICA,LGU: ARMM,3.43,3.43,3.43,3.43,01-May-08,31-Mar-11,Governance and Institutions Development,ARMM,ARMM,TCP,TCP,,,,,
Expert for Monitoring of Yen Loan Projects in Mindanao,JICA,ARMM,,0.10,,0.10,16-Apr-08,31-Mar-12,Governance and Institutions Development,ARMM,ARMM,TCP,TCP (Individual Expert),,,,,
Senior Advisor for Regional Development of ARMM,JICA,LGU: ARMM,,0.35,,0.35,14-Jul-10,13-Jul-12,Governance and Institutions Development,ARMM,ARMM,TCP,TCP (Individual Expert),,,,,
Development Study on Promotion of Local Industry in ARMM,JICA,LGU: ARMM,,2.88,,2.88,15-Mar-10,31-Mar-12,"Industry, Trade and Tourism",ARMM,ARMM,TCP,TCP (Training),,,,,
Project of Strengthening of Local Health System in the Province of Benguet,JICA,LGU: Benguet/DOH,,4.59,,4.59,16-Mar-06,15-Mar-11,Social Reform and Community Development,II,II,TCP,TCP,,,,,
Project of Strengthening of Local Social Reform and Community Development System in the Province of Benguet,JICA,"DOH-CHD CAR, LGU: Benguet",3.98,3.98,3.98,3.98,16-Mar-06,15-Mar-11,Social Reform and Community Development,II,II,TCP,TCP,,,,,
The Project for Cordillera-wide Strengthening of the Local Health System for Effective and Efficient Delivery of Maternal and Child Health Services,JICA,DOH,,0.06,,0.06,01-Feb-12,31-Jan-17,Social Reform and Community Development,II,II,TCP,TCP (Training),,,,,
Study on Integrated Water Resources Management for Poverty Alleviation and Economic Development in Pampanga River Basin,JICA,NWRB,,3.02,,3.02,01-Feb-09,07-Feb-11,Infrastructure,III,III,TCP,TCP,,,,,
Project for Income Generation through Development and Management of an Agroforestry Farm,JICA,,0.11,0.11,0.11,0.11,01-Jan-09,01-Sep-12,"Agriculture, Agrarian Reform and Natural Resources",IVA,IVA,TCP,TCP,,,,,
Aurora Province Hospital Construction,JICA,LGU: Aurora,12.41,12.41,12.41,12.41,,,Social Reform and Community Development,IVB,IVB,TCP,TCP,,,,,
Enhancing the Competitiveness of Fresh and Semi Processed Agricultural Product Through the Application on Appropriate & Sustainable Packaging Technology,JICA,DOST,,0.02,,0.02,01-Jan-12,31-Mar-15,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Improving Financial Access of Small Scale Farmers in Mindanao,JICA,,0.75,0.75,0.75,0.75,01-Sep-11,01-Aug-14,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Mindanao-wide,TCP,TCP,,,,,
Irrigators Association Strengthening Support Technical Cooperation Project,JICA,NIA,,2.17,,2.17,01-Oct-07,30-Sep-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"I, VI, XI",TCP,TCP,,,,,
Negros Silk Industry Support Project,JICA,,0.67,0.67,0.67,0.67,01-Sep-11,01-Aug-14,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"VI, VII",TCP,TCP,,,,,
Planning and Policy Advisor on Agribusiness Development,JICA,DA,,0.17,,0.17,01-Aug-10,31-Jul-12,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Project on Integrated Coastal Ecosystem Conservation and Adaptive Management under Local and Global Environmental Impacts in the Philippines,JICA,"UP-MSI, UP Visayas, MSU-Naawan",,2.35,,2.35,28-Feb-10,27-Feb-15,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,"I,IVB,VI",TCP,TCP (Training),,,,,
Project on the Development and Promotion of Location - Specific Integrated High - Yielding Rice Technologies,JICA,PhilRice,5.54,5.54,5.54,5.54,15-Nov-04,14-Nov-09,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,TCP,,,,,
Irrigators Association Strengthening Support Technical Cooperation Project,JICA,NIA,188.50,2.37,188.50,2.37,01-Oct-07,30-Sep-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,TCP,,,,,
Planning of Agricultural Policy,JICA,,0.84,0.06,0.84,0.06,28-Aug-11,23-Sep-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,Training,,,,,
Capacity Development of Policy Making in Climate Change Adaptation (CCA) in Water Sector(A),JICA,,0.07,0.03,0.07,0.03,27-Nov-11,08-Dec-11,"Agriculture, Agrarian Reform and Natural Resources",Multi-regional,Specific regions not identified,TCP,Training,,,,,
Capacity Development on Tourism Statistics in Local Government Units (LGUs),JICA,DOT,,1.74,,1.74,01-Mar-09,31-Mar-12,Governance and Institutions Development,Multi-regional,"NCR, IVB, VI, VII",TCP,TCP (Training),,,,,
Counterpart Training Program on Criminal Identification,JICA,PNP,,0.03,,0.03,01-Sep-10,30-Dec-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Counterpart Training Program on Enhancing Capacity of Criminal Investigation,JICA,PNP,,0.01,,0.01,01-Apr-11,31-Mar-12,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Debt and Risk Management Training,JICA,DOF,,0.05,,0.05,01-Feb-11,31-Mar-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Forensic Science,JICA,PNP,,0.11,,0.11,07-Mar-11,25-Mar-13,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
In-Country Training Program Phase 2: Empowering Farmers Through Capacity Development in Operation and Maintenance System and Technology in Agrarian Reform Communities,JICA,DAR,,0.19,,0.19,01-Dec-09,31-Mar-14,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Trainers' Training on the Scientific Method of Processing Fingerprints,JICA,PNP,,0.05,,0.05,01-Sep-11,31-Mar-14,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
"Seismology, Earthquake Engineering and Disaster Management Policy",JICA,,4.79,0.01,4.79,0.01,02-Sep-10,31-Aug-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Production and Development of Official Statistics in Support for National Development including the Achievement of MDGs,JICA,,2.39,0.01,2.39,0.01,10-Nov-10,19-Mar-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Project Management for E-government Promotion,JICA,with GOP as one of the beneficiaries,0.16,0.05,0.16,0.05,26-Feb-11,04-Jun-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Database Management for E-Government Promotion,JICA,with GOP as one of the beneficiaries,0.77,0.01,0.77,0.01,11-Jan-11,04-Jun-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Web Application Development (Vendor) for E-Government Promotion,JICA,with GOP as one of the beneficiaries,1.87,0.00,1.87,0.00,06-Jan-11,04-Jun-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Police Info-Communications,JICA,,0.54,0.01,0.54,0.01,17-Jan-11,04-Feb-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Production and Development of Official Statistics in Support for National Development including the Achievement of MDGs,JICA,,2.71,0.01,2.71,0.01,17-Aug-11,23-Dec-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
National and Regional Development Policy,JICA,,0.60,0.00,0.60,0.00,06-Sep-11,22-Oct-11,Governance and Institutions Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Advanced IT Human Resource Development Project,JICA,UP,0.03,1.04,,1.04,01-Mar-10,28-Feb-11,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Capacity Development Project on Water Quality  Management in the Philippines,JICA,DENR-EMB,,9.20,,9.20,31-Jan-06,30-Jan-11,Infrastructure,Multi-regional,"NCR, III, VI, XII",TCP,TCP,,,,,
Coast Guard Administration,JICA,DOTC-PCG,,0.19,,0.19,02-Dec-09,01-Dec-12,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Project for Rural Electrification in Northern Luzon,JICA,DOE,,,,,,,Infrastructure,Multi-regional,Northern Luzon-wide,TCP,TCP,,,,,
Project for the Study on Airport Strategy for the Greater Capital Region in the Republic of the Philippines,JICA,DOTC,,2.42,,2.42,12-Nov-10,30-Nov-11,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Project Monitoring Expert for Post Ondoy and Pepeng Short-Term Infrastructure Rehabilitation Project,JICA,DPWH,,0.01,,0.01,30-Apr-10,30-Sep-12,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Individual Expert),,,,,
Small Water Districts Improvement Project,JICA,LWUA,,12.03,,12.03,01-Jul-05,31-Mar-12,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP,,,,,
Strengthening of Flood Forecasting and Warning System for Dam Operation,JICA,PAGASA,,2.63,,2.63,21-Oct-09,21-Nov-12,Infrastructure,Multi-regional,"NCR, II, III",TCP,TCP,,,,,
The Project for Capacity Development on Transportation Planning and Database Management in the Republic of the Philippines,JICA,DOTC,,1.59,,1.59,31-Aug-11,31-Aug-14,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
The Project for Improvement of the Meteorological Radar,JICA,PAGASA,0.26,0.26,0.26,0.26,13-Nov-09,13-Sep-13,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP,,,,,
The project for study on improvement of the bridges through large scale earthquakes disaster mitigating measures,JICA,DPWH,,0.12,,0.12,01-Apr-12,30-Sep-13,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
The Project on System Loss Reduction for Philippine Electric Cooperatives (EC's),JICA,DOE/NEA,,0.37,,0.37,01-Nov-10,30-Mar-13,Infrastructure,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Creation of Non-handicapping Environment for Filipinos with Disabilities in the Rural Areas.,JICA,NCDA,,1.39,,1.39,01-Oct-08,30-Sep-12,Social Reform and Community Development,Multi-regional,"NCR, VI, X",TCP,TCP,,,,,
Diagnosis of avian influenza at source,JICA,Department of Veterinary Service,,0.01,,0.01,01-Mar-10,31-Mar-12,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Prevention and Control of Leptospirosis in the Philippines,JICA,UP-Manila,,2.07,,2.07,01-Apr-10,21-Mar-15,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
"Rabies Prevention and Control Project in Marinduque, Catanduanes, Cebu and Camiguin",JICA,,0.57,0.57,0.57,0.57,01-Oct-09,01-Sep-12,Social Reform and Community Development,Multi-regional,"IVB, V, VII, X",TCP,TCP,,,,,
Strengthening Maternal and Child Social Reform and Community Development Services in Eastern Visayas,JICA,"DOH-CHD Eastern Visayas, Leyte Province, Ormoc City",0.42,0.42,0.42,0.42,15-Jul-10,14-Jul-14,Social Reform and Community Development,Multi-regional,"VI,VII,VIII",TCP,TCP,,,,,
The Project for Comprehensive Etiological and Epidemiological Study on Acute Respiratory Infections in Children,JICA,DOH,,1.28,,1.28,01-Apr-11,31-Mar-16,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,TCP (Training),,,,,
Long-term Training(International Development Studies(IDS) Program by GRIPS),JICA,with GOP as one of the beneficiaries,4.11,0.05,4.11,0.05,01-Apr-09,31-Mar-11,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Chief Information Officer (CIO) for E-Government Promotion (B),JICA,with GOP as one of the beneficiaries,0.72,2.37,0.72,2.37,18-Jan-11,24-Apr-11,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Health Policy Develoment,JICA,,1.08,0.02,1.08,0.02,16-Jan-11,29-Jan-11,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Good Governance of Medicines for Pharmaceutical Regulation Authorities,JICA,,0.28,0.03,0.28,0.03,20-Nov-11,15-Dec-11,Social Reform and Community Development,Multi-regional,Specific regions not identified,TCP,Training,,,,,
Advisers for Climate Change Policy Formulation,JICA,NEDA,,0.34,,0.34,19-Feb-10,31-Mar-11,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TCP,TCP (IE),,,,,
Expert for implementation of IMT in Bago River Irrigation System,JICA,NIA,,0.10,,0.10,25-Aug-10,31-Aug-13,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Grant Assistance Project  for Underprivileged Farmers (2KR),JICA,DA-NEDA,5.47,5.47,5.47,5.47,20-Apr-09,,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TCP,TCP,,,,,
"Irrigation Development Planning, Implementation & Operation",JICA,NIA,,0.35,,0.35,16-Jun-10,15-Jun-12,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
An Analytical Study of the Non-Investment Incentive Laws of the Philipines (Phase I),JICA,DOF,0.05,0.05,0.05,0.05,26-Mar-10,31-Jan-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
Assistance Project on Introduction of Customs Post Entry Audit,JICA,DOF-BOC,,0.35,,0.35,08-Jun-08,31-Mar-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
Capacity Enhancement of Customs Functions,JICA,DOF-BOC,,0.20,,0.20,01-Aug-10,31-Jul-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Expert on the Enhancement of Customs Opertation and Intelligence Management,JICA,DOF-BOC,,0.06,,0.06,01-Jul-11,31-Jul-13,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Human Resource Development (Practical Project Management in the Global Market),JICA,NEDA,,0.45,,0.45,20-Jul-10,19-Jul-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP (In-Country Training),,,,,
Program for PNP's Anti - Crime Capability Enhancement Including (1) project for Capability Enhancement for Crime Scene investigations and (2) Enhancement for Firearms law enforcement in the Philippines,JICA,PNP,0.29,0.29,0.29,0.29,01-Oct-07,31-Mar-10,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
"Program Manager / Advisor to Chief, PNP",JICA,PNP,,0.39,,0.39,21-Sep-08,30-Sep-12,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP (Training),,,,,
Project on Philippine Customs Intelligence System (PCIS) for Enhancement of its System Environments and Training of Customs Officers,JICA,DOF-BOC,,1.55,,1.55,21-Jul-07,30-Jun-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
Strengthening the Flood Management Function of DPWH,JICA,DPWH,4.40,4.40,4.40,4.40,01-Jul-05,30-Jun-10,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
The Scientific Method of Processing Fingerprints and Crime Scene Investigation,JICA,PNP,,0.22,,0.22,01-Aug-06,21-Jul-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP,,,,,
The Training Course on Project Monitoring and Evaluation,JICA,NEDA,,0.17,,0.17,01-Jul-10,30-Mar-11,Governance and Institutions Development,Nationwide,Nationwide,TCP,TCP (In-Country Training),,,,,
Expert for Human Resource Development (Management),JICA,DTI,,0.05,,0.05,01-May-11,30-Oct-11,"Industry, Trade and Tourism",Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Enhancement of Earthquake and Volcano Monitoring and Effective Utilization of Disaster Mitigation Information in the Philippines,JICA,PHIVOLCS,,2.17,,2.17,21-Feb-10,20-Feb-15,Infrastructure,Nationwide,Nationwide,TCP,TCP (Training),,,,,
Expert on PPP Project Formulation,JICA,NEDA,,0.09,,0.09,21-Mar-10,31-Mar-11,Infrastructure,Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Flood Management,JICA,DPWH,,0.12,,0.12,01-Jun-10,21-May-12,Infrastructure,Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Improvement of Quality Management for Highway and Bridge Construction and Maintenance (Phase II),JICA,DPWH,0.04,0.04,0.04,0.04,01-Oct-11,01-Sep-14,Infrastructure,Nationwide,Nationwide,TCP,TCP,,,,,
Project for Study on Energy Efficiency and Conservation,JICA,NEA,1.54,1.54,1.54,1.54,,,Infrastructure,Nationwide,Nationwide,TCP,TCP,,,,,
Road Planning & Management Advisor,JICA,DPWH,,0.31,,0.31,10-Jun-10,09-Jun-12,Infrastructure,Nationwide,Nationwide,TCP,TCP (Individual Expert),,,,,
Training for Urban Water Service Management and Human Resource Development in Asian Region,JICA,Waterworks Bureau,,0.02,,0.02,17-Aug-10,31-Mar-11,Infrastructure,Nationwide,Nationwide,TCP,TCP (Training),,,,,
Comprehensive Etiological and Epidemiological Study on Acute Respiratory Infections in Children,JICA,RITM,0.04,0.04,0.04,0.04,01-Apr-10,31-Mar-15,Social Reform and Community Development,Nationwide,Nationwide,TCP,TCP,,,,,
An Analytical Study of the Non-Investment Incentive Laws of the Philipines,JICA,DOF,,0.23,,0.23,10-May-11,15-Feb-12,Governance and Institutions Development,NCR,NCR,TCP,TCP (Training),,,,,
Development of Human Resources in the BIR,JICA,BIR,,1.16,,1.16,01-Jul-08,31-Mar-11,Governance and Institutions Development,NCR,NCR,TCP,TCP,,,,,
Enhancement of Development Planning by Utilizing Input-Output Table,JICA,NEDA,,0.29,,0.29,21-Mar-10,21-Feb-11,Governance and Institutions Development,NCR,NCR,TCP,TCP,,,,,
Forensic Science,JICA,PNP,,0.33,,0.33,16-Mar-09,15-Mar-11,Governance and Institutions Development,NCR,NCR,TCP,TCP (Training),,,,,
