Region,City_or_province,type_of_bank,30-Jun-12,31-Dec-12
Region IX (Zamboanga Peninsula),Zamboanga Sibugay,Rural and Cooperative Banks,651.785,842.805
Region IX (Zamboanga Peninsula),City of Isabela (Not a province),City of Isabela (Not a province),235.893,263.726
Region IX (Zamboanga Peninsula),City of Isabela (Not a province),Universal and Commercial Banks,235.893,263.726
Region IX (Zamboanga Peninsula),City of Isabela (Not a province),Thrift Banks,-,-
Region IX (Zamboanga Peninsula),City of Isabela (Not a province),Rural and Cooperative Banks,-,-
Region X (Northern Mindanao),Region X (Northern Mindanao),Region X (Northern Mindanao),"23,337.88","27,134.50"
Region X (Northern Mindanao),Region X (Northern Mindanao),Universal and Commercial Banks,"14,483.45","16,687.15"
Region X (Northern Mindanao),Region X (Northern Mindanao),Thrift Banks,"3,780.32","5,686.34"
Region X (Northern Mindanao),Region X (Northern Mindanao),Rural and Cooperative Banks,"5,074.11","4,761.01"
Region X (Northern Mindanao),Bukidnon,Bukidnon,"3,330.04","3,687.02"
Region X (Northern Mindanao),Bukidnon,Universal and Commercial Banks,"1,778.68","2,015.93"
Region X (Northern Mindanao),Bukidnon,Thrift Banks,387.969,559.15
Region X (Northern Mindanao),Bukidnon,Rural and Cooperative Banks,"1,163.39","1,111.94"
Region X (Northern Mindanao),Camiguin,Camiguin,10.189,36.415
Region X (Northern Mindanao),Camiguin,Universal and Commercial Banks,10.189,36.415
Region X (Northern Mindanao),Camiguin,Thrift Banks,-,-
Region X (Northern Mindanao),Camiguin,Rural and Cooperative Banks,-,-
Region X (Northern Mindanao),Lanao del Norte,Lanao del Norte,"2,518.52","2,710.05"
Region X (Northern Mindanao),Lanao del Norte,Universal and Commercial Banks,"1,518.82",*
Region X (Northern Mindanao),Lanao del Norte,Thrift Banks,-,*
Region X (Northern Mindanao),Lanao del Norte,Rural and Cooperative Banks,999.708,*
Region X (Northern Mindanao),Misamis Occidental,Misamis Occidental,"2,750.24","2,812.08"
Region X (Northern Mindanao),Misamis Occidental,Universal and Commercial Banks,"1,151.05",*
Region X (Northern Mindanao),Misamis Occidental,Thrift Banks,284.444,*
Region X (Northern Mindanao),Misamis Occidental,Rural and Cooperative Banks,"1,314.75",*
Region X (Northern Mindanao),Misamis Oriental,Misamis Oriental,"14,728.89","17,888.94"
Region X (Northern Mindanao),Misamis Oriental,Universal and Commercial Banks,"10,024.71","11,577.67"
Region X (Northern Mindanao),Misamis Oriental,Thrift Banks,"3,107.91","4,807.84"
Region X (Northern Mindanao),Misamis Oriental,Rural and Cooperative Banks,"1,596.27","1,503.42"
Region X (Northern Mindanao),Lanao del Notre and Misamis Occidental,Lanao del Notre and Misamis Occidental,-,"5,522.13"
Region X (Northern Mindanao),Lanao del Notre and Misamis Occidental,Universal and Commercial Banks,-,"3,057.13"
Region X (Northern Mindanao),Lanao del Notre and Misamis Occidental,Thrift Banks,-,319.348
Region X (Northern Mindanao),Lanao del Notre and Misamis Occidental,Rural and Cooperative Banks,-,"2,145.65"
Region XI (Davao Region),Region XI (Davao Region),Region XI (Davao Region),"33,782.53","39,366.75"
Region XI (Davao Region),Region XI (Davao Region),Universal and Commercial Banks,"21,370.14","24,638.13"
Region XI (Davao Region),Region XI (Davao Region),Thrift Banks,"7,468.52","10,285.68"
Region XI (Davao Region),Region XI (Davao Region),Rural and Cooperative Banks,"4,943.87","4,442.95"
Region XI (Davao Region),Compostela Valley Province,Compostela Valley Province,917.779,912.348
Region XI (Davao Region),Compostela Valley Province,Universal and Commercial Banks,*,*
Region XI (Davao Region),Compostela Valley Province,Thrift Banks,*,*
Region XI (Davao Region),Compostela Valley Province,Rural and Cooperative Banks,*,*
Region XI (Davao Region),Davao del Norte,Davao del Norte,"5,605.00","4,769.69"
Region XI (Davao Region),Davao del Norte,Universal and Commercial Banks,*,"1,956.62"
Region XI (Davao Region),Davao del Norte,Thrift Banks,*,"1,978.23"
Region XI (Davao Region),Davao del Norte,Rural and Cooperative Banks,*,834.834
Region XI (Davao Region),Davao del Sur,Davao del Sur,"26,621.52","32,980.73"
Region XI (Davao Region),Davao del Sur,Universal and Commercial Banks,"17,412.89","21,800.96"
Region XI (Davao Region),Davao del Sur,Thrift Banks,"6,129.12","8,307.45"
Region XI (Davao Region),Davao del Sur,Rural and Cooperative Banks,"3,079.51","2,872.32"
Region XI (Davao Region),Davao Oriental,Davao Oriental,638.236,703.987
Region XI (Davao Region),Davao Oriental,Universal and Commercial Banks,*,*
Region XI (Davao Region),Davao Oriental,Thrift Banks,*,*
Region XI (Davao Region),Davao Oriental,Rural and Cooperative Banks,*,*
Region XI (Davao Region),"Compostella Valley, Davao Oriental and Davao del Notre","Compostella Valley, Davao Oriental and Davao del Notre","7,161.02",-
Region XI (Davao Region),"Compostella Valley, Davao Oriental and Davao del Notre",Universal and Commercial Banks,"3,957.25",-
Region XI (Davao Region),"Compostella Valley, Davao Oriental and Davao del Notre",Thrift Banks,"1,339.41",-
Region XI (Davao Region),"Compostella Valley, Davao Oriental and Davao del Notre",Rural and Cooperative Banks,"1,864.36",-
Region XI (Davao Region),Compostella Valley and Davao Oriental,Compostella Valley and Davao Oriental,-,"1,616.34"
Region XI (Davao Region),Compostella Valley and Davao Oriental,Universal and Commercial Banks,-,880.546
Region XI (Davao Region),Compostella Valley and Davao Oriental,Thrift Banks,-,0
Region XI (Davao Region),Compostella Valley and Davao Oriental,Rural and Cooperative Banks,-,735.789
Region XII (SOCOSKSARGEN),Region XII (SOCOSKSARGEN),Region XII (SOCOSKSARGEN),"17,270.09","22,200.30"
Region XII (SOCOSKSARGEN),Region XII (SOCOSKSARGEN),Universal and Commercial Banks,"12,552.22","17,417.97"
Region XII (SOCOSKSARGEN),Region XII (SOCOSKSARGEN),Thrift Banks,"3,204.74","3,345.98"
Region XII (SOCOSKSARGEN),Region XII (SOCOSKSARGEN),Rural and Cooperative Banks,"1,513.12","1,436.35"
Region XII (SOCOSKSARGEN),North Cotabato,North Cotabato,"7,118.12","3,857.02"
Region XII (SOCOSKSARGEN),North Cotabato,Universal and Commercial Banks,*,"2,921.13"
Region XII (SOCOSKSARGEN),North Cotabato,Thrift Banks,*,25.962
Region XII (SOCOSKSARGEN),North Cotabato,Rural and Cooperative Banks,*,909.924
Region XII (SOCOSKSARGEN),Sarangani,Sarangani,265.727,278.458
Region XII (SOCOSKSARGEN),Sarangani,Universal and Commercial Banks,*,*
Region XII (SOCOSKSARGEN),Sarangani,Thrift Banks,*,*
Region XII (SOCOSKSARGEN),Sarangani,Rural and Cooperative Banks,*,*
Region XII (SOCOSKSARGEN),South Cotabato,South Cotabato,"8,283.78","11,524.77"
Region XII (SOCOSKSARGEN),South Cotabato,Universal and Commercial Banks,"4,898.19","8,193.10"
Region XII (SOCOSKSARGEN),South Cotabato,Thrift Banks,"3,030.55","3,159.43"
Region XII (SOCOSKSARGEN),South Cotabato,Rural and Cooperative Banks,355.035,172.238
Region XII (SOCOSKSARGEN),Sultan Kudarat,Sultan Kudarat,"1,602.46","6,540.06"
Region XII (SOCOSKSARGEN),Sultan Kudarat,Universal and Commercial Banks,"1,266.33",*
Region XII (SOCOSKSARGEN),Sultan Kudarat,Thrift Banks,80.668,*
Region XII (SOCOSKSARGEN),Sultan Kudarat,Rural and Cooperative Banks,255.456,*
Region XII (SOCOSKSARGEN),Sarangani and Sultan Kudarat,Sarangani and Sultan Kudarat,-,"6,818.51"
Region XII (SOCOSKSARGEN),Sarangani and Sultan Kudarat,Universal and Commercial Banks,-,"6,303.74"
Region XII (SOCOSKSARGEN),Sarangani and Sultan Kudarat,Thrift Banks,-,160.583
Region XII (SOCOSKSARGEN),Sarangani and Sultan Kudarat,Rural and Cooperative Banks,-,354.189
Region XIII (Caraga),Region XIII (Caraga),Region XIII (Caraga),"9,699.18","10,308.00"
Region XIII (Caraga),Region XIII (Caraga),Universal and Commercial Banks,"3,586.76","4,614.85"
Region XIII (Caraga),Region XIII (Caraga),Thrift Banks,"1,444.86","2,014.74"
Region XIII (Caraga),Region XIII (Caraga),Rural and Cooperative Banks,"4,667.56","3,678.40"
Region XIII (Caraga),Agusan del Norte,Agusan del Norte,"4,504.69","4,459.89"
Region XIII (Caraga),Agusan del Norte,Universal and Commercial Banks,"2,151.93","2,459.02"
Region XIII (Caraga),Agusan del Norte,Thrift Banks,700.944,534.338
Region XIII (Caraga),Agusan del Norte,Rural and Cooperative Banks,"1,651.82","1,466.53"
Region XIII (Caraga),Agusan del Sur,Agusan del Sur,"1,914.50","2,145.49"
Region XIII (Caraga),Agusan del Sur,Universal and Commercial Banks,506.061,770.097
Region XIII (Caraga),Agusan del Sur,Thrift Banks,638.503,586.233
Region XIII (Caraga),Agusan del Sur,Rural and Cooperative Banks,769.931,789.156
Region XIII (Caraga),Surigao del Norte,Surigao del Norte,"1,412.90","1,809.52"
Region XIII (Caraga),Surigao del Norte,Universal and Commercial Banks,*,703.626
Region XIII (Caraga),Surigao del Norte,Thrift Banks,*,477.403
Region XIII (Caraga),Surigao del Norte,Rural and Cooperative Banks,*,628.489
Region XIII (Caraga),Surigao del Sur,Surigao del Sur,"1,833.61","1,875.12"
Region XIII (Caraga),Surigao del Sur,Universal and Commercial Banks,*,682.11
Region XIII (Caraga),Surigao del Sur,Thrift Banks,*,416.769
Region XIII (Caraga),Surigao del Sur,Rural and Cooperative Banks,*,776.24
Region XIII (Caraga),Dinagat Islands,Dinagat Islands,33.484,17.981
Region XIII (Caraga),Dinagat Islands,Universal and Commercial Banks,-,-
Region XIII (Caraga),Dinagat Islands,Thrift Banks,-,-
Region XIII (Caraga),Dinagat Islands,Rural and Cooperative Banks,33.484,17.981
Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Surigao del Norte and Surigao del Sur,"3,246.51",-
Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Universal and Commercial Banks,928.768,-
Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Thrift Banks,105.41,-
Region XIII (Caraga),Surigao del Norte and Surigao del Sur,Rural and Cooperative Banks,"2,212.33",-
Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,"7,065.14","9,419.65"
Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Universal and Commercial Banks,"3,638.57","4,742.45"
Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Thrift Banks,796.469,"1,974.63"
Cordillera Administrative Region (CAR) ,Cordillera Administrative Region (CAR) ,Rural and Cooperative Banks,"2,630.11","2,702.56"
Cordillera Administrative Region (CAR) ,Abra,Abra,175.908,563.656
Cordillera Administrative Region (CAR) ,Abra,Universal and Commercial Banks,101.219,489.346
Cordillera Administrative Region (CAR) ,Abra,Thrift Banks,-,-
Cordillera Administrative Region (CAR) ,Abra,Rural and Cooperative Banks,74.689,74.31
Cordillera Administrative Region (CAR) ,Apayao,Apayao,381.621,406.363
Cordillera Administrative Region (CAR) ,Apayao,Universal and Commercial Banks,*,*
Cordillera Administrative Region (CAR) ,Apayao,Thrift Banks,*,-
Cordillera Administrative Region (CAR) ,Apayao,Rural and Cooperative Banks,*,*
Cordillera Administrative Region (CAR) ,Benguet,Benguet,"5,461.64","7,245.52"
Cordillera Administrative Region (CAR) ,Benguet,Universal and Commercial Banks,"2,933.18","3,463.93"
Cordillera Administrative Region (CAR) ,Benguet,Thrift Banks,796.469,"1,974.63"
Cordillera Administrative Region (CAR) ,Benguet,Rural and Cooperative Banks,"1,731.99","1,806.97"
Cordillera Administrative Region (CAR) ,Ifugao,Ifugao,171.409,260.243
Cordillera Administrative Region (CAR) ,Ifugao,Universal and Commercial Banks,*,*
Cordillera Administrative Region (CAR) ,Ifugao,Thrift Banks,*,-
Cordillera Administrative Region (CAR) ,Ifugao,Rural and Cooperative Banks,*,*
Cordillera Administrative Region (CAR) ,Kalinga,Kalinga,409.282,427.427
Cordillera Administrative Region (CAR) ,Kalinga,Universal and Commercial Banks,279.736,303.075
Cordillera Administrative Region (CAR) ,Kalinga,Thrift Banks,-,-
Cordillera Administrative Region (CAR) ,Kalinga,Rural and Cooperative Banks,129.546,124.352
Cordillera Administrative Region (CAR) ,Mountain Province,Mountain Province,465.285,516.433
Cordillera Administrative Region (CAR) ,Mountain Province,Universal and Commercial Banks,26.478,71.763
Cordillera Administrative Region (CAR) ,Mountain Province,Thrift Banks,-,-
Cordillera Administrative Region (CAR) ,Mountain Province,Rural and Cooperative Banks,438.807,444.67
Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Apayao and Ifugao,553.031,666.605
Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Universal and Commercial Banks,297.953,414.346
Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Thrift Banks,0,-
Cordillera Administrative Region (CAR) ,Apayao and Ifugao,Rural and Cooperative Banks,255.077,252.26
Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),435.424,919.035
Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Universal and Commercial Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Thrift Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Autonomous Region in Muslim Mindanao (ARMM),Rural and Cooperative Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Basilan,*,*
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Universal and Commercial Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Thrift Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Basilan,Rural and Cooperative Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Lanao del Sur,*,*
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Universal and Commercial Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Thrift Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Lanao del Sur,Rural and Cooperative Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Maguindanao,*,*
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Universal and Commercial Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Thrift Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Maguindanao,Rural and Cooperative Banks,*,*
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Sulu,80.958,163.216
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Universal and Commercial Banks,80.958,163.216
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Thrift Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Sulu,Rural and Cooperative Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Tawi-tawi,15.747,202.483
Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Universal and Commercial Banks,15.747,202.483
Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Thrift Banks,-,-
Autonomous Region in Muslim Mindanao (ARMM),Tawi-tawi,Rural and Cooperative Banks,-,-
,,,,
"Source: Supervisory Data Center, Supervision and Examination Sector, Bangko Sentral ng Pilipinas",,,,
Updated as of 19 August 2014,,,,
,,,,
Geographical Distribution of Loans (Regional and Provincial),,,,
"Loans and Receivables - Others, Net",,,,
Philippine Banking System,,,,
as of periods indicated,,,,
"Amounts in Millions, Philippine Pesos",,,,
