region,province,municipality,division,school_id,school_name,school_type,year_1_male,year_1_female,year_2_male,year_2_female,year_3_male,year_3_female,year_4_male,year_4_female
IV-A (CALABARZON),Quezon,Alabat,Quezon,301284,Alabat Island NHS,HS,205,213,211,216,178,176,167,155
IV-A (CALABARZON),Batangas,San Pascual,Batangas,301067,Alalum NHS,HS,62,76,68,52,64,62,51,46
IV-A (CALABARZON),Laguna,Alaminos,Laguna,301265,Alaminos NHS,HS,221,205,182,168,183,169,151,129
IV-A (CALABARZON),Cavite,Alfonso,Cavite,301165,Alfonso NHS,HS,147,132,124,124,78,131,105,106
IV-A (CALABARZON),Batangas,Alitagtag,Batangas,301068,Alitagtag NHS,HS,166,140,134,128,127,121,106,100
IV-A (CALABARZON),Quezon,Guinayangan,Quezon,301342,Aloneros NHS (LBS of Fisheries Ext. - Aloneros,HS,43,32,34,39,37,36,30,43
IV-A (CALABARZON),Batangas,Rosario,Batangas,301069,Alupay NHS,HS,98,81,84,60,55,53,52,72
IV-A (CALABARZON),Cavite,Amadeo,Cavite,301166,Amadeo NHS,HS,224,251,244,273,245,272,180,199
IV-A (CALABARZON),Cavite,Tanza,Cavite,301167,Amaya Sch. of Home Industries,HS,535,523,527,497,462,525,375,417
IV-A (CALABARZON),Quezon,Pitogo,Quezon,301285,Amontay NHS,HS,110,91,95,98,62,93,57,69
IV-A (CALABARZON),Rizal,San Mateo,Rizal,308126,Ampid National High School,HS,252,167,151,130,139,127,96,89
IV-A (CALABARZON),Batangas,Lemery,Batangas,301070,Ananias C. Hernandez NHS (Arumahan NHS),HS,57,54,52,50,55,49,49,49
IV-A (CALABARZON),Rizal,Angono,Rizal,301417,Angono NHS,HS,501,490,498,440,525,472,529,511
IV-A (CALABARZON),Batangas,Lipa City,Lipa City,301486,Anilao National High School,HS,77,60,82,63,80,59,63,65
IV-A (CALABARZON),Batangas,Mabini,Batangas,301115,Anselmo Sandoval MNHS (Mabini NHS),HS,245,216,168,181,174,174,162,164
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,321507,Antipolo City SPED Center,HS,3,1,2,3,3,5,8,3
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,301418,Antipolo NHS,HS,"1,339","1,307","1,123","1,329","1,029","1,279",938,"1,181"
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,321502,Antipolo NHS - Canumay Extension,HS,28,24,22,22,19,23,14,7
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,321505,Antipolo NHS - Dela Paz Extension,HS,308,288,279,247,90,70,0,0
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,301421,Antipolo NHS - Kaysakat Extension,HS,65,44,55,40,39,52,42,38
IV-A (CALABARZON),Rizal,Taytay,Rizal,308108,Antonio C. Esguerra Mem. NHS,HS,264,279,267,249,256,244,161,181
IV-A (CALABARZON),Cavite,Mendez (Mendez-Nu„Ez),Cavite,301168,Anuling NHS,HS,34,26,30,38,33,25,34,43
IV-A (CALABARZON),Quezon,Calauag,Quezon,308017,Apad NHS (Sto. Domingo NHS - Apad Ext. Classes),HS,13,21,17,19,18,24,21,18
IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,301225,Aplaya National High School - Annex 1,HS,138,179,71,115,39,67,53,79
IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,301224,Aplaya NHS,HS,330,287,301,249,282,227,229,241
IV-A (CALABARZON),Quezon,Atimonan,Quezon,301286,Atimonan NCHS,HS,285,289,247,263,246,256,217,245
IV-A (CALABARZON),Cavite,Bacoor,Cavite,301170,Bacoor NHS - Annex,HS,667,649,510,559,451,523,382,450
IV-A (CALABARZON),Cavite,Bacoor,Cavite,307803,Bacoor NHS - Gawaran Annex,HS,262,251,244,237,239,203,189,167
IV-A (CALABARZON),Cavite,Bacoor,Cavite,301171,Bacoor NHS - Molino,HS,"1,031",868,922,839,777,792,677,700
IV-A (CALABARZON),Cavite,Bacoor,Cavite,307815,Bacoor NHS - Villa Maria Annex,HS,262,239,208,203,173,197,139,174
IV-A (CALABARZON),Cavite,Rosario,Cavite,301172,Bagbag NHS (Ligtong NHS),HS,325,306,270,300,260,266,198,235
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,301419,Bagong Nayon II NHS,HS,767,711,576,534,454,484,402,466
IV-A (CALABARZON),Quezon,Tagkawayan,Quezon,301287,Bagong Silang NHS,HS,27,31,27,28,26,26,32,31
IV-A (CALABARZON),Rizal,Jala-Jala,Rizal,301428,Bagumbong NHS,HS,67,64,61,67,73,68,59,50
IV-A (CALABARZON),Quezon,Mulanay,Quezon,301288,Bagupaye NHS,HS,92,80,43,84,49,63,52,56
IV-A (CALABARZON),Batangas,Talisay,Batangas,301071,Balas Buco Sta. Maria NHS,HS,139,128,95,79,103,56,85,84
IV-A (CALABARZON),Batangas,Balayan,Batangas,301072,Balayan NHS,HS,601,543,561,525,439,505,421,482
IV-A (CALABARZON),Quezon,Polillo,Quezon,301378,Balesin IS (Polillo NHS Extension),HS,13,13,7,11,10,12,11,12
IV-A (CALABARZON),Batangas,Balete,Batangas,301073,Balete NHS,HS,145,137,123,100,103,115,83,110
IV-A (CALABARZON),Batangas,Batangas City (Capital),Batangas City,301470,Balete NHS,HS,119,109,105,74,124,85,86,79
IV-A (CALABARZON),Laguna,Pangil,Laguna,301226,Balian NHS,HS,182,150,146,212,140,152,129,142
IV-A (CALABARZON),Laguna,Pangil,Laguna,307918,Balian NHS (Galalan Annex),HS,11,9,10,12,10,10,5,8
IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,301227,Balibago National High School,HS,745,631,582,603,514,511,391,462
IV-A (CALABARZON),Batangas,Lobo,Batangas,307703,Balibago-Biga NHS,HS,50,48,50,51,39,36,41,33
IV-A (CALABARZON),Quezon,Tagkawayan,Quezon,301289,Bamban NHS,HS,46,44,54,51,47,47,33,50
IV-A (CALABARZON),Batangas,Batangas City (Capital),Batangas City,301471,Banaba West NHS,HS,110,72,100,74,74,62,86,78
IV-A (CALABARZON),Laguna,Victoria,Laguna,301228,Banca-Banca NHS,HS,68,42,53,59,53,43,36,41
IV-A (CALABARZON),Batangas,Nasugbu,Batangas,301074,Banilad NHS,HS,127,110,100,106,125,114,80,106
IV-A (CALABARZON),Batangas,City of Tanauan,Tanauan City,301075,Banjo Laurel NHS,HS,25,30,51,37,26,22,29,34
IV-A (CALABARZON),Batangas,San Luis,Batangas,307702,Banoyo NHS,HS,62,60,71,61,45,63,40,53
IV-A (CALABARZON),Quezon,Gumaca,Quezon,301290,Bantad NHS,HS,26,20,18,14,17,19,10,16
IV-A (CALABARZON),Quezon,Calauag,Quezon,301291,Bantulinao IS,HS,54,29,46,45,34,29,36,28
IV-A (CALABARZON),Batangas,Agoncillo,Batangas,301076,Banyaga NHS,HS,77,89,84,54,75,62,67,60
IV-A (CALABARZON),Rizal,Baras,Rizal,301429,Baras NHS,HS,147,144,124,122,131,118,111,83
IV-A (CALABARZON),Rizal,Baras,Rizal,308124,Baras-Pinugay NHS,HS,166,148,153,138,121,121,104,86
IV-A (CALABARZON),Quezon,General Nakar,Quezon,301292,Batangan NHS,HS,59,52,57,54,53,41,52,36
IV-A (CALABARZON),Batangas,Batangas City (Capital),Batangas City,301472,Batangas NHS,HS,"1,330","1,271","1,115","1,136","1,003","1,120",858,"1,079"
IV-A (CALABARZON),Batangas,Batangas City (Capital),Batangas,301077,Batangas Province High School for Culture and Arts,HS,9,24,13,20,8,25,14,15
IV-A (CALABARZON),Batangas,Calaca,Batangas,301078,Batangas Province Science HS,HS,9,26,18,17,11,22,9,20
IV-A (CALABARZON),Batangas,Bauan,Batangas,301079,Bauan Mun. Agric'l & Voc. HS,HS,133,90,86,71,95,76,87,88
IV-A (CALABARZON),Batangas,Bauan,Batangas,301080,Bauan Technical HS,HS,463,468,361,346,265,295,265,288
IV-A (CALABARZON),Batangas,San Pascual,Batangas,301081,Bayanan NHS,HS,65,59,56,52,44,47,42,44
IV-A (CALABARZON),Batangas,Rosario,Batangas,301082,Baybayin NHS,HS,143,133,113,133,123,112,101,112
IV-A (CALABARZON),Batangas,Mataasnakahoy,Batangas,301083,Bayorbor NHS,HS,120,96,125,104,117,101,84,84
IV-A (CALABARZON),Rizal,Jala-Jala,Rizal,301430,Bayugo NHS,HS,71,76,64,57,60,66,59,60
IV-A (CALABARZON),Cavite,Magallanes,Cavite,301173,Bendita NHS,HS,72,89,82,60,91,84,80,83
IV-A (CALABARZON),Rizal,Taytay,Rizal,308102,Benjamin B. Esguerra MNHS,HS,268,207,239,200,278,220,237,196
IV-A (CALABARZON),Rizal,Cardona,Rizal,301432,Bernardo F. San Juan NHS,HS,236,208,220,230,199,209,193,191
IV-A (CALABARZON),Batangas,City of Tanauan,Tanauan City,301084,Bernardo Lirio Memorial NHS,HS,234,260,233,235,187,226,187,221
IV-A (CALABARZON),Laguna,Cabuyao,Laguna,301229,Bigaa NHS,HS,199,162,138,128,132,126,97,106
IV-A (CALABARZON),Batangas,San Jose,Batangas,301085,Bigain NHS,HS,31,42,35,34,33,45,41,44
IV-A (CALABARZON),Quezon,Sariaya,Quezon,308043,Bignay NHS,HS,36,29,48,27,47,38,0,0
IV-A (CALABARZON),Batangas,Nasugbu,Batangas,301086,Bilaran NHS,HS,193,182,162,152,165,130,118,133
IV-A (CALABARZON),Batangas,Taysan,Batangas,301087,Bilogo NHS,HS,74,62,63,61,55,58,53,62
IV-A (CALABARZON),Quezon,Agdangan,Quezon,301293,Binagbag NHS,HS,24,19,29,19,27,24,26,22
IV-A (CALABARZON),Cavite,Kawit,Cavite,301174,Binakayan NHS,HS,298,224,242,235,184,207,173,170
IV-A (CALABARZON),Laguna,City of Bi„An,Laguna,301230,Binan National High School,HS,430,377,392,352,349,386,329,338
IV-A (CALABARZON),Laguna,City of Bi„An,Laguna,307909,Binan Secondary School of Applied Academics (Main Campus),HS,243,253,236,242,199,215,152,214
IV-A (CALABARZON),Quezon,Infanta,Quezon,301294,BinulAsan Integrated School,HS,140,135,102,116,84,97,76,79
IV-A (CALABARZON),Laguna,Bay,Laguna,301231,Bitin NHS,HS,98,76,84,77,84,101,72,66
IV-A (CALABARZON),Batangas,Tuy,Batangas,301088,Bolbok NHS,HS,48,42,46,54,55,44,33,46
IV-A (CALABARZON),Batangas,Lipa City,Lipa City,301487,Bolbok NHS,HS,198,167,200,148,150,119,103,131
IV-A (CALABARZON),Quezon,Mulanay,Quezon,301295,Bondoc Peninsula Agri. HS,HS,190,182,219,191,128,173,116,115
IV-A (CALABARZON),Quezon,Burdeos,Quezon,301335,Bonifacio NHS,HS,21,23,21,36,24,27,17,20
IV-A (CALABARZON),Batangas,City of Tanauan,Tanauan City,301089,Boot NHS,HS,114,121,63,110,112,83,72,78
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301511,Bubuyan NHS,HS,33,25,27,15,31,35,23,21
IV-A (CALABARZON),Cavite,Maragondon,Cavite,301175,Bucal NHS,HS,227,224,230,212,226,214,196,231
IV-A (CALABARZON),Cavite,Maragondon,Cavite,307820,Bucal NHS - Sta. Mercedes Annex,HS,21,30,25,18,34,28,16,11
IV-A (CALABARZON),Cavite,Alfonso,Cavite,307805,Buck Estate National HS,HS,29,33,34,21,26,31,33,29
IV-A (CALABARZON),Laguna,Alaminos,Laguna,307924,Buenaventura Fandialan Memo. NHS,HS,25,20,32,15,23,20,27,12
IV-A (CALABARZON),Quezon,Buenavista,Quezon,301296,Buenavista NHS,HS,141,178,134,122,103,131,79,120
IV-A (CALABARZON),Laguna,Magdalena,Laguna,301232,Buenavista NHS,HS,75,77,55,57,51,54,61,51
IV-A (CALABARZON),Quezon,Buenavista,Quezon,308018,Buenavista NHS - San Pedro Annex,HS,8,15,15,14,11,9,12,9
IV-A (CALABARZON),Rizal,Pililla,Rizal,308132,Bugarin NHS,HS,35,21,31,29,38,28,47,23
IV-A (CALABARZON),Batangas,Lipa City,Lipa City,301488,Bugtongnapulo NHS,HS,73,68,96,62,83,72,73,60
IV-A (CALABARZON),Batangas,San Juan,Batangas,301090,Buhaynasapa NHS,HS,130,116,116,100,111,114,77,97
IV-A (CALABARZON),Batangas,Padre Garcia,Batangas,301091,Bukal NHS,HS,71,67,74,64,56,62,54,73
IV-A (CALABARZON),Laguna,Cavinti,Laguna,301233,"Bukal NHS, Cavinti",HS,30,23,32,20,26,27,34,28
IV-A (CALABARZON),Quezon,Candelaria,Quezon,301297,Bukal Sur NHS,HS,128,130,106,116,97,104,77,81
IV-A (CALABARZON),Batangas,Lipa City,Lipa City,301489,Bulacnin NHS,HS,173,135,194,148,136,125,144,129
IV-A (CALABARZON),Cavite,Silang,Cavite,301180,Bulihan NHS,HS,778,719,681,706,592,644,559,676
IV-A (CALABARZON),Batangas,Rosario,Batangas,301092,Bulihan NHS,HS,66,58,64,72,58,53,40,56
IV-A (CALABARZON),Batangas,Nasugbu,Batangas,307722,Bunducan NHS,HS,21,38,47,25,0,0,0,0
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301512,Bunggo NHS,HS,39,44,51,60,56,54,33,60
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301513,Buntog NHS,HS,16,15,34,15,17,11,10,17
IV-A (CALABARZON),Quezon,Burdeos,Quezon,301334,Burdeos NHS (Judith NHS),HS,154,139,144,162,135,124,95,104
IV-A (CALABARZON),Rizal,Rodriguez (Montalban),Rizal,301440,Burgos NHS,HS,521,379,349,380,322,369,270,311
IV-A (CALABARZON),Quezon,San Francisco (Aurora),Quezon,301298,Busdak NHS,HS,27,27,5,28,15,17,16,11
IV-A (CALABARZON),Quezon,Patnanungan,Quezon,308028,Busdak NHS (Busdak NHS - Patnanungan NHS Annex),HS,35,51,38,23,18,28,17,18
IV-A (CALABARZON),Quezon,San Francisco (Aurora),Quezon,308034,Butanguiad NHS,HS,32,21,23,33,13,40,27,27
IV-A (CALABARZON),Quezon,Tiaong,Quezon,301299,Cabay NHS,HS,55,66,79,67,50,78,50,56
IV-A (CALABARZON),Quezon,Tagkawayan,Quezon,308038,Cabibihan NHS,HS,11,25,43,30,0,0,0,0
IV-A (CALABARZON),Quezon,Buenavista,Quezon,308014,Cabong NHS,HS,30,27,16,21,21,15,12,20
IV-A (CALABARZON),Quezon,Pitogo,Quezon,301300,Cabulihan NHS,HS,29,19,11,17,16,9,9,14
IV-A (CALABARZON),Laguna,Cabuyao,Laguna,301234,Cabuyao NHS,HS,598,503,599,489,545,593,425,496
IV-A (CALABARZON),Laguna,Cabuyao,Laguna,301235,Cabuyao NHS - Casile NHS Annex,HS,31,21,27,22,24,25,17,20
IV-A (CALABARZON),Quezon,Mauban,Quezon,301301,Cagbalete Island NHS,HS,45,35,41,40,28,29,25,34
IV-A (CALABARZON),Quezon,Mauban,Quezon,308005,Cagsiay I NHS,HS,60,50,56,51,54,38,35,40
IV-A (CALABARZON),Quezon,Mauban,Quezon,308015,Cagsiay III - Cagsiay I NHS Ext.,HS,13,10,9,7,10,18,9,5
IV-A (CALABARZON),Batangas,Calaca,Batangas,301093,Cahil NHS,HS,61,56,58,59,62,62,51,61
IV-A (CALABARZON),Quezon,Unisan,Quezon,301302,Caigdal NHS,HS,52,55,42,51,45,41,29,36
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301514,Calamba Bayside NHS,HS,353,353,280,315,275,291,222,223
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301515,Calamba NHS,HS,165,172,176,146,138,146,159,153
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,308703,Calamba NHS - Annex,HS,131,154,183,127,114,121,124,123
IV-A (CALABARZON),Quezon,Macalelon,Quezon,301303,Calantas NHS,HS,47,46,40,43,38,43,32,51
IV-A (CALABARZON),Quezon,Panukulan,Quezon,301397,Calasumanga NHS (San Juan NHS - Calasumanga Ext.),HS,36,24,29,28,30,25,23,23
IV-A (CALABARZON),Batangas,Calatagan,Batangas,307709,Calatagan NHS,HS,189,213,203,187,184,194,169,180
IV-A (CALABARZON),Quezon,Calauag,Quezon,301304,Calauag NHS,HS,217,245,209,194,185,183,147,174
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,301431,Calawis NHS,HS,43,47,44,37,31,34,34,30
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,321503,Calawis NHS - Apia Extension,HS,8,14,12,12,6,7,8,10
IV-A (CALABARZON),Quezon,San Antonio,Quezon,301305,Callejon NHS,HS,69,66,56,63,44,78,48,42
IV-A (CALABARZON),Cavite,Magallanes,Cavite,301176,Caluangan NHS,HS,61,51,43,44,43,53,51,55
IV-A (CALABARZON),Batangas,San Juan,Batangas,301094,Calubcub I.0 NHS,HS,121,133,96,91,85,90,76,89
IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,301236,Calumpang NHS,HS,153,123,129,121,124,129,108,110
IV-A (CALABARZON),Laguna,Nagcarlan,Laguna,301237,Calumpang NHS - Lowland NHS Annex,HS,26,32,26,23,19,30,20,14
IV-A (CALABARZON),Quezon,San Andres,Quezon,301306,Camflora NHS,HS,306,322,264,258,157,207,156,198
IV-A (CALABARZON),Quezon,San Andres,Quezon,308024,Camflora NHS Annex,HS,37,55,25,48,36,42,35,35
IV-A (CALABARZON),Quezon,Gumaca,Quezon,301307,Camohaguin NHS,HS,66,58,54,54,45,68,49,59
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301516,Camp Vicente Lim NHS,HS,357,346,328,293,310,275,278,285
IV-A (CALABARZON),Quezon,Sariaya,Quezon,301308,Canda NHS,HS,185,138,170,159,185,222,192,212
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301517,Canlubang NHS,HS,15,8,19,14,17,14,20,18
IV-A (CALABARZON),Rizal,Angono,Rizal,301433,"Carlos ""Botong"" Francisco MNHS",HS,285,295,265,270,273,287,248,235
IV-A (CALABARZON),Cavite,Carmona,Cavite,301177,Carmona NHS,HS,691,653,635,590,599,619,506,509
IV-A (CALABARZON),Quezon,San Francisco (Aurora),Quezon,301309,Casay NHS,HS,76,79,76,64,64,48,46,69
IV-A (CALABARZON),Rizal,Taytay,Rizal,308116,"Casimiro A. Ynares, Sr. MNHS",HS,381,409,340,400,309,326,210,273
IV-A (CALABARZON),Quezon,Sariaya,Quezon,308041,Casta–as NHS,HS,93,69,85,76,0,0,0,0
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301527,Castor Alviar National High School,HS,166,133,136,117,87,92,124,109
IV-A (CALABARZON),Rizal,Cardona,Rizal,301434,Catalino D. Salazar NHS,HS,117,114,110,109,89,85,94,99
IV-A (CALABARZON),Quezon,Catanauan,Quezon,301310,Catanauan NHS,HS,60,71,49,89,43,52,45,43
IV-A (CALABARZON),Batangas,Nasugbu,Batangas,307723,Catandaan Yabut NHS,HS,29,31,0,0,0,0,0,0
IV-A (CALABARZON),Laguna,Cavinti,Laguna,307911,Cavinti NHS,HS,87,75,107,96,84,105,79,82
IV-A (CALABARZON),Laguna,Cavinti,Laguna,307926,Cavinti NHS (Calminue Ext.),HS,21,14,10,11,11,10,7,8
IV-A (CALABARZON),Cavite,Maragondon,Cavite,301178,Cavite Nat'l. Science HS,HS,50,96,55,73,63,75,49,79
IV-A (CALABARZON),Cavite,Cavite City,Cavite City,301484,Cavite National High School,HS,999,940,779,795,682,723,583,715
IV-A (CALABARZON),Rizal,Tanay,Rizal,308140,Cayabu National HS,HS,14,16,0,0,0,0,0,0
IV-A (CALABARZON),Quezon,Lopez,Quezon,301346,Cogorin Ibaba NHS (Lopez NCHSl - Cogorin Ibaba Extension),HS,50,47,46,34,41,28,39,29
IV-A (CALABARZON),Quezon,Lopez,Quezon,308042,Cogorin Ibaba NHS - Jongo Ext.,HS,25,23,24,28,0,0,0,0
IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,301505,Col. Lauro D. Dizon Memorial National High School,HS,484,480,420,419,330,357,345,344
IV-A (CALABARZON),Quezon,Quezon,Quezon,301314,Cometa NHS Annex,HS,63,50,53,46,42,60,27,36
IV-A (CALABARZON),Quezon,Plaridel,Quezon,301316,Concepcion National High School,HS,88,80,74,81,78,88,63,79
IV-A (CALABARZON),Batangas,Batangas City (Capital),Batangas City,301473,Conde Labac NHS,HS,80,75,86,65,61,63,62,71
IV-A (CALABARZON),Cavite,City of Dasmari„As,Dasmarinas City,301179,Congressional NHS,HS,476,444,484,441,417,428,504,566
IV-A (CALABARZON),Cavite,Mendez (Mendez-Nu„Ez),Cavite,301169,Constancio E. Aure Sr. NHS (Asis NHS),HS,136,115,112,121,113,112,101,104
IV-A (CALABARZON),Batangas,Agoncillo,Batangas,301095,Coral na Munti NHS,HS,87,104,99,90,83,75,83,86
IV-A (CALABARZON),Quezon,Lucena City (Capital),Lucena City,308502,Cotta National High School,HS,167,156,151,131,105,119,99,120
IV-A (CALABARZON),Laguna,Rizal,Laguna,307903,Cristobal S. Conducto MNHS,HS,198,172,156,154,151,127,132,134
IV-A (CALABARZON),Batangas,Cuenca,Batangas,301096,Cuenca NHS,HS,73,97,99,57,55,67,50,55
IV-A (CALABARZON),Rizal,City of Antipolo,Antipolo City,301420,Cupang NHS,HS,288,234,248,270,217,234,187,200
IV-A (CALABARZON),Batangas,Calaca,Batangas,301097,Dacanlao G. Agoncillo NHS,HS,426,365,402,366,353,343,274,325
IV-A (CALABARZON),Quezon,Dolores,Quezon,301317,Dagatan NHS,HS,154,120,127,113,116,111,93,108
IV-A (CALABARZON),Batangas,Taysan,Batangas,301098,Dagatan NHS,HS,167,155,144,150,133,133,113,125
IV-A (CALABARZON),Laguna,Pangil,Laguna,307910,DAMBO NATIONAL HIGH SCHOOL,HS,20,11,27,17,13,9,12,21
IV-A (CALABARZON),Quezon,Padre Burgos,Quezon,308023,Danlagan NHS (Kinagunan Ibaba NHS Ext. Classes),HS,36,28,39,24,28,30,28,22
IV-A (CALABARZON),Quezon,Lopez,Quezon,301388,Dao NHS (San Francisco B NHS - San Miguel Dao II Ext.),HS,22,16,21,17,18,10,11,10
IV-A (CALABARZON),Rizal,Tanay,Rizal,301435,Daraetan NHS,HS,43,47,50,31,47,48,32,34
IV-A (CALABARZON),Cavite,City of Dasmari„As,Dasmarinas City,301183,Dasmarinas East NHS (Annex C),HS,529,504,480,440,447,448,346,419
IV-A (CALABARZON),Cavite,City of Dasmari„As,Dasmarinas City,301186,Dasmarinas NHS,HS,"1,081","1,029",923,961,931,"1,022",807,981
IV-A (CALABARZON),Cavite,City of Dasmari„As,Dasmarinas City,301184,Dasmarinas North NHS (Annex G),HS,666,649,642,562,567,583,463,485
IV-A (CALABARZON),Cavite,City of Dasmari„As,Dasmarinas City,301185,Dasmari–as West NHS (Annex J),HS,485,454,383,354,325,410,309,338
IV-A (CALABARZON),Laguna,Calauan,Laguna,301238,Dayap NHS,HS,370,341,384,361,401,443,372,384
IV-A (CALABARZON),Laguna,Calauan,Laguna,307927,Dayap NHS (Calauan Annex),HS,164,154,149,133,60,42,37,35
IV-A (CALABARZON),Laguna,Calauan,Laguna,307917,Dayap NHS (Mabacan Annex),HS,67,61,41,58,53,49,36,41
IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,301506,Del Remedio National High School,HS,128,114,120,96,93,113,106,77
IV-A (CALABARZON),Laguna,City of Bi„An,Laguna,307915,Dela Paz NHS (Binan NHS - Annex),HS,189,122,145,123,119,114,93,97
IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,301507,Dolores National High School,HS,72,51,40,59,38,42,42,37
IV-A (CALABARZON),Rizal,Binangonan,Rizal,301436,"Don Jose M. Ynares,Sr. MNHS",HS,332,312,268,272,280,303,252,270
IV-A (CALABARZON),Laguna,City of Santa Rosa,Sta. Rosa City,301239,Don Jose NHS,HS,97,89,98,73,64,81,73,73
IV-A (CALABARZON),Batangas,Malvar,Batangas,301099,Don Julio Leviste Memorial Vocational High School,HS,49,42,52,41,33,34,34,40
IV-A (CALABARZON),Batangas,San Juan,Batangas,307704,"Don Leon Mercado, Sr. MNHS",HS,129,105,117,124,101,121,87,90
IV-A (CALABARZON),Laguna,Pila,Laguna,307905,Don Manuel Rivera Memo. NHS,HS,184,157,174,170,141,160,100,128
IV-A (CALABARZON),Quezon,Catanauan,Quezon,301311,Doongan Ilaya NHS (Catanauan NHS - Doongan Ilaya Ext.),HS,48,74,52,63,38,42,35,45
IV-A (CALABARZON),Quezon,Calauag,Quezon,308021,Dr. Arsenio C. Nicolas NHS,HS,30,27,32,16,19,21,16,26
IV-A (CALABARZON),Quezon,Calauag,Quezon,308027,Dr. Arsenio C. Nicolas NHS - Dominlog Ext.,HS,8,9,14,17,12,9,7,13
IV-A (CALABARZON),Batangas,San Jose,Batangas,307714,Dr. Bonifacio A. Masilungan National High School,HS,53,43,40,41,44,37,31,21
IV-A (CALABARZON),Batangas,Nasugbu,Batangas,301127,Dr. Crisogono B. Ermita Sr. Memorial National High School,HS,427,385,332,334,305,283,265,242
IV-A (CALABARZON),Batangas,Ibaan,Batangas,301153,Dr. Juan A. Pastor MNHS (Talaibon NHS),HS,435,378,375,375,368,350,311,371
IV-A (CALABARZON),Quezon,Mauban,Quezon,301319,Dr. Maria D. Pastrana National High School,HS,274,315,226,289,160,232,226,252
IV-A (CALABARZON),Quezon,Candelaria,Quezon,308019,Dr. Panfilo Castro NHS (Bukal Sur NHS-Mangilag Annex),HS,153,104,116,100,99,94,100,83
IV-A (CALABARZON),Quezon,Candelaria,Quezon,308040,Dr. Panfilo Castro NHS - Masalukot I Annex,HS,41,46,70,62,0,0,0,0
IV-A (CALABARZON),Rizal,Angono,Rizal,308131,Dr. Vivencio B. Villamayor NHS,HS,101,71,64,64,88,53,62,46
IV-A (CALABARZON),Quezon,Guinayangan,Quezon,301320,Dungawan NHS,HS,37,35,33,29,33,31,15,32
IV-A (CALABARZON),Cavite,Bacoor,Cavite,301188,Eastern Bacoor NHS,HS,506,450,434,379,390,435,309,374
IV-A (CALABARZON),Laguna,City of Calamba,Calamba City,301518,"Eduardo Barretto, Sr. NHS",HS,217,239,195,203,179,196,142,156
IV-A (CALABARZON),Quezon,Agdangan,Quezon,301321,Elias A. Salvador NHS,HS,116,104,109,94,98,97,85,94
IV-A (CALABARZON),Cavite,Kawit,Cavite,301189,Emiliano T. Tirona MNHS,HS,545,575,533,502,500,488,445,464
IV-A (CALABARZON),Quezon,Quezon,Quezon,301313,Evaristo R. Macalintal MNHS (Cometa NHS),HS,23,26,35,24,21,28,22,22
IV-A (CALABARZON),Cavite,Tagaytay City,Cavite,307806,F. P. Tolentino MHS,HS,137,124,109,133,118,117,139,107
IV-A (CALABARZON),Laguna,Famy,Laguna,301240,Famy National High School,HS,201,220,213,165,157,174,144,168
IV-A (CALABARZON),Laguna,Santa Cruz (Capital),Laguna,307906,FELICISIMO T. SAN LUIS NHS,HS,211,235,204,174,224,228,182,203
IV-A (CALABARZON),Batangas,Cuenca,Batangas,301100,Fermin La Rosa NHS (Col. P. Pasia NHS),HS,126,91,115,95,101,77,84,93
IV-A (CALABARZON),Batangas,Lipa City,Lipa City,301490,Fernando Air Base NHS,HS,312,259,252,259,276,253,216,252
IV-A (CALABARZON),Batangas,San Pascual,Batangas,301101,Francisco G. Perez NHS,HS,59,40,55,39,47,38,35,34
IV-A (CALABARZON),Cavite,Trece Martires City (Capital),Cavite,307808,Francisco Osorio NHS (Trece Martires City NHS (Osorio Annex)),HS,105,129,144,119,130,100,100,93
IV-A (CALABARZON),Rizal,Cainta,Rizal,301437,Francisco P. Felix MNHS,HS,0,0,0,0,"1,084","1,038",857,911
IV-A (CALABARZON),Rizal,Cainta,Rizal,308109,Francisco P. Felix MNHS - JICA Annex,HS,"1,101","1,019",385,378,0,0,0,0
