program_or_proect_1,program_or_proect_2,program_or_proect_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livelihood Support for farmers-Coffee,-,100000,-,-,-,100000,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,"High Value Commercial Crops Support Program-Seedling dispersal (rubber, coffee, banana)",-,200000,-,-,-,199990,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Barangay Self-Sufficiency Program,-,380610,-,-,-,375330,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Agri-Engineering Services,-,130000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Plant Nursery,-,130350,-,-,-,120310,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Tissue Culture Laboratory,-,81269,-,-,-,60433,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Poultry Improvement and Demo Project,-,46000,-,-,-,34038.5,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Livestock Artificial Insemination Project,-,58000,-,-,-,52175,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Hog Artificial Insemination Project,-,72000,-,-,-,56375,-,-
Environmental Management Program,Other Environmental Management Projects-Agricultural Land Productivity,Stock Farm,-,92000,-,-,-,68404,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Marine Mammal Protection and Rehabilitation Project,-,200000,-,-,-,37654,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Protection/Rehabilitation of Marine Protected Areas Project,-,150000,-,-,-,26469,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Mangrove Rehabilitation/Nursery Management Project,-,150000,-,-,-,56351,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,Coastal Clean-up,-,100000,-,-,-,-,-,-
Environmental Management Program,Other Environmental Management Projects-Coastal or Freshwater Habitat Productivity and Protection,"Sustainable Upland, Lowland and Mangrove Ecosystem Protection and Rehabilitation",-,200000,-,-,-,39990,-,-
Total,Total,Total,,107825212,-,-,-,34494868.66,-,-
,,,,,,,,,,
Note: Different total number of amount,-,Sum all amount,108055212,-,-,-,Sum all amount,34712368.66,,-
