Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulativ_ Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
PH-79120,ARMM Social Fund (Additional Financing),WB,Project,ARG,Social Reform and Community Development,,12/31/10,0.00,0.00,0.00,1.08,1.08,0.00,0.00,0.00,1.08,1.08,0.00,0.00,0.00,0.00,0.00,30.00,30.00,100.00%,1.08,1.08,30.00,30.00,100.00%,0.00,0.00,3.58%,5/25/10,5/31/13,5/31/14,11/5/10,3.57,0.15,-3.42,4.30%,3.58%,28.93,0.72%,Newly Effective
PH-79130,Philippines: Food Crisis Response Development Policy Operation Supplemental Support for Post-Typhoon Recovery,WB,Program,DOF,Social Reform and Community Development,,12/31/10,0.00,0.00,250.00,0.00,250.00,0.00,0.00,250.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,250.00,250.00,100.00%,250.00,250.00,250.00,250.00,100.00%,0.00,0.00,100.00%,6/28/10,12/31/10,,8/27/10,0.35,0.35,0.00,100.00%,100.00%,0.00,0.00%,Closed
PH-7959,KALAHI-CIDSS Project (Additional Financing),WB,Project,DSWD,Social Reform and Community Development,"CAR. IV, V, VI, VII, VIII, IX, X, XI, XII, XIII",12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0.00,59.12,59.12,0.00%,0.00,0.00,0.00%,12/3/10,5/14/14,,2/24/11,3.22,-0.15,-3.37,-4.68%,0.00%,59.12,-4.68%,Newly Signed
PH-C22,Development Policy Support Program III,GOJ-JICA,Program,DOF,Governance and Institutions Development,,12/31/10,103.00,0.00,0.00,0.00,103.00,103.00,0.00,0.00,0.00,103.00,0.00,0.00,0.00,0.00,0.00,103.00,103.00,100.00%,103.00,103.00,103.00,103.00,100.00%,0.00,0.00,100.00%,3/15/10,3/31/10,,3/25/10,0.02,0.77,0.75,4683.33%,100.00%,0.00,4583.33%,Closed
PH-C23,Emergency Budget Support Japanese ODA Loan,GOJ-JICA,Program,DOF,Governance and Institutions Development,,12/31/10,154.51,0.00,0.00,0.00,154.51,154.51,0.00,0.00,0.00,154.51,0.00,0.00,0.00,0.00,0.00,154.51,154.51,100.00%,154.51,154.51,154.51,154.51,100.00%,0.00,0.00,100.00%,3/15/10,3/31/10,,3/25/10,0.02,0.77,0.75,4683.33%,100.00%,0.00,4583.33%,Closed
PHL-10,"Gapan-San Fernando-Olongapo Road Project, Phase II",Korea,Project,DPWH,Infrastructure,,12/31/10,0.00,0.00,0.00,0.18,0.18,0.00,0.27,0.31,0.18,0.76,0.00,0.00,0.00,0.00,0.00,28.35,28.35,24.12%,0.18,3.40,28.35,28.35,5.41%,3.22,0.00,0.65%,7/13/09,4/20/14,,10/20/09,4.50,1.20,-3.30,26.60%,0.65%,28.16,25.95%,Ongoing
PHL-5,Laguindingan Airport Development Project,Korea,Project,DOTC,Infrastructure,X,12/31/10,0.00,9.02,3.61,1.40,14.03,0.00,20.91,3.63,0.00,24.54,0.00,0.00,0.00,0.00,0.00,33.47,33.47,57.15%,63.43,80.74,92.20,92.20,78.57%,17.30,0.00,41.91%,2/24/98,6/19/02,10/25/14,6/19/98,16.36,12.54,-3.82,76.66%,68.80%,28.77,7.86%,Ongoing
PHL-7,Northrail-Southrail Linkage Project,Korea,Project,PNR,Infrastructure,NCR,12/31/10,0.00,5.46,0.00,3.11,8.57,2.45,1.97,0.00,0.00,4.42,0.00,0.00,0.00,0.00,0.00,8.58,8.58,193.91%,50.42,50.42,50.42,50.42,99.99%,0.00,0.00,99.97%,5/7/04,3/16/07,12/29/10,3/16/05,5.79,5.80,0.01,100.09%,99.99%,0.00,0.10%,Closed
PHL-8,Widening of Gapan-San Fernando-Olongapo,Korea,Project,DPWH,Infrastructure,III,12/31/10,1.43,1.88,1.89,2.74,7.94,3.15,2.28,2.71,0.00,8.14,0.00,0.00,0.00,0.00,0.00,14.31,14.31,97.55%,16.17,18.96,22.30,22.30,85.31%,2.79,0.00,55.49%,8/24/05,3/27/12,7/27/12,3/27/06,6.34,4.77,-1.57,75.19%,72.51%,6.13,2.68%,Ongoing
PHL-9,Bacolod-Silay Airport Access Road Project,Korea,Project,DPWH,Infrastructure,,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.29,0.00,0.46,0.00,0.00,0.00,0.00,0.00,13.06,13.06,0.00%,0.00,1.44,13.06,13.06,0.00%,1.44,0.00,0.00%,7/13/09,6/20/13,3/31/14,10/20/09,4.45,1.20,-3.25,26.93%,0.00%,13.06,26.93%,Ongoing
PH-P191,Metro Iligan Regional Infrastructure Dev't. Project,GOJ-JICA,Project,Lanao del Norte Provl Govt,Infrastructure,XII,12/31/10,4.22,7.19,0.00,0.00,11.41,5.21,0.24,0.00,0.00,5.45,0.00,13.85,0.00,0.00,13.85,27.63,13.78,209.36%,33.72,33.72,47.57,33.72,100.00%,0.00,13.85,82.78%,9/10/98,1/7/08,6/7/10,1/7/99,11.42,11.99,0.57,104.97%,100.00%,0.00,4.97%,Closed
PH-P193,Agno River Flood Control Project Phase II-A,GOJ-JICA,Project,DPWH,Infrastructure,I,12/31/10,5.26,0.00,0.00,0.00,5.26,5.25,0.00,0.00,0.00,5.25,4.52,0.00,0.00,0.00,4.52,10.87,6.36,100.19%,68.06,68.06,72.57,68.06,100.00%,0.00,4.52,82.77%,9/10/98,1/7/07,3/7/10,1/7/99,11.17,11.99,0.82,107.33%,100.00%,0.00,7.33%,Closed
PH-P215,Subic Bay Port Development Project,GOJ-JICA,Project,SBMA,Infrastructure,III,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.19,9.19,9.19,0.00,0.00%,187.93,187.93,197.12,187.93,100.00%,0.00,9.19,0.00%,8/13/00,12/27/09,12/27/10,1/27/01,9.92,9.93,0.01,100.11%,100.00%,0.00,0.11%,Closed
PH-P217,"Arterial Road Links Project, Phase V",GOJ-JICA,Project,DPWH,Infrastructure,"I, CAR, V, VI, VIII",12/31/10,2.02,1.70,3.85,0.00,7.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.13,0.00,6.13,14.27,8.14,0.00%,91.42,91.42,97.55,91.42,100.00%,0.00,6.13,93.00%,5/30/01,9/25/09,9/25/10,9/25/01,9.01,9.27,0.27,102.95%,100.00%,0.00,2.95%,Closed
PH-P220,Rural Road Network Development Project III,GOJ-JICA,Project,DPWH,Infrastructure,"I, II, III, IV, V, VI, CARAGA",12/31/10,5.66,2.37,3.22,2.90,14.15,4.46,3.52,6.40,3.63,18.01,0.00,0.00,0.00,0.00,0.00,47.47,47.47,78.57%,41.94,56.99,74.36,74.36,73.59%,15.05,0.00,29.81%,5/30/01,9/25/09,3/25/12,9/25/01,10.50,9.27,-1.23,88.26%,56.41%,32.42,31.85%,Ongoing
PH-P221,Help for Catubig Agricultural Advancement Project Stage I,GOJ-JICA,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",VIII,12/31/10,0.98,0.79,2.50,1.10,5.37,4.20,4.30,5.29,5.39,19.18,0.00,0.00,0.00,0.00,0.00,29.53,29.53,28.00%,38.51,61.36,62.43,62.43,62.75%,22.85,0.00,18.18%,5/30/01,1/23/11,1/23/13,1/23/02,11.01,8.94,-2.07,81.23%,61.68%,23.92,19.55%,Ongoing
PH-P226,Subic-Clark-Tarlac Expressway Project,GOJ-JICA,Project,BCDA,Infrastructure,III,12/31/10,12.61,5.16,2.06,8.46,28.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,10.77,40.97,30.20,0.00%,696.67,696.67,707.44,696.67,100.00%,0.00,10.77,93.67%,9/14/01,12/1/09,12/17/10,12/1/01,9.05,9.09,0.04,100.42%,100.00%,0.00,0.42%,Closed
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",GOJ-JICA,Project,DOTC,Infrastructure,Nationwide,12/31/10,0.54,0.53,0.13,0.28,1.48,1.12,0.65,47.81,18.59,68.17,0.00,0.00,0.00,0.00,0.00,254.78,254.78,2.17%,11.03,172.33,264.21,264.21,6.40%,161.31,0.00,0.58%,3/28/02,2/21/10,5/21/17,2/21/03,14.26,7.86,-6.39,55.16%,4.17%,253.19,50.99%,Ongoing
PH-P229,Bago River Irrigation System Rehab. And Improvement Project,GOJ-JICA,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",VI,12/31/10,5.36,0.00,0.00,0.00,5.36,0.85,0.00,0.00,0.00,0.85,2.52,0.00,0.00,0.00,2.52,8.77,6.25,630.59%,32.22,32.22,34.75,32.22,100.00%,0.00,2.52,85.81%,3/28/02,2/21/10,,2/21/03,7.01,7.86,0.86,112.24%,100.00%,0.00,12.24%,Closed
PH-P230,Iloilo Flood Control Project Phase II,GOJ-JICA,Project,DPWH,Infrastructure,VI,12/31/10,2.96,4.90,6.77,0.00,14.63,5.66,2.35,2.35,2.16,12.52,0.00,0.00,0.72,0.00,0.72,16.27,15.55,116.85%,79.14,79.14,79.86,79.14,100.00%,0.00,0.72,94.10%,3/28/02,9/24/10,,9/24/02,8.01,8.27,0.27,103.35%,100.00%,0.00,3.35%,Closed
PH-P231,Urgent Bridges Construction Project for Rural Development,GOJ-JICA,Project,DPWH,Infrastructure,Nationwide,12/31/10,7.46,3.87,0.00,7.01,18.34,21.55,8.24,8.82,8.99,47.60,0.00,0.00,0.00,0.00,0.00,90.06,90.06,38.53%,151.00,187.65,221.54,221.54,80.47%,36.65,0.00,20.36%,3/28/02,9/24/09,9/24/11,9/24/02,9.01,8.27,-0.73,91.88%,68.16%,70.54,23.72%,Ongoing
PH-P235,ARMM Social Fund for Peace and Development,GOJ-JICA,Project,ARG,Social Reform and Community Development,ARMM,12/31/10,1.99,0.72,1.76,1.03,5.50,1.45,1.40,1.69,2.07,6.61,0.00,0.00,0.00,0.00,0.00,12.10,12.10,83.21%,23.33,29.60,29.60,29.60,78.83%,6.27,0.00,45.45%,12/11/03,4/6/11,12/6/12,4/6/04,8.67,6.74,-1.93,77.70%,78.83%,6.27,-1.13%,Ongoing
PH-P236,Arterial road Bypass Project I (Plaridel and Cabanatuan),GOJ-JICA,Project,DPWH,Infrastructure,III,12/31/10,1.02,4.11,0.33,5.36,10.82,0.08,1.92,2.06,2.10,6.16,0.00,0.00,0.00,0.00,0.00,63.49,63.49,175.65%,22.39,74.57,74.57,74.57,30.03%,52.18,0.00,17.04%,3/30/03,7/29/12,,7/29/04,8.01,6.43,-1.58,80.29%,30.03%,52.18,50.26%,Ongoing
PH-P237,Central Mindanao Road Project,GOJ-JICA,Project,DPWH,Infrastructure,"IX, X, XI, XII, CARAGA, ARMM",12/31/10,1.53,1.92,0.86,2.84,7.15,3.09,3.17,5.13,4.47,15.86,0.00,0.00,0.00,0.00,0.00,35.34,35.34,45.08%,16.71,44.54,44.54,44.54,37.51%,27.83,0.00,20.23%,12/16/03,4/30/11,12/31/11,4/30/04,7.67,6.67,-1.00,86.97%,37.51%,27.83,49.46%,Ongoing
PH-P239,Pasig Marikina River Channel Improvement Project (Phase II),GOJ-JICA,Project,DPWH,Infrastructure,NCR,12/31/10,2.65,10.40,8.07,5.40,26.52,2.63,3.59,4.67,6.11,17.00,0.00,0.00,0.00,0.00,0.00,83.39,83.39,156.00%,46.79,63.02,102.28,102.28,74.25%,16.23,0.00,31.80%,2/27/07,6/21/15,,6/21/07,8.01,3.53,-4.47,44.11%,45.75%,55.48,-1.64%,Ongoing
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,GOJ-JICA,Project,DPWH,Infrastructure,,12/31/10,3.16,5.26,0.81,7.30,16.53,9.87,7.78,6.36,8.14,32.15,0.00,0.00,0.00,0.00,0.00,84.67,84.67,51.42%,23.82,17.87,91.12,91.12,133.34%,-5.96,0.00,19.52%,12/18/07,4/15/15,,4/15/08,7.00,2.71,-4.29,38.73%,26.14%,67.30,12.59%,Ongoing
PH-P242,Agrarian Reform Infrastructure Support Project III,GOJ-JICA,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform",,12/31/10,2.08,0.89,2.65,3.24,8.86,2.58,2.31,3.00,3.58,11.47,0.00,0.00,0.00,0.00,0.00,122.84,122.84,77.24%,27.81,42.61,141.42,141.42,65.27%,14.80,0.00,7.21%,12/18/07,4/15/17,,4/15/08,9.01,2.71,-6.29,30.12%,19.67%,113.61,10.45%,Ongoing
PH-P243,Environmental Development Project,GOJ-JICA,Project,DBP,Infrastructure,,12/31/10,6.03,0.00,0.29,10.92,17.24,4.63,17.50,0.00,1.20,23.33,0.00,0.00,0.00,0.00,0.00,260.76,260.76,73.90%,54.88,24.52,297.73,297.73,223.85%,-30.36,0.00,6.61%,9/30/08,1/7/16,,1/7/09,7.00,1.98,-5.02,28.29%,18.43%,242.85,9.86%,Ongoing
PH-P244,Agriculture Credit Support Project,GOJ-JICA,Project,LBP,"Agriculture, Natural Resources and Agrarian Reform",,12/31/10,30.18,0.00,5.92,0.98,37.08,0.00,1.10,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,175.05,175.05,3370.91%,40.57,17.72,175.05,175.05,228.92%,-22.85,0.00,21.18%,11/25/09,3/23/17,,3/23/10,7.01,0.78,-6.23,11.07%,23.18%,134.48,-12.11%,Ongoing
PH-P245,Logistics Infrastructure Development Project,GOJ-JICA,Project,DBP,Infrastructure,,12/31/10,18.24,0.00,0.00,0.00,18.24,40.25,0.00,0.00,0.24,40.49,0.00,0.00,0.00,0.00,0.00,244.21,244.21,45.05%,140.11,158.27,364.04,364.04,88.53%,18.16,0.00,7.47%,11/9/09,12/24/16,,12/24/09,7.01,1.02,-5.99,14.55%,38.49%,223.93,-23.94%,Ongoing
PH-P246,Post Ondoy and Pepeng Short-term Infrastructure Rehabilitation Project,GOJ-JICA,Project,DPWH,Infrastructure,"NCR, CAR, I, II, III, IV-A, IV-B, V",12/31/10,0.00,0.00,0.00,33.79,33.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.59,116.59,0.00%,33.79,9.90,118.78,118.78,341.33%,-23.89,0.00,28.98%,5/26/10,9/21/13,,9/21/10,3.00,0.28,-2.73,9.22%,28.44%,84.99,-19.22%,Ongoing
SAUDI-1/433,Mindanao Roads Improvement Project,Saudi Arabia,Project,DPWH,Infrastructure,,12/31/10,0.32,0.00,0.00,0.88,1.20,1.24,1.75,2.21,1.17,6.37,0.00,0.00,0.00,0.00,0.00,19.28,19.28,18.79%,1.93,6.43,20.00,20.00,30.02%,4.50,0.00,6.21%,10/21/05,12/31/09,12/31/12,4/2/06,6.75,4.75,-2.00,70.34%,9.65%,18.07,60.69%,Ongoing
SIDA-01,Credit Facility for the Environmental Management Project,SIDA,Project,DBP,"Industry, Trade and Tourism",Nationwide,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41,0.00,4.41,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00%,0.00,10.00,10.00,10.00,0.00%,10.00,0.00,0.00%,8/3/05,8/3/08,8/3/11,10/21/05,5.79,5.20,-0.59,89.82%,0.00%,10.00,89.82%,Ongoing
Spain-8,Bridge Construction/Replacement Project,Spain,Project,DPWH,Infrastructure,"Nationwide except NCR, ARMM",12/31/10,0.00,6.07,3.40,16.50,25.97,0.00,6.70,2.00,21.03,29.73,0.00,0.00,0.00,0.00,0.00,47.63,47.63,87.33%,25.97,10.48,47.63,47.63,247.78%,-15.49,0.00,54.51%,11/6/09,6/10/13,,2/10/10,3.33,0.89,-2.44,26.64%,54.51%,21.67,-27.87%,Ongoing
UK-4,Tulay ng Pangulo sa Kaunlaran,UK,Project,DPWH,Infrastructure,Nationwide,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128.11,128.11,106.82,-21.29,0.00%,84.69,84.69,212.80,84.69,100.00%,0.00,128.11,0.00%,8/3/05,8/16/10,,9/29/05,4.88,5.26,0.38,107.69%,100.00%,0.00,7.69%,Closed
UK-5,Tulay ng Pangulo Para sa Magsasaka Project,UK,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform",Nationwide,12/31/10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.60,131.60,0.00%,58.07,177.36,188.68,188.68,32.74%,119.29,0.00,0.00%,9/1/06,10/15/11,,12/6/06,4.86,4.07,-0.79,83.77%,30.78%,130.61,52.99%,Ongoing
