Project Title,Development Partner,Implementing/ Executing Agency,Grant Amount   (in US$ M),"Utilization
(in US$ M)",Project Start Date,Project Closing Date,Utilization Rate (UR),Time Elapsed (TE),TE-UR (%),Sector,Location,Type,"Financial 
Status","Physical
Status",Last Update,As of Date
Gender Mainstreaming in the ILO-Sweden Partnership Agreement in Philippines (PHI/12/51M/SID),ILO,ILO,0.13,0.1,8/1/2012,4/15/2014,73.2,112.22,39.02,Governance and Institutions Development,"Nationwide
",Technical Cooperation,Closed,Completed,6/30/2014,6/30/2014
Nutrition Security and Maternity Protection through Exclusive and Continued Breastfeeding Promotion in the Workplace (PHI/11/03M/CEF),ILO,ILO,0.29,0.19,1/1/2013,12/31/2014,65.81,74.76,8.95,Social Reform and Community Development,"V, VI, IX",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Typhoon BOPHA: Joint Response for Post Calamity Interventions, Local Resource Based Employment Generation and Livelihood Recovery Interventions (PHI/13/03M/AUS)",ILO,ILO,0.88,0.64,5/3/2013,9/30/2014,73.23,82.14,8.91,Social Reform and Community Development,XI,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Climate Change Impact Mitigation and Post Calamity Interventions: Application of Local Resource-Based Employment Generation Approach (PHI/12/08M/AUS),ILO,ILO,0.36,0.1,3/27/2013,9/30/2014,28.79,83.33,54.54,Social Reform and Community Development,XI,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Developing a Social Safety Net: Capacity Building for Income Support & Livelihood Recovery for Poor and Vulnerable Families affected by Typhoon Pablo (PHI/13/50M/JPN),ILO,ILO,0.08,0,4/1/2013,10/31/2014,1.8,78.72,76.92,Social Reform and Community Development,"CARAGA, XI",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Women Domestic Worker Empowerment Program: A Community Based Facilitation Guide for Women Domestic Workers' Self and Economic Empowerment (PHI/13/51M/JPN),ILO,ILO,0.12,0.02,9/1/2013,2/28/2015,14.65,55.41,40.76,Governance and Institutions Development,"Nationwide
",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Greener Businiess Asia II,ILO,ILO,0.1,0.04,1/1/2013,1/1/2014,40.73,149.32,108.58,Governance and Institutions Development,"Nationwide
",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
Tripartitie Action to Protect Migrants in the ASEAN Region from Labour Exploitation (ASEAN Triangle Project),ILO,ILO,5.42,2.22,5/1/2012,12/31/2016,40.96,46.33,5.37,Governance and Institutions Development,ASEAN Region,Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"International Programme on the Elimination of Child 
Labour (IPEC) - Country Level Engagement and 
Assistance to Reduce Child Labour (CLEAR)",ILO,ILO,0.37,0.05,4/1/2014,3/31/2015,13.42,24.73,11.3,Governance and Institutions Development,"Nationwide
",Technical Cooperation,Ongoing,On schedule,6/30/2014,6/30/2014
"Support for Returnees and  other Conflict-Affected Households in Central Mindanao, and National Capacity Development in Disaster Preparednessand Response",WFP,"DSWD, OCD, DILG, DA, DAR, DOST, DOH, DENR, DepEd, NNC, Provincial government, LGUs",58.26,53.85,5/1/2012,12/31/2014,92.43,81.11,-11.32,Social Reform and Community Development,"X, ARMM, IX, XII, CAR, II, IV-A, V, VI, CARAGA,  VII, ",Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
"Logistics and Emergency Telecommunications Augmentation in Response to Typhoon Haiyan in the Philippines 
",WFP,"DSWD, OCD",22.94,23.03,11/15/2013,5/30/2014,100.39,115.82,15.42,Governance and Institutions Development,"VI, VII, VIII",Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Assistance To The People Affected By The Super Typhoon Haiyan ,WFP,"DSWD, OCD, DILG, NNC, DA, DAR, DOH, DENR, Provincial Government, LGUs",68.71,66.9,11/15/2013,8/31/2014,97.37,78.55,-18.82,Social Reform and Community Development,"VI, VII, VIII",Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Food Security and Agriculture Cluster Coordination in response to Typhoon Haiyan (Yolanda) in the Philippines ,WFP,DSWD,5.03,0.44,11/20/2013,5/30/2014,8.75,116.23,107.48,"Agriculture, Agrarian Reform and Natural Resources","VI, VII, VIII",Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Shelter and NFI Support to Conflict Affected Communities in Central Mindanao,IOM,IOM,0.3,0.3,10/3/2013,6/30/2014,100,100,0,Social Reform and Community Development,ARMM and Region XII,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Enhanced Access to Emergency Health Care Services  through Repair and Re-equipping of Health Facilities for Vulnerable Conflict-Affected Communities in Central Mindanao,IOM,IOM,0.11,0.11,10/1/2013,6/30/2014,100,100,0,Social Reform and Community Development,ARMM and Region XII,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Humanitarain Assistance for Vulnerable Populations in Conflict and Disaster Affected Areas of Mindanao,IOM,IOM,0.85,0.85,12/1/2013,8/31/2014,100,100,0,Social Reform and Community Development,ARMM and Region XII,Mixed,Closed,Completed,8/31/2014,6/30/2014
Displacement Tracking and Support Building for the Peace Process in the Bangsamoro ,IOM,IOM,0.37,,6/1/2014,12/31/2014,0,13.62,13.62,Social Reform and Community Development,"ARMM, Region IX and Region XII",Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
"Renovation/Installation of Clinic in Can, Birthing Facilities, Safe Havens and Women Friendly Spaces ",IOM,IOM,0.5,,7/1/2014,11/30/2014,0,-0.66,-0.66,Social Reform and Community Development,"Region VI,VII,VIII, IX, XII",Mixed,Ongoing,On schedule,6/30/2014,6/30/2014
Camp Coordination and Camp Management (CCCM) and Shelter Support to the Displaced Population in Conflict Affected Areas of Zamboanga City,IOM,IOM,0.39,0.39,9/17/2013,1/16/2014,100,236.36,136.36,Social Reform and Community Development,Region IX,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Camp Coordination and Camp Management (CCCM) and Shelter Support to the Displaced Population in Zamboanga,IOM,IOM,1,1,10/13/2013,4/13/2014,100,142.86,42.86,Social Reform and Community Development,Region IX,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Emergency Grant Aid for  the Philippines in response to the armed conflict,IOM,IOM,1,1,10/14/2013,4/1/2014,100,153.25,53.25,Social Reform and Community Development,Region IX,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
Philippine - Humanitarian Action Plan - Emergency Assistance,IOM,IOM,0.51,0.51,11/22/2013,5/21/2014,100,122.22,22.22,Social Reform and Community Development,Region VII and IX,Emergency/Relief,Closed,Completed,6/30/2014,6/30/2014
"Evacuation Support Program, Transitional Shelter and Protection Support for Vulnerable Populations in Zamboanga City",IOM,IOM,0.36,,6/1/2014,12/31/2014,0,13.62,13.62,Social Reform and Community Development,Region IX,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
"Restoring Integrity amd Resilience of Internally Displaced Populations in Zamboanga through Shelter, Public Health Nutrition, WASH and Protection Intervention",IOM,IOM,0.17,,6/16/2014,12/15/2014,0,7.69,7.69,Social Reform and Community Development,Region IX,Emergency/Relief,Ongoing,On schedule,6/30/2014,6/30/2014
"Construction of Six (6) Classroom Building and Provision of Toilets, Chairs and Tables for Students ",EOJ,Municipality of Kabuntalan ,0.12,0.12,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,ARMM,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Agricultural Training Center for Talaanding Tribe in Manolo Fortich, Bukidnon",EOJ,"Kabukid Kaibigan NGO, Inc. ",0.09,0.09,4/1/2013,12/31/2014,100,71.21,-28.79,"Agriculture, Agrarian Reform and Natural Resources",XI,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Classrooms for Sapakan Elementary School in Pagalungan, Maguindanao ",EOJ,Municipality of Pagalungan,0.12,0.12,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,ARMM,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Women Training Center in Lupon, Davao Oriental ",EOJ,"Bangsamoro Women Organization of Davao Oriental, Inc. ",0.11,0.11,4/1/2013,12/31/2014,100,71.21,-28.79,Governance and Institutions Development,XI,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Classrooms for Sulon National High School in Sultan Mastura, Maguindanao",EOJ,Municipality of Sultan Mastura,0.11,0.11,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,ARMM,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Community Technical and Training Center for Women Empowerment in Malapatan, Sarangani ",EOJ,"United Youth of the Philippines Women, Inc.  ",0.09,0.09,4/1/2013,12/31/2014,100,71.21,-28.79,Governance and Institutions Development,XII,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Darapanan Youth and Children Center in Sultan Kudarat, Maguindanao ",EOJ,"Kapagawida Development Services Association, Inc. ",0.12,0.12,4/1/2013,12/31/2014,100,71.21,-28.79,Governance and Institutions Development,ARMM,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Classrooms for Lamuak Elementary School in Pikit, North Cotabato ",EOJ,Lamuak Elementary School ,0.1,0.1,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,XII,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
"Construction of Center for Capacity Building and Training in Mati, Davao Oriental ",EOJ,Concerned Bangsamoro Youth of Davao Oriental ,0.1,0.1,4/1/2013,12/31/2014,100,71.21,-28.79,Governance and Institutions Development,XI,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
Reconstruction of Six Classroom Building for Calintaan Central Elementary School,EOJ,Municipality of Calintaan ,0.11,0.11,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,IV-B,Capital Grants ,Ongoing,Completed,6/30/2014,6/30/2014
"Custom Plowing Project for Madrid, Surigao Del Sur",EOJ,Municipality of Madrid,0.06,0.06,4/1/2013,12/31/2014,100,71.21,-28.79,"Agriculture, Agrarian Reform and Natural Resources",XIII,Capital Grants ,Ongoing,Completed,6/30/2014,6/30/2014
Construction of Classrooms-Evacuation Center for Almacen Elementary School,EOJ,Municipality of Hermosa,0.1,0.1,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,III,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
Construction of Barangay Health Center and Procurement of Medical Equipment,EOJ,Municipality of Coron,0.1,0.1,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,IV-B,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
Construction of Classrooms and a Training Room for Tagbilaran City Cental SPED Center,EOJ,Tagbilaran City Central SPED Center,0.1,0.1,4/1/2013,12/31/2014,100,71.21,-28.79,Social Reform and Community Development,VII,Capital Grants ,Ongoing,On Schedule,6/30/2014,6/30/2014
Health Sector Policy Support Programme II,EU,DOH,49.52,33.46,1/1/2011,12/31/2014,67.57,87.4,19.83,Social Reform and Community Development,Nationwide,Others,Ongoing,,6/30/2014,6/30/2014
Trade-related Technical Assistance Programme III,EU,"NEDA, ACE INTERNATIONAL CONSULTANTS SL and others",8.07,3.17,1/1/2012,12/31/2016,39.3,49.89,10.59,"Industry, Trade and Tourism",NCR,Technical Assistance,Ongoing,,6/30/2014,6/30/2014
"Addressing Maternal, Neonatal and Child Health and Nutrition Needs of Indigenous Cultural Communities/Indigenous People (ICC/IP) and other Disadvantaged Communities in Mindanao",EU,"NCIP, GFA Consulting Group, ",8.18,3.5,1/1/2012,12/31/2016,42.77,49.89,7.12,Social Reform and Community Development,"IX, X, XI, XII, XIII",Technical Assistance,Ongoing,,6/30/2014,6/30/2014
Mindanao Trust Fund - Reconstruction & Development Programme 2007+2009+2010,EU,World Bank,6.65,6.8,1/1/2008,12/31/2017,102.26,64.95,-37.3,Governance and Institutions Development,Mindanao-wide,Mixed,Ongoing,,6/30/2014,6/30/2014
Mindanao Trust Fund-Reconstruction and Development Programme 2013,EU,World Bank,10.63,5.44,1/1/2013,12/31/2017,51.2,29.86,-21.33,Governance and Institutions Development,Mindanao-wide,Mixed,Ongoing,,6/30/2014,6/30/2014
Support to Local Government Units for more effective and accountable PFM,EU,"DBM, GHK Consulting Limited",8.86,3.05,1/1/2012,12/31/2016,34.4,49.89,15.49,Governance and Institutions Development,Nationwide,Technical Assistance,Ongoing,,6/30/2014,6/30/2014
"Justice for All: Enhancing Accessibility, Fighting Impunity ",EU,"DILG, HULLA & CO HUMAN DYNAMICS KG",7.5,3.22,1/1/2012,12/31/2016,42.86,49.89,7.03,Governance and Institutions Development,Nationwide,Technical Assistance,Ongoing,,6/30/2014,6/30/2014
Rapid Food Production Enhancement Programme (RaFPEP),IFAD,DA,13.06,11.01,11/9/2009,12/1/2015,84.31,68.37,-15.94,"Agriculture, Agrarian Reform and Natural Resources",Nationwide,Technical Assistance ,Ongoing,,12/31/2013,6/30/2014
Cordillera Highland Agricultural Resource Management Project 2 (CHARMP2),IFAD,DA,0.56,0.39,11/15/2008,5/15/2016,68.84,68.37,-0.47,"Agriculture, Agrarian Reform and Natural Resources",CAR,Technical Assistance ,Ongoing,,12/31/2013,6/30/2014
Rural Micro Enterprise Promotion Program (RuMEPP),IFAD,DTI,1.12,0.51,10/31/2006,6/30/2014,45.29,93.53,48.25,"Industry, Trade and Tourism",Nationwide,Technical Assistance ,Closed,,12/31/2013,6/30/2014
Achieving Sustainable Urban Development in Philippine Cities,UN Habitat,"HUDCC, DILG, Cities",1.13,1.32,1/1/2013,12/31/2015,117.25,33.27,-83.98,Infrastructure Development,"NCR, VI, X, XI, XIII",Technical Assistance,Ongoing,,12/31/2013,6/30/2014
"RH Demand (PHL7U202) - Strengthening demand and access of women, young people and men to high-quality reproductive health services in programme areas.",UNFPA,"DOH, LGUs, NGOs",1.09,0.24,1/1/2012,12/31/2016,21.94,39.98,18.04,Social Reform and Community Development,"CAR, III, IV-A V,VIII, IX, XI,XII, CARAGA, NCR, ARMM",Mixed,Ongoing,,12/31/2013,6/30/2014
"RH Supply (PHL7U201) - Strengthening capacity of national and local health systems to deliver core reproductive health information and services to women and their newborn infants, young people and men, particularly in selected geographical areas that are isolated and disadvantaged, and in humanitarian situations.",UNFPA,DOH/UP-PGH/PhilHealth/NYC/TESDA/LGUs/NGOs,9.73,3.31,1/1/2012,12/31/2016,34.06,39.98,5.91,Social Reform and Community Development,"CAR, V, VIII, XI, XII, CARAGA",Mixed,Ongoing,,12/31/2013,6/30/2014
Capacity Building of NGAs/LGUs on Gender (PHL7U505) - Increasing capacity of NGAs and LGUs to undertake gender-responsive programming to enforce MCW (Magna Carta of Women) provisions especially on reproductive rights and gender-based violence,UNFPA,"DSWD,LGUs,NGOs",0.67,0.22,1/1/2012,12/31/2016,32.67,39.98,7.31,Social Reform and Community Development,"CAR,V,VIII,XI,XII,CARAGA",MIxed,Ongoing,,12/31/2013,6/30/2014
"Capacity Building of CSOs on Gender (PHL7U506) - Increasing capacity of civil society organizations/grassroots organizations supporting women's and girls' rights, to advocate for the implementation of the Magna Carta of Women",UNFPA,"LGUs,NGOs",0.34,0.23,1/1/2012,12/31/2016,67.5,39.98,-27.53,Social Reform and Community Development,"CAR,V,VIII,XI,XII,CARAGA",MIxed,Ongoing,,12/31/2013,6/30/2014
"Evidence- based Policy Advocacy (PHL7U704) - Strengthening capacity of civil society, including faith-based organizations, youth, media and private sector groups, to advocate the passage of population policies that will establish the legal framework to implement reproductive health programmes",UNFPA,PGH/NGOs/LGUs,0.65,0.37,1/1/2012,12/31/2016,56.37,39.98,-16.4,Social Reform and Community Development,"CAR,V,VIII,XI,XII,CARAGA",Mixed,Ongoing,,12/31/2013,6/30/2014
"Data and Planning (PHL7U103) - Strengthening capacity of government agencies to generate, analyze, disseminate and utilize data on population, sexual and reproductive health, HIV/AIDS, gender and youth in national and local policymaking and development planning in programme areas",UNFPA,"POPCOM, NAPC, LGU, NGOs",1,0.22,1/1/2012,12/31/2016,22.39,39.98,17.59,Social Reform and Community Development,"CAR, V,VIII,XI,XII, CARAGA",Mixed,Ongoing,,12/31/2013,6/30/2014
Support to NSCB,UNICEF,NSCB,0.01,0,10/8/2013,3/31/2014,0,48.28,48.28,Social Reform and Community Development,Nationwide,Mixed,Closed,,12/31/2013,6/30/2014
Joint Program on Maternal and Newborn Health –Phase 1,UNICEF,DOH,1.39,0,9/1/2012,6/30/2014,0,72.86,72.86,Social Reform and Community Development,"IV-B, XI, XII, NCR",Mixed,Closed,,12/31/2013,6/30/2014
" Evidence-based Planning and Budgeting for Maternal, Newborn, Child Health and Nutrition",UNICEF,UP-NCPAG,0.78,0,1/1/2012,6/30/2014,0,80.13,80.13,Social Reform and Community Development,"NCR, IV-B, XI",Technical Assistance,Closed,,12/31/2013,6/30/2014
 Basic Education Project,UNICEF," DepED, CSO and LGU partners",0.41,0,1/1/2012,12/31/2016,0,39.98,39.98,Social Reform and Community Development,"NCR, IV-B, XI",Mixed,Ongoing,,12/31/2013,6/30/2014
 Education Response to  Emergencies ,UNICEF," DepED, DSWD, ECCD Council, CSO and LGU partners",21.5,0,1/1/2013,12/31/2014,0,49.93,49.93,Social Reform and Community Development,"VI, VIII",Mixed,Ongoing,,12/31/2013,6/30/2014
 ECCD Project  ,UNICEF," DepED, DSWD, ECCD Council, CSO and LGU partners",0.86,0,1/1/2012,12/31/2016,0,39.98,39.98,Social Reform and Community Development,"NCR, IV-B, V, VIII, IX, XII, XIII",Mixed,Ongoing,,12/31/2013,6/30/2014
Maternal Neonatal Tetanus Elimination,UNICEF, DOH,0.02,0,1/1/2012,12/31/2014,0,66.67,66.67,Social Reform and Community Development,"DOH National, CHD 5 12",Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Cross Sectoral Support,UNICEF,"GOP,CSO",24.58,4.34,1/1/2012,12/31/2016,17.65,39.98,22.32,Governance and Institutions Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Increased Access to High Impact Preventive Services,UNICEF,"GOP,CSO",16.58,7.56,1/1/2012,12/31/2016,45.58,39.98,-5.6,Social Reform and Community Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Increased Access to ECCD and Elementary Education,UNICEF,"GOP,CSO",7.07,2.43,1/1/2012,12/31/2016,34.28,39.98,5.7,Social Reform and Community Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Improved National and Local Level Public Sector Institutional Gender Sensitive Framework,UNICEF,"GOP,CSO",10.42,0.9,1/1/2012,12/31/2016,8.65,39.98,31.33,Social Reform and Community Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Strengthened Knowledge Function,UNICEF,"GOP,CSO",5.41,0.55,1/1/2012,12/31/2016,10.16,39.98,29.82,Social Reform and Community Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Improved and Inclusive Peace Conditions,UNICEF,"GOP,CSO",5.98,1.8,1/1/2012,12/31/2016,30.18,39.98,9.8,Social Reform and Community Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Improved Capacity for Emergencies,UNICEF,"GOP,CSO",17.34,0.91,1/1/2012,12/31/2016,5.24,39.98,34.74,Social Reform and Community Development,Specific regions not identified,Others,Ongoing,,12/31/2013,6/30/2014
Subnational Initiative,WHO,DOH,0.28,0.25,6/7/2012,1/31/2014,89.45,94.86,5.4,Social Reform and Community Development,XI,Technical Assistance,Closed,,12/31/2013,6/30/2014
Water Safety Initiative,WHO,"DOH, LWUA",0.25,0.1,1/1/2009,12/31/2016,40.54,62.48,21.93,Social Reform and Community Development,"I, II, III, V, VII, XI, XII, NCR",Technical Assistance,Ongoing,,12/31/2013,6/30/2014
UN Joint Programme on Maternal and Neonatal Health,WHO,DOH,1.44,0.92,2/12/2012,2/28/2014,63.83,92.1,28.27,Social Reform and Community Development,"NCR, XII, VIII",Technical Assistance,Closed,,12/31/2013,6/30/2014
CERF-Zamboanga: Life Saving Helath Services to Conflict-Affected Populations in Zamboanga City,WHO,DOH,0.19,0.08,10/7/2013,3/31/2014,43.87,48.57,4.7,Social Reform and Community Development,IX,Emergency/Relief,Closed,,12/31/2013,6/30/2014
CERF-Bohol: Provision of Emergency Health Services to Earthquake-Affected populations,WHO,DOH,0.8,0.15,11/15/2013,4/30/2014,18.38,27.71,9.33,Social Reform and Community Development,VII,Emergency/Relief,Closed,,12/31/2013,6/30/2014
CERF-COTABATO: Provision of Primary Care Services to Conflict-Affected Populations in Maguindanao and North Cotabato,WHO,DOH,0.15,0,9/27/2013,6/30/2014,0,34.42,34.42,Social Reform and Community Development,ARMM,Emergency/Relief,Closed,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,1.69,0.61,11/16/2013,5/31/2014,35.94,22.96,-12.98,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Closed,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,2.55,0.05,11/20/2013,5/31/2014,1.8,21.35,19.55,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Closed,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,3.39,0.37,11/21/2013,11/30/2014,10.93,10.7,-0.23,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Ongoing,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,0.12,0,12/10/2013,6/30/2014,0,10.4,10.4,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Closed,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,0.41,0.04,11/15/2013,11/30/2014,9.75,12.11,2.35,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Ongoing,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,0.64,0.1,12/5/2013,5/31/2014,15.58,14.69,-0.89,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Closed,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,2.77,0,11/15/2013,11/30/2014,0,12.11,12.11,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Ongoing,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,0.85,0,12/6/2013,12/31/2014,0,6.41,6.41,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Ongoing,,12/31/2013,6/30/2014
Provision of Emergency Health Services to Populations Affected by Typhoon Yolanda,WHO,DOH,0.25,0,12/31/2013,12/31/2014,0,0,0,Social Reform and Community Development,"VI, VII, VIII, IV-B",Emergency/Relief,Ongoing,,12/31/2013,6/30/2014
Social Protection Support Project- Developing Social Protection (Support for Social Protection Reform),ADB,DSWD,1.4,0.26,12/13/2010,1/31/2014,18.86,97.29,78.44,Social Reform and Community Development,Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Urban Water Supply and Sanitation Project,ADB,MCWD,2,1.51,11/26/2010,3/31/2014,75.6,92.63,17.03,Infrastructure Development,Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Education Improvement Sector Development Program,ADB,DepEd,1.81,1.13,12/9/2011,3/31/2014,62.38,89.32,26.94,Social Reform and Community Development,Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Developing a Public-Private Earthquake Pool in the Philippines,ADB,ADB (with GOP as beneficiaries),0.23,0.18,12/27/2011,3/31/2014,79.56,89.09,9.54,Governance and Institutions Development,Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Consumer Protection in a Competitive Electricity Market with Open Access,ADB,with GOP,0.5,0.07,5/16/2012,4/30/2014,14,83.19,69.19,"Industry, Trade and Tourism",Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Typhoon Haiyan (Yolanda) Project,ADB,,3,3,11/13/2013,5/14/2014,100,26.37,-73.63,Social Reform and Community Development,,,Closed,,12/31/2013,6/30/2014
Integrated Coastal Resources Management,ADB,DENR,9,5.65,1/23/2007,6/30/2014,62.72,93.33,30.61,"Agriculture, Agrarian Reform and Natural Resources",Specific regions not identified,Mixed,Closed,,12/31/2013,6/30/2014
Decentralized Framework for Sustainable Natural Resources and Rural Infrastructure Management,ADB,DENR,1.3,0.76,12/17/2010,6/30/2014,58.38,85.98,27.6,"Agriculture, Agrarian Reform and Natural Resources",Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Solid Waste Management Sector Project,ADB,DENR,1.22,0.41,7/16/2012,6/30/2014,33.61,74.65,41.04,Social Reform and Community Development,Specific regions not identified,Technical Assistance,Closed,,12/31/2013,6/30/2014
Davao Sustainable Urban Transport Project,ADB,DOTC,1,0.76,10/19/2012,6/30/2014,76,70.76,-5.24,Infrastructure Development,XI,Technical Assistance,Closed,,12/31/2013,6/30/2014
Support for Data Management for Performance Reporting & Assessment,ADB,PhCO,0.23,0,7/4/2013,6/30/2014,0,49.86,49.86,Governance and Institutions Development,,,Closed,,12/31/2013,6/30/2014
Angat Water Transmission Improvement,ADB,MWSS,0.94,0.55,9/13/2012,7/30/2014,58.94,69.2,10.26,Infrastructure Development,NCR,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Design of a Pilot Project to Improve Environmental Conditions of Estero de Paco,ADB,PRRC,0.44,0.19,8/8/2012,7/31/2014,42.5,70.64,28.14,Social Reform and Community Development,NCR,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Capacity Development for Social Protection,ADB,DSWD,0.8,0.56,9/2/2010,8/31/2014,69.88,83.34,13.47,Social Reform and Community Development,Specific regions not identified,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Structuring a Public-Private Earthquake Insurance Pool in the Philippines,ADB,DOF,0.5,0.21,12/20/2012,8/31/2014,41.6,60.74,19.14,Governance and Institutions Development,,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Social Protection Support Project - Gender Impacts (Strengthened Gender Impacts of Social Protection),ADB,DSWD,0.3,0.12,9/2/2010,9/30/2014,41.33,81.67,40.33,Social Reform and Community Development,Specific regions not identified,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Capacity Development to Support Regulation and Oversight at Insurance Commission,ADB,"Insurance Commission 
(for validation)",0.23,0,12/13/2013,9/30/2014,0,6.19,6.19,Governance and Institutions Development,,,Ongoing,,12/31/2013,6/30/2014
Results-Oriented Strategic Planning and Development Management for Inclusive Growth,ADB,ADB PhCO (with NEDA as beneficiaries),1,0.42,4/13/2011,11/30/2014,41.8,74.83,33.03,Governance and Institutions Development,NCR,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Strategic Policy Actions for Succesful Structural Transformation and Inclusive Growth,ADB,ADB PhCO (with GOP as beneficiaries),0.23,0,10/24/2011,11/30/2014,0.44,70.52,70.08,Governance and Institutions Development,Nationwide,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
Strengthening Results Based Hr Processes at the Department of Finance,ADB,DOF,0.23,0.02,8/5/2013,11/30/2014,7.56,30.71,23.15,Governance and Institutions Development,,,Ongoing,,12/31/2013,6/30/2014
Strengthening Treasury's Liquidity Management,ADB,BTr,0.21,0,10/10/2013,12/1/2014,0,19.66,19.66,Governance and Institutions Development,,Technical Assistance,Ongoing,,12/31/2013,6/30/2014
