list_of_proposed_programs,projects,location,appropriation,disbursement,balance,remarks
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.",Barangay Electrification Project,180000,0,180000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.",Construction of Passenger Terminal at Cadiz City Public Market,100000,0,100000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.",Swine Dispersal Project,100000,-,80000,"On-going as of June 30, 2012"
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Marcelo C. Metoda, Sr.",Swine Dispersal Project,-,20000,0,PR or OR On-process 06-21-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.",Purchase of Medical Equiptments,400000,240500,0,100% Completed 02-24-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.",Purchase of Medical Equiptments- Realigned to- Electrification Project - Php 159500.00,-,159500,0,100% completed 03-26-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.",Repair or Improvement of School Building at Barangay Burgos Elementary School,20000,0,20000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.",Construction of Perimeter Fence (Additional Fund) at Barangay Sicaba Public Cemetery,20000,0,20000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.",Repair or Improvement of Finger Port at Barangay Cadiz Viejo,20000,0,20000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.","Repair or Improvement of Daycare Center at Sitio Cotcot, Barangay Mabini",20000,0,20000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Abiezer B. Bacamo, Sr.","Electrification Project at Hiyang-Hiyang Elementary School, Barangay C.S. Villacin",20000,0,20000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.","Construction, Repair or Improvement of Footwalks",80000,0,80000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.",Talaba and Mud Crab Culture Project,100000,0,100000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.",Barangay Electrification Project,170000,-,151000,"On-going as of June 30, 2012"
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.",Barangay Electrification Project Barangay 6,-,19000,0,100% Completed 06-08-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.",Purchase of Medical Equiptments,70000,0,70000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.",Repair or Improvement or Declogging of Drainage System,40000,0,40000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Juan P. Musa, Sr.",Purchase of Post Harvest Facilities (Rice Thresher),40000,0,40000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction of Tricycle Terminal (Counterpart Fund) at Crossing Martesan, Barangay Burgos",40000,0,40000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,Construction of Break Water (Counterpart Fund) at Barangay Cadiz Viejo,30000,30000,0,POW or OR On-process 04-18-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction of School Stage at Igcamalig Elementary School, Barangay Mabini",50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Repair or Improvement of School Building at Pitogo Elementary School, Barangay Tiglawigan",50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,Construction of Multi-Purpose Pavements,70000,-,-,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction of Multi-Purpose Pavements- Sitio Pitogo, Barangay Tiglawigan - Php 40000.00",-,0,40000,-
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction of Multi-Purpose Pavements- San Andres, Barangay Banquerohan - Php 30000.00",-,30000,0,-
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,Construction or Repair of School Perimeter Fence,180000,-,-,-
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction or Repair of School Perimeter Fence- Alimatoc Elementary School, Barangay C.S. Villacin - Php 30000.00",-,30000,0,POW or OR On-process 06-20-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction or Repair of School Perimeter Fence- Caduha-an Elementary School, Barangay Caduha-an - Php 30000.00",-,0,30000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction or Repair of School Perimeter Fence- Villacin Elementary School, Barangay Tinampa-an - Php 30000.00",-,30000,0,POW or OR On-process 06-20-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction or Repair of School Perimeter Fence- Yee-on Elementary School, Barangay Cabahug - Php 30000.00",-,0,30000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction or Repair of School Perimeter Fence- V.F. Gustilo Elementary School, Barangay V.F. Gustilo - Php 30000.00",-,30000,0,POW or OR On-process 06-20-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,"Construction or Repair of School Perimeter Fence- Sewahon Elementary School, Barangay V.F. Gustilo - Php 30000.00",-,30000,0,POW or OR On-process 06-20-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,Contruction of Tourims Spot Signage,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon Wilfredo F. Cervantes,Purchase of Medical Equiptment,30000,0,30000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Denia P. Hinolan,Purchase of Medical Equiptments,150000,0,150000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Denia P. Hinolan,Barangay Electrification Program,290000,289975,25,100% completed 04-11-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Denia P. Hinolan,Repair or Improvement of Drainage System,60000,0,60000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,"Construction of Stage Roofing (Phase 4) at Cadiz East 2 Elementary School, Barangay 4 (Realigned to: Improvement of Computer Room  Building and Installation of its Electrical Facilities)",70000,0,70000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,"Construction of Footwalks at Various Puroks, Barangay 3",50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,Construction of Comfort Room at Cadiz Viejo National High School,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,"Improvement of School Building at Caduha-an National High School - Luna Extension, Barangay Luna",50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,Construction of Perimeter Fence at Tiglawigan National High School,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,"Barangay Electrification Project at Crossing Valderrama Highway, Barangay Luna",30000,30000,0,POW or OR On-process 03-05-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,"Construction of Multi-Purpose Building (Phase 1) at Villacin National High School, Barangay Tinampa-an",50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,"Construction of Main Gate or Perimeter Fence at Aluyan Elementary School (Realigned to-Construction of Perimeter Fence at Dr. Vicente Patricio Memorial E or S, Barangay Magsaysay)",50000,50000,0,POW or OR On-process 05-16-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,Construction of Drinking Facility with Roof at Daga Elementary School,50000,50000,0,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Agustin Jesmar Desuyo,Construction or Installation of Water System at West 2 Elementary School,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.",Construction of Perimeter Fence at Cadiz West 1 Elementary School,30000,0,30000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.",Flood and Erosion Control Project at Barangay 3,30000,0,30000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.",Construction of Canopy at SPED High School,20000,20000,0,POW or OR On-process 06-13-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.","Barangay Electrification Project, Barangay Luna",30000,30000,0,POW or OR On-process 03-05-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.",Purchase of Medical Equipments or Toothbrushing Project,390000,279914.25,85.75,100% Completed 02-29-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.","Purchase of Medical Equipments or Toothbrushing Project- Realigned to- Construction of Multi-Purpose Pavement (Infront of Main Gate of Andres Bonifacio E or S, Barangay Bonifacio) - Php 30000.00",-,0,30000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.","Purchase of Medical Equipments or Toothbrushing Project- Realigned to- Construction of Perimeter Fence- PNU, Barangay 1 - Php 50000.00",-,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Sixto Teofilo Roxas V. Guanzon, Jr.",Purchase of Medical Equipments or Toothbrushing Project- Realigned to- Construction of Perimeter Fence- Caduha-an National H or S Luna Extension Brgy. Luna - Php 30000.00,-,30000,0,POW or OR On-process 06-01-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Repair or Improvement of Perimeter Fence,50000,50000,0,POW or OR On-process 06-28-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Repair or Improvement of Balay Dalangpan Center at Barangay 6,50000,50000,0,POW or OR On-process 05-16-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Repair or Improvement of City Mini Gym (Counterpart Fund),50000,50000,0,POW or OR On-process 05-21-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Repair or Improvement School Toilet at Cadiz West 1 Elementary School,70000,70000,0,POW or OR On-process 03-13-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Repair or Improvement of Daycare Centers- Barangay Magsaysay - Php 60000.00,110000,0,110000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Repair or Improvement of School Building at Barangay Tiglawigan Elementary School,40000,0,40000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,"Construction, Repair or Improvement of Drainage System",60000,0,60000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Laleh H. Lamis,Barangay Electrification Project,70000,49875,20125,POW or OR On-process 05-22-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Hon. Lilia O. Decolongon,Purchase of Medical Equiptments,500000,387500,112500,"On-going as of June 30, 2012"
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Antonio U. Lacson, III",Barangay Electrification Project,250000,249970,30,100% Completed 03-22-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Antonio U. Lacson, III",Financial Support to Agri-Pinoy for Fisheries Program,100000,100000,0,100% Completed 02-02-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,"Hon. Antonio U. Lacson, III",Rehabilitation or Improvement of Water Systems,150000,150000,0,100% Completed 03-07-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,Construction of Perimeter Fence,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,Improvement of School Building,50000,-,15500,"On-going as of June 30, 2012"
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,Improvement of School Building,-,34500,0, POW or OR On-process 06-21-12
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,Repair of Water System,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,"Construction, Repair or Improvement of Drainage System",300000,0,300000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,Repair or Improvement of School Stage,50000,0,50000,For Implementation
Special Project Fund to Eleven (11) Hon. SP Members at Php 500000.00 per SP Member,Special Project Fund of Hon. City Vice Mayor - Php 1000000.00 Hon. Samson S. Mirhan,Payment of Loan Amortization with Veterans Bank (Re- Construction of City Sanitary Landfill Project),500000,0,500000,For Implementation
Grand Total,-,-,92960211.2,44771120.33,48189090.87,-
