83,Human Resources Development in Maternal and Child Health Project,JICA,DOH,PHO of Biliran and Ifugao,0.00,0.83,0.83,03/06-03/10,16-Mar-06,15-Mar-10,Social Reform and Community Development,Multi-Regional,"CAR, VIII",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Improvement of Packaging Systems for Selected Philippine Food Products in the Regions,JICA,DOST,,0.00,0.48,0.48,06/05-05/09,30-Jun-05,31-May-09,"Agriculture, Environment and Agrarian Reform",Nationwide,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Project for Enhancement of Hydrographic Capabilities for Navigational Safety,JICA,DENR,NAMRIA,0.00,0.53,0.53,03/06-03/08,01-Dec-05,31-Mar-09,Infrastructure Development,NCR,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Rice Based Farming System Training and Support Program for ARMM,JICA,DA,PhilRice,0.00,0.27,0.27,02/02/05-02/01/10,02-Feb-05,01-Feb-10,"Agriculture, Environment and Agrarian Reform",ARMM,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Small Water District Improvement Project,JICA,LWUA,,0.00,1.23,1.23,07/05-06/10,30-Jul-05,30-Jun-10,Infrastructure Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,UP-Information Technology Human Resources Development Project,JICA,Others,UP,0.00,0.20,0.20,07/20/04-07/19/08,20-Jul-04,19-Jul-09,Social Reform and Community Development,NCR,,closed,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Improvement of Quality Management for Highway and Bridge Construction and Maintenance,JICA,DPWH,,0.00,1.38,1.38,02/17/07-02/17/10,17-Feb-07,17-Feb-10,Infrastructure Development,Multi-Regional,"CAR, VII, XI",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Build-up the Operation of the PNP's Automated Fingerprint Identification System,JICA,PNP,,0.00,0.43,0.43,08/06-07/10,31-Aug-06,30-Jul-10,Governance and Institutions Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Project on the Philippine Customs Intelligence System (PCIS) for the Enhancement of its System Environment and Training of Customs Officers,JICA,BOC,,0.00,0.46,0.46,03/21/07-06/30/11,31-Jul-07,30-Jun-10,Governance and Institutions Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Assistance Project for Capacity Development for Post Entry Audit,JICA,BOC,,0.00,0.04,0.04,,30-Jun-08,31-Mar-11,Governance and Institutions Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Introduction of Suitable Solid Waste Management System in 3 Model Cities,JICA,Others,NSWMC,0.00,1.43,1.43,10/07-10/10,31-Oct-07,31-Oct-10,"Agriculture, Environment and Agrarian Reform",Multi-Regional,"VI, VIII, XI",ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,"Project on SME ""Shindan"" for Philippine SME Counselors",JICA,DTI,,0.00,0.64,0.64,02/07-01/10,28-Feb-07,31-Jan-10,"Industry, Trade and Tourism",Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Davao Industry Cluster Capacity Enhancement Project,JICA,DTI,DTI-XI,0.00,0.72,0.72,-03/10,13-Apr-07,31-Mar-10,"Industry, Trade and Tourism",XI,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Local Governance and Rural Empowerment for Davao Region,JICA,Others,DIDP,0.00,1.08,1.08,07/07-06/10,30-Jul-07,30-Jun-10,Governance and Institutions Development,XI,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Strengthening the Flood Management Function of DPWH,JICA,DPWH,FCSEC,0.00,1.02,1.02,,01-Jul-05,31-Jul-10,Governance and Institutions Development,Unspecified,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Japanese Grant Aid for Human Resource Development Scholarships (JDS),JICA,NEDA,,355.00,3.71,3.71,,30-Nov-02,,Social Reform and Community Development,Nationwide,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Comprehensive Flood Mitigation for Cavite Lowland Area,JICA,DPWH,,0.00,0.66,0.66,,,,Infrastructure Development,IV-A,,ongoing,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,In Country Training Prog on the Improvement of O&M System and Technology for the ARCs (JICA-ICTP),JICA,DAR,,0.00,0.00,0.00,,31-Mar-04,31-Mar-09,"Agriculture, Environment and Agrarian Reform",Unspecified,,closed,ongoing,1/31/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Flood Disaster Mitigation in Camiguin Island,JICA,DPWH,,1.01,0.31,0.31,,19-Jun-09,31-May-12,"Agriculture, Environment and Agrarian Reform",X,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Enhancement of Local Governance and Community Empowerment in Micro-watersheds in Misamis Oriental,JICA,Others,PG of Misamis Oriental,0.00,0.68,0.68,,01-Jan-08,31-Jan-11,Governance and Institutions Development,X,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Rice-based Farming System Training and Support Program for ARMM,JICA,DA,PhilRice,0.00,0.27,0.27,,02-Feb-05,01-Feb-10,"Agriculture, Environment and Agrarian Reform",ARMM,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,The Study for Improvement of Water Supply and Sanitation in Metro Cebu,JICA,Others,MCWD,0.00,0.92,0.92,,01-Jan-09,31-Jul-10,Infrastructure Development,VII,,ongoing,ongoing,6/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Bridge Construction Project for Expanded Agrarian Reform Communities Development,JICA,DAR,,0.00,1.05,1.05,,,,Infrastructure Development,Luzon,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,Grant Assistance Project for Underprivileged Farmers (KR2),JICA,DA-NAFC,,0.00,5.54,5.54,,,,"Agriculture, Environment and Agrarian Reform",IV-A,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Study on Integrated Water Resources Management for Poverty Alleviation and Economic Development in the Pampanga River Basin,JICA,NWRB,,0.00,0.63,0.63,,01-Feb-09,01-Jan-11,Infrastructure Development,III,,ongoing,,12/30/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Enhancement Program of Metropolitan Iloilo-Guimaras Development Council and Banate Bay Resource Management Council Inc.,JICA,MIGEDC - BBRMCI,,0.00,1.03,1.03,,01-Oct-07,01-Oct-10,"Agriculture, Environment and Agrarian Reform",VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seminar for Municipal Mayors of Clustered LGUs- One Village, One Product Movement",JICA,,,0.00,0.01,0.01,,,,"Industry, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outline of Japanese Tax System and Tax Administration,JICA,,,0.00,0.05,0.05,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program on Support for Peace and Stability in Mindanao,JICA,,,0.00,0.19,0.19,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crime Scene Operation*,JICA,,,0.00,0.07,0.07,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental Preservation and Socio-economic Development through Grassroots Empowerment in Ifugao,JICA,,,0.00,0.00,0.00,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecommunications*,JICA,,,0.00,0.10,0.10,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Scientific Method of Processing Fingerprints and Crime Scene Investigation,JICA,,,0.00,0.05,0.05,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Third Country Training Program Proposal: Training of Trainors for Quality Assurance System on Standardized Sputum Smear Microscopy,JICA,,,0.00,0.00,0.00,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coast Guard Administration*,JICA,,,0.00,0.05,0.05,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capability Enhancement on Energy Policy and Planning for a More Effective and Comprehensive Philippine Energy Plan Formulation,JICA,,,0.00,0.58,0.58,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrated Transport Policy*,JICA,,,0.00,0.10,0.10,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sutdy on the Improvement of Internal Revenue Allotment System,JICA,,,0.00,0.52,0.52,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extension Plan of the Organic Farming for the Improvement of Agricultural Technologies in Tarlac City,JICA,,,0.00,0.06,0.06,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Green Tourism for Regional Development,JICA,,,0.00,0.02,0.02,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Study for Socio-Economic Reconstruction and Development of Conflic-Affected Areas in Mindanao,JICA,,,0.00,1.16,1.16,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adviser for Agribusiness Investment*,JICA,,,0.00,0.05,0.05,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strengthening of Flood Forecasting and Warning System for Dam Operation,JICA,,,0.00,0.25,0.25,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development of Human Resources in BIR,JICA,,,0.00,0.65,0.65,,01-Jul-08,01-Jul-11,Governance and Institutions Development,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Philippine-Japan Capacity and Capability Build-up Program, Air sector, Transportation sub-sector",JICA,,,0.00,0.00,0.00,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Irrigator's Association Strengthening Support Technical Cooperation Project,JICA,,,0.00,0.46,0.46,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Creation of Non-handicapping Environment for Filipinos with Disabilities in the Rural Areas,JICA,NCDA,,0.00,0.41,0.41,,01-Oct-08,01-Sep-12,Social Reform and Community Development,Misamis Oriental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Third Country Training Program on Human Resources Development for the New CNS/ATM System,JICA,,,0.00,0.11,0.11,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assistance for formulation on Route Rationalization and Stabilization Measurement*,JICA,,,0.00,0.08,0.08,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMM Human Capacity Development Project,JICA,ARMM-ORG,,0.00,1.30,1.30,,01-May-08,01-Mar-11,Governance and Institutions Development,ARMM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program for PNP's Anti-Crime Capability Enhancement ,JICA,,,0.00,0.07,0.07,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOCV Traininig Cost in the Philippines,JICA,,,0.00,0.02,0.02,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrated River Improvement and Management*,JICA,,,0.00,0.08,0.08,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Urban Development Advisor*,JICA,,,0.00,0.12,0.12,,,,"Industry, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program on Infrastructure for Economic Development,JICA,,,0.00,0.11,0.11,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program on Disaster Prevention and Mitigation,JICA,,,0.00,0.02,0.02,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program on Governance,JICA,,,0.00,0.08,0.08,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pilot Project for Better Farm Income by Organic-Based Vegetable Production,JICA,,,0.00,0.15,0.15,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippine Coast Guard Education and Human Resource Management System Development Project,JICA,PCG,,0.00,0.57,0.57,,30-Jun-05,04-Jul-05,Governance and Institutions Development,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Improvement of QOL through means of Reforestation of Mangrove in Negros Island,JICA,,,0.00,0.04,0.04,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Projecf for supporting deaf education by making use of hearing sense in Philippines,JICA,,,0.00,0.06,0.06,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formulation of Health Support System for the Minorities in the Amnay Area,JICA,,,0.00,0.07,0.07,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community-based Rehabilitation Project on Health and Livelihood,JICA,,,0.00,0.18,0.18,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARMM Regional Development Senior Advisor,JICA,,,0.00,0.16,0.16,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operation Budget for Individual Expert*,JICA,,,0.00,0.08,0.08,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Development on Tourism Statistics in LGUs,JICA,,,0.00,0.33,0.33,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Enhancement of Custom Functions*,JICA,,,0.00,0.08,0.08,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Study on the Assets and Liabilities Management of PSALM and the administration of Universal Charge Funds,JICA,,,0.00,0.00,0.00,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country-based treatment of Offenders through the Holistic Approach to Volunteer Resource Development,JICA,PPA,,0.00,0.21,0.21,,08-Oct-08,07-Oct-10,Governance and Institutions Development,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Development Project for Improvement of Safety and Efficiency for Air Navigation System,JICA,,,0.00,0.21,0.21,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maritime Communications System,JICA,,,0.00,0.01,0.01,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Adviser*,JICA,,,0.00,0.14,0.14,,,,"Industry, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Road Planning and Management Advisor*,JICA,,,0.00,0.11,0.11,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Irrigation Development Planning and Implementation,JICA,,,0.00,0.13,0.13,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counterpart Training Program on the Study on the Improvement of the Internal Revenue Allotment System,JICA,,,0.00,0.02,0.02,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development Study on Promotion of Local Industry in ARMM,JICA,,,0.00,0.11,0.11,,,,"Industry, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program for Agriculture and Rural Development,JICA,,,0.00,0.05,0.05,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Project for Enabling Communities for the Adoption of Disaster Prevention and Preparedness Measures in Areas Prone to Floods and Rain-induced landslides,JICA,,,0.00,0.49,0.49,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Follow-up Cooperation (Bohol Integrated Agriculture Promotion Project),JICA,,,0.00,0.04,0.04,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project for PNP's Capability Enhancement for Firearms Control in the Philippines,JICA,PNP,,0.00,0.54,0.54,,06-Oct-08,05-Oct-10,Governance and Institutions Development,Nationwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program Manager/Advisor to Chief PNP,JICA,,,0.00,0.09,0.09,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forensic Science*,JICA,,,0.00,0.13,0.13,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Police Administration*,JICA,,,0.00,0.06,0.06,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Initial Investigation*,JICA,,,0.00,0.02,0.02,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forensic Science*,JICA,,,0.00,0.02,0.02,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Construction of Teaching Hospital in Baler, Aurora",JICA,,,0.00,0.09,0.09,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project Formulation Study on agriculture and rural development in the Philippines,JICA,,,0.00,0.208,0.208,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feasibility Study for program sector loan on disaster management,JICA,,,0.00,0.36,0.36,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Enhancement for Drug Law Enhancement,JICA,,,0.00,0.16,0.16,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Climate Change Strategies Project,JICA,,,0.00,0.32,0.32,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preparatory survey for MM Sewerage System and Sanitary Environment Improvement Project,JICA,,,0.00,0.18,0.18,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Road Asset Management Program Preparatory Survey,JICA,,,0.00,0.41,0.41,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preparatory survey for the project on Agriculture and Rural Development ,JICA,,,0.00,0.41,0.41,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expert for Monitoring of Yen Loan Projects in Mindanao,JICA,,,0.00,0.06,0.06,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preparatory Survery for Nationwide Fish Ports Project,JICA,,,0.00,1.10,1.10,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Project for Community Development for Conflict-Affected Area in Mindanao,JICA,,,0.00,0.03,0.03,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preparatory Study for Central Philippines Comprehensive Infrastructure Development Project,JICA,,,0.00,0.03,0.03,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expert on Enhancing Road Sector Development,JICA,,,0.00,0.06,0.06,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Administration and Promoting Project Formulation on Development Assistance,JICA,,,0.00,0.14,0.14,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Development for Mindanao,JICA,,,0.00,0.08,0.08,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gap Analysis in the field of Maritime Safety and Security in the Philippines,JICA,,,0.00,0.04,0.04,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacity Development for Development Effectiveness in Asia and Pacific,JICA,,,0.00,0.02,0.02,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Cooperation for Sugar Industry in the Philippines,JICA,,,0.00,0.03,0.03,,,,"Industry, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Proejct for the Bridge Construction for Expanded Agrarian Reform Communities Development,JICA,,,0.00,0.15,0.15,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Project for Improvement of the Meterological Radar System,JICA,,,0.00,0.27,0.27,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Food Aid Programme,JICA,WFP,,0.00,9.92,9.92,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Food Security Project for Underprivileged Farmers (2KR),JICA,,,0.00,5.54,5.54,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Safe Motherhood Midwifery Course for Asia,JICA,,,0.00,0.12,0.12,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operation Budget for Individual Expert*,JICA,,,0.00,0.26,0.26,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strengthening Maternal and Child Health Services in Eastern Visayas,JICA,,,0.00,0.05,0.05,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Integrated Water Resources Management Training (Counterpart Training),JICA,,,0.00,0.04,0.04,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coast Guard Administration*,JICA,,,0.00,0.05,0.05,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chemical Oil Spill Contingency Planning,JICA,,,0.00,0.02,0.02,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project on Capability Building for a Comprehensive National Competition Policy,JICA,,,0.00,0.00,0.00,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Loss Reduction for Philippine Electric Cooperatives,JICA,,,0.00,0.01,0.01,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maritime Communications System,JICA,,,0.00,0.01,0.01,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counterpart Training on Forensic Science,JICA,,,0.00,0.01,0.01,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counterpart Training on Initital Investigation,JICA,,,0.00,0.02,0.02,,,,Governance and Institutions Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Enhancement of Monitoring Capabilities and Source Process Studies of Earthquakes and Volcanoes in the Philipines,JICA,,,0.00,0.08,0.08,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Counterpart training on Nationwide Master Plan on High Standard Highway Network Development,JICA,,,0.00,0.02,0.02,,,,Infrastructure Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asset Management for Irrigation,JICA,,,0.00,0.02,0.02,,,,"Agriculture, Environment and Agrarian Reform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prevention and Control of Leptospirosis in the Philippines,JICA,,,0.00,0.07,0.07,,,,Social Reform and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
