sequence,city,trade_or_business_name,printer_name,registered_address,permanent_accreditation_number,date_of accreditation,email_address,contact_number
RDO 53A ,Las Pinas City,Shekinah Publishing and Printing Press,Elvira Enriquez Abacan,"1 Bignay St. Dona Josefa Vill. Almanza Las Pinas City",53AMP20140000000003,6-Feb-14,elvie_abacan@yahoo.com,(02) 801-2336
RDO 53A ,Las Pinas City,Sincere Printing,Shaely Malos Fong,451 Real St. Talon Las Pinas City,53AMP20140000000020,21-Feb-14,sincereprinting@gmail.com,(02) 805-5151 / 801-0386
RDO 53A ,Las Pinas City,Sunrise Printers,Pancho Matriano Villame,"Blk 2 Lot 12 Pilar Road Pilar Vill. Las Pinas City",53AMP20140000000014,14-Feb-14,print_sunrice@yahoo.com,"(02) 801-9236"
RDO 53A ,Las Pinas City,UMC Printing and Graphic Services,Mercy C. Usero,"517 St. Agnes Perpetual Vill. Pulang Lupa Las Pinas",53AMP20140000000011,11-Feb-14,umcprinting@yahoo.com,"(02) 872-2742/872-2878"
RDO 53B ,Muntinlupa City,5A's Printing,Alfredo Magno Pagsuyuin,"Bldg 814 Bliss Putatan, Muntinlupa City",53BMP20140000000014,15-Jan-14,[ to follow ],"(02) 659-3662"
RDO 53B ,Muntinlupa City,AFPG Printing Services and Supplies,Arturo F. Geralde,"Blk 3 Lot 31 Ph1 Saint Anthony St. Sto. Nino, Tunasan",53BMP20140000000012,10-Jan-14,afpg_printing@yahoo.com,"(02) 403-2902 / 425-1496"
RDO 53B ,Muntinlupa City,ASB Printing,Ronaldo Barretto Bassig,"233 Natinal Road, Bayanan Muntinlupa City",53BMP20140000000013,10-Jan-14,asbprinting@yahoo.com,"(02) 773-9697 / 425-5138 / 0919-6846532"
RDO 53B ,Muntinlupa City,Eljarika Printing Services,Elizabeth Mejia Pano,"Blk 1 Lot 18 G2 ParkHomes Tunasan Muntinlupa City 1770",53BMP20130000000002,20-Sep-13,elizabethmejiapan@yahoo.com,(02) 238-1156 /  0918-4645976 / 0917-9990448
RDO 53B ,Muntinlupa City,Imprenta Estanislao,Magdalena Co Estanislao,"Blk 3, L17 Yen V. Carolina 1 Subd. Tunasan",53BMP20130000000005,20-Sep-13,lenny_estanislao@yahoo.com,"(02) 862-4316 / 861-2995 / 0943-4949003 / 09293188777"
RDO 53B ,Muntinlupa City,LCS Social and Commercial Printers,Ysmael Alonte Ortiz,"251 Montillano, Alabang, Muntinlupa City",53BMP20140000000015,15-Jan-14,[ to follow ],(02) 842-2856 / 0918-9245801
RDO 53B ,Muntinlupa City,MDV Printing Services,Melvyn Castillo Valenzuela,2821 Aloha St. Bruger Subd. Putatan,53BMP20140000000016,15-Jan-14,[ to follow ],"(02) 862-2217"
RDO 53B ,Muntinlupa City,NTF Printing Services,Patriotismo Ferriol Famini,2516 Bigbend ParkHomes Muntinlupa City 1770,53BMP20130000000006,20-Sep-13,ntf.printing@gmail.com,"(02) 770-9601 / 850-2389"
RDO 53B ,Muntinlupa City,NVJ Printing Press,John Benjie Neri,"232 National Road, Bayanan Muntinlupa City",53BMP20140000000010,9-Jan-14,bjvn_printing_press@yahoo.com.ph,"(02) 359-4772 / 703-0035 / 664-0714 / 478-2113"
RDO 53B ,Muntinlupa City,"Philand Industries, Inc.","Philand Industries, Inc.",88 Samson Road Sucat Muntinlupa City,53BMP20130000000001,20-Sep-13,philand.industries@gmail.com,"(02) 850-9600 / 842-3371 / 842-3371"
RDO 53B ,Muntinlupa City,Phoebe's Print Haus,Erla Vianae Falsis Doctor,"108 National Highway Tunasan Muntinlupa City",53BMP20130000000003,20-Sep-13,angelsmy1_@yahoo.com,"(02) 664-2050 / 862-5038"
RDO 53B ,Muntinlupa City,Printop Printing Press,Noel David Reyes Sabalburo,"116 Beverly ParkHomes Subd.  Tunasan Muntinlupa City",53BMP20140000000019,17-Mar-14,prtg.press:ez2print@yahoo.com,(02) 842-8188 / 0908-1011529
RDO 53B ,Muntinlupa City,Red 8 Printhaus,Kathrin Edrianne Baltazar Bumanglag,"76 National Road, Putatan, Muntinlupa City",53BMP20140000000011,9-Jan-14,[ to follow ],"0916-2642286 / 0917-8450614 / 0915-6011989"
RDO 53B ,Muntinlupa City,RMC Printhaus,Eulalia Morante Capulong,"Blk 3 Lot 8 Yen St Villa Carolina 1 Tunasan Muntinlupa City 1770",53BMP20130000000004,20-Sep-13,rmc_printhaus@yahoo.com,"862-2725 / 404-(02) 5871 / 862-1613"
RDO 53B ,Muntinlupa City,RPJN Print Haus,Jennifer Carmelo Nomorosa,"Blk 1 Lot 18 Beverly St Gate 2 Tunasan  Muntinlupa City",53BMP20140000000017,23-Jan-14,"rpjn_printhouse@ymail.com/rsnomorosa@yahoo.com","(02) 775-0312 / 0920-2993357 / 0932-8797638"
RDO 53B ,Muntinlupa City,Starjet International Inc.,Starjet International Inc.,"61 National Road, Putatan, Muntinlupa City",53BMP20140000000008,9-Jan-14,starjet09@yahoo.com,"(02) 798-0435"
RDO 53B ,Muntinlupa City,Tony Rose Printing,Antonio Del Pilar Espiritu,88  Putatan  Muntinlupa City 1770,53BMP20140000000018,14-Mar-14,arnoldespiritu070177@gmail.com,0929-7173880
RDO 53B ,Muntinlupa City,Trilucks Printhouse,Leonilo Diaz Custodio,"Narra St. Lakeview Homes, Putatan, Muntinlupa City",53BMP20140000000009,9-Jan-14,trilucks_printhouse@yahoo.com,"(02) 862-1064 / 666-4927 / 0918-9376735"
RDO 53B ,Muntinlupa City,Zealous Starprint and Trading,Bernardo Esmeria Escobedo,"408 Int. East Service Road, Alabang Muntinlupacity",53BMP20130000000007,27-Sep-13,bee_zealousstarprint@rocketmail.com,"(02) 809-6650 / 0918-2621688 / 0923-9595889 / 0916-2401243 / 0949-8656090"
RDO 54A ,Trece Martirez City,Amlontok Printshop,Amable M. Lontok,"St. Mabuhat, Gma, Cavite",54AMP20140000000026,21-Mar-14,aml_print@yahoo.com,0917-5447005
RDO 54A ,Trece Martirez City,Armhel Printing Press,Carmelita P. Nieto,"Lot 26 Blk 20 Ph 4 Paliparan III Dasmarinas Cavite",54AMP20140000000031,9-May-14,armhelprinting@yahoo.com,0919-2821950 / 0947-3797807
RDO 54A ,Trece Martirez City,Balinado Printing Press,Gilacio A. Balinado,"237 Purok 4, Pulong Bunga, Silang, Cavite",54AMP20130000000011,23-Dec-13,gilaciobalinado@yahoo.com,0921-6903000
RDO 54A ,Trece Martirez City,Banaba Printing Services,Charito A. Ojeda,"B24L13 Brgy. Banaba Bulihan ,Silang ,Cavite",54AMP20130000000005,23-Dec-13,bpsvcs@yahoo.com,0920-7489460
RDO 54A ,Trece Martirez City,Baral Printing House,Michael Adonis B. Baral,"B33 L15 Ph2 Tarlac St. Cityhome Sampaloc 4 Dasmarinas Cavite",54AMP20140000000015,29-Jan-14,cristybaral@yahoo.com,0919-3039508
RDO 54A ,Trece Martirez City,"Broncos Prints, Inc.","Broncos Prints, Inc.","Aguinaldo Highway, Dasmarinas, Cavite",54AMP20130000000004,23-Dec-13,broncos_prints@yahoo.com.ph,(046) 416-0697
RDO 54A ,Trece Martirez City,Campos Grafix And Prints,Arnel G. Campos,"Blk 8 Lot 3A Ciudad Adelina Brgy. Conchu Tmc Cavite",54AMP20140000000030,8-May-14,agprints@yahoo.com,0917-8054160
RDO 54A ,Trece Martirez City,Capries Printing Press,Tarcelita C. Albuen,"H2 St. Claire Congressional Road Dasmarinas Cavite",54AMP20140000000019,4-Feb-14,capries_printing@yahoo.com,"(046) 484-1982"
RDO 54A ,Trece Martirez City,Cherith's Printing and Supplies,Charito J. Reyes,"171 Pag-Asa 2 Imus, Cavite",54AMP20130000000008,23-Dec-13,cherith78@yahoo.com.ph,(046)  434-2745
RDO 54A ,Trece Martirez City,Eastside Prints,Jinky D. Palma,"B15 L17 Metrogate Subd. San Agustin, Dasmarinas, Cavite",54AMP20130000000003,23-Dec-13,eastsideprints@hotmail.com,(046) 887-2562
RDO 54A ,Trece Martirez City,Edith Printing Press,Editha C. Pesigan,"077 Kalubkob, Silang, Cavite",54AMP20130000000010,23-Dec-13,pesiganfredds@yahoo.com,0920-3172800
RDO 54A ,Trece Martirez City,El Marysh Printing and General Merchandise,Ma. Helen C. Tabing,"134 Sabang, Dasmarinas, Cavite",54AMP20140000000025,18-Mar-14,elmaryshprinting@yahoo.com,0909-2368197
RDO 54A ,Trece Martirez City,Exaltacion-Jacinto Paper Printing and Trading,Robert Exaltacion Jacinto Jr,Quintana Food Center Indang Cavite,54AMP20140000000016,29-Jan-14,rejprinting@yahoo.com,0917-7056359
RDO 54A ,Trece Martirez City,Fair N' Square Printing Services,Roberto V. Sabater,"B78 L54 P3 Home City Resortville, Brgy. Langkaan, Dasmarinas, Cavite",54AMP20140000000023,12-Feb-14,fairnsquare4@yahoo.com,(046) 506-6242
RDO 54A ,Trece Martirez City,Glyz Printing Services,Jo Ann D. Gallardo,"D. Mangubat Ave.. Cor. A.A. Highway Dasmarinas, Cavite",54AMP20130000000007,23-Dec-13,joandcg@yahoo.com,(046)  434-2475
RDO 54A ,Trece Martirez City,Homelane Printing Services,Benjamin R. Paez,"132 L28 Villa Amparo Subd. Bayan Luma 4, Imus, Cavite",54AMP20140000000027,8-Apr-14,homelaneprinting@yahoo.com,(046) 471-5793
RDO 54A ,Trece Martirez City,Ilas Printing Press,Joselito N. Ilas,"262 Carsadang Bago, Imus, Cavite",54AMP20130000000014,23-Dec-13,[ to follow ],"(046) 417-3216"
RDO 54A ,Trece Martirez City,Imprenta Vista,Marilou V. Solares,"259 San Agustin, Trece Martires City, Cavite",54AMP20130000000012,23-Dec-13,[ to follow ],0932-4059174
RDO 54A ,Trece Martirez City,JM Commercial Press,Rosemarie N. Mendoza,"B2 L22 Franceville Subd., Brgy. Bulihan Silang, Cavite",54AMP20130000000001,23-Dec-13,jmcommecialpress@yahoo.com,0918-2779200
RDO 54A ,Trece Martirez City,JPIEC Printing Services,,454 Jm Loyola St. Carmona Cavite,54AMP20140000000024,11-Mar-14,jballacillo@yahoo.com,(046) 430-0865
RDO 54A ,Trece Martirez City,Juan Karlo's Computer Printshop,Alona S. Bayot,"290 B Villanueva St. Amadeo,  Cavite",54AMP20130000000002,23-Dec-13,karlocom@yahoo.com,(046) 483-3668
RDO 54A ,Trece Martirez City,K.A.J. Printer,Kristin C. Jaro,"Buhay Na Tubig, Imus, Cavite",54AMP20140000000022,6-Feb-14,[ to follow ],"(046) 471-9531"
RDO 54A ,Trece Martirez City,Lakeview Printing Services and Trading,Evelyn G. Mallari,"182 Tolentino East ,Tagaytay City, Cavite",54AMP20130000000006,23-Dec-13,lakeview.printing@yahoo.com,0922-8205335
RDO 54A ,Trece Martirez City,Montiman Printing Press,Edgarlito E. Montiman,"B15 L16 Goldenville Ii Subd. Sabang Dasmarinas Cavite",54AMP20140000000018,4-Feb-14,montimanprinting@yahoo.com,"(046) 484-5068"
RDO 54A ,Trece Martirez City,Olma Printing Press Inc.,Olma Printing Press Inc.,"336 Sarah Ave. Bayan Luma 2, Imus, Cavite",54AMP20130000000013,23-Dec-13,olma.printing@yahoo.com,(046) 502-0778
RDO 54A ,Trece Martirez City,RDJ Printing Services,Radney Y. Joven,"Pedro Reyes St. Malagasang, Imus, Cavite",54AMP20140000000017,3-Feb-14,[ to follow ],0921-4228923
RDO 54A ,Trece Martirez City,Rodsio Printing Press,Ferdinand C. Camagong Sr.,"Blk10 L10 Green Place Homes Subd. 3 Malagasang Imus Cavite",54AMP20140000000021,4-Feb-14,rodsidprintingpress@yahoo.com,"(046) 686-4996"
RDO 54A ,Trece Martirez City,Softigraff Printing Service,Ramon M. Sauquillo,"Unit A 8241Konsehales St. Brgy. 8. Poblacion, Carmona , Cavite",54AMP20130000000009,23-Dec-13,sauquillomoa@yahoo.com,0917-9796452
RDO 54A ,Trece Martirez City,Tot's Pard Printing Press,Ireneo C. Pardillo,"B2 L1 Brgy. Victoria Reyes Dasmarinas City Cavite",54AMP20140000000020,4-Feb-14,totâ€™spardprintingpress@yahoo.com,0908-2794807
RDO 54A ,Trece Martirez City,Triangle Holdings System Corporation,Triangle Holdings System Corporation,"Lot 6-B Mountainview Industrial Complex Ph-2 Bancal Carmona",54AMP20140000000028,16-Apr-14,"triangleprinting2014@gmail.com/ triangle_printing@yahoo.com",(046) 584-7316/668-0778
RDO 54A ,Trece Martirez City,Triple-I Printing Services,William Tillo Palen,"Blk 33 Lot 23 Bautista Zone IV Sampaloc IV Dasmarinas Cavite",54AMP20140000000032,12-May-14,triple-iprintingpress@yahoo.com,(046) 686-1115/0912-8012825
RDO 54A ,Trece Martirez City,Zerosigma Creations Printing Press,Michael S. Virata,50 Yengco St. Brgy. 4-B Imus Cavite,54AMP20140000000029,7-May-14,michaeliszerosigma@yahoo.com,(046) 471-5258/0917-6206322
RDO 54B,Bacoor Cavite,4Ms Printing Service,Florante P. Fetalino,0048 Diaz Compound Salcedo II Noveleta Cavite,54BMP20140000000018,14-Mar-14,florantefetalino@yahoo.com,"(046)  438-8452"
RDO 54B,Bacoor Cavite,August Printing Services,Rafael D. Igno Jr.,"559 Legazpi St. Binakayan, Kawit, Cavite",54BMP20140000000009,28-Jan-14,aps_paeng@yahoo.com,"(046) 434-6011"
RDO 54B,Bacoor Cavite,Budong's Home Printing,Dominador Jr Torrente Fernandez,Jn Mateo Brgy. 10-M Cavite City,54BMP20140000000014,5-Feb-14,budongprinting1998@yahoo.com,"(046)  484-7153"
RDO 54B,Bacoor Cavite,Chat On Line Printing Services, Charito Baylen Alde,317  Sta. Rosa Noveleta Cavite,54BMP20140000000015,10-Feb-14,charito_alde@yahoo.com,"(046)  438-2786"
RDO 54B,Bacoor Cavite,Christca Printing Press and Gen. Mdse,Margarita M. Malia,396 San Rafael III Noveleta Cavite,54BMP20140000000001,9-Jan-14,christcaprinting@yahoo.com,"(046)  438-3782"
RDO 54B,Bacoor Cavite,De Guia Printing Press,Joy De Guia Licsi,8-A Marseilla St. Ligtong III Rosario Cavite,54BMP20140000000021,20-Mar-14,dg08_joy@yahoo.com,"(046)  438-2485"
RDO 54B,Bacoor Cavite,Dependable Printing Press,Godofredo Agustin Jr,"Km. 17, Aguinaldo Highway, Bacoor, Cavite",54BMP20140000000010,28-Jan-14,dependableprinting@yahoo.com,"(046)  418-5031"
RDO 54B,Bacoor Cavite,Golden Vessel Printing Services,Michael M. Mata,122 B Bayanan Bacoor Cavite,54BMP20140000000016,18-Feb-14,"goldenvesselprintingservices@gmail.com","(046)  517-6032"
RDO 54B,Bacoor Cavite,Joshoel Print Center,Jossie Mercado,"Unit A-1 Oscas St Villanueva Subd. Real I Bacoor Cavite",54BMP20140000000019,14-Mar-14,josiemercado_jpc@yahoo.com,"(046)  416-1900"
RDO 54B,Bacoor Cavite,Markassey Printing Services,Mylene Gregore Rodriguez,8780 Burol St Burol I Bacoor Cavite,54BMP20140000000020,20-Mar-14,markassey@yahoo.com,"(046)  484-3722"
RDO 54B,Bacoor Cavite,Minerva Printing Corporation,Minerva Printing Corporation,9030 Kaunlaran Vill 2 Molino 3 Bacoor Cavite,54BMP20140000000022,28-Mar-14,minerva_prtgcorp@yahoo.com,(02)519-4108/(046) 872-2177
RDO 54B,Bacoor Cavite,Naic Printing House,Romulo A. Buenaflor,257 Ibayo Silangan Naic Cavite,54BMP20140000000017,18-Feb-14,nph_rab@yahoo.com,"(046)  412-0821"
RDO 54B,Bacoor Cavite,Nicholas Graphics And Printing Services,Jovito Tan Moreno,"Km. 17 Aguinaldo Highway, Bacoor, Cavite",54BMP20140000000008,24-Jan-14,jovitomoreno@yahoo.com,"(046) 417-3113"
RDO 54B,Bacoor Cavite,Polygon Printing Press,Presentacion Sunega Villamer,"B2 L2-B Anonas St, Spv West Camella Homes Molino 3 Bacoor Cavite",54BMP20140000000013,5-Feb-14,polygonprinting@yahoo.com,"(046)  477-1286"
RDO 54B,Bacoor Cavite,Quintos Printing Press,Agnes Ellen Cortez Quintos,Molino 3 Bacoor Cavite,54BMP20140000000006,9-Jan-14,quintos_printingpress@yahoo.com,"(046)  477-3328"
RDO 54B,Bacoor Cavite,R and L Printing Service,Roselle G. Magaris,367 Molino Rd Molino 3 Bacoor Cavite,54BMP20140000000002,9-Jan-14,rlprintingservice@yahoo.com,"(046) 517-6113"
RDO 54B,Bacoor Cavite,Rooster/Ox Printing Press and Trading,Priscila G. Arias,L Diwa St Bgy 53 Cavite City,54BMP20140000000012,5-Feb-14,roosteroxprinting@yahoo.com,"(046)  431-6622/683-2795"
RDO 54B,Bacoor Cavite,RPM Printing Press,Ricardo C. Pena,162 Miranda Subd. Gahak Kawit Cavite,54BMP20140000000003,9-Jan-14,rpmprinting_11@yahoo.com,"(046)  434-8881"
RDO 54B,Bacoor Cavite,Solo Brother Printing Press,Filipina A. Abraham,"213 Olaes Subd., Sta Rosa I Noveleta Cavite",54BMP20140000000011,5-Feb-14,maribelalejandro@yahoo.com,"(046) 438-2997"
RDO 54B,Bacoor Cavite,South Star Print Center,Sherwin Cornejo Cacactin,381  Alima Bacoor Cavite,54BMP20140000000004,9-Jan-14,nath.south.journal@yahoo.com,"(046)  434-6167"
RDO 54B,Bacoor Cavite,Tejero Printing Press,Emiliano Paguio Ocampo,P 1-113  Tejero Gen. Trias Cavite,54BMP20140000000007,9-Jan-14,tejeroprintingpress@yahoo.com,"(046)  437-8109"
RDO 54B,Bacoor Cavite,"Visible Image-Printing Design Service and Trading",Ana Marie Gawaran Pagtakhan,"125 Amethyst St. Shapell Homes, Habay I, BacoorCavite",54BMP20140000000005,9-Jan-14,visibleimage@ymail.com,0905-5132264
RDO 55,San Pablo City,7 Lakes Printing Press,Manolo Articona Sumaya,12 A. Fule V-B San Pablo City Laguna,055MP20130000000001,26-Dec-13,sevenlakesprinting@yahoo.com,(049) 562-0131
RDO 55,San Pablo City,Ael Printing Press,Ariel E. Lopez,Brgy. San Buenaventura San Pablo City Laguna,055MP20130000000010,2-Jan-14,ariel_8lopez@yahoo.com,(049) 525-7514
RDO 55,San Pablo City,Fervil Printhaus,Mark Vincent Penana Fernandez,580 Santa Elena San Pablo City Laguna,055MP20140000000013,14-Feb-14,fervilprinthaus@yahoo.com,(049) 527-4344
RDO 55,San Pablo City,Imprenta San Pablo,Salvador Sahagun Penaloza,Dizon St Brgy. 5D San Pablo City,055MP20130000000002,26-Dec-13,imprentaspc@gmail.com,(049) 562-3838
RDO 55,San Pablo City,J. Maraver Printing Press,Jose F. Maraver Jr.,#5050 San Francisco San Pablo City Laguna,055MP20130000000012,7-Jan-14,maraverprintingpress@yahoo.com,0943-4187533
RDO 55,San Pablo City,Jovellanos Printing Press,Romano Antonio Jovellanos,"Maharlika Highway Brgy. San Francisco Calihan San Pablo City",055MP20140000000016,4-Apr-14,jovellanosprinting&gmail.com,(049) 562-2881
RDO 55,San Pablo City,Kuhonta Printing Press,Napoleon De Mesa Kuhonta,"Azores Ave Crispina Park Bagong Bayan San Pablo City",055MP20130000000003,26-Dec-13,kuhontaprintingpress@yahoo.com,(049) 562-4288
RDO 55,San Pablo City,Lovely Printing Press,Almaida Oblepias Uy,Penaloza St. Zone IV Luisiana Laguna,055MP20130000000007,26-Dec-13,almaidauy@yahoo.com,(049) 555-3149
RDO 55,San Pablo City,Malabanan Printing Press,Victorio Malatag Malabanan Jr.,Schetelig Ave. San Pablo City Laguna,055MP20130000000008,26-Dec-13,malabananprintingpress@yahoo.com,(049) 503-2804
RDO 55,San Pablo City,MRMC Printing Press,Ma Rowena M. Lopez,Sampaguita Mendiola Siniloan Laguna,055MP20130000000009,2-Jan-14,ma.rowenacastor@yahoo.com,0910-2370334
RDO 55,San Pablo City,Nicwell Printhaus,Nicolas Coronado Maralit,"275 Mabini Ext Brgy. Sampaloc Pagsanjan Laguna",055MP20130000000006,26-Dec-13,wilma_maralit06@yahoo.com,(049) 501-5220
RDO 55,San Pablo City,R. A. Printing Press,Romeo Arabe Aguilar,"108 Rizal Ave. Poblacion III Nagcarlan Laguna",055MP20130000000005,26-Dec-13,agui.aguilar@yahoo.com,(049) 573-1835
RDO 55,San Pablo City,Rohaca Typographic Print Shop,Romeo Rodriguez Cruz,17 Lt F Marino St Lakeside Park Subd. San Pablo,055MP20140000000015,5-Mar-14,rohacaprintingpress@yahoo.com,(049) 561-2605
RDO 55,San Pablo City,Roman Eagle Printing Press,Salvador S. Villanueva,135 Brgy. Sta Maria Magdalena San Pablo,055MP20140000000014,5-Mar-14,romaneagleprintingpress@yahoo.com,0929-4991410
RDO 55,San Pablo City,South Sky Printing Press,Shyrel R. Dulay,Rizal Ave. Brgy. East Pob. Rizal Laguna,055MP20130000000011,7-Jan-14,shyreldulay@yahoo.com,(049) 573-2493
RDO 55,San Pablo City,Sumaya Printing Press,Alma Articona Sumaya,259 F. Urra 1 Nagcarlan Laguna,055MP20130000000004,26-Dec-13,alma.sumaya_10@yahoo.com,(049) 563-1256
RDO 56,Calamba City Laguna,797 Printers,Roselle Valencia Sangkal,"#5237 Maahas, Los Banos, Laguna",056MP20140000000009,3-Jan-14,rvsangkal@yahoo.com,"(049) 536-8653/576-1747"
RDO 56,Calamba City Laguna,Artline Printing And Publishing,Arlene Logo Darao,"J. Alcasid Bus. Center, Crossing, Calamba City",056MP20140000000010,3-Jan-14,artline_printing@yahoo.com,"(049) 545-5677"
RDO 56,Calamba City Laguna,Big J Printing Press,Jose Camu Canicula Sr.,"T. Alonzo St. Elepano I Subd., Brgy.II, Calamba City",056MP20140000000020,16-Apr-14,bigj_printing168@yahoo.com,(049) 508-2593
RDO 56,Calamba City Laguna,BJ Lajara Printing Press,Pablito Javier Lajara,"Tulo, Calamba City",056MP20130000000001,18-Dec-13,bj-lajara@yahoo.com,(049) 545-3530
RDO 56,Calamba City Laguna,Calamba Printhaus,Ruben Garcia Bagnes,"#49 Centerville, Calamba City",056MP20140000000008,3-Jan-14,calambaprinthaus@yahoo.com,"(049) 531-2456"
RDO 56,Calamba City Laguna,Capunitan Printing,Venerando Alviar Capunitan,"Jp Rizal St. Brgy. VI, Calamba City",056MP20130000000004,18-Dec-13,jobs@works@yahoo.com,0922-8512660
RDO 56,Calamba City Laguna,Cherasi Enterprises,Susan Manoto Libre,"Crossing, Calamba City",056MP20140000000012,3-Jan-14,cherasi_ent@yahoo.com,"(049) 545-2538"
RDO 56,Calamba City Laguna,CMB Printing Press,Calvin Maldonado Bote,#028 Mayon St. Calamba City,056MP20140000000018,18-Feb-14,omb_printing@yahoo.com,(049) 545-4810
RDO 56,Calamba City Laguna,Commoners Printing Press,Percival Orencia Sumaya,"#317 A. Bonifacio, Sta. Clara Sur, Pila, Laguna",056MP20140000000019,16-Apr-14,precy2185@yahoo.com,(049) 559-5002
RDO 56,Calamba City Laguna,CPG Printing Services Enterprise,Cezar Paulo Gabia Granada,"Sierra Madre St. Denise 2, Brgy. 5, Calamba City",056MP20140000000013,21-Jan-14,cpgprinting@yahoo.com,(049) 545-7797
RDO 56,Calamba City Laguna,Crown Bookbinding Services,Enrico Orencia Sumaya,"Lopez Ave., Batong Malake, Los Banos, Laguna",056MP20130000000005,18-Dec-13,crown_bookbinding@yahoo.com,(049) 536-1927
RDO 56,Calamba City Laguna,El Guapo Printing Press And Enterprises,Elener Daya Dalamacion,"E&H Compound, Parian, Calamba City",056MP20130000000002,18-Dec-13,elguapo369@yahoo.com,(049) 545-2476
RDO 56,Calamba City Laguna,Emelan Printshop,Emel Gasmen Yaranon,"B38 L8 Villa Palao Subd., Brgy. Banlic, Calamba City",056MP20130000000006,18-Dec-13,emelan_printshoppe@yahoo.com,(049) 502-4137
RDO 56,Calamba City Laguna,Estate of the Late Cresencio G. San Gabriel,Estate of the Late Cresencio G. San Gabriel,"6093 Catleya St. Ma. Salome Subd., Brgy. Halang, Calamba City",056MP20140000000014,21-Jan-14,msgprinting1623@yahoo.com,(049) 545-2003
RDO 56,Calamba City Laguna,Excellmark Printing and Ent. Corp.,Excellmark Printing and Ent Corp.,"#221 Paciano Rizal, Calamba City",056MP20130000000007,18-Dec-13,excellmark@gmail.com,(049) 531-2048
RDO 56,Calamba City Laguna,Goodhope Papers N Print Haus,Helen Arungayan Aycardo,"#68 Sto. Nino St. San Antonio Ville, Paciano, Calamba City",056MP20140000000011,3-Jan-14,goodhopeprinting@yahoo.com,"(049) 531-0062/531-1042"
RDO 56,Calamba City Laguna,Josprint Graphics,Jose Gamez De Castro,"#178 Paciano Rizal, Calamba City",056MP20140000000017,18-Feb-14,josprint@yahoo.com,(049) 508-9073
RDO 56,Calamba City Laguna,New Adrian Commercial Inc.,New Adrian Commercial Inc.,"#36 Burgos, Brgy. 3, Calamba City",056MP20130000000003,18-Dec-13,naci_lrf@yahoo.com,(049) 545-1578
RDO 56,Calamba City Laguna,Nicros Ticket Printing,Oscar Pingol Cabrera,"B139 L16 P5, Villa De Calamba, La Mesa, Calamba City",056MP20140000000016,18-Feb-14,cabrera_op_md@yahoo.com,(049) 545-0098
RDO 56,Calamba City Laguna,Nu-Print Philippines Inc.,Nu-Print Philippines Inc.,"M.H. Del Pilar St. Santa Cruz, Laguna",056MP20140000000015,18-Feb-14,nuprint@gmail.com,(049) 501-2888
RDO 57,Binan Laguna,ACC Printing Incorporated,ACC Printing Incorporated,San Antonio San Pedro Laguna,057MP20130000000021,26-Dec-13,edgardo_batalla@yahoo.com,(049) 847-2422
RDO 57,Binan Laguna,Alca Print Haus,Raul Sm Alzona,107 San Vicente Binan Laguna,057MP20130000000038,26-Dec-13,alcaprinthaus@yahoo.com,(049) 511-8749
RDO 57,Binan Laguna,Alzona-Atajar Printing Services,Almabella S. Alzona,"457 Don Pablo Subd. San Vicente Binan Laguna",057MP20130000000036,26-Dec-13,aa_printing@yahoo.com,0929-5342158
RDO 57,Binan Laguna,Annie Printing Press,Anicia M. Lao,Dona Justina St. Filinvest South Binan Laguna,057MP20130000000025,26-Dec-13,[ to follow ],(049) 512-8425
RDO 57,Binan Laguna,Arvi Printing Press,Lamberto P. Vicedo,Km 35 National Hiway Canlalay Binan Laguna,057MP20130000000039,26-Dec-13,arviprint@yahoo.com,(049) 710-7734
RDO 57,Binan Laguna,Aviles Printing,Edgar G. Aviles,"110 Genesis St. Adelina Complex I San Pedro Laguna",057MP20130000000013,26-Dec-13,avilesprinter@gmail.com,(049) 808-2367
RDO 57,Binan Laguna,Baby Printing Services,Crisanta C. Brocal,76 Sanggumay St. Langgam San Pedro Laguna,057MP20130000000012,26-Dec-13,baby_printer@yahoo.com,(049) 553-4814
RDO 57,Binan Laguna,Basmac Printing Press,Jenalyn S. Macapagal,Platero Binan Laguna,057MP20130000000035,26-Dec-13,basmacprinting@yahoo.com,0919-4634652
RDO 57,Binan Laguna,Binan Press,Purificacion C. Naval,133 Dr. A.Gonzales St. San Jose Binan Laguna,057MP20130000000040,26-Dec-13,binanpress@hotmail.com,"(049) 511-6055/411-5067"
RDO 57,Binan Laguna,Cabuyao Printing Press,Irene T. Alcasabas,5 J.P Rizal Ave. Cabuyao Laguna,057MP20130000000014,26-Dec-13,cabprint@yahoo.com,(049) 530-8415
RDO 57,Binan Laguna,Cradym Lithographic De Prientes Services,Raul A. Ybanez,"B15 L09 P3C Golden City Subd. Brgy. Dila Sta. Rosa Laguna",057MP20130000000030,26-Dec-13,cradym_printing@yahoo.com,(049) 502-1797
RDO 57,Binan Laguna,Dacuya's Printing Services,Allan P. Dacuya,158 Garcia St. San Vicente San Pedro Laguna,057MP20130000000009,26-Dec-13,gemmalenecarmen@yahoo.com,(049) 847-0890
RDO 57,Binan Laguna,Ednalino Printing System,Enrique M. Ravanera,Pulo Cabuyao Laguna,057MP20130000000016,26-Dec-13,ravanera_rick@yahoo.com,"(049) 531-4156/530-0723"
