Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,1QA,2QA,3QA,4QA,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Length_In_Years,Age_In_Years,Delay_In_Years,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
PH-P228,"New Communications, Navigation and Surveillance/Air Traffic Management Systems Dev't",GOJ-JICA,Project,DOTC,Infrastructure,Nationwide,2.02,0.00,0.38,0.24,2.64,10.28,12.07,37.50,53.64,113.49,0.00,0.00,0.00,0.00,0,246.11,246.11,2.33%,29.89,266.22,273.41,273.41,11.23%,236.33,0,1.07%,3/28/02,2/21/10,5/21/17,2/21/03,14.26,9.87,-4.39,69.21%,10.93%,243.51,58.28%,Ongoing
PH-P235,ARMM Social Fund for Peace and Development,GOJ-JICA,Project,ARG,Social Reform and Community Development,ARMM,0.62,0.56,0.50,1.09,2.77,0.48,1.45,1.33,0.11,3.37,0.00,0.00,0.00,0.00,0,4.05,4.05,82.20%,29.33,29.33,30.63,29.33,100.00%,0.00,1.301,68.46%,12/11/03,4/6/11,12/6/12,4/6/04,8.67,8.74,0.07,100.79%,100.00%,0.00,0.79%,Closed
PH-P236,Arterial road Bypass Project I (Plaridel and Cabanatuan),GOJ-JICA,Project,DPWH,Infrastructure,III,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,41.40,41.40,0.00%,51.92,51.92,79.03,51.92,100.00%,0.00,27.113,0.00%,3/30/03,7/29/12,,7/29/04,8.01,8.43,0.43,105.30%,100.00%,0.00,5.30%,Closed
PH-P239,Pasig Marikina River Channel Improvement Project (Phase II),GOJ-JICA,Project,DPWH,Infrastructure,NCR,6.64,0.00,5.71,3.85,16.20,21.02,4.56,2.35,0.45,28.38,0.00,0.00,0.00,0.00,0,24.17,24.17,57.08%,97.61,105.76,105.76,105.76,92.29%,8.15,0,67.02%,2/27/07,6/21/15,,6/21/07,8.01,5.53,-2.47,69.13%,92.29%,8.15,-23.16%,Ongoing
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,GOJ-JICA,Project,DPWH,Infrastructure,,8.40,3.77,5.61,1.27,19.05,8.15,4.19,4.96,2.74,20.04,0.00,0.00,0.00,0.00,0,40.05,40.05,95.06%,72.99,94.09,94.29,94.29,77.57%,21.11,0,47.56%,12/18/07,4/15/15,,4/15/08,7.00,4.72,-2.29,67.33%,77.40%,21.31,-10.07%,Ongoing
PH-P242,Agrarian Reform Infrastructure Support Project III,GOJ-JICA,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform",,8.34,3.92,7.36,9.34,28.96,4.42,3.26,3.33,3.46,14.47,0.00,0.00,0.00,0.00,0,97.84,97.84,200.14%,77.10,120.70,146.35,146.35,63.88%,43.60,0,29.60%,12/18/07,4/15/17,,4/15/08,9.01,4.72,-4.29,52.36%,52.69%,69.24,-0.33%,Ongoing
PH-P243,Environmental Development Project,GOJ-JICA,Project,DBP,Infrastructure,,11.08,4.70,1.31,5.03,22.12,2.53,7.87,3.17,5.42,18.99,0.00,0.00,0.00,0.00,0,244.66,244.66,116.48%,85.29,102.52,308.09,308.09,83.19%,17.23,0,9.04%,9/30/08,1/7/16,,1/7/09,7.00,3.98,-3.02,56.89%,27.68%,222.80,29.21%,Ongoing
PH-P244,Agriculture Credit Support Project,GOJ-JICA,Project,LBP,"Agriculture, Natural Resources and Agrarian Reform",,15.38,0.66,1.14,4.31,21.49,10.11,6.83,6.96,6.80,30.70,0.00,0.00,0.00,0.00,0,105.16,105.16,70.00%,97.15,99.55,181.14,181.14,97.59%,2.40,0,20.43%,11/25/09,3/23/17,,3/23/10,7.01,2.78,-4.23,39.66%,53.63%,83.99,-13.97%,Ongoing
PH-P245,Logistics Infrastructure Development Project,GOJ-JICA,Project,DBP,Infrastructure,,13.89,0.07,0.05,16.81,30.82,15.72,11.51,11.52,11.52,50.27,0.00,0.00,0.00,0.00,0,221.40,221.40,61.31%,185.88,258.42,376.71,376.71,71.93%,72.54,0,13.92%,11/9/09,12/24/16,,12/24/09,7.01,3.02,-3.98,43.14%,49.34%,190.83,-6.20%,Ongoing
PH-P246,Post Ondoy and Pepeng Short-term Infrastructure Rehabilitation Project,GOJ-JICA,Project,DPWH,Infrastructure,"NCR, CAR, I, II, III, IV-A, IV-B, V",7.69,1.71,2.79,4.74,16.93,11.72,15.27,15.86,6.80,49.65,0.00,0.00,0.00,0.00,0,51.28,51.28,34.10%,88.35,104.47,122.91,122.91,84.57%,16.12,0,33.02%,5/26/10,9/21/13,,9/21/10,3.00,2.28,-0.72,75.91%,71.89%,34.56,4.02%,Ongoing
PH-P247,Road Upgrading and Preservation Project,GOJ-JICA,Project,DPWH,Infrastructure,"I, III, IV-A, IV-B, V, XI, XIII",12.22,0.26,0.46,1.15,14.09,5.05,0.59,0.59,3.07,9.30,0.00,0.00,0.00,0.00,0,501.97,501.97,151.51%,13.91,59.50,506.50,506.50,23.38%,45.58,0,2.81%,3/31/11,7/21/23,,7/21/11,12.01,1.45,-10.56,12.07%,2.75%,492.59,9.32%,Ongoing
PH-P248,Forestland Management Project,GOJ-JICA,Project,DENR,"Agriculture, Natural Resources and Agrarian Reform","CAR, II, III, VI",0.00,0.00,2.54,0.00,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,114.63,114.63,0.00%,2.48,1.15,114.63,114.63,216.40%,-1.33,0,2.22%,3/30/12,7/3/22,,7/3/12,10.01,0.50,-9.51,4.96%,2.16%,112.15,2.80%,Ongoing
PH-P249,Central Luzon Link Expressway Project,GOJ-JICA,Project,DPWH,Infrastructure,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,282.67,282.67,0.00%,0.00,2.83,282.67,282.67,0.00%,2.83,0,0.00%,3/30/12,7/3/19,,7/3/12,7.00,0.50,-6.51,7.08%,0.00%,282.67,7.08%,Ongoing
PH-P250,"Arterial Road Bypass Project, Phase II  (ARBP II)",GOJ-JICA,Project,DPWH,Infrastructure,III,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,56.93,56.93,0.00%,0.00,0.57,56.93,56.93,0.00%,0.57,0,0.00%,3/30/12,7/3/19,,7/3/12,7.00,0.50,-6.51,7.08%,0.00%,56.93,7.08%,Ongoing
PH-P251,Mindanao Sustainable Agrarian and Agriculture Development Project (MINSAAD),GOJ-JICA,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform","X,XI,XII",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,75.18,75.18,0.00%,0.00,0.75,75.18,75.18,0.00%,0.75,0,0.00%,3/30/12,7/3/19,,7/3/12,7.00,0.50,-6.51,7.08%,0.00%,75.18,7.08%,Ongoing
PH-P252,Pasig-Marikina River Channel Improvement Project Phase III,GOJ-JICA,Project,DPWH,Infrastructure,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,146.77,146.77,0.00%,0.00,1.47,146.77,146.77,0.00%,1.47,0,0.00%,3/30/12,7/3/19,,7/3/12,7.00,0.50,-6.51,7.08%,0.00%,146.77,7.08%,Ongoing
PH-P253,"Flood Risk Management Project in Cagayan River, Tagoloan River, and Imus River",GOJ-JICA,Project,DPWH,Infrastructure,"II, IV-A, X",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,93.57,93.57,0.00%,0.00,0.94,93.57,93.57,0.00%,0.94,0,0.00%,3/30/12,7/3/20,,7/3/12,8.01,0.50,-7.51,6.19%,0.00%,93.57,6.19%,Ongoing
PH-P254,National Irrigation Sector Rehabilitation and Improvement Project (NISRIP),GOJ-JICA,Project,NIA,"Agriculture, Natural Resources and Agrarian Reform",,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,76.72,76.72,0.00%,0.00,0.77,76.72,76.72,0.00%,0.77,0,0.00%,3/30/12,7/3/19,,7/3/12,7.00,0.50,-6.51,7.08%,0.00%,76.72,7.08%,Ongoing
SAUDI-1/433,Mindanao Roads Improvement Project,Saudi Arabia,Project,DPWH,Infrastructure,,0.43,0.17,0.03,0.12,0.75,0.00,0.00,1.38,3.44,4.82,0.00,0.00,0.00,0.00,0,16.71,16.71,15.55%,4.06,20.00,20.00,20.00,20.28%,15.94,0,4.48%,10/21/05,12/31/09,12/31/12,4/2/06,6.75,6.75,0.00,100.00%,20.28%,15.94,79.72%,Closed
Spain-8,Bridge Construction/Replacement Project,Spain,Project,DPWH,Infrastructure,"Nationwide except NCR, ARMM",0.57,2.19,0.26,0.14,3.16,1.49,0.95,0.65,0.00,3.09,0.00,0.00,0.00,0.00,0,9.83,9.83,102.28%,39.29,37.00,39.36,39.36,106.19%,-2.29,0,32.19%,11/6/09,6/10/13,,2/10/10,3.33,2.89,-0.44,86.76%,99.82%,0.07,-13.06%,Ongoing
