particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               Palompon Institute of Technology,"1,045",410,"1,800",200,"2,550",37,0,0,"1,315",450,122,0,384,0,"1,085",50,155,251,0,50,0,0,0,0,"9,904"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,307",352,"1,362",111,"2,287",84,0,0,"2,786",787,110,0,602,0,"3,082",208,35,"1,244",0,158,0,205,0,0,"14,720"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),674,316,"1,866",100,"3,254",50,0,0,"1,134","1,357",122,0,364,0,"1,468",10,0,0,0,650,0,49,0,0,"11,414"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),840,635,840,168,"3,445",170,0,120,"2,900",455,202,0,140,0,940,30,5,0,0,860,0,220,0,0,"11,970"
               University of Eastern Philippines,908,571,"4,636",170,"4,644",90,0,743,"1,368",844,90,0,400,0,"2,000",0,0,"1,448",0,579,0,0,0,0,"18,491"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"7,815","2,601","2,992",972,"19,707",208,0,670,"15,756","6,651","1,402",0,"1,731",0,"16,310",501,149,260,0,561,0,409,0,0,"78,695"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"1,554",535,740,110,"3,419",0,0,0,963,384,172,0,187,0,302,70,81,182,0,74,0,52,0,0,"8,825"
               Jose Rizal Memorial State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),"1,610",326,"1,300",55,"3,495",0,0,0,"4,240",586,110,0,387,0,"1,850",30,16,78,0,0,0,82,0,0,"14,165"
               Western Mindanao State University,"2,907","1,158",757,247,"10,169",208,0,670,"6,589","3,880",900,0,"1,037",0,"10,926",208,52,0,0,180,0,50,0,0,"39,938"
               Zamboanga City State Polytechnic College,0,212,0,560,715,0,0,0,"2,248",130,110,0,26,0,576,0,0,0,0,0,0,50,0,0,"4,627"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,"1,744",370,195,0,"1,909",0,0,0,"1,716","1,671",110,0,94,0,"2,656",193,0,0,0,307,0,175,0,0,"11,140"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"8,944","4,509","20,542",93,"27,853",253,0,24,"40,779","9,618",874,0,"4,526",0,"26,900",689,344,"2,514",0,541,76,435,0,560,"150,074"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State University,"1,082",392,"1,782",23,"3,247",0,0,24,"4,017","1,061",122,0,350,0,"2,441",149,196,702,0,200,0,0,0,0,"15,788"
               Camiguin Polytechnic State College,163,288,300,0,"1,383",0,0,0,"2,400",193,110,0,246,0,0,0,0,0,0,94,0,26,0,0,"5,203"
               Central Mindanao University,"2,500",800,"7,526",0,"14,278",0,0,0,"8,400",875,298,0,"2,619",0,"4,500",100,0,462,0,20,0,80,0,0,"42,458"
               Mindanao University of Science and Technology,615,837,802,0,"2,826",128,0,0,"9,704","1,794",162,0,240,0,"2,350",96,55,980,0,75,0,153,0,0,"20,817"
               MSU-Iligan Institute of Technology,"3,768","1,954","9,367",10,"4,010",5,0,0,"15,646","5,000",0,0,870,0,"16,281",280,0,300,0,138,0,126,0,560,"58,315"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,496,120,353,0,"1,164",50,0,0,346,632,72,0,139,0,"1,036",50,50,0,0,0,76,50,0,0,"4,634"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,320,118,412,60,945,70,0,0,266,63,110,0,62,0,292,14,43,70,0,14,0,0,0,0,"2,859"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,"2,713","2,010","2,912",0,"15,425",40,0,550,"10,787","2,857",440,0,625,0,"11,505",20,14,480,0,280,0,150,172,0,"50,980"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,378,160,500,0,"1,050",0,0,0,"1,957",365,110,0,84,0,520,0,0,123,0,0,0,70,0,0,"5,317"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,625,257,590,0,926,0,0,550,997,310,110,0,180,0,"1,000",0,0,0,0,0,0,0,0,0,"5,545"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,400,80,652,0,"1,146",40,0,0,533,532,110,0,80,0,300,0,0,0,0,34,0,0,0,0,"3,907"
               University of Southeastern Philippines,"1,310","1,513","1,170",0,"12,303",0,0,0,"7,300","1,650",110,0,281,0,"9,685",20,14,357,0,246,0,80,172,0,"36,211"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,"5,282","1,408","3,147",381,"16,393",0,0,"6,367","7,581","5,010","1,099",0,"1,022",0,"5,285",250,145,"2,224",0,527,0,459,0,0,"56,580"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,705,531,"1,019",262,"1,141",0,0,0,338,890,110,0,450,0,928,65,29,287,0,356,0,52,0,0,"7,163"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,667,35,516,0,"7,161",0,0,0,810,265,811,0,150,0,0,73,26,45,0,73,0,72,0,0,"10,704"
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,,,,,,,,,,,,,,
                     Kudarat Polytechnic State College),"1,806",139,485,119,"2,513",0,0,0,"1,365","1,390",68,0,90,0,426,100,90,356,0,65,0,160,0,0,"9,172"
               University of Southern Mindanao,"2,104",703,"1,127",0,"5,578",0,0,"6,367","5,068","2,465",110,0,332,0,"3,931",12,0,"1,536",0,33,0,175,0,0,"29,541"
,,,,,,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,"2,292",833,"4,972",755,"9,695",60,0,10,"3,536","2,597","1,508",0,425,0,"6,534",431,188,371,0,169,0,210,20,0,"34,606"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,350,120,400,40,900,30,0,10,250,200,200,0,50,0,563,30,60,60,0,20,0,160,20,0,"3,463"
               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology),612,208,"2,264",0,"1,801",0,0,0,720,672,"1,080",0,195,0,"2,966",281,10,236,0,5,0,50,0,0,"11,100"
               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),"1,330",290,"1,196",39,"5,011",0,0,0,"1,436",575,110,0,50,0,"1,575",120,88,0,0,114,0,0,0,0,"11,934"
               Surigao State College of Technology,0,215,"1,112",676,"1,983",30,0,0,"1,130","1,150",118,0,130,0,"1,430",0,30,75,0,30,0,0,0,0,"8,109"
,,,,,,,,,,,,,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,"9,202","1,536","11,460",506,"22,324","1,551",20,"7,308","19,574","5,520","1,741",0,833,0,"7,855",59,237,"1,069",0,729,0,642,368,405,"92,939"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,564,80,108,9,550,144,0,24,222,112,122,0,0,0,571,19,6,89,0,0,0,30,30,405,"3,085"
               Basilan State College,945,160,222,107,"1,042",54,0,290,981,220,487,0,206,0,344,0,186,425,0,106,0,75,338,0,"6,188"
               Mindanao State University,"4,596",946,"9,696",187,"17,403","1,038",20,"5,084","17,099","2,635",590,0,467,0,"6,338",40,45,135,0,165,0,512,0,0,"66,996"
               MSU-Tawi-Tawi College of Technology and Oceanography,"1,100",200,999,0,"1,240",300,0,"1,600",417,"2,186",364,0,100,0,602,0,0,300,0,100,0,0,0,0,"9,508"
               Sulu State College,830,80,210,0,801,0,0,0,435,90,68,0,0,0,0,0,0,120,0,80,0,0,0,0,"2,714"
               Tawi-Tawi Regional Agricultural College,"1,167",70,225,203,"1,288",15,0,310,420,277,110,0,60,0,0,0,0,0,0,278,0,25,0,0,"4,448"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"79,394","12,822","31,843",392,"36,570","15,238","150,300","46,000","31,213","10,002","2,556",0,"6,161",0,"710,207","1,900","12,890","16,811",0,"8,452",0,"1,510",0,0,"1,174,261"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"79,394","12,822","31,843",392,"36,570","15,238","150,300","46,000","31,213","10,002","2,556",0,"6,161",0,"710,207","1,900","12,890","16,811",0,"8,452",0,"1,510",0,0,"1,174,261"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"640,729","146,989","409,596","9,842","869,915","42,773",0,"2,118","195,699","231,168","6,652","15,000","43,011",0,"2,139,758","39,199","34,698","97,750",42,"7,675","4,000,530",795,35,14,"8,933,988"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"526,008","125,333","269,137","7,537","584,415","25,490",0,"2,000","151,549","182,556","3,408","15,000","21,380",0,"1,832,191","23,262","31,170","80,590",0,"6,676","3,887,186",670,10,0,"7,775,568"
          Environmental Management Bureau,"32,170","7,410","39,908",155,"60,433","5,529",0,0,"10,897","25,581","1,614",0,"3,836",0,"143,751","12,614","2,744","11,508",0,172,0,0,0,0,"358,322"
          Mines and Geo-Sciences Bureau,"56,621","8,315","30,487",859,"54,646","9,494",0,118,"20,731","13,932","1,520",0,"2,241",0,"38,401","1,301",660,"3,558",42,522,"1,571",125,25,14,"245,183"
          National Mapping and Resource Information Authority,"15,312","4,512","68,329","1,086","164,081","1,455",0,0,"9,859","7,388",0,0,"15,204",0,"109,484","1,770",74,"1,543",0,70,"111,773",0,0,0,"511,940"
          National Water Resources Board,"3,916",944,630,20,"2,220",75,0,0,"1,873","1,425",110,0,350,0,"4,558",252,50,551,0,35,0,0,0,0,"17,009"
          Palawan Council for Sustainable Development Staff,"6,702",475,"1,105",185,"4,120",730,0,0,790,286,0,0,0,0,"11,373",0,0,0,0,200,0,0,0,0,"25,966"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"407,582","172,149","847,625","9,740","646,825","577,511","182,605",0,"472,461","88,470","18,050","15,500","55,573","9,969,209","824,493","42,760","26,349","5,740","3,500","6,803",70,"4,883",0,0,"14,377,898"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"16,847","6,556","12,178",385,"15,967","28,506",0,0,"34,404","5,399","3,142","1,000","17,118",0,"66,464",525,"2,030",0,"3,500","1,351",70,"1,757",0,0,"217,199"
          Bureau of Customs,"16,445","36,151","406,526","2,261","102,177","6,623",0,0,"195,417","10,400","1,458","4,500","5,652","6,656,048","60,051","36,910","1,500",0,0,207,0,0,0,0,"7,542,326"
          Bureau of Internal Revenue,"335,804","93,888","391,958","6,430","490,698","489,686","182,605",0,"167,992","44,298","3,798","10,000","21,585","3,313,161","616,392","3,748","17,926",0,0,"4,245",0,585,0,0,"6,194,799"
          Bureau of Local Government Finance,"11,699","3,870","3,111",0,"4,811","8,589",0,0,"5,947","11,727","1,830",0,"1,154",0,"8,260",0,0,0,0,0,0,0,0,0,"60,998"
          Bureau of the Treasury,"5,520","10,500","24,488",420,"10,197","18,684",0,0,"31,250","2,000","2,596",0,"3,566",0,"22,321",150,320,336,0,205,0,0,0,0,"132,553"
          Central Board of Assessment Appeals,75,115,50,0,250,165,0,0,60,150,110,0,18,0,160,0,0,0,0,30,0,0,0,0,"1,183"
          Cooperative Development Authority,"15,502","6,634","2,870",81,"8,779","9,411",0,0,"6,631","3,536","2,292",0,"2,647",0,"8,414","1,147",339,"4,891",0,281,0,117,0,0,"73,572"
          Insurance Commission,"4,050","6,350","2,025",0,"5,500",520,0,0,"6,700","7,500",122,0,750,0,"26,590",0,"2,130",0,0,0,0,"1,750",0,0,"63,987"
          National Tax Research Center,470,620,650,0,"1,500","4,908",0,0,"2,315",142,110,0,130,0,750,280,10,88,0,80,0,20,0,0,"12,073"
          Securities and Exchange Commission,"1,170","7,465","3,769",163,"6,946","10,419",0,0,"21,745","3,318","2,592",0,"2,953",0,"15,091",0,"2,094",425,0,404,0,654,0,0,"79,208"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"462,102","152,519","160,826","97,430","2,312,928","931,699",0,"277,259","123,979","34,463","1,859",0,"82,435",0,"168,365","16,818","15,425","161,436",0,"17,145",0,0,0,0,"5,016,688"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"458,970","151,583","160,557","97,430","2,310,794","930,187",0,"277,259","121,984","27,321","1,030",0,"82,301",0,"164,509","15,288","15,396","160,996",0,"16,618",0,0,0,0,"4,992,223"
          Foreign Service Institute,"1,411",596,245,0,"1,377","1,349",0,0,"1,995","1,271",422,0,124,0,"1,746",520,24,0,0,496,0,0,0,0,"11,576"
          Technical Cooperation Council of the Philippines,63,18,0,0,80,50,0,0,0,21,0,0,0,0,"2,000",0,0,40,0,16,0,0,0,0,"2,288"
          UNESCO National Commission of the Philippines,"1,658",322,24,0,677,113,0,0,0,"5,850",407,0,10,0,110,"1,010",5,400,0,15,0,0,0,0,"10,601"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"255,703","83,370","133,261","26,724","8,873,952","29,810",0,"13,434,452","518,930","561,484","10,435",0,"42,253",0,"2,461,157","38,359","185,533","58,243","1,000","4,467",0,721,"6,447",0,"26,726,301"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"235,663","70,995","129,336","19,925","8,841,461","25,331",0,"13,286,063","505,088","462,044","10,233",0,"41,198",0,"2,369,712","28,122","166,959","49,103","1,000","4,130",0,721,"1,151",0,"26,248,235"
          Commission on Population,"2,127","2,708","1,000",544,"5,667","2,459",0,"148,389","5,740","8,810",80,0,935,0,"10,818","2,131","6,074",0,0,295,0,0,0,0,"197,777"
          National Nutrition Council,"17,913","9,667","2,925","6,255","26,824","2,020",0,0,"8,102","90,630",122,0,120,0,"80,627","8,106","12,500","9,140",0,42,0,0,"5,296",0,"280,289"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"337,899","261,600","988,240","26,780","5,727,937","395,896",0,"1,711,762","1,036,287","539,946","7,764","270,029","196,526",0,"226,012","141,607","9,128","11,845",212,"21,197","1,377",305,"12,177",0,"11,924,526"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"96,309","64,271","39,164","2,937","59,501","78,299",0,"1,711,700","54,815","77,907","4,472",0,"8,446",0,"73,095","11,718","1,340","3,248",0,603,0,20,0,0,"2,287,845"
          Bureau of Fire Protection,"16,997","18,290","214,230","2,252","555,042","32,620",0,0,"66,875","15,000",0,0,"27,050",0,"3,767","33,421","3,800",0,212,255,0,0,"2,518",0,"992,329"
          Bureau of Jail Management and Penology,"19,100","9,913","70,315","3,312","1,525,817","20,913",0,62,"120,000","10,350",0,0,"50,845",0,"7,417","7,589",559,0,0,0,"1,071",0,"2,587",0,"1,849,850"
          Local Government Academy,"1,393","1,980","2,813",93,"4,660","7,500",0,0,"2,548","39,614",110,0,300,0,"7,047",810,0,0,0,30,0,50,0,0,"68,948"
          National Police Commission,"12,259","10,422","6,012",487,"24,328","27,909",0,0,"15,238","3,075","2,518",0,"1,366",0,"20,522",480,337,0,0,175,0,0,0,0,"125,128"
          Philippine National Police,"142,918","150,436","603,522","17,341","3,400,177","204,561",0,0,"738,953","273,466",0,"270,029","107,957",0,"80,284","78,038","2,912",0,0,"19,374",0,0,"7,072",0,"6,097,040"
          Philippine Public Safety College,"48,923","6,288","52,184",358,"158,412","24,094",0,0,"37,858","120,534",664,0,562,0,"33,880","9,551",180,"8,597",0,760,306,235,0,0,"503,386"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"153,070","117,287","102,687","4,251","1,215,295","86,486",0,"1,706","208,318","54,512","23,623","172,908","14,462",0,"305,763","8,274","5,178","23,257",0,"7,740",450,"2,374","19,000","2,909","2,529,550"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"25,685","24,103","10,497","1,259","41,047","1,622",0,0,"21,286","32,332","4,961","146,908","3,061",0,"87,712","1,766","1,229","13,899",0,"1,045",400,"1,034","19,000","2,600","441,446"
          Bureau of Corrections,"58,590","2,020","48,162",0,"861,926",0,0,"1,500","66,176","2,312",306,0,275,0,"3,000","1,600",720,"3,100",0,"1,000",0,500,0,0,"1,051,187"
          Bureau of Immigration,"8,000","43,557","9,938",0,"42,500","9,246",0,0,"22,000","5,000",298,"8,000","1,335",0,"27,111","2,229","1,700",0,0,430,0,0,0,0,"181,344"
          Land Registration Authority,"5,500","4,090","2,500","1,000","147,334","8,700",0,0,"21,500",150,"2,056",0,"5,500",0,"38,350",50,200,"3,100",0,200,0,0,0,0,"240,230"
          National Bureau of Investigation,"32,334","12,564","14,461","1,442","58,248","4,158",0,206,"40,451","2,754","1,500","18,000","1,401",0,"97,309",912,720,0,0,"1,124",0,515,0,309,"288,408"
          Office of the Government Corporate Counsel,150,604,110,0,"1,200","4,822",0,0,"2,250",100,"1,504",0,190,0,240,25,0,0,0,100,0,0,0,0,"11,295"
          Office of the Solicitor General,"2,500","15,983","6,400",0,"9,350","45,312",0,0,"15,500","1,000","5,592",0,"1,000",0,"7,989",300,400,250,0,"2,650",0,25,0,0,"114,251"
          Parole and Probation Administration,"14,661","5,847","3,319",0,"10,690","3,762",0,0,"7,528","6,314","1,520",0,550,0,"12,223","1,042",25,750,0,41,0,0,0,0,"68,272"
          Presidential Commission on Good Government,"1,500","3,500","5,800",50,"4,000",600,0,0,"3,500",150,"1,490",0,500,0,"23,558",50,84,500,0,250,50,0,0,0,"45,582"
          Public Attorney's Office,"4,150","5,019","1,500",500,"39,000","8,264",0,0,"8,127","4,400","4,396",0,650,0,"8,271",300,100,"1,658",0,900,0,300,0,0,"87,535"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"199,705","106,015","87,291","33,477","274,810","228,873",0,"633,223","185,680","1,174,840","19,119",0,"21,222",0,"507,439","22,656","13,185","70,115",550,"4,333",0,"1,757",0,"2,213","3,586,503"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"121,577","47,780","24,293","26,767","66,927","123,524",0,"601,121","34,775","63,190","5,034",0,"6,461",0,"202,516","10,049","3,042","49,841",0,"1,402",0,75,0,0,"1,388,374"
          Institute for Labor Studies,931,700,574,0,"1,253",275,0,0,"1,067",285,110,0,135,0,"2,238",300,67,0,0,80,0,0,0,0,"8,015"
          National Conciliation and Mediation Board,"4,525","4,056","2,233",0,"5,087","10,655",0,0,"4,049","4,811",122,0,943,0,"16,763",716,290,"1,851",0,206,0,0,0,0,"56,307"
          National Labor Relations Commission,"6,217","13,942","1,500",706,"11,871","35,496",0,0,"14,896","4,881","5,970",0,746,0,"15,174","1,140",800,100,0,50,0,0,0,0,"113,489"
          National Maritime Polytechnic,"1,769","1,390","4,268",154,"5,780",943,0,57,"3,191",485,82,0,"1,389",0,"9,551","1,200",160,"1,200",0,201,0,60,0,0,"31,880"
          National Wages and Productivity Commission,"3,405","2,517","1,201",25,"5,452","12,402",0,0,"3,036","1,253",588,0,558,0,"8,489",520,700,"5,272",0,230,0,50,0,0,"45,698"
          Philippine Overseas Employment Administration,"9,365","5,535","6,739","3,405","20,623","7,090",0,0,"23,399","3,311","3,234",0,"2,800",0,"36,076","1,000","1,355","6,627",550,418,0,0,0,0,"131,527"
          Professional Regulation Commission,"17,500","8,908",938,0,"73,000","31,772",0,0,"22,000","3,100","1,888",0,"1,971",0,"122,645",0,"3,400",870,0,215,0,0,0,0,"288,207"
          Technical Education and Skills Development Authority,"34,416","21,187","45,545","2,420","84,817","6,716",0,"32,045","79,267","1,093,524","2,091",0,"6,219",0,"93,987","7,731","3,371","4,354",0,"1,531",0,"1,572",0,"2,213","1,523,006"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"522,151","327,514","4,136,492","179,281","9,771,601","70,358",12,"142,730","1,655,792","462,761","35,960","169,397","185,805",0,"610,047","55,422","26,485","447,383",50,"17,562","5,362",386,"4,233","200,000","19,026,784"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"28,835","11,128","128,543",0,"61,345","8,300",0,500,"28,550","15,000","2,202","33,000","2,200",0,"10,830","1,600",540,"16,850",0,"1,280",0,0,0,0,"350,703"
          Government Arsenal,"2,362",479,"7,116",818,"438,821",0,0,0,"12,613","3,424",114,0,"2,001",0,54,59,94,458,0,170,0,0,0,0,"468,583"
          National Defense College of the Philippines,"6,472","1,212","1,000",0,"10,502","2,000",0,0,207,369,80,0,441,0,"6,277",590,0,187,0,"1,174",0,0,0,0,"30,511"
          Office of Civil Defense,"61,497","100,912","17,858","40,100","392,860","7,317",0,40,"61,777","97,328",162,0,"10,046",0,"64,383","40,300","21,767","25,728",0,"4,078",0,0,"3,152","200,000","1,149,305"
          Philippine Veterans Affairs Office,"2,811","17,872","13,830",68,"323,304","7,525",0,"141,590","80,728","2,815",478,0,"1,259",0,"53,619","1,520",812,"3,897",0,138,0,0,0,0,"652,266"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"2,765","16,872","10,470",68,"26,920","7,525",0,"141,590","12,428","2,642",380,0,527,0,"37,451","1,520",812,"3,897",0,105,0,0,0,0,"265,972"
               Veterans Memorial Medical Center,46,"1,000","3,360",0,"296,384",0,0,0,"68,300",173,98,0,732,0,"16,168",0,0,0,0,33,0,0,0,0,"386,294"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"420,174","195,911","3,968,145","138,295","8,544,769","45,216",12,600,"1,471,917","343,825","32,924","136,397","169,858",0,"474,884","11,353","3,272","400,263",50,"10,722","5,362",386,"1,081",0,"16,375,416"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"86,857","35,866","926,923","63,949","3,448,533","2,553",0,0,"330,594","191,022",0,"24,000","80,818",0,"14,074","1,388",146,"97,341",0,"1,263","5,180",0,580,0,"5,311,087"
               Philippine Air Force (Air Force),"168,681","30,105","1,975,996","23,555","1,403,022","2,133",0,600,"272,709","60,056","6,011","12,000","17,975",0,"9,683","2,972","2,592","97,512",50,"3,241",182,140,48,0,"4,089,263"
               Philippine Navy (Naval Forces),"26,540","37,000","841,044","50,159","2,310,282","3,436",0,0,"320,996","28,711","6,268","24,749","44,709",0,"135,970",0,0,"3,185",0,"2,000",0,0,353,0,"3,835,402"
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,,,,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),"138,096","92,940","224,182",632,"1,382,932","37,094",12,0,"547,618","64,036","20,645","75,648","26,356",0,"315,157","6,993",534,"202,225",0,"4,218",0,246,100,0,"3,139,664"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"4,868","80,280","11,171,768","6,505","152,159","8,544",0,850,"123,621","16,205","4,104",0,"16,091",0,"20,064","2,821","2,623","1,376",0,"2,311",0,335,0,0,"11,614,525"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"4,868","80,280","11,171,768","6,505","152,159","8,544",0,850,"123,621","16,205","4,104",0,"16,091",0,"20,064","2,821","2,623","1,376",0,"2,311",0,335,0,0,"11,614,525"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,"114,534","122,160","189,792","6,522","387,053","29,546",2,"2,680,647","258,534","1,485,324","8,800",0,"172,569",0,"230,131","18,744","3,895","15,803",100,"5,323","1,078","1,978",240,140,"5,732,915"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"33,896","12,799","27,931",83,"52,325","4,196",0,"1,370,102","52,868","3,417","2,590",0,"4,410",0,"39,945",859,547,"2,461",0,413,0,510,0,0,"1,609,352"
          Advanced Science and Technology Institute,318,"13,768",408,6,"1,192",14,0,"6,521","4,876",198,110,0,211,0,"1,255",205,0,75,0,30,0,0,0,0,"29,187"
          Food and Nutrition Research Institute,"4,140","1,375","2,208",0,"6,332",0,0,"6,000","8,400","2,627",110,0,690,0,"15,754","1,125",0,840,0,150,0,0,0,0,"49,751"
          Forest Products Research and Development Institute,"3,100","1,738","1,115",60,"4,380",0,0,0,"4,100",763,98,0,432,0,"2,531",350,60,0,0,235,0,200,0,0,"19,162"
