particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
                     Sci. and Tech. and TONC),959,237,"1,035",9,"2,532",86,0,0,"2,506",621,99,0,349,0,"3,229",8,5,905,0,0,0,140,0,0,"12,720"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),674,316,"1,866",100,"3,191",50,0,0,"1,034","1,657",122,0,364,0,"1,468",10,0,0,0,650,0,10,0,0,"11,512"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),843,478,417,75,"3,680",123,0,120,"2,899","1,474",150,0,147,0,"1,130",1,11,0,0,528,0,160,0,0,"12,236"
               University of Eastern Philippines,943,394,"1,271",113,"3,302",0,0,431,"1,039",747,94,0,268,0,"4,257",0,0,"1,598",0,204,0,0,0,0,"14,661"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"5,711","2,942","2,452",141,"13,394",181,10,14,"13,890","2,879","9,650",0,835,0,"14,861",442,273,798,0,65,0,285,133,110,"69,066"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"1,641",343,719,50,"3,041",0,0,0,906,247,322,0,100,0,190,64,20,600,0,8,0,69,0,0,"8,320"
               Jose Rizal Memorial State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),"1,407",288,926,53,"3,354",22,10,1,"4,081",838,82,0,275,0,"1,431",31,191,72,0,0,0,46,133,110,"13,351"
               Western Mindanao State University,940,"1,623",445,35,"4,549",159,0,0,"4,972","1,560","8,607",0,248,0,"10,632",31,27,0,0,45,0,48,0,0,"33,921"
               Zamboanga City State Polytechnic College,474,238,25,0,472,0,0,0,"1,662",16,78,0,70,0,688,0,0,126,0,0,0,5,0,0,"3,854"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,"1,249",450,337,3,"1,978",0,0,13,"2,269",218,561,0,142,0,"1,920",316,35,0,0,12,0,117,0,0,"9,620"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"7,422","3,527","13,266",1,"26,407",120,0,0,"32,471","13,273",697,0,"4,125",0,"41,729",540,235,"2,890",0,518,0,498,183,0,"147,902"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State University,"1,165",460,806,0,"3,032",1,0,0,"3,660",309,238,0,283,0,"2,549",74,2,"1,065",0,221,0,43,0,0,"13,908"
               Camiguin Polytechnic State College,161,200,300,0,"1,282",0,0,0,"1,901",193,110,0,74,0,0,0,0,0,0,66,0,47,0,0,"4,334"
               Central Mindanao University,"2,500",582,"4,410",0,"13,073",0,0,0,"5,226",848,41,0,"2,570",0,"4,335",90,0,447,0,15,0,60,0,0,"34,197"
               Mindanao University of Science and Technology,234,528,540,0,"3,509",109,0,0,"6,723","5,986",162,0,155,0,"5,047",97,212,"1,056",0,100,0,212,0,0,"24,670"
               MSU-Iligan Institute of Technology,"2,821","1,645","6,877",1,"4,214",10,0,0,"14,146","5,045",0,0,902,0,"27,299",279,5,300,0,116,0,92,183,0,"63,935"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,276,49,67,0,598,0,0,0,463,498,48,0,123,0,"2,057",0,4,0,0,0,0,43,0,0,"4,226"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,265,63,266,0,699,0,0,0,352,394,98,0,18,0,442,0,12,22,0,0,0,1,0,0,"2,632"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,"3,157","1,860","1,017",5,"11,246",87,0,0,"10,876","55,313",404,0,351,0,"11,841",52,22,716,0,266,0,300,11,637,"98,161"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,273,158,159,3,823,1,0,0,"1,972",92,66,0,95,0,545,1,0,143,0,0,0,83,0,0,"4,414"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,695,166,284,2,"1,382",30,0,0,"1,402",264,120,0,89,0,438,0,2,264,0,3,0,0,0,637,"5,778"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,249,103,247,0,606,26,0,0,483,49,69,0,43,0,993,0,19,0,0,21,0,20,0,0,"2,928"
               University of Southeastern Philippines,"1,940","1,433",327,0,"8,435",30,0,0,"7,019","54,908",149,0,124,0,"9,865",51,1,309,0,242,0,197,11,0,"85,041"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,"5,226","1,489","3,122",536,"17,036",115,0,"6,874","8,125","6,625",352,0,946,0,"5,279",202,357,"2,372",0,265,0,478,0,0,"59,399"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,810,594,"1,397",256,"1,586",0,0,0,587,"2,713",110,0,340,0,360,72,36,330,0,180,0,63,0,0,"9,434"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,727,38,310,91,"7,031",0,0,0,913,374,55,0,124,0,534,36,0,110,0,0,0,110,0,0,"10,453"
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,,,,,,,,,,,,,,
                     Kudarat Polytechnic State College),"1,550",112,255,104,"2,073",0,0,0,"1,087",667,77,0,63,0,704,92,309,346,0,46,0,130,0,0,"7,615"
               University of Southern Mindanao,"2,139",745,"1,160",85,"6,346",115,0,"6,874","5,538","2,871",110,0,419,0,"3,681",2,12,"1,586",0,39,0,175,0,0,"31,897"
,,,,,,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,"2,505",796,"4,686",15,"10,874",57,0,0,"4,163","2,384","2,316",0,140,0,"6,394",381,194,701,0,135,0,102,0,0,"35,843"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,372,73,813,0,"4,277",0,0,0,388,167,110,0,58,0,892,25,0,19,0,10,0,35,0,0,"7,239"
               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology),603,102,"1,606",0,"3,508",21,0,0,483,"1,183","1,993",0,17,0,"1,777",31,140,434,0,0,0,20,0,0,"11,918"
               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),964,197,"1,417",15,"1,910",21,0,0,"1,939",58,105,0,16,0,"2,466",325,48,192,0,111,0,47,0,0,"9,831"
               Surigao State College of Technology,566,424,850,0,"1,179",15,0,0,"1,353",976,108,0,49,0,"1,259",0,6,56,0,14,0,0,0,0,"6,855"
,,,,,,,,,,,,,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,"12,364","1,842","17,089",327,"24,324","1,902",26,"10,655","20,055","5,273","1,414",0,738,0,"10,540",709,265,"1,255",0,812,0,257,378,0,"110,225"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,614,48,193,6,"1,411",72,0,18,155,90,0,0,40,0,544,14,8,4,0,45,0,18,20,0,"3,300"
               Basilan State College,834,250,367,2,"1,446",37,0,140,931,93,116,0,78,0,"1,168",0,130,70,0,132,0,36,0,0,"5,830"
               Mindanao State University,"7,679","1,086","15,190",174,"17,112","1,463",26,"10,091","16,926","2,474",606,0,440,0,"8,126",695,55,581,0,379,0,113,158,0,"83,374"
               MSU-Tawi-Tawi College of Technology and Oceanography,"1,527",200,399,0,"2,060",330,0,300,"1,158","2,226",364,0,100,0,702,0,0,600,0,100,0,0,200,0,"10,266"
               Sulu State College,830,80,310,0,921,0,0,0,475,90,68,0,0,0,0,0,0,0,0,156,0,0,0,0,"2,930"
               Tawi-Tawi Regional Agricultural College,880,178,630,145,"1,374",0,0,106,410,300,260,0,80,0,0,0,72,0,0,0,0,90,0,0,"4,525"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"46,201","9,729","8,458",100,"45,573","11,599",0,"44,494","24,542","3,946","2,767",0,"14,680",0,"429,640",418,"9,208","26,989",0,"7,830",0,732,0,0,"686,906"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"46,201","9,729","8,458",100,"45,573","11,599",0,"44,494","24,542","3,946","2,767",0,"14,680",0,"429,640",418,"9,208","26,989",0,"7,830",0,732,0,0,"686,906"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"592,266","110,486","386,327","7,433","512,647","90,876",168,"23,029","182,412","155,846","17,123","15,013","26,536",0,"1,380,339","22,828","15,152","52,723",0,"7,478","439,415",607,693,119,"4,039,516"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"511,576","76,850","148,852","6,160","348,139","76,959",160,"22,962","122,360","130,480","5,829","15,013","16,750",0,"1,058,854","18,674","12,689","38,777",0,"6,224","413,701",468,665,96,"3,032,238"
          Environmental Management Bureau,"27,395","8,838","18,895",313,"36,532","6,571",0,0,"16,036","15,248","9,749",0,"2,672",0,"104,828","2,566","1,418","8,925",0,359,0,21,0,0,"260,366"
          Mines and Geo-Sciences Bureau,"32,639","7,741","14,872",715,"37,243","5,695",0,67,"20,276","8,317","1,433",0,"3,074",0,"27,150","1,224",931,"3,891",0,508,0,118,28,23,"165,945"
          National Mapping and Resource Information Authority,"14,592","15,254","202,045",208,"85,537",937,8,0,"21,135","1,617",0,0,"3,767",0,"175,696",82,114,788,0,329,"25,714",0,0,0,"547,823"
          National Water Resources Board,"1,647","1,205",367,0,"1,220",53,0,0,"1,600",99,112,0,273,0,"2,792",282,0,342,0,18,0,0,0,0,"10,010"
          Palawan Council for Sustainable Development Staff,"4,417",598,"1,296",37,"3,976",661,0,0,"1,005",85,0,0,0,0,"11,019",0,0,0,0,40,0,0,0,0,"23,134"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"239,602","144,600","587,413","8,537","547,078","501,859","165,732","13,170","401,886","43,225","19,940","43,500","7,092,396","264,052","1,522,125","31,543","14,955","6,031",762,"2,902",60,"2,602",0,0,"11,653,970"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"13,522","11,163","45,660",0,"10,869","6,877",0,0,"46,558","3,209","2,860",0,"1,197",0,"219,370",435,575,226,0,379,0,111,0,0,"363,011"
          Bureau of Customs,"13,338","40,051","276,861","2,508","89,560","8,152",0,0,"65,690","8,949","1,471","38,500","7,977",0,"243,187","26,910","1,500",0,0,248,0,0,0,0,"824,902"
          Bureau of Internal Revenue,"181,348","65,746","235,341","5,517","398,209","443,650","165,732",0,"215,324","12,370","3,723","5,000","15,485","264,052","769,184","2,370","9,201",0,0,857,60,40,0,0,"2,793,209"
          Bureau of Local Government Finance,"8,571","4,303","3,166",0,"9,640","6,623",0,0,"2,774","6,155","1,498",0,854,0,"26,416",0,0,0,0,0,0,0,0,0,"70,000"
          Bureau of the Treasury,"4,470","7,394","10,999",287,"8,798","14,700",0,0,"31,152","1,059","2,533",0,"7,062,643",0,"211,638",171,99,597,0,269,0,14,0,0,"7,356,823"
          Central Board of Assessment Appeals,41,146,32,0,224,194,0,0,24,120,77,0,16,0,177,0,0,0,0,20,0,0,0,0,"1,071"
          Cooperative Development Authority,"14,186","5,187","4,324",127,"7,775","8,971",0,"13,120","5,680","3,340","2,243",0,"1,742",0,"7,330",905,64,"3,732",0,159,0,5,0,0,"78,890"
          Insurance Commission,"2,507","1,685","1,480",0,"4,985",328,0,0,"5,812","5,890",125,0,381,0,"18,049",0,"1,407","1,112",0,0,0,"1,665",0,0,"45,426"
          National Tax Research Center,417,506,528,0,"1,503","4,302",0,0,"2,413",435,120,0,131,0,834,268,9,83,0,76,0,18,0,0,"11,643"
          Privatization and Management Office,36,"1,382",479,0,"1,730",385,0,0,"3,196",164,"2,035",0,49,0,0,0,0,234,0,19,0,53,0,0,"9,762"
          Securities and Exchange Commission,"1,166","7,035","8,543",98,"13,752","7,665",0,50,"23,263","1,534","3,234",0,"1,921",0,"23,305",476,"2,100",29,762,875,0,696,0,0,"96,504"
          Special National Public Reconstruction Commission,0,2,0,0,33,12,0,0,0,0,21,0,0,0,"2,635",8,0,18,0,0,0,0,0,0,"2,729"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"394,012","123,583","145,764","79,793","423,571","806,398",2,"1,065,941","133,120","11,964","7,129",0,"70,148",0,"259,990","1,746",47,"153,913",0,392,0,0,0,0,"3,677,513"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"392,672","122,620","144,622","79,793","421,722","804,827",0,"1,065,941","130,747","2,377","6,693",0,"69,976",0,"255,585",0,0,"153,583",0,0,0,0,0,0,"3,651,158"
          Foreign Service Institute,300,584,209,0,897,"1,340",0,0,"2,373","3,463",402,0,99,0,"2,145",384,47,0,0,362,0,0,0,0,"12,605"
          Technical Cooperation Council of the Philippines,98,49,0,0,128,38,2,0,0,"1,138",0,0,2,0,"1,518",33,0,17,0,13,0,0,0,0,"3,036"
          UNESCO National Commission of the Philippines,942,330,933,0,824,193,0,0,0,"4,986",34,0,71,0,742,"1,329",0,313,0,17,0,0,0,0,"10,714"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"237,461","68,586","166,990","76,245","4,141,364","82,734",0,"1,812,231","415,052","574,817","2,134,589",0,"60,717",0,"811,507","133,422","247,495","37,991",2,"2,850",110,406,"5,467",775,"11,010,811"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"221,734","63,523","163,815","53,686","4,125,336","29,307",0,"1,726,882","408,263","458,812","2,134,231",0,"58,452",0,"775,417","47,073","86,896","31,826",2,"2,602",110,406,464,775,"10,389,612"
          Commission on Population,"5,565","2,588","1,781",133,"7,397","51,205",0,"85,349","4,853","12,711",238,0,"1,734",0,"11,462","1,221",316,0,0,209,0,0,0,0,"186,762"
          National Nutrition Council,"10,162","2,475","1,394","22,426","8,631","2,222",0,0,"1,936","103,294",120,0,531,0,"24,628","85,128","160,283","6,165",0,39,0,0,"5,003",0,"434,437"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"173,864","250,230","655,501","12,109","8,714,193","939,046",0,"31,587","809,709","352,509","8,438","520,029","63,340",0,"332,594","160,433","4,184","15,791",49,"13,542",123,"3,908","8,001","42,246","13,111,426"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"35,844","24,159","26,937",379,"62,077","71,433",0,"31,455","38,358","136,582","4,881",0,"4,514",0,"158,925","2,212",422,"3,993",0,534,0,"3,766",0,"42,246","648,717"
          Bureau of Fire Protection,"16,462","16,285","161,000",275,"364,106","35,493",0,0,"47,264","17,848",490,0,"11,850",0,"4,461","36,452",153,580,49,584,0,0,80,0,"713,432"
          Bureau of Jail Management and Penology,"19,986","6,885","40,323",344,"1,386,574","7,365",0,74,"115,444","8,450",0,0,"4,787",0,"1,511","5,476",61,0,0,7,123,0,"1,864",0,"1,599,274"
          Local Government Academy,"3,724","2,389","4,058",107,"4,138","7,513",0,18,"3,283","34,141",130,0,379,0,"9,419","2,595",46,2,0,41,0,114,0,0,"72,097"
          National Police Commission,"10,775","7,899","3,258",137,"25,040","23,494",0,0,"14,485","2,502","2,136",0,"1,478",0,"16,167",502,62,0,0,301,0,0,0,0,"108,236"
          Philippine National Police,"75,719","186,553","333,006","5,090","6,660,508","784,041",0,0,"546,154","123,828",533,"520,029","39,911",0,"71,411","111,560","3,212",0,0,"11,724",0,0,"5,939",0,"9,479,218"
          Philippine Public Safety College,"11,354","6,060","86,919","5,777","211,750","9,707",0,40,"44,721","29,158",268,0,421,0,"70,700","1,636",228,"11,216",0,351,0,28,118,0,"490,452"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"110,470","118,061","77,509","3,825","1,148,643","193,307",0,"1,323","179,837","32,992","19,559","142,632","12,506",0,"301,138","12,256","4,785","17,081",0,"7,404",0,939,"17,095",372,"2,401,734"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"15,388","16,674","7,134","2,309","35,504","1,787",0,0,"24,311","8,352","4,640","107,132",859,0,"14,531",522,"1,063","2,953",0,"1,441",0,0,"17,095",0,"261,695"
          Bureau of Corrections,"31,466","1,675","19,240",0,"781,779",0,0,"1,125","34,503","1,734",230,0,208,0,"2,427","1,199",540,"2,325",0,746,0,373,0,0,"879,570"
          Bureau of Immigration,"7,693","51,781","27,401",57,"67,753","13,975",0,0,"28,691","7,334",310,"8,000","3,107",0,"18,231","8,672","1,658",178,0,638,0,66,0,0,"245,545"
          Land Registration Authority,"6,370","6,946","1,886",35,"148,660","11,835",0,0,"17,691",145,"1,974",0,"4,564",0,"150,170",0,136,"5,999",0,161,0,6,0,0,"356,578"
          National Bureau of Investigation,"29,212","11,423","11,774","1,383","54,446","110,005",0,198,"38,933",347,"1,440","18,000","1,330",0,"19,752",875,691,0,0,"1,079",0,494,0,297,"301,679"
          Office of the Government Corporate Counsel,142,919,93,0,"1,275","5,025",0,0,"2,207",11,"1,484",0,151,0,0,10,0,5,0,72,0,0,0,0,"11,394"
          Office of the Solicitor General,"1,501","15,041","6,873",0,"7,622","37,911",0,0,"14,133","2,796","4,681","7,000",497,0,"13,594",21,516,56,0,"2,482",0,0,0,0,"114,724"
          Parole and Probation Administration,"14,118","5,714","1,411",0,"10,038","3,411",0,0,"7,358","5,753","1,410",0,550,0,"10,498",940,18,515,0,31,0,0,0,0,"61,765"
          Presidential Commission on Good Government,450,"3,150","1,279",41,"4,324","2,658",0,0,"4,579",371,"1,229","2,500",672,0,"65,180",17,18,"1,289",0,338,0,0,0,75,"88,170"
          Public Attorney's Office,"4,130","4,738",418,0,"37,242","6,700",0,0,"7,431","6,149","2,161",0,568,0,"6,755",0,145,"3,761",0,416,0,0,0,0,"80,614"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"177,289","108,360","81,394","16,498","313,339","178,841",603,"800,846","188,275","830,836","28,922",0,"30,291",0,"584,834","18,008","12,076","62,635",0,"3,657",0,592,92,0,"3,437,388"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"92,554","38,596","24,971","8,825","81,724","99,713",0,"566,906","40,411","38,517","4,347",0,"6,730",0,"253,688","7,324","2,604","37,121",0,"1,244",0,117,80,0,"1,305,472"
          Institute for Labor Studies,776,444,133,0,"1,182",169,0,0,789,199,110,0,127,0,"2,917",0,0,0,0,0,0,0,0,0,"6,846"
          National Conciliation and Mediation Board,"4,331","3,093","1,520",0,"5,379","8,928",0,0,"4,008","2,522",95,0,425,0,"14,090",121,0,"1,797",0,154,0,0,0,0,"46,463"
          National Labor Relations Commission,"6,778","16,478","4,234",207,"13,134","32,466",1,0,"19,273","3,298","7,127",0,919,0,"15,055",504,80,107,0,0,0,0,0,0,"119,661"
          National Maritime Polytechnic,"2,406","1,020","3,744",62,"6,048","2,422",0,25,"4,255",490,118,0,"1,590",0,"8,286","1,131",160,"1,556",0,242,0,60,0,0,"33,615"
          National Wages and Productivity Commission,"3,405","2,517","1,334",175,"5,452","10,881",0,0,"1,895","1,253",869,0,577,0,"8,489",219,676,"5,511",0,229,0,4,0,0,"43,486"
          Philippine Overseas Employment Administration,"5,977","10,740","2,608","3,907","21,865","7,834",0,0,"20,484","1,273","6,029",0,"1,460",0,"34,133",190,493,"5,072",0,349,0,0,0,0,"122,414"
          Professional Regulation Commission,"6,729","8,908","1,684",0,"71,207","9,851",0,0,"21,579","1,931","1,872",0,"1,678",0,"120,907",0,556,827,0,213,0,0,0,0,"247,942"
          Technical Education and Skills Development Authority,"54,333","26,564","41,166","3,322","107,348","6,577",602,"233,915","75,581","781,353","8,355",0,"16,785",0,"127,269","8,519","7,507","10,644",0,"1,226",0,411,12,0,"1,511,489"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"407,417","236,386","3,621,703","72,809","8,924,228","50,275",11,"146,695","1,507,783","469,055","39,975","307,584","891,698",0,"562,711","12,839","3,931","369,712",4,"12,311","4,038",222,"4,081",204,"17,645,672"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"21,278","13,595","31,191",0,"59,509","6,237",0,210,"22,173","166,613","2,154","33,000","2,060",0,"46,476",666,180,"23,708",0,"1,210",0,0,0,0,"430,260"
          Government Arsenal,"1,560",390,"6,966",644,"173,891",0,0,0,"16,496",423,509,0,"10,566",0,"14,793",1,50,510,0,100,0,0,0,0,"226,899"
          National Defense College of the Philippines,"3,813","1,716","1,648",822,"7,387",490,0,0,54,109,"1,456",0,264,0,"8,124",568,0,69,0,293,0,3,0,0,"26,816"
          Office of Civil Defense,"8,907","5,898","3,499",57,"127,105","1,088",0,"13,616",650,"18,135",110,0,"2,012",0,"7,429",0,380,"6,643",0,287,0,0,"1,136",0,"196,952"
          Philippine Veterans Affairs Office,"2,014","10,051","16,395",38,"283,864","8,967",0,"132,726","62,921","2,042",536,0,801,0,"38,591","1,447","1,139","4,355",0,67,0,0,0,0,"565,954"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"2,014","9,047","14,138",38,"28,115","8,967",0,"132,726","11,555","1,859",438,0,390,0,"22,668","1,447","1,139","4,355",0,46,0,0,0,0,"238,942"
               Veterans Memorial Medical Center,0,"1,004","2,257",0,"255,749",0,0,0,"51,366",183,98,0,411,0,"15,923",0,0,0,0,21,0,0,0,0,"327,012"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"369,845","204,736","3,562,004","71,248","8,272,472","33,493",11,143,"1,405,489","281,733","35,210","274,584","875,995",0,"447,298","10,157","2,182","334,427",4,"10,354","4,038",219,"2,945",204,"16,198,791"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"49,345","31,450","718,076","19,483","3,382,585","2,004",0,0,"321,028","159,305","1,154","174,187","108,002",0,"7,919","1,283",135,"36,850",0,631,"3,880",0,313,0,"5,017,630"
               Philippine Air Force (Air Force),"174,825","36,386","1,778,838","1,000","1,357,688","1,500",0,0,"318,603","45,600","4,017","12,000","72,672",0,"33,642","2,200","1,607","112,500",4,"2,701",108,59,"1,940",0,"3,957,890"
               Philippine Navy (Naval Forces),"24,598","53,015","795,213","50,159","2,121,431","3,436",0,0,"315,777","26,402","6,268","24,749","55,633",0,"138,789",0,0,"1,000",0,"2,000",0,0,353,0,"3,618,823"
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,,,,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),"121,077","83,885","269,877",606,"1,410,768","26,553",11,143,"450,081","50,426","23,771","63,648","639,688",0,"266,948","6,674",440,"184,077",0,"5,022",50,160,339,204,"3,604,448"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"32,716","44,573","6,367,386","1,158","47,862","8,301",0,0,"66,583","11,095","3,314",0,"249,562",0,"193,915",939,"1,411",317,0,929,0,50,0,0,"7,030,111"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"32,716","44,573","6,367,386","1,158","47,862","8,301",0,0,"66,583","11,095","3,314",0,"249,562",0,"193,915",939,"1,411",317,0,929,0,50,0,0,"7,030,111"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,"90,108","84,440","127,776","3,563","289,743","17,699",305,"1,488,667","232,424","1,009,231","11,972",0,"31,735",0,"286,764","12,143","57,766","24,504",0,"3,957",80,"1,612",0,441,"3,774,930"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"17,675","8,783","12,758",226,"29,279","2,379",0,"760,138","20,604","3,544","3,138",0,"3,945",0,"53,785",958,484,"5,632",0,502,3,501,0,102,"924,436"
          Advanced Science and Technology Institute,832,"7,476",359,1,995,0,0,"26,701","4,549",178,110,0,187,0,"1,933",99,10,284,0,7,0,0,0,0,"43,721"
          Food and Nutrition Research Institute,"1,538",397,"4,942",58,"6,489",0,0,0,"7,146",534,100,0,279,0,"11,715",350,0,734,0,155,0,0,0,0,"34,437"
          Forest Products Research and Development Institute,"1,949",761,"1,358",45,"4,000",0,0,"22,071","4,193",512,87,0,538,0,"3,183",388,38,0,0,184,0,173,0,0,"39,480"
          Industrial Technology Development Institute,"2,639",437,"4,533",27,"10,218",175,0,0,"16,095",222,"2,916",0,"2,395",0,"5,623",180,17,"1,029",0,48,0,281,0,0,"46,835"
