particular,A002,A003,A004,A006,A007,A008,A009,A010,A014,A017,A018,A019,A021,A022,A029,A117,A118,A119,A121,A122,A123,A124,A126,A127,Total
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"1,437",462,"1,397",127,"2,630",82,0,0,"1,753",983,98,0,381,0,"1,796",95,35,684,0,143,0,159,0,0,"12,262"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),674,316,"1,866",100,"3,054",50,0,0,"1,034","1,357",122,0,364,0,"1,468",10,0,0,0,650,0,10,0,0,"11,075"
               Northwest Samar State University (TTMIST,,,,,,,,,,,,,,,,,,,,,,,,,
                     and SSCAF),840,635,840,168,"4,044",170,0,120,"2,900",455,202,0,140,0,940,30,5,0,0,860,0,220,0,0,"12,569"
               University of Eastern Philippines,"1,258",571,"1,618",170,"4,644",90,0,593,"1,368",844,90,0,400,0,"2,000",0,0,"1,178",0,579,0,0,0,0,"15,403"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,"6,962","2,467","3,019",340,"16,495",235,0,670,"13,378","5,882",562,0,"2,439",0,"12,251",534,199,183,10,"1,122",105,"1,352",0,0,"68,205"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               J. H. Cerilles State College,"1,213",535,669,81,"2,702",55,0,0,488,436,110,0,187,0,"1,153",133,47,183,0,155,105,68,0,0,"8,320"
               Jose Rizal Memorial State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),"1,792",219,"1,398",0,"3,433",0,0,0,"3,689",450,110,0,275,0,"1,605",0,0,0,0,154,0,0,0,0,"13,125"
               Western Mindanao State University,"2,387","1,143",757,247,"8,051",180,0,670,"5,920","3,380",122,0,"1,857",0,"6,646",208,152,0,10,480,0,"1,059",0,0,"33,269"
               Zamboanga City State Polytechnic College,370,200,0,12,715,0,0,0,"1,565",130,110,0,26,0,650,0,0,0,0,26,0,50,0,0,"3,854"
               Zamboanga State College of Marine,,,,,,,,,,,,,,,,,,,,,,,,,
                     Sciences and Technology,"1,200",370,195,0,"1,594",0,0,0,"1,716","1,486",110,0,94,0,"2,197",193,0,0,0,307,0,175,0,0,"9,637"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,"8,689","4,349","17,367",76,"24,484",269,0,"6,321","34,705","9,670",726,0,"4,566",0,"27,268",668,303,"2,433",0,372,71,362,0,560,"143,259"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bukidnon State University,"1,082",392,"1,782",23,"3,247",0,0,24,"3,017",522,122,0,350,0,"2,441",149,196,680,0,200,0,0,0,0,"14,227"
               Camiguin Polytechnic State College,50,230,133,0,"1,443",0,0,0,"1,901",50,110,0,291,0,126,0,0,0,0,0,0,0,0,0,"4,334"
               Central Mindanao University,"2,500",800,"4,636",0,"12,394",0,0,0,"6,272",875,110,0,"2,619",0,"4,500",100,0,462,0,20,0,80,0,0,"35,368"
               Mindanao University of Science and Technology,633,782,735,0,"1,755",170,0,0,"9,000","2,606",164,0,250,0,"2,280",85,23,871,0,4,0,112,0,0,"19,470"
               MSU-Iligan Institute of Technology,"3,768","1,954","9,367",10,"4,000",5,0,"6,297","14,000","5,000",0,0,870,0,"16,260",280,10,300,0,138,21,126,0,560,"62,966"
               Misamis Oriental State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,396,107,314,0,970,44,0,0,325,562,110,0,124,0,"1,378",44,44,0,0,0,50,44,0,0,"4,512"
               Northwestern Mindanao State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,260,84,400,43,675,50,0,0,190,55,110,0,62,0,283,10,30,120,0,10,0,0,0,0,"2,382"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XI - DAVAO REGION,"2,467","2,007","1,993",0,"14,839",100,0,"2,398","8,766","2,627",492,0,625,0,"11,511",20,14,878,0,280,0,156,172,0,"49,345"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Davao del Norte State College,240,107,350,0,760,0,0,0,"1,536",165,110,0,84,0,520,0,0,501,0,0,0,70,0,0,"4,443"
               Davao Oriental State College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,625,257,500,0,926,0,0,550,930,310,110,0,180,0,"1,599",0,0,0,0,0,0,0,0,0,"5,987"
               Southern Philippines Agri-Business and,,,,,,,,,,,,,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,400,80,0,0,"1,146",40,0,0,400,532,110,0,80,0,433,0,0,0,0,34,0,0,0,0,"3,255"
               University of Southeastern Philippines,"1,202","1,563","1,143",0,"12,007",60,0,"1,848","5,900","1,620",162,0,281,0,"8,959",20,14,377,0,246,0,86,172,0,"35,660"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Region XII - MAIN SOCCSKSARGEN,"5,092","1,449","3,119",469,"15,416",0,0,"7,346","7,898","5,264",398,0,"1,057",0,"6,831",226,144,"2,234",0,333,0,448,0,0,"57,724"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cotabato City State Polytechnic College,729,535,"1,247",275,"1,382",0,0,0,348,912,110,0,486,0,"1,097",65,32,297,0,162,0,57,0,0,"7,734"
               Cotabato Foundation College of Science,,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,500,35,516,0,"6,075",0,0,0,810,222,110,0,150,0,"1,746",73,26,45,0,73,0,72,0,0,"10,453"
               Sultan Kudarat State University (Sultan,,,,,,,,,,,,,,,,,,,,,,,,,
                     Kudarat Polytechnic State College),"1,724",134,315,109,"1,667",0,0,0,"1,215","1,340",68,0,90,0,307,88,74,306,0,59,0,144,0,0,"7,640"
               University of Southern Mindanao,"2,139",745,"1,041",85,"6,292",0,0,"7,346","5,525","2,790",110,0,331,0,"3,681",0,12,"1,586",0,39,0,175,0,0,"31,897"
,,,,,,,,,,,,,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,"2,925",946,"4,167",69,"8,191",72,10,20,"3,696","2,785","1,712",0,660,0,"5,875",268,218,297,20,232,50,207,0,0,"32,420"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Agusan del Sur State College of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture and Technology,350,130,600,30,800,50,10,20,250,250,170,0,50,0,599,50,50,80,20,70,50,110,0,0,"3,739"
               Caraga State University (Northern,,,,,,,,,,,,,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology),835,311,"1,554",0,"3,098",2,0,0,860,860,"1,324",0,437,0,"2,309",98,50,137,0,13,0,97,0,0,"11,985"
               Surigao del Sur State University,,,,,,,,,,,,,,,,,,,,,,,,,
                     (Surigao del Sur Polytechnic State College),"1,330",290,"1,196",39,"3,018",0,0,0,"1,436",575,110,0,50,0,"1,575",120,88,0,0,114,0,0,0,0,"9,941"
               Surigao State College of Technology,410,215,817,0,"1,275",20,0,0,"1,150","1,100",108,0,123,0,"1,392",0,30,80,0,35,0,0,0,0,"6,755"
,,,,,,,,,,,,,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,"9,622","2,098","11,763",465,"23,546","1,532",20,"9,388","20,710","5,927","1,300",0,872,0,"9,099",55,225,"1,145",0,613,10,607,225,0,"99,222"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Adiong Memorial Polytechnic State College,551,50,215,5,"1,096",144,0,20,200,152,16,0,50,0,747,15,5,10,0,5,0,25,25,0,"3,331"
               Basilan State College,750,150,210,100,"1,011",50,0,290,"1,338",557,110,0,195,0,324,0,175,400,0,100,0,70,0,0,"5,830"
               Mindanao State University,"5,254","1,568","10,139",182,"17,674","1,038",20,"7,378","17,637","2,685",590,0,467,0,"6,801",40,45,135,0,165,10,512,0,0,"72,340"
               MSU-Tawi-Tawi College of Technology and Oceanography,"1,100",200,999,0,"1,073",300,0,"1,400",417,"2,186",364,0,100,0,"1,227",0,0,600,0,100,0,0,200,0,"10,266"
               Sulu State College,900,80,0,0,"1,128",0,0,0,602,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,930"
               Tawi-Tawi Regional Agricultural College,"1,067",50,200,178,"1,564",0,0,300,516,237,110,0,60,0,0,0,0,0,0,243,0,0,0,0,"4,525"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Energy,"95,358","11,228","15,268",668,"40,925","15,430",0,"403,500","30,286","27,263","2,718",0,"51,100",0,"317,170","18,678","36,633","18,265",0,"9,050",0,"1,575",0,0,"1,095,115"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"95,358","11,228","15,268",668,"40,925","15,430",0,"403,500","30,286","27,263","2,718",0,"51,100",0,"317,170","18,678","36,633","18,265",0,"9,050",0,"1,575",0,0,"1,095,115"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Environment and Natural Resources,"420,889","111,416","346,010","9,931","573,706","44,851",0,"10,136","157,256","122,408","6,575","15,000","33,882",0,"1,109,241","25,962","14,596","34,061",42,"4,848","798,262",840,55,14,"3,839,981"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"326,771","89,968","252,993","2,987","320,336","27,360",0,"10,000","113,161","96,822","3,331","15,000","15,620",0,"868,912","11,028","11,009","15,486",0,"3,115","668,924",744,10,0,"2,853,577"
          Environmental Management Bureau,"31,770","7,410","39,808",155,"54,752","5,529",0,0,"10,897","9,381","1,614",0,"3,836",0,"108,013","12,614","2,744","11,508",0,172,0,0,0,0,"300,203"
          Mines and Geo-Sciences Bureau,"48,200","7,610","19,928","5,992","48,300","10,314",0,136,"18,260","13,267","1,520",0,"4,092",0,"50,420","2,296",483,"5,888",42,"1,040","1,494",96,45,14,"239,437"
          National Mapping and Resource Information Authority,"4,692","5,156","31,394",612,"144,264",753,0,0,"12,443","2,235",0,0,"9,984",0,"70,232",0,310,871,0,236,"127,844",0,0,0,"411,026"
          National Water Resources Board,"2,768",924,630,20,"1,390",175,0,0,"1,773",193,110,0,350,0,"2,244",24,50,308,0,35,0,0,0,0,"10,994"
          Palawan Council for Sustainable Development Staff,"6,688",348,"1,257",165,"4,664",720,0,0,722,510,0,0,0,0,"9,420",0,0,0,0,250,0,0,0,0,"24,744"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Finance,"362,238","195,893","537,804","8,160","602,076","328,391","189,308","100,000","521,261","55,236","19,394","15,000","29,211","1,000,000","997,635","29,697","15,719","5,915","3,500","2,194",70,"4,229",0,0,"5,022,931"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"12,759","6,547","10,178","1,082","14,337","22,506",0,"100,000","34,396","3,673","4,132",500,"5,118",0,"282,259",525,"2,130",0,"3,500",351,70,"1,757",0,0,"505,820"
          Bureau of Customs,"14,053","35,627","421,315","2,261","90,504","6,623",0,0,"188,532","9,144","1,458","4,500","5,652",0,"38,286","26,910","1,500",0,0,207,0,0,0,0,"846,572"
          Bureau of Internal Revenue,"298,254","122,012","66,407","4,113","459,796","246,680","189,308",0,"224,476","15,318","4,018","10,000","7,116","1,000,000","602,057",721,"7,520",0,0,741,0,10,0,0,"3,258,547"
          Bureau of Local Government Finance,"11,699","3,870","4,907",0,"4,810","8,589",0,0,"5,945","11,727","1,830",0,"1,154",0,"8,518",0,0,0,0,0,0,0,0,0,"63,049"
          Bureau of the Treasury,"5,520","10,500","24,488",420,"10,197","18,684",0,0,"31,250","2,000","2,596",0,"3,566",0,"22,321",150,320,336,0,205,0,0,0,0,"132,553"
          Central Board of Assessment Appeals,75,105,50,0,250,150,0,0,60,150,110,0,15,0,160,0,0,0,0,30,0,0,0,0,"1,155"
          Cooperative Development Authority,"14,365","5,552","5,384",121,"8,506","9,387",0,0,"6,603","3,536","2,414",0,"2,926",0,"6,218","1,147",300,"5,066",0,206,0,117,0,0,"71,848"
          Insurance Commission,"4,000","3,700",845,0,"5,400",430,0,0,"6,000","6,300",134,0,610,0,"23,730",0,"1,850",0,0,0,0,"1,676",0,0,"54,675"
          National Tax Research Center,343,515,600,0,"1,330","4,923",0,0,"2,254",70,110,0,101,0,653,244,5,88,0,50,0,15,0,0,"11,301"
          Securities and Exchange Commission,"1,170","7,465","3,630",163,"6,946","10,419",0,0,"21,745","3,318","2,592",0,"2,953",0,"13,433",0,"2,094",425,0,404,0,654,0,0,"77,411"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Foreign Affairs,"416,920","158,686","155,074","204,832","3,032,389","998,870",0,"116,059","130,230","24,910","1,706",0,"48,775",0,"154,071","14,180","13,762","157,976",0,"15,259",0,0,0,0,"5,643,699"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"414,080","157,767","154,837","204,832","3,030,193","998,007",0,"116,059","128,098","17,138","1,030",0,"48,682",0,"150,170","12,580","13,739","157,458",0,"14,888",0,0,0,0,"5,619,558"
          Foreign Service Institute,"1,847",579,213,0,"1,439",700,0,0,"2,132","1,801",269,0,83,0,"1,689",390,18,0,0,340,0,0,0,0,"11,500"
          Technical Cooperation Council of the Philippines,63,18,0,0,80,50,0,0,0,21,0,0,0,0,"2,000",0,0,40,0,16,0,0,0,0,"2,288"
          UNESCO National Commission of the Philippines,930,322,24,0,677,113,0,0,0,"5,950",407,0,10,0,212,"1,210",5,478,0,15,0,0,0,0,"10,353"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Health,"257,188","81,121","111,874","30,110","8,145,404","27,108",0,"4,796,036","458,279","429,325","5,143",0,"58,938",0,"902,679","115,114","194,822","59,105","1,000","4,038",330,432,"11,727",0,"15,689,773"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"242,470","72,838","108,298","19,321","8,124,422","23,587",0,"4,652,283","447,625","358,933","4,941",0,"57,301",0,"852,984","33,380","162,748","53,770","1,000","3,719",330,432,"1,165",0,"15,221,547"
          Commission on Population,"2,127","2,708","1,000",544,"5,667","2,459",0,"143,753","5,740","8,810",80,0,935,0,"10,818","2,131","6,074",0,0,295,0,0,0,0,"193,141"
          National Nutrition Council,"12,591","5,575","2,576","10,245","15,315","1,062",0,0,"4,914","61,582",122,0,702,0,"38,877","79,603","26,000","5,335",0,24,0,0,"10,562",0,"275,085"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of the Interior and Local Government,"281,510","220,168","960,754","25,294","5,335,292","384,980",0,"500,060","916,379","496,893","7,874","270,029","204,491",0,"232,069","129,525","9,118","9,611",212,"23,615","1,341",257,"12,538",0,"10,022,010"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"56,233","25,753","26,838","1,563","47,452","66,833",0,"500,000","34,302","46,208","4,472",0,"8,408",0,"33,823","1,738",554,"1,610",0,579,0,20,0,0,"856,386"
          Bureau of Fire Protection,"16,997","17,590","214,230","2,252","495,202","32,620",0,0,"50,108","15,000",0,0,"27,050",0,"3,767","33,421","3,800",0,212,255,0,0,"2,518",0,"915,022"
          Bureau of Jail Management and Penology,"18,200","9,578","58,275","3,200","1,505,788","20,913",0,60,"103,500","10,000",0,0,"68,587",0,"22,335","7,333",540,0,0,0,"1,035",0,"2,500",0,"1,831,844"
          Local Government Academy,"1,409","1,980","3,606",93,"4,660","6,433",0,0,"2,628","60,085",110,0,170,0,"7,739",874,0,0,0,30,0,2,0,0,"89,819"
          National Police Commission,"11,109","8,808","5,675",487,"23,581","28,109",0,0,"13,292","3,075","2,518",0,"1,366",0,"19,312",330,227,0,0,175,0,0,0,0,"118,064"
          Philippine National Police,"125,139","150,171","594,898","17,341","3,128,180","205,978",0,0,"674,691","235,325",110,"270,029","98,348",0,"111,213","76,798","3,817",0,0,"21,816",0,0,"7,520",0,"5,721,374"
          Philippine Public Safety College,"52,423","6,288","57,232",358,"130,429","24,094",0,0,"37,858","127,200",664,0,562,0,"33,880","9,031",180,"8,001",0,760,306,235,0,0,"489,501"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Justice,"134,982","76,069","98,011","8,051","1,184,308","151,696",0,"1,706","199,210","44,668","23,293","166,408","14,459",0,"181,973","7,314","7,816","21,596",0,"7,099",450,"2,349","19,000","2,909","2,353,367"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"19,185","18,942","10,258","1,259","38,217","1,476",0,0,"18,350","24,082","4,961","132,408","3,061",0,"57,726",766,"1,182","11,700",0,"1,045",400,"1,034","19,000","2,600","367,652"
          Bureau of Corrections,"48,623","2,020","48,162",0,"864,538",0,0,"1,500","66,176","2,312",306,0,275,0,"3,000","1,600",720,"3,100",0,"1,000",0,500,0,0,"1,043,832"
          Bureau of Immigration,"10,117","9,774","9,627",0,"38,472","8,362",0,0,"21,674","5,015",298,"8,000","1,335",0,"17,111","2,229","3,957",317,0,430,0,0,0,0,"136,718"
          Land Registration Authority,"5,500","4,000","2,500","4,800","124,814","7,900",0,0,"20,600",150,"2,056",0,"5,500",0,"37,500",30,650,"3,020",0,250,0,0,0,0,"219,270"
          National Bureau of Investigation,"31,121","12,012","14,461","1,442","56,062","74,976",0,206,"38,933",361,"1,500","18,000","1,401",0,"16,491",912,720,0,0,"1,124",0,515,0,309,"270,546"
          Office of the Government Corporate Counsel,150,442,110,0,"1,223","4,497",0,0,"2,258",140,"1,504",0,209,0,0,25,20,0,0,100,0,0,0,0,"10,678"
          Office of the Solicitor General,"2,025","15,045","6,200",0,"9,024","42,693",0,0,"15,000","1,025","5,592",0,"1,000",0,"8,075",300,375,250,0,"1,800",0,0,0,0,"108,404"
          Parole and Probation Administration,"13,261","5,315","3,693",0,"11,958","3,313",0,0,"6,401","7,033","1,520",0,528,0,"11,329","1,102",27,"1,051",0,50,0,0,0,0,"66,581"
          Presidential Commission on Good Government,"1,500","3,500","1,500",50,"4,000",600,0,0,"3,500",150,"1,160","5,000",500,0,"22,470",50,65,500,0,400,50,0,0,0,"44,995"
          Public Attorney's Office,"3,500","5,019","1,500",500,"36,000","7,879",0,0,"6,318","4,400","4,396","3,000",650,0,"8,271",300,100,"1,658",0,900,0,300,0,0,"84,691"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Labor and Employment,"177,434","102,719","80,978","28,417","267,433","202,610",0,"490,306","174,250","1,157,524","17,253",0,"20,436",0,"464,702","24,549","13,712","68,442",0,"4,417",0,"1,679",0,"2,213","3,299,074"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"100,514","44,316","17,715","23,380","61,869","121,734",0,"458,131","34,543","51,357","3,888",0,"6,389",0,"182,593","13,079","3,662","50,037",0,"1,738",0,0,0,0,"1,174,945"
          Institute for Labor Studies,600,670,259,0,"1,221",250,0,0,"1,010",260,110,0,100,0,"2,210",0,0,0,0,0,0,0,0,0,"6,690"
          National Conciliation and Mediation Board,"4,660","3,638","2,274",0,"4,819","10,077",0,0,"3,975","2,137",122,0,900,0,"15,620",546,290,"2,062",0,219,0,0,0,0,"51,339"
          National Labor Relations Commission,"6,217","12,758","1,500",706,"10,494","32,927",0,0,"13,585","4,881","5,970",0,746,0,"15,174","1,140",800,100,0,50,0,0,0,0,"107,048"
          National Maritime Polytechnic,"1,769",702,"2,768",154,"4,082",943,0,57,"3,191",485,82,0,"1,389",0,"9,551",624,160,"1,200",0,201,0,60,0,0,"27,418"
          National Wages and Productivity Commission,"3,285","2,451","1,201",25,"6,308","11,389",0,0,"1,797",603,588,0,400,0,"8,446",520,"1,500","3,665",0,200,0,50,0,0,"42,428"
          Philippine Overseas Employment Administration,"8,550","10,251","9,338","1,731","20,550","6,721",0,0,"21,623","1,112","2,514",0,"2,790",0,"34,436",767,525,"6,324",0,217,0,0,0,0,"127,449"
          Professional Regulation Commission,"17,423","6,745",816,0,"72,815","11,853",0,0,"15,240","3,070","1,888",0,"1,500",0,"102,843",0,"3,400",700,0,215,0,0,0,0,"238,508"
          Technical Education and Skills Development Authority,"34,416","21,188","45,107","2,421","85,275","6,716",0,"32,118","79,286","1,093,619","2,091",0,"6,222",0,"93,829","7,873","3,375","4,354",0,"1,577",0,"1,569",0,"2,213","1,523,249"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of National Defense,"514,397","203,448","4,030,514","135,455","8,783,883","66,133",13,"142,840","1,511,289","389,363","41,561","157,397","152,180",0,"466,831","14,227","4,385","448,415",50,"14,233","5,473",416,929,150,"17,083,582"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          DND Proper (Office of the Secretary),"30,000","10,000","24,900",0,"40,957","5,200",0,500,"28,800","16,000","2,170","33,000","2,300",0,"11,470","1,000",500,"15,000",0,"1,700",0,0,0,0,"223,497"
          Government Arsenal,"2,271",461,"6,842",787,"244,229",0,0,0,"12,128","3,292",110,0,"1,924",0,52,57,90,440,0,163,0,0,0,0,"272,846"
          National Defense College of the Philippines,"6,472","1,212","1,000",0,"9,783","2,000",0,0,207,369,80,0,441,0,"6,277",590,0,187,0,"1,174",0,0,0,0,"29,792"
          Office of Civil Defense,"1,497","9,868","1,279",50,"5,484","1,317",0,20,765,563,110,0,"2,019",0,"3,494",150,150,364,0,289,0,0,76,0,"27,495"
          Philippine Veterans Affairs Office,"2,674","18,797","12,626",74,"308,120","5,636",0,"141,590","80,728","2,875",488,0,"1,234",0,"53,819","1,140",545,"3,271",0,143,0,0,0,0,"633,760"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Veterans Affairs Office (Proper),"2,628","17,797","9,266",74,"26,441","5,636",0,"141,590","12,428","2,702",390,0,502,0,"37,651","1,140",545,"3,271",0,110,0,0,0,0,"262,171"
               Veterans Memorial Medical Center,46,"1,000","3,360",0,"281,679",0,0,0,"68,300",173,98,0,732,0,"16,168",0,0,0,0,33,0,0,0,0,"371,589"
,,,,,,,,,,,,,,,,,,,,,,,,,
          Armed Forces of the Philippines,"471,483","163,110","3,983,867","134,544","8,175,310","51,980",13,730,"1,388,661","366,264","38,603","124,397","144,262",0,"391,719","11,290","3,100","429,153",50,"10,764","5,473",416,853,150,"15,896,192"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Philippine Army (Land Forces),"81,625","32,464","891,270","60,365","3,342,722","2,455",0,0,"317,880","182,428",0,"24,000","80,817",0,"14,073","1,334",140,"92,125",0,"1,263","5,180",0,313,0,"5,130,454"
               Philippine Air Force (Air Force),"234,358","31,323","2,075,745","23,480","1,120,422","17,769",0,600,"292,353","55,442","10,544","12,000","18,434",0,"10,714","2,958","2,456","125,574",50,"3,437",293,140,0,150,"4,038,242"
               Philippine Navy (Naval Forces),"25,384","17,000","756,229","50,159","2,306,601","3,436",0,0,"299,966","25,704","6,268","24,749","17,440",0,"135,970",0,0,"1,000",0,"2,000",0,0,353,0,"3,672,259"
"               General Headquarters, AFP and AFP Wide",,,,,,,,,,,,,,,,,,,,,,,,,
                     Service Support Units (AFPWSSUS),"130,116","82,323","260,623",540,"1,405,565","28,320",13,130,"478,462","102,690","21,791","63,648","27,571",0,"230,962","6,998",504,"210,454",0,"4,064",0,276,187,0,"3,055,237"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Public Works and Highways,"52,947","8,540","15,300,476","26,860","57,612","9,262",0,"1,275","7,955","4,108",122,0,"86,137",0,"126,028","1,031","1,384","1,482","26,180",84,"47,082",0,0,0,"15,758,565"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"52,947","8,540","15,300,476","26,860","57,612","9,262",0,"1,275","7,955","4,108",122,0,"86,137",0,"126,028","1,031","1,384","1,482","26,180",84,"47,082",0,0,0,"15,758,565"
,,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Science and Technology,"143,115","116,025","180,846","8,315","369,094","23,486",2,"2,058,629","249,877","595,046","8,611",0,"257,997",0,"216,517","16,212","2,647","16,672",100,"4,723","1,074","1,896",240,140,"4,271,264"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"40,699","12,271","31,842",80,"56,189","4,196",0,"1,691,057","54,539","3,338","2,590",0,"4,154",0,"39,945",826,532,"2,384",0,413,0,510,0,0,"1,945,565"
          Advanced Science and Technology Institute,306,"13,894",392,6,550,13,0,0,"6,380",190,110,0,203,0,"1,207",197,0,72,0,29,0,0,0,0,"23,549"
          Food and Nutrition Research Institute,"30,595",566,450,"2,250","6,439",0,0,0,"7,650","1,290",110,0,840,0,"14,603","1,050",0,275,0,50,0,0,0,0,"66,168"
          Forest Products Research and Development Institute,"3,100","1,777","1,050",60,"4,204",0,0,0,"4,100",763,98,0,432,0,"2,361",350,60,0,0,235,0,100,0,0,"18,690"
          Industrial Technology Development Institute,738,367,"3,799",150,"10,896",94,0,0,"15,243",500,110,0,"1,166",0,"7,530",150,50,120,0,275,0,400,0,0,"41,588"
