region,higher_education_institution,number_of_faculty,number_of_students,faculty_student_ratio
IV-A (CALABARZON),AMA Computer College-Dasmarinas,753,32,1 is to 24
IV-A (CALABARZON),AMA Computer College-Batangas City,553,22,1 is to 25
IV-A (CALABARZON),Professional Montessori College,153,5,1 is to 31
IV-A (CALABARZON),Yaman Lahi Foundation-Emilio Aguinaldo College,1711,109,1 is to 16
IV-A (CALABARZON),Alitagtag College,83,10,1 is to 8
IV-A (CALABARZON),AMA Computer College-Lipa,481,19,1 is to 25
IV-A (CALABARZON),National College of Science and Technology,4624,140,1 is to 33
IV-A (CALABARZON),Rogationist College,670,51,1 is to 13
IV-A (CALABARZON),Saint John Colleges,530,34,1 is to 16
IV-A (CALABARZON),AMA Computer College-Calamba,763,36,1 is to 21
IV-A (CALABARZON),AMA Computer College-Lucena,400,29,1 is to 14
IV-A (CALABARZON),Cavite West Point College,1298,24,1 is to 54
IV-A (CALABARZON),Our Lady of Assumption College System,114,8,1 is to 14
IV-A (CALABARZON),Southern Philippines Institute of Science and Technology,142,24,1 is to 6
IV-A (CALABARZON),St. Matthew College,99,11,1 is to 9
IV-A (CALABARZON),World Citi Colleges-Quezon City,1079,57,1 is to 19
IV-A (CALABARZON),ABE International College of Business and Economics-Cainta,593,28,1 is to 21
IV-A (CALABARZON),First Asia Institute of Technology and Humanities,2393,137,1 is to 17
IV-A (CALABARZON),Holy Child Jesus College,330,30,1 is to 11
IV-A (CALABARZON),Lyceum of the Philippines-Laguna,2625,109,1 is to 24
IV-A (CALABARZON),St. Jude College,166,21,1 is to 8
IV-A (CALABARZON),Saint Francis Institute of Computer Studies,198,17,1 is to 12
IV-A (CALABARZON),Lyceum of the Philippines-St. Cabrini College of Allied Medicine,269,14,1 is to 19
IV-A (CALABARZON),Baptist Bible Seminary and Institute,598,16,1 is to 37
IV-A (CALABARZON),Baptist Voice Bible College,53,9,1 is to 6
IV-A (CALABARZON),"Philippine Cambridge School of Law, Arts, Sciences, Business Economics and Technology",279,33,1 is to 8
IV-A (CALABARZON),Calamba Doctors' College,378,43,1 is to 9
IV-A (CALABARZON),LNC Corinthian Center,64,32,1 is to 2
IV-A (CALABARZON),STI College-Rosario,409,42,1 is to 10
IV-A (CALABARZON),Unida Christian College,115,19,1 is to 6
IV-A (CALABARZON),Columbus College,35,18,1 is to 2
IV-A (CALABARZON),Casa Del Nino College,64,12,1 is to 5
IV-A (CALABARZON),Mabini College of Batangas,127,9,1 is to 14
IV-A (CALABARZON),STI College-Balayan,689,34,1 is to 20
IV-A (CALABARZON),STI College-Sta. Rosa,1627,87,1 is to 19
IV-A (CALABARZON),La Consolacion College-Tanauan,371,43,1 is to 9
IV-A (CALABARZON),AMA School of Medicine-East Rizal,285,22,1 is to 13
IV-A (CALABARZON),DMMC Institute of Health Sciences,134,36,1 is to 4
IV-A (CALABARZON),Saint Francis of Assisi College-Cavite,161,16,1 is to 10
IV-A (CALABARZON),Olivarez College-Tagaytay,558,47,1 is to 12
IV-A (CALABARZON),St. Dominic College of Arts and Sciences of Cavite,1885,101,1 is to 19
IV-A (CALABARZON),Power School of Technology,35,15,1 is to 2
IV-A (CALABARZON),De La Salle Leandro V. Locsin Campus-Canlubang,534,59,1 is to 9
IV-A (CALABARZON),Philippine Women's University Career Development and Continuing Education Center-Calamba City,742,30,1 is to 25
IV-A (CALABARZON),Christian College of Tanauan,397,30,1 is to 13
IV-A (CALABARZON),Our Lady of the Most Holy Rosary Seminary,59,15,1 is to 4
IV-A (CALABARZON),Batangas Eastern College,438,34,1 is to 13
IV-A (CALABARZON),Ebenezer International Colleges,49,15,1 is to 3
IV-A (CALABARZON),"Southdale International School of Science, Arts and Techology",385,25,1 is to 15
IV-A (CALABARZON),ISHRM School System,1096,27,1 is to 41
IV-A (CALABARZON),STI College-Dasmarinas,1421,38,1 is to 37
IV-A (CALABARZON),Quezon Center for Research and Studies,124,17,1 is to 7
IV-A (CALABARZON),St. Francis de Sales Theological Seminary,12,10,1 is to 1
IV-A (CALABARZON),Informatics International College-Rizal,395,20,1 is to 20
IV-A (CALABARZON),PNTC Colleges,4751,45,1 is to 106
IV-A (CALABARZON),International Peace Leadership College,238,36,1 is to 7
IV-A (CALABARZON),STI College-Tanauan,329,22,1 is to 15
IV-A (CALABARZON),Philippine Women's University CDCEC-Sta. Cruz,929,37,1 is to 25
IV-A (CALABARZON),Manuel S. Enverga University Foundation-San Antonio,119,21,1 is to 6
IV-A (CALABARZON),All Nations College,87,14,1 is to 6
IV-A (CALABARZON),International Christian College of Manila,99,17,1 is to 6
IV-A (CALABARZON),International Evangelical Holiness College,245,36,1 is to 7
IV-A (CALABARZON),Montessori Professional College-Imus,287,10,1 is to 29
IV-A (CALABARZON),Teodoro M. Luansing College of Rosario,430,31,1 is to 14
IV-A (CALABARZON),St. Constantine Institute of Science and Technology,47,11,1 is to 4
IV-A (CALABARZON),St. Joseph College Amaya,78,15,1 is to 5
IV-A (CALABARZON),Our Lady of Assumption College-Cabuyao,19,ND,ND
IV-A (CALABARZON),Skill Power Institute,260,29,1 is to 9
IV-A (CALABARZON),Oxfordian Colleges,149,15,1 is to 10
IV-A (CALABARZON),CVE Colleges,20,15,1 is to 1
IV-A (CALABARZON),San Sebastian College Recoletos-Canlubang,363,31,1 is to 12
IV-A (CALABARZON),Westmead International School,1281,96,1 is to 13
IV-A (CALABARZON),Agoncillo College,136,24,1 is to 6
IV-A (CALABARZON),Colegio de Amore,224,21,1 is to 11
IV-A (CALABARZON),Far Eastern Polytechnic College,141,7,1 is to 20
IV-A (CALABARZON),Immanuel College of Theology,25,11,1 is to 2
IV-A (CALABARZON),Batangas College of Arts and Sciences,139,25,1 is to 6
IV-A (CALABARZON),Malayan Colleges of Laguna,3783,104,1 is to 36
IV-A (CALABARZON),NYK-TDG Maritime Academy,464,18,1 is to 26
IV-A (CALABARZON),Sumulong College of Arts and Sciences,166,30,1 is to 6
IV-A (CALABARZON),Saint Vincent College of Cabuyao,236,20,1 is to 12
IV-A (CALABARZON),Our Lady of Fatima University-Antipolo,6798,215,1 is to 32
IV-A (CALABARZON),STI College-Tanay,422,44,1 is to 10
IV-A (CALABARZON),Lyceum of the Philippines-Cavite,7540,223,1 is to 34
IV-A (CALABARZON),Asian Institute of Technology and Education Tiaong Campus,216,22,1 is to 10
IV-A (CALABARZON),Philippine Best Training Systems Colleges,268,ND,ND
IV-A (CALABARZON),St. Joseph's College of Rodriguez,39,ND,ND
IV-A (CALABARZON),College of San Benildo-Rizal,111,8,1 is to 14
IV-A (CALABARZON),STI College-Tagaytay,98,14,1 is to 7
IV-A (CALABARZON),ISHRM School System-Dasmarinas,54,5,1 is to 11
IV-A (CALABARZON),Laguna Northwestern College SLRMC,23,ND,ND
IV-A (CALABARZON),Far Eastern College-Silang,455,32,1 is to 14
IV-A (CALABARZON),Abe International Business College-Quezon Province,223,17,1 is to 13
IV-A (CALABARZON),Asia Pacific Christian College and Seminary,68,18,1 is to 4
IV-A (CALABARZON),Asia Technological School of Science and Arts,377,39,1 is to 10
IV-A (CALABARZON),CSTC Computer Systems Technology College,373,21,1 is to 18
IV-A (CALABARZON),Evangelical Theological College of the Philippines-Luzon,46,12,1 is to 4
IV-A (CALABARZON),Guinayangan College Foundation,115,13,1 is to 9
IV-A (CALABARZON),Jesus Reigns Christian College,73,ND,ND
IV-A (CALABARZON),Mary Help of Christians College-Salesian Sisters,42,9,1 is to 5
IV-A (CALABARZON),The Bearer of Light and Wisdom Colleges,65,18,1 is to 4
IV-A (CALABARZON),University of Batangas-Lipa,747,ND,ND
IV-A (CALABARZON),Young Ji College,5,13,1 is to 0
V (Bicol Region),Aemilianum College,401,42,1 is to 10
V (Bicol Region),Ago Medical and Educational Center,642,17,1 is to 38
V (Bicol Region),Bicol Christian College of Medicine,ND,16,ND
V (Bicol Region),De Vera Institute of Technology,24,12,1 is to 2
V (Bicol Region),Annunciation College of Bacon Sorsogon Unit,183,25,1 is to 7
V (Bicol Region),Aquinas University of Legazpi,2992,191,1 is to 16
V (Bicol Region),Ateneo De Naga University,6994,375,1 is to 19
V (Bicol Region),Bicol College,2158,123,1 is to 18
V (Bicol Region),Bicol Merchant Marine College,1015,22,1 is to 46
V (Bicol Region),Camarines Norte College,354,20,1 is to 18
V (Bicol Region),Catanduanes Colleges,1688,60,1 is to 28
V (Bicol Region),Ceguera Technological College,354,39,1 is to 9
V (Bicol Region),Saint Louise De Marillac College of Sorsogon,655,42,1 is to 16
V (Bicol Region),Universidad de Sta. Isabel,2862,4,1 is to 716
V (Bicol Region),Computer Arts and Technological College,407,36,1 is to 11
V (Bicol Region),Computer Communication Development Institute-Naga,208,20,1 is to 10
V (Bicol Region),Computer Communication Development Institute-Goa,96,17,1 is to 6
V (Bicol Region),Computer Communication Development Institute-Iriga City,82,15,1 is to 5
V (Bicol Region),Daniel B. Pena Memorial College Foundation,1205,50,1 is to 24
V (Bicol Region),Divine Word College of Legazpi,2997,141,1 is to 21
V (Bicol Region),Felix O. Alfelor  Sr. Foundation College,182,15,1 is to 12
V (Bicol Region),Alfelor Sr. Memorial College,432,30,1 is to 14
V (Bicol Region),Fatima School of Science and Technology,25,6,1 is to 4
V (Bicol Region),Holy Rosary Major Seminary,85,21,1 is to 4
V (Bicol Region),Holy Trinity College,406,27,1 is to 15
V (Bicol Region),Immaculate Conception College-Albay,140,35,1 is to 4
V (Bicol Region),La Consolacion College-Iriga City,290,25,1 is to 12
V (Bicol Region),La Consolacion College-Daet,285,32,1 is to 9
V (Bicol Region),Liceo De Masbate,470,45,1 is to 10
V (Bicol Region),Liceo de San Jacinto Foundation,530,25,1 is to 21
V (Bicol Region),Mabini Colleges,2450,77,1 is to 32
V (Bicol Region),Mariners' Polytechnic Colleges Foundation-Baras,2063,75,1 is to 28
V (Bicol Region),Mariners' Polytechnic Colleges Foundation-Panganiban,1133,46,1 is to 25
V (Bicol Region),Mariners' Polytechnic Colleges Foundation-Legazpi,3041,85,1 is to 36
V (Bicol Region),Masbate College,1919,72,1 is to 27
V (Bicol Region),Mater Salutis College Seminary,52,17,1 is to 3
V (Bicol Region),Naga College Foundation,2170,147,1 is to 15
V (Bicol Region),Osmena College,2923,83,1 is to 35
V (Bicol Region),Our Lady of Lourdes College Foundation,1274,85,1 is to 15
V (Bicol Region),Our Lady of Penafrancia Seminary,35,11,1 is to 3
V (Bicol Region),Ovilla Technical College,29,13,1 is to 2
V (Bicol Region),Partido College,1422,51,1 is to 28
V (Bicol Region),Perpetual Help Paramedical School,184,18,1 is to 10
V (Bicol Region),Pili Capital College,137,18,1 is to 8
V (Bicol Region),Polytechnic Institute of Tabaco,1086,51,1 is to 21
V (Bicol Region),Naga View Adventist College,205,29,1 is to 7
V (Bicol Region),R.G. De Castro Colleges,914,37,1 is to 25
V (Bicol Region),Republic Colleges of Guinobatan,470,25,1 is to 19
V (Bicol Region),Southern Bicol Colleges,320,52,1 is to 6
V (Bicol Region),Southern Luzon Institute,97,10,1 is to 10
V (Bicol Region),Southern Masbate Roosevelt College,404,22,1 is to 18
V (Bicol Region),Tabaco College,520,1,1 is to 520
V (Bicol Region),Tanchuling College,129,22,1 is to 6
V (Bicol Region),University of Northeastern Philippines,1881,144,1 is to 13
V (Bicol Region),University of Nueva Caceres,4295,164,1 is to 26
V (Bicol Region),University of Saint Anthony,2542,132,1 is to 19
V (Bicol Region),Veritas College of Irosin,939,44,1 is to 21
V (Bicol Region),Worldtech Resources Foundation-Naga City,101,16,1 is to 6
V (Bicol Region),Worldtech Resources Foundation-Iriga City,140,16,1 is to 9
V (Bicol Region),STI College-Legazpi,307,29,1 is to 11
V (Bicol Region),Holy Family Center of Studies Foundation,30,17,1 is to 2
V (Bicol Region),Holy Rosary Minor Seminary,104,22,1 is to 5
V (Bicol Region),Lower Isarog Foundation Exponent,135,9,1 is to 15
V (Bicol Region),Speed Computer College,292,21,1 is to 14
V (Bicol Region),Zamora Memorial College,398,27,1 is to 15
V (Bicol Region),Colegio De Sta. Monica of Polangui,70,14,1 is to 5
V (Bicol Region),Computer Communication Development Institute-Legazpi City,321,19,1 is to 17
V (Bicol Region),Sorsogon College of Criminology,429,19,1 is to 23
V (Bicol Region),St. Peter Baptist College Foundation,48,12,1 is to 4
V (Bicol Region),MABA Computer Oriented High School and College Laboratory and Tutorial Center Foundation,78,12,1 is to 7
V (Bicol Region),AMA Computer College-Legazpi City,384,24,1 is to 16
V (Bicol Region),Dr. Carlos S. Lanting College-Dr. Ruby Lanting Casaul Educational Foundation,251,22,1 is to 11
V (Bicol Region),Programming Language Technique College,377,23,1 is to 16
V (Bicol Region),Holy Trinity College Seminary,51,18,1 is to 3
V (Bicol Region),AMA Computer College-Naga City,330,13,1 is to 25
V (Bicol Region),Catanduanes Institute of Technology Foundation,17,17,1 is to 1
V (Bicol Region),"Camarines Norte School of Laws, Arts and Sciences",544,32,1 is to 17
V (Bicol Region),Solis Institute of Technology,326,20,1 is to 16
V (Bicol Region),The Lewis College,648,24,1 is to 27
V (Bicol Region),West Coast College,241,18,1 is to 13
V (Bicol Region),Sta. Elena College-Camarines Norte,101,17,1 is to 6
V (Bicol Region),Brentwood College of Asia International School,93,14,1 is to 7
V (Bicol Region),Capalonga College,171,18,1 is to 10
V (Bicol Region),Southern Luzon Technological College Foundation-Legazpi,1287,32,1 is to 40
V (Bicol Region),Our Lady of Salvation College,238,17,1 is to 14
V (Bicol Region),Aeronautical Academy of the Philippines,168,14,1 is to 12
V (Bicol Region),Computer Communication Development Institute-Sorsogon,322,20,1 is to 16
V (Bicol Region),Amando Cope College,270,26,1 is to 10
V (Bicol Region),Luis H. Dilanco Sr. Foundation College,39,10,1 is to 4
V (Bicol Region),Regina Mondi College,46,15,1 is to 3
V (Bicol Region),Siena College Tigaon,92,20,1 is to 5
V (Bicol Region),Belen B. Francisco Foundation,24,20,1 is to 1
V (Bicol Region),Estenias Science Foundation School,21,11,1 is to 2
V (Bicol Region),Our Lady of the Most Holy Trinity College Seminary,49,12,1 is to 4
V (Bicol Region),Philippine Computer Foundation College-Naga City,107,11,1 is to 10
V (Bicol Region),Christian Polytechnic Institute of Catanduanes,313,10,1 is to 31
V (Bicol Region),Forbes Colleges,832,25,1 is to 33
V (Bicol Region),Jesus the Loving Shepherd Christian College,96,20,1 is to 5
V (Bicol Region),ACLC College of Daet,378,14,1 is to 27
V (Bicol Region),ACLC College of Sorsogon,444,12,1 is to 37
V (Bicol Region),Infotech Development Systems Colleges,159,14,1 is to 11
V (Bicol Region),Southern Luzon Technological College Foundation-Pilar,79,7,1 is to 11
V (Bicol Region),Southern Luzon Technological College Foundation-Pioduran,62,14,1 is to 4
V (Bicol Region),Philippine Computer Foundation College-Pili,46,3,1 is to 15
V (Bicol Region),Belen B. Francisco Foundation-Albay,16,4,1 is to 4
VI (Western Visayas),Aklan Catholic College,1446,100,1 is to 14
VI (Western Visayas),Aklan Polytechnic College,2114,65,1 is to 33
VI (Western Visayas),ACSI College Iloilo,475,11,1 is to 43
VI (Western Visayas),Binalbagan Catholic College,1589,59,1 is to 27
VI (Western Visayas),Cabalum Western College,282,19,1 is to 15
VI (Western Visayas),Cabarrus Catholic College,336,25,1 is to 13
VI (Western Visayas),Central Negros College,587,19,1 is to 31
VI (Western Visayas),Central Philippine Adventist College,954,75,1 is to 13
VI (Western Visayas),Central Philippine University,10442,624,1 is to 17
VI (Western Visayas),Colegio de la Purisima Concepcion ,4764,186,1 is to 26
VI (Western Visayas),Colegio San Agustin-Bacolod,2630,170,1 is to 15
VI (Western Visayas),Colegio de San Jose-Jaro,314,29,1 is to 11
VI (Western Visayas),Colegio De Sta. Rita,643,58,1 is to 11
VI (Western Visayas),Colegio del Sagrado Corazon de Jesus,692,33,1 is to 21
VI (Western Visayas),Fellowship Baptist College,882,74,1 is to 12
VI (Western Visayas),Filamer Christian University,3116,153,1 is to 20
VI (Western Visayas),Fortress College,46,16,1 is to 3
VI (Western Visayas),Garcia College of Technology,2645,57,1 is to 46
VI (Western Visayas),Iloilo Doctors' College,3026,241,1 is to 13
VI (Western Visayas),Iloilo Doctors' College of Medicine,187,88,1 is to 2
VI (Western Visayas),John B. Lacson Colleges Foundation-Bacolod,3863,140,1 is to 28
VI (Western Visayas),John B. Lacson Foundation Maritime University-Molo,5150,145,1 is to 36
VI (Western Visayas),John B. Lacson Foundation Maritime University-Arevalo,4332,106,1 is to 41
VI (Western Visayas),Kabankalan Catholic College,827,46,1 is to 18
VI (Western Visayas),La Consolacion College-Bacolod,3015,160,1 is to 19
VI (Western Visayas),La Consolacion College-Isabela,242,36,1 is to 7
VI (Western Visayas),Mount Carmel College,605,38,1 is to 16
VI (Western Visayas),St. Therese MTC Colleges-Tigbauan,3158,46,1 is to 69
VI (Western Visayas),North Negros College,561,21,1 is to 27
VI (Western Visayas),Northwestern Visayan Colleges,2570,90,1 is to 29
VI (Western Visayas),Panay Technological College,54,16,1 is to 3
VI (Western Visayas),Riverside College,1832,133,1 is to 14
VI (Western Visayas),St. Anthony College of Roxas City,195,43,1 is to 5
VI (Western Visayas),Saint Anthony's College-Antique,1698,114,1 is to 15
VI (Western Visayas),Saint Gabriel College,283,45,1 is to 6
VI (Western Visayas),St. Paul University of Iloilo,1581,128,1 is to 12
VI (Western Visayas),St. Vincent Ferrer Seminary,46,21,1 is to 2
VI (Western Visayas),Sancta Maria Mater et Regina Seminarium,64,20,1 is to 3
VI (Western Visayas),Silay Institute,292,29,1 is to 10
VI (Western Visayas),Southern Negros College,147,14,1 is to 11
VI (Western Visayas),Santo Nino Seminary,35,19,1 is to 2
VI (Western Visayas),University of Iloilo,5088,211,1 is to 24
VI (Western Visayas),University of Negros Occidental-Recoletos,5409,280,1 is to 19
VI (Western Visayas),University of Saint La Salle,9357,517,1 is to 18
VI (Western Visayas),University of San Agustin,9320,469,1 is to 20
VI (Western Visayas),VMA Global College,2376,92,1 is to 26
VI (Western Visayas),West Negros University,2875,185,1 is to 16
VI (Western Visayas),Western Institute of Technology,5603,186,1 is to 30
VI (Western Visayas),STI College-Iloilo,224,10,1 is to 22
VI (Western Visayas),Pandan Bay Institute,133,15,1 is to 9
VI (Western Visayas),STI College-Bacolod,296,9,1 is to 33
VI (Western Visayas),Tanon College,411,20,1 is to 21
VI (Western Visayas),AMA Computer College-Bacolod,244,14,1 is to 17
VI (Western Visayas),AMA Computer College-Iloilo,206,13,1 is to 16
VI (Western Visayas),Interface Computer College-Iloilo,614,25,1 is to 25
VI (Western Visayas),College of St. John-Roxas,205,37,1 is to 6
VI (Western Visayas),Mater Dei College-Silay City,49,27,1 is to 2
VI (Western Visayas),St. Anne College of Iloilo,116,11,1 is to 11
VI (Western Visayas),St. Therese MTC Colleges-La Fiesta,1497,58,1 is to 26
VI (Western Visayas),ABE International College of Business and Economics-Bacolod,700,19,1 is to 37
VI (Western Visayas),Dominican College of Iloilo,134,20,1 is to 7
VI (Western Visayas),Integrated Midwives Association of the Philippines Foundation School of Midwifery,51,8,1 is to 6
VI (Western Visayas),St. Therese MTC Colleges-Magdalo,1686,54,1 is to 31
VI (Western Visayas),ABE International College of Business and Economics-Iloilo,1426,34,1 is to 42
VI (Western Visayas),Capiz State University-Dumarao Campus,762,ND,ND
VI (Western Visayas),STI College-Kalibo,477,31,1 is to 15
VI (Western Visayas),Convention Baptist Bible College,136,20,1 is to 7
VI (Western Visayas),Hercor College,3978,56,1 is to 71
VI (Western Visayas),Sacred Heart Seminary School-Bacolod,62,24,1 is to 3
VI (Western Visayas),St. John Mary Vianney Seminary,52,21,1 is to 2
VI (Western Visayas),Great Saviour College,130,21,1 is to 6
VI (Western Visayas),St. Vincent College of Science and Technology,579,14,1 is to 41
VI (Western Visayas),Southland College,505,18,1 is to 28
VI (Western Visayas),CEDAR College,120,12,1 is to 10
VI (Western Visayas),Advance Central College,293,23,1 is to 13
VI (Western Visayas),GSEF College,83,10,1 is to 8
VI (Western Visayas),ACLC College of Iloilo,204,12,1 is to 17
VI (Western Visayas),Colegio de Sta. Ana de Victorias,361,15,1 is to 24
VII (Central Visayas),AMA Computer College-Cebu City,283,13,1 is to 22
VII (Central Visayas),Asian College of Technology,6567,140,1 is to 47
VII (Central Visayas),BIT International College-Siquijor,47,11,1 is to 4
VII (Central Visayas),Baptist Theological College,131,24,1 is to 5
VII (Central Visayas),Blessed Trinity College,165,30,1 is to 6
VII (Central Visayas),BIT International College-Tagbilaran,1638,79,1 is to 21
VII (Central Visayas),Bohol Institute of Technology-Jagna,255,14,1 is to 18
VII (Central Visayas),Bohol Institute of Technology-Talibon,203,14,1 is to 15
VII (Central Visayas),Cebu Aeronautical Technical School,562,20,1 is to 28
VII (Central Visayas),Cebu Doctor's University,4777,270,1 is to 18
VII (Central Visayas),Cebu Doctor's University College of Medicine,515,194,1 is to 3
VII (Central Visayas),Cebu Eastern College,445,15,1 is to 30
VII (Central Visayas),Cebu Institute of Medicine,630,127,1 is to 5
VII (Central Visayas),Cebu Institute of Technology-University,10405,283,1 is to 37
VII (Central Visayas),Cebu Roosevelt Memorial College,1284,93,1 is to 14
VII (Central Visayas),Saint Paul College Foundation,590,42,1 is to 14
VII (Central Visayas),Cebu School of Midwifery,51,10,1 is to 5
VII (Central Visayas),College of Technological Sciences-Cebu,631,24,1 is to 26
VII (Central Visayas),Colegio De Sta. Catalina De Alejandria,316,ND,ND
VII (Central Visayas),Concord Technical Institute,494,14,1 is to 35
VII (Central Visayas),Holy Name University,5849,240,1 is to 24
VII (Central Visayas),Diaz College,654,37,1 is to 18
VII (Central Visayas),Felipe R. Verallo Memorial Foundation-Bogo,799,44,1 is to 18
VII (Central Visayas),Foundation University,2997,121,1 is to 25
VII (Central Visayas),University of the Visayas-Gullas College of Medicine,430,112,1 is to 4
VII (Central Visayas),Holy Trinity College,38,11,1 is to 3
VII (Central Visayas),Immaculate Heart of Mary Seminary,86,22,1 is to 4
VII (Central Visayas),Indiana School of Aeronautics,1157,28,1 is to 41
VII (Central Visayas),University of the Visayas-Mandaue Campus,181,18,1 is to 10
VII (Central Visayas),Manto Memorial Foundation College,178,14,1 is to 13
VII (Central Visayas),Mater Dei College-Bohol,1033,71,1 is to 15
VII (Central Visayas),Northern Cebu College,342,16,1 is to 21
VII (Central Visayas),PMI Colleges-Bohol,5006,62,1 is to 81
VII (Central Visayas),Saint Francis College-Guihulngan,386,36,1 is to 11
VII (Central Visayas),Saint Joseph College of Canlaon,550,31,1 is to 18
VII (Central Visayas),Saint Joseph Seminary College,52,18,1 is to 3
VII (Central Visayas),St. Paul University Dumaguete,1848,110,1 is to 17
VII (Central Visayas),Saint Theresa's College of Cebu,424,41,1 is to 10
VII (Central Visayas),Salazar Colleges of Science and Institute of Technology,2968,41,1 is to 72
VII (Central Visayas),San Carlos Seminary College,109,16,1 is to 7
VII (Central Visayas),Silliman University,6973,531,1 is to 13
VII (Central Visayas),Southwestern University,7617,318,1 is to 24
VII (Central Visayas),Saint Catherines' College,630,45,1 is to 14
VII (Central Visayas),Southwestern University-Matias H. Aznar Memorial College of Medicine,794,153,1 is to 5
VII (Central Visayas),University of the Visayas-Gullas College Toledo Branch,2354,72,1 is to 33
VII (Central Visayas),University of Bohol,5666,244,1 is to 23
VII (Central Visayas),University of Cebu,21886,160,1 is to 137
VII (Central Visayas),University of San Carlos,19400,816,1 is to 24
VII (Central Visayas),University of San Jose-Recoletos,11750,439,1 is to 27
VII (Central Visayas),University of Southern Philippines Foundation,1877,145,1 is to 13
VII (Central Visayas),University of the Visayas,8727,ND,ND
VII (Central Visayas),Quezon Memorial Institute of Siquijor,187,20,1 is to 9
VII (Central Visayas),Velez College,2892,144,1 is to 20
VII (Central Visayas),Villaflores College,817,23,1 is to 36
VII (Central Visayas),Batuan Colleges,55,9,1 is to 6
VII (Central Visayas),Don Bosco Technology Center,275,50,1 is to 6
VII (Central Visayas),Negros Maritime College Foundation,379,18,1 is to 21
VII (Central Visayas),Royal Christian College,624,30,1 is to 21
VII (Central Visayas),University of Cebu-Lapulapu and Mandaue,10787,263,1 is to 41
VII (Central Visayas),Asian College of Science and Technology-Dumaguete,508,36,1 is to 14
VII (Central Visayas),De La Salle Andres Soriano Memorial College,142,18,1 is to 8
VII (Central Visayas),Bantayan Southern Institute,284,26,1 is to 11
VII (Central Visayas),Mount Moriah College,287,17,1 is to 17
VII (Central Visayas),Presbyterian Theological College,92,20,1 is to 5
VII (Central Visayas),STI College-Cebu City,267,17,1 is to 16
VII (Central Visayas),Visayan Nazarene Bible College,54,21,1 is to 3
VII (Central Visayas),Bohol Northern Star College,343,39,1 is to 9
VII (Central Visayas),CBD College,135,13,1 is to 10
VII (Central Visayas),Consolatrix College of Toledo City,496,40,1 is to 12
VII (Central Visayas),Evangelical Theological College of the Philippines,99,24,1 is to 4
VII (Central Visayas),Saint Louise de Marillac College-Bogo,375,22,1 is to 17
VII (Central Visayas),Seminaryo Mayor de San Carlos,87,13,1 is to 7
VII (Central Visayas),Advanced Institute of Technology,32,7,1 is to 5
VII (Central Visayas),Collegium Societatis Angeli Pacis,49,15,1 is to 3
VII (Central Visayas),Centre for International Education Global Colleges,59,15,1 is to 4
VII (Central Visayas),BIT International College-Carmen,28,9,1 is to 3
VII (Central Visayas),AMA Computer College-Dumaguete City,432,17,1 is to 25
VII (Central Visayas),Flight Dynamic School of Aeronautics,21,8,1 is to 3
VII (Central Visayas),University of the Visayas-Gullas College Danao City Branch,373,24,1 is to 16
VII (Central Visayas),Negros College,794,40,1 is to 20
VII (Central Visayas),Benedicto College,379,39,1 is to 10
VII (Central Visayas),Northeastern Cebu Colleges,305,21,1 is to 15
VII (Central Visayas),St. Paul College Foundation-Mandaue,133,9,1 is to 15
VII (Central Visayas),University of Cebu-Banilad,6643,150,1 is to 44
VII (Central Visayas),Bohol Northwestern College,280,11,1 is to 25
VII (Central Visayas),Cebu Sacred Heart College,82,21,1 is to 4
VII (Central Visayas),Larmen De Guia Memorial College,14,10,1 is to 1
VII (Central Visayas),BMC College,0,ND,ND
VII (Central Visayas),Interface Computer College,347,12,1 is to 29
VII (Central Visayas),Mary's Children Formation College,58,17,1 is to 3
VII (Central Visayas),Rogationist Seminary College-Cebu,187,17,1 is to 11
VII (Central Visayas),Colegio de San Antonio de Padua,861,55,1 is to 16
VII (Central Visayas),Cristal e-College,343,18,1 is to 19
VII (Central Visayas),STI College-Tagbilaran,580,26,1 is to 22
VII (Central Visayas),University of the Visayas-Gullas College Minglanilla Campus,396,10,1 is to 40
VII (Central Visayas),Bohol Wisdom School,123,23,1 is to 5
VII (Central Visayas),Central Philippine Bible College,40,13,1 is to 3
VII (Central Visayas),Cebu Mary Immaculate College,248,19,1 is to 13
VII (Central Visayas),ACLC College of Mandaue,876,65,1 is to 13
VII (Central Visayas),Immanuel Bible College,91,27,1 is to 3
VII (Central Visayas),Trade-Tech International Science Institute,269,25,1 is to 11
VII (Central Visayas),Cristal e-College-Panglao Campus,1405,62,1 is to 23
VII (Central Visayas),Professional Academy of the Philippines,1122,39,1 is to 29
VII (Central Visayas),La Consolacion College-Liloan,205,18,1 is to 11
VII (Central Visayas),Sto. Tomas College,155,18,1 is to 9
VII (Central Visayas),Microsystem International Institute of Technology,102,11,1 is to 9
VII (Central Visayas),Metro Dumaguete College,267,29,1 is to 9
VII (Central Visayas),University of The Visayas-Dalaguete Campus,370,24,1 is to 15
VII (Central Visayas),Maxino College,144,14,1 is to 10
VII (Central Visayas),La Consolacion College-Bais,473,41,1 is to 12
VII (Central Visayas),Lyceum of Cebu,147,23,1 is to 6
VII (Central Visayas),Golden Success College,83,26,1 is to 3
VII (Central Visayas),ACLC College of Tagbilaran,256,10,1 is to 26
VII (Central Visayas),St. Cecilia's College-Cebu,166,23,1 is to 7
VII (Central Visayas),NISSI Academy ,9,5,1 is to 2
