Project Title,Project Description,Implementing Agency,"Total Project Cost
 (in PhP M)",Funding Source,Sector,ICC-TB Dates,ICC-CC Dates,NEDA Board Dates,Implementation Period,"Regions/
 Provinces",Project Status,Status of Compliance with NEDA Board/ICC Conditions,Updates/Implementation Status
New Bohol (Panglao) Airport Construction and Sustainable Environment Protection Project,"The scope of the project includes:
  á ROW acquisition
  á Landside Facilities (vehicle parking area, drainage system, access roads, etc.)
  á Airside facilities (runway, aircraft parking area, taxiways, etc.)
  á Building and Other Structures (passenger terminal bldg, admin bldg, air traffic control tower, etc.)
  á Airport Utilities (water supply, electrical supply, etc.)
  á Detailed Engineering Design
  á Visual and Navigational Aids for Precision Category I airport",Department of Transportation and Communications,"7,440.29",JICA,Infrastructure,> 02 Aug 2012,> 02 Aug 2012,> 04 Sept 2012,2012-2016,"Region VII 
 Bohol","Under Pre-construction Stage.
 
 Procurement of Consulting Services and Construction Contract are both Under Implementation..","The NEDA Board confirmed the ICC approval of the project. The ICC-CC approval is subject to submission by the DOTC of the following NEDA-ICC requirements:
 - Updated ECC and RDC endorsement;
 - Department of Budget and Management-certified budget strategy for the project; and
 - Updated 2011-2016 DOTC PIP reflecting the annual requirement of the project.
 
 Compliance:
 
 The DOTC has submitted the following:
 -Central Visayas RDC Resolution No. 31 (S. 2012) endorsing the project;
 -DENR-EMB-Environmental Compliance Certificate;
 -Department of Budget and Management letter for the DOTC dated 28 February 2013 regarding the formerÕs confirmation of the funding strategy and the issuance of a FOA for the project; and
 DOTC letter for NEDA dated 19 April 2013 submitting an e-copy of the DepartmentÕs PIP reflecting the annual requirements of the Project.","Start-up stage.
 
 The project is under pre-construction stage. Procurement of Consulting Services and Construction Contract are both Under Implementation.. On land acquisition and resettlement, a total of 366 lots out of targeted 407 were acquired, seven lots are for expropriation handled by the Solicitor General, 34 lots are still for negotiation."
Puerto Princesa Airport Development Project,"The project involves the: (a) construction of a new passenger terminal complex, including air traffic control, cargo administration, maintenance and other support facilities; (b) construction of a new access road off the national highway; (c) widening of the runway strip, installation of instrument landing system, runway overlay, and widening of runway shoulders; (d) installation of new security fencing and removal of remaining obstacles; and (e) improvement of navigational aids, air traffic control, communications and airfield lighting.",Department of Transportation and Communications,"4,461.40",Korea-EDCF,Infrastructure,> 25 Nov 2011,> 28 Nov 2011 (ad referendum),"> 21 Nov 2013 (proposed changes)
 > 19 Dec 2011",2010-2015,Region IV-B - Palawan,"Under Procurement.
 
 Procurement for consulting services has been completed while the civil works contract has been deliberated by the BAC and the resolution for the award of the contract is with the office of the DOTC Secretary for signing.","The NEDA Board confirmed the ICC approval of the project, with conditions, subject to DOTC submission of the following:
 a) Department of Budget and Management-certified budget strategy; 
 b) DENR reconfirmation of validity of Environmental Compliance Certificate (ECC) issued in 2003; 
 c) DOTC confirmation that project is included in the 2011-2016 Public Investment Program (PIP) and Comprehensive and Integrated Infrastructure Program (CIIP); and d) DOTC explanation on updated contingency estimates.
 
 The NEDA Board also instructed DOTC to undertake the following:
 - Provide cost analysis of relocating the PAF/Western Command facilities to give way to the proposed PPADP vis-ˆ-vis expanding the existing airport in its current location;
 - Ensure that there will be a provision for retrofitting in the design of the proposed PPADP to accommodate legacy airline service;
 - Put a cap in terms of variation orders or price escalation in the PPADP contract;
 - Look into the possibility of upgrading the Puerto Princesa Airport passenger terminal building using international standards (i.e., JICA-type airport) rather than the ÒtropicalÓ type to cater the demands of international tourists, provided that the Project would still meet the NEDA threshold of 15 percent economic internal rate of return.
 
 NEDA issued on 09 November 2012 a certification on DOTCÕs compliance with the above NEDA Board conditions. The NEDA certification was with the understanding that DOTC will undertake items (ii) - (iv) above, as committed by the Department in its 18 September 2012 letter, and in consideration of the NEDA Secretariat's finding that said instructions are project implementation concerns.","Under Procurement.

Procurement for consulting services has been completed while the civil works contract has been deliberated by the BAC and the resolution for the award of the contract is with the office of the DOTC Secretary for signing."
Shift in Financing for the Laguindingan Airport Development Project-Air Navigational Facilities/Equipment Component from Nordic Investment Bank to Korean Exim Bank,"The proposal is to shift the financing of the Laguindingan Airport Development Project-air navigational facilities component from Nordic Investment Bank (NIB) to Korea Export and Import (KEXIM) Bank. As certified by the DOTC, there is no change in project cost, no additional budgetary requirement, and no change in scope of works expected.",Department of Transportation and Communications,755.24,Korean EXIM Bank / Korea-EDCF,Infrastructure,> 28 Jan 2010,> 28 Jan 2010,> 20 Dec 2010,2012-2014,Region X - Misamis Oriental,"Under Implementation.
 
Proposed loan validity extension up to January 2016, downscaling of scope, and reallocation of costs/decrease in total project cost to be discussed in the ICC-TB meeting on 7 May 2014.",Approved by the NEDA Board with no conditions.,"Under Implementation.

Proposed loan validity extension up to January 2016, downscaling of scope, and reallocation of costs/decrease in total project cost to be discussed in the ICC-TB meeting on 7 May 2014."
Bicol International Airport Project,"The proposed project will involve the construction of a new domestic-Principal Class 1[1] airport of international standards in Daraga, Alabay to replace the existing Legazpi Airport due to its limitations and safety concerns. It involves the following:
  a. Construction of landside and airside facilities;
  b. Passenger and cargo terminal buildings and related facilities/equipment;
  c. Security and navigational aids equipment;
  d. Detailed engineering design; and
  e. Land acquisition for the airport compound.",Department of Transportation and Communications,"4,798.62",Local Financing,Infrastructure,"> 12 Jul 2012
 > 18 Jun 2012","> 12 July 2012
 > 3 July 2012",> 04 Sept 2012,Construction Period: 2013-2015,Region V - Albay,Contract awarded. Notice to Proceed was received by Sunwest Construction and Development Corporation on 6 November 2013.,"Approved by the NEDA Board with no condition.
 
In a 13 September 2012 electronic mail, DOTC informed NEDA that the Department has already submitted the Funding Strategy for approval to Department of Budget and Management. 30 August 2012 PIP reflecting updated cost of the Bicol International Airport Project was received by NEDA on 31 August 2012.","On 27 June 2013, the Notice of Award indicates that the contract for the Bicol International Airport Development Project (Construction of Runway, Taxiway, Apron and Perimeter Fence) is awarded to Sunwest Construction and Development Corporation in the amount of PhP 708,000,208.20. Notice to Proceed was received by the said Corporation on 06 November 2013."
Busuanga Airport Development Project,"To improve the capacity of the Busuanga Airport in a manner that will satisfactorily serve the expected increase in air traffic in Northern Palawan, through the improvement of the existing airport facilities.",Department of Transportation and Communications,"4,106.93",Local Financing,Infrastructure,> 05 Feb 2014,> 21 Apr 2014,> 29 May 2014,"Detailed Engineering Design : 4Q 2014
 Construction: 2Q 2015 Ð 1Q 2017
 Defect Liability Period: 2Q 2017 Ð 2Q 2018",Region IV-B - Palawan,Under Implementation.,"Approved by NB, subject to vetting by DPWH of the cost and proposed placement of the runway.",No updates yet following the NB approval.
Land Transportation Office Infrastructure and Information System,"DOTC Proposal approved during the 19 May 2014 NB: 
 Renewal of the validity of ICC approval of the project, following expiration of the 18-month validity of ICC approval, noting the DOTC's confirmation that the project scope and attendant costs remain the same as originally approved by the NEDA Board on 22 March 2012.
 
 
 The subject project will build an IT network for LTO that can host and support its Front Office and Back Office Applications, in order to computerize and automate its processes and services, and develop its database information system. The IT system will also provide interconnection between and among LTO Offices nationwide.",Department of Transportation and Communications,"11,434.08",Local Financing,Infrastructure,> 31 Jan 2012,"> 21 Mar 2012 
 > 16 Feb 2012","> 29 May 2014 (renewal of validity of ICC aproval)
 > 22 Mar 2012",March 2012-March 2013,Nationwide,"5 September 2014: Ongoing Bidding
 
 8 July 2013 electronic mail from DOTC:
 
 Post Qualification of the third lowest calculated bid began in 2nd Quarter 2013; third lowest calculated bidder was disqualified.","NB confirmed ICC approval of the project, including the realignment of P1.603 billion from DOTC's 2011 PPP Support Fund to finance the implementation of the project in 2012. DOTC-LTO to also accomplish the following:
 a) provide NEDA-ICC copies of the Department of Budget and Management-certified budget strategy and MYOA;
 b) secure the National Computer Center endorsement of DOTC's latest Information System Strategic Plan; 
 c) acquire backup copy of the database by either initiating a provision for backup strategies with the current service provider or by contracting a third-party backup service provider.
 
 Department of Budget and Management, in its 21 December 2012 letter to DOTC, confirmed/certified the Funding Strategy for the project amounting to PhP 10.8 billion. Department of Budget and Management also issued 21 December 2012 MYOA of same amount. Per 11 February 2013 telcon with Aaron Chan of DOTC, DOTC will be contracting Stradcom as interim service provider to address the issue of acquiring the database back up strategy. The NEDA Board, in its 22 March 2012 meeting also instructed DOTC-LTO to secure the NCCendorsement of DOTC's latest ISSP.","5 September 2014 telcon with DOTC: Bidding for the project is Under Implementation..

In its 16 June 2014 letter, NEDA informed DOTC that the ICC Cabinet Committee and Technical Board approved ad referendum on 27 May 2014 the renewal of the validity of the ICC approval of the project as requested by DOTC on 22 May 2014, following the expiration of the 18-month validity of the 22 March 2012 ICC-NEDA Board approval of the project

8 July 2013 electronic mail from DOTC:
 
Post Qualification of the third lowest calculated bid began in 2nd Quarter 2013; third lowest calculated bidder was disqualified.
 
 11 June 2013 Update from DOTC website:
 General Bid Bulletin 11 issued 15 November 2012: stating that the submission and opening of bids for the project is moved from 21 November 2012 to 26 November 2012."
LRT Line 1 North Extension - Common Station,The project involves the construction of head-to-head platforms for LRT 1 and MRT 3 at Trinoma with a 147.4-meter elevated walkalator to MRT 7 at North Avenue.,Department of Transportation and Communications,"1,399.65",Local Financing,Infrastructure,> 18 Jul 2013,> 05 Aug 2013,> 21 Nov 2013,2013 - 2015,NCR,"Under Procurement
 
8 July 2013 electronic mail from DOTC:
 
Post Qualification of the third lowest calculated bid began in 2nd Quarter 2013; third lowest calculated bidder was disqualified.","In a 04 February 2014 letter to Department of Budget and Management, DOTC requested for approval of the revised funding strategy and the issuance of Multi-Year Obligation Authority for the project.","Project milestones, as provided by DOTC through email on 28 July 2014:
 - Construction period: first quarter 2015 to second quarter 2016
 
8 July 2013 electronic mail from DOTC:
 
Post Qualification of the third lowest calculated bid began in 2nd Quarter 2013; third lowest calculated bidder was disqualified
 
11 June 2013 Update from DOTC website:
General Bid Bulletin 11 issued 15 November 2012: stating that the submission and opening of bids for the project is moved from 21 November 2012 to 26 November 2012
 
21 December 2012 - In a letter to DOTC, Department of Budget and Management confirms/certifies the Funding Strategy for the project amounting to PhP 10, 800.48 million subject to certain conditions."
MRT 3 Capacity Expansion Project,"- The project involves the acquisition of a total of fifty-two (52) light rail vehicles (LRVs), and required ancillary works under Phases 1 and 2 to enable operating the MRT3 system at a 4-car train configuration include the following:
  a. upgrading of t",Department of Transportation and Communications,"8,633.64",Local Financing,Infrastructure,> 02 Aug 2012,> 02 Aug 2012,> 04 Sept 2012,2012-2019,NCR,Contract awarded. Notice to Proceed was issued on 21 February 2014.,Approved by the NEDA Board with no condition.,"Project milestones, as provided by DOTC through email on 25 July 2014:
 - Contract implementation ongoing
 - Complete delivery of rolling stock: fourth quarter of 2016

16 January 2014 Notice of Award indicates that the contract for the DOTC-MRT3 Capacity Expansion Project [Lot 1: Design and/or Supply and Delivery of Forty Eight (48) Light Rail Vehicles with On-board Communication System (Radio, Public Address, Intercom), On-board ATP system and One (1) Unit Train Simulator] is awarded to Dalian Locomotive and Rolling Stock Co., CNR Group in the amount of PhP 3,75,382,400.00. Notice to proceed was issued on 21 February 2014."
Tacloban Airport Redevelopment Project,"The project involves the following components:
 
 a. Construction of horizontal structures (i.e., taxiways, taxi lane, apron, landside access roadway, airside service road and Precision Approach Lighting System (PALS) road, parking area, storm drainage, security fencing and landscaping work and reclamation of shore);
 b. Construction of vertical structures (i.e., passenger terminal building, cargo terminal building, control tower and operations building, fire station building, guard post, cold water receiving station and fuel farm facilities);
 c. Provision of air navigation system;
 d. Provision of special equipment; and
 e. Land acquisition.",Department of Transportation and Communications,"2,120.00",Local Financing,Infrastructure,"> 07 Nov 2012
> 03 Oct 2012",> 07 Nov 2012,> 29 Nov 2012,2013-2016,"Region VIII - Tacloban City, Leyte",Notice to Proceed was issued on 28 February 2014.,Approved by the NEDA Board with no condition.,"On 18 February 2014, the Notice of Award indicates that the contract for the Rehabilitation of Tacloban Airport Project is awarded to B.M. Marketing pursuant to BAC Resolution No. S-IP-AMP-2014-12 dated 14 February 2014. The contract for the procurement of the project is in the total amount of PhP 42,466,612.07. Notice to Proceed, issued on 28 February 2014, indicated that the time of completion shal be 180 calendar days from either the date occuring 7 calendar days after receipt by the Contractor of the Notice (""Letter"") or the Contractor's notified intended date for commencement of work, whichver occurs sooner. The contract for the Rehabilitation of the Tacloban Airport Project was made and entered into on 28 February 2014 by DOTC and B.M. Marketing. 
 
 
 20 December 2012 Notice of Award indicates that the contract for the Tacloban Airport Development Project (Concreting of Apron, Taxiway and Completion of North-East Shore Protection) was awarded to FIAT Construction Services/ B. M. Marketing (Joint Venture) in the total amount of PhP 176,112,019.71. Notice to Proceed was given to the same on 03 April 2013."
LRT Line 2 East Extension Project,"The Project consists of:
 a) The operation and maintenance of the existing LRT Line 1 system
 composed of the depot, electrical and mechanical system, rolling stock,
 station, track and other related assets (ÒExisting SystemÓ);
 b) The design, procurement, engineering, construction, installation,
 completion, testing, and commissioning of the Cavite extension
 facilities (ÒCavite Extension SystemÓ) which will include:
 c) The integration of the Existing System and the Cavite Extension
 System (ÒIntegrated SystemÓ);
 d) The operation and maintenance of the Integrated System; and
 e) System enhancement works covering whole-of-life investments for the
 Integrated system, which include fleet upgrades (replacements and
 refurbishments), periodic rehabilitation/restoration works, any required
 depot expansion works to accommodate outstanding train fleet, and all
 other investments needed to ensure sustained levels of services in
 accordance with the performance standards to be set in the
 Concession Agreement (ÒSystem Enhancement WorksÓ).",Department of Transportation and Communications,"9,759.31",Local Financing and ODA,Infrastructure,> 11 May 2012,> 11 May 2012,"> 04 Sept 2012 (confirmed ICC approval)
 > 30 May 2012",2012-2016,"NCR, Region IV-A","Undergoing Procurement.
 
 In an e-mail to PIS dated 14 March 2014, DOTC provided updates on the project, specifically on procuring Consultant as follows:
 -Bidding for the Consultancy Services for Civil Works DED and Construction Supervision
 Status: Awaiting Signing of the Contract and Issuance of Notice to Proceed (NTP)
 -Bidding for the Consultancy Services for Electro-mechanical works
 Status: DOTC-BAC already completed the evaluation of Technical offer of 2 bidders, concurrence of JICA to that evaluation was also already acquired.
 Opening of financial offer is scheduled on March 19, 2014.","In a certification dated 14 November 2013, NEDA indicated that DOTC has complied with the following conditions for the NEDA Board confirmation of the Investment Coordination Committee (ICC) approval of the LRT Line 2 East Extension Project, set in NEDA Board Resolution No. 05 (s. 2012) dated 4 September 2012 and reflected in DOF's letter for DOTC dated 17 May 2012, based on the NEDA-Infrastructure Staff's validation of documents:
 1. Submission of Department of Budget and Management-certified budget strategy for the project-Department of Budget and Management letter for DOTC dated 5 February 2013 certifying the funding strategy for the LRT Line 2 East Extension Project;
 2. Submission of information on employment generation/ job creation impact of the project-Information on employment generation/ job creation impact of the LRT Line 2 East Extension Project submitted by DOTC on 07 June 2013;
 3. DOTC updating of its 2011-2016 Public Investment Program (PIP) to reflect the annual requirements of the project-DOTC's letter for NEDA dated 15 August 2013 providing information and updates on the annual requirements of the LRT Lines 1 and 2 extension projects from 2011 to 2016 to be reflected in the Department's updated PIP; and
 4. Submission of Regional Development Council IV-A endorsement of the project-RDC-IV-A Resolution No. IV-A-20-2012 issued on 25 October 2012, endorsing the LRT Line 2 East Extension Project.
 
 The certification was issued with the understanding that the DOTC will submit the following documents prior to the project implementation/ notice of award, following the Department's expression of commitment to work towards securing the same through its letter for NEDA dated 13 November 2013:
 1. Metro Manila Development Authority/ RDC-National Capital Region endorsment of the project; and
 2. Environmental Compliance Certificate from the Department of Environment and Natural Resources-Environmental Management Bureau.
 
 The NEDA Board confirmed the ICC approval of the project. The ICC-CC approval is subject to submission by the DOTC of the following NEDA-ICC requirements:
 a) Department of Budget and Management-certified budget strategy; and
 b) Updated 2011-2016 DOTC PIP reflecting the annual requirement of the project.
 
 Prior to implementation of/notice of award:
 a) MMDA/RDC-NCR and IV-A endorsements; and
 b) ECC from the DENR-EMB.","Notice to proceed was issued by DOTC to Foresight Development and Surveying Company on 7 April 2014 for the Consulting/ Engineering Services for Civil Works of the LRT Line 2 East (Masinag) Extension Project.

 In an e-mail to PIS dated 14 March 2014, DOTC provided updates on the project, specifically on procuring Consultant as follows:
 -Bidding for the Consultancy Services for Civil Works DED and Construction Supervision
 Status: Awaiting Signing of the Contract and Issuance of Notice to Proceed (NTP)
 -Bidding for the Consultancy Services for Electro-mechanical works
 Status: DOTC-BAC already completed the evaluation of Technical offer of 2 bidders, concurrence of JICA to that evaluation was also already acquired.
 Opening of financial offer is scheduled on March 19, 2014.
 
 Detailed design and bidding for the Contractors will follow the above activities (after issuance of NTP)."
Contactless Automatic Fare Collection System (AFCS) Project,"Implementation a contactless and integrated automatic fare collection system on the existing Light Rail Transit (LRT) Lines 1 and 2 and the Metro Rail Transit (MRT) 3, collectively referred to as the Light Rail Systems",Department of Transportation and Communications,"1,721.99",Public-Private Partnership (PPP),Infrastructure,> 22 Nov 2012,> 22 Nov 2012,> 29 Nov 2012,15 months (October 2013 to December 2014),NCR,"On-going pre-operation activities.
Notice of Award (NOA) issued to AF Consortium","In a 17 December 2014 Memorandum for OP-PMS Secretary Julia Andrea R. Abad (cc: NEDA Board Secretariat), DOTC Undersecretary for Planning Rene K. Limcaoco provided OP-PMS the Department's review of the total project cost of the project, to comply with the instruction given during the 29 November 2012 NEDA Board Meeting.","Project milestones, as provided by DOTC through email on 28 July 2014:
 - Concession agreement signed on 31 March 2014
 - Full system approval and operation is targeted by September 2015
 
PPP Center Website accessed on 05 September 2014:
On-going pre-operation activities. Private Proponent: AF Consurtium. Cooperation Period: 10 years inclusive of 2 years development/delivery"
Development of Integrated Transport System Terminals at FTI and PRA under PPP,"DOTC Proposal approved by the NEDA Board on 29 May 2014:
 - Lowest ÒAnnual Grantor PaymentÓ to be paid by the Government to the Concessionaire or the highest ÒAnnual Concession PaymentÓ to be paid by the Concessionaire to the Government, as bid parameter;
 - Flexibility in the inclusion of lot 1 (1.7 has.) in the existing project land of 2.9 has.;
 - Flexibility in including the cost and construction of the access roads as one of the ConcessionaireÕs obligations; and
 - Terminal Fee Revenue to be collected by the Concessionaire and transferred to the Grantor.
 
 
 The project envisages the development of two (2) mass transportation terminals at the Southern outskirts of Metro Manila which will be located at the following:
  
  a. South Ð SLEX Terminal at FTI Property in FTI Compound, Taguig City to serve passengers travelling to/from Laguna and Batangas areas; and
  
  b. South Ð Coastal Road Terminal at PRA Property beside Asiaworld/Uniwide along the Manila-Cavite Expressway (R-1 Expressway), Paranaque City to serve passengers travelling to/from the Cavite area.",Department of Transportation and Communications,"7,747.44",Public-Private Partnership (PPP),Infrastructure,> 18 Jul 2013,> 05 Aug 2013,"> 29 May 2014 (approval of project amendments)
 > 21 Nov 2013",May 2014 - Dec 2015,NCR,"PPP Center Website 4 September 2014:

Ongoing bidder due diligence.


NB recently approved DOTC proposed amendments on bidding parameters.
 
General Bid Bulletin 09-2014 issued on 11 April 2014 - The deadline for the submission of bids is moved from 15 May 2014 to 16 June 2014.","The NEDA Board confirmed the ICC-CC's approval of the project, subject to the following decisions:
 
 a. DOTC to ensure that the contract shall be worded such that the linkage
 between the ramp and the C6 segment shall not have the effect of expanding
 the Philippine National Construction Corporation (PNCC) franchise ad
 infinitum;
 
 b. DOTC to look into the need to amend PD No. 1894 and PD No. 1113 and the
 effects of retroactivity of the new law on this project.
 
 The ICC-CC approved the project with request to DPWH to address:
 a. To ensure that the project is consistent with the Formulation of Roadmap for Transport Infrastructure Development for Metro Manila & its Surrounding Areas. DPWH is further requested to determine whether or not its is more appropriate to wait for the completion of the construction of the access roads to/from the FTI site;
 
 b. Submit a comparison of the proposed FTI site to the alternative Filinvest area; and
 
 c. Provide justification for the project in terms of its costs, benefits and impact to the commuters.
 
 d. Address the comments raised in the attached 05 August 2013 memorandum for ICC-TB and CC.
 
 DPWH to submit the following:
 
 a. Department of Budget and Management - certified budget strategy;
 
 b. Updated PIP / CIIP, reflecting the revised scope and corresponding annual investment requirement of the project;
 
 c. Regional Development Council endorsement; and
 
 d. Environmental Compliance Certificate.","Status from the PPP Center Website accessed on 4 September 2014:

Ongoing bidder due diligence."
"Laguindingan Airport Development, Operations and Maintenance Project","Involves the O&M of the airport, with the development of infrastructure and facilities, and the installation of all required equipment, to improve the capacity of the Laguindingan Airport and replace the Cagayan de Oro (Lumbia) Airport, which served as large catchment area of Northern Mindanao. It will be implemented under a PPP arrangement and will be located in Barangay Moog, Municipality of Laguindingan, Misamis Oriental, covering a total land area of 3.9 million square meters.",Department of Transportation and Communications,"14,615.40",Public-Private Partnership (PPP),Infrastructure,> 27 Nov 13,> 16 Dec 2013,> 19 Jun 2014,Concession Period: 30 years including construction period (2015-2044),Region X,"Status from the PPP Center website accessed on 5 september 2014:

For Issuance of Invitation to Bid.","The NEDA Board, in its 19 June 2014 meeting, approved the project subject to DOTC: 
 a. bringing the passenger and cargo forecasts to realistic levels as bases for targeted capacities; and
 b. exploring limiting the bidding to immediately-needed project components, which would allow government to bid the other remaining components in terms that will be more advantageous to government.","Status from the PPP Center website accessed on 5 september 2014:

For Issuance of Invitation to Bid."
LRT Line 2 Operations and Maintenance (O&M) Project,"The Project involves an O&M concession contract of the following components for:
 a. The Existing Line 2 System, and
 b. Any expansion of the Existing Line 2 System including, but not limited to, any extension to be constructed by the government such as the Masinag Extension.
 
 Estimated 10-Year O&M Cost is PhP16,520 M.",Department of Transportation and Communications,"Estimated 10-Year O&M Cost is PhP16,520 M.",Public-Private Partnership (PPP),Infrastructure,c/o PPP Secretariat to the ICC,> 21 Feb 2014,> 29 May 2014,"O&M Concession Period:
 10-15 years","NCR, Region IV-A","Status from the PPP Center website accessed on 5 September 2014:

For issuance of Invitation to Bid (ITB).","Approved, subject to key performance indicators as basis for performance of the O&M Concessionaire. Furthermore, the bid parameter for the project shall be the lowest O&M fee charged to Government / highest revenue that accrues to Government.","Status from the PPP Center website accessed on 5 September 2014:

For issuance of Invitation to Bid (ITB).

Project milestones, as provided by DOTC through email on 25 July 2014:
 - Currently finalizing MOA w/ LRT A for the O&M before constituting the PBAC
 - Target pre-qualification bidding date: Aug 2014
 - Target bidding date: Jan 2015
 - Construction period: November 2014 to September 2016
 - Full operations by December 2016"
Mactan-Cebu International Airport New Passenger Terminal Project,Involves the construction of a new passenger terminal and renovation of the existing terminal under a Public-Private Partnership (PPP) scheme.,Department of Transportation and Communications,"17,520.72",Public-Private Partnership (PPP),Infrastructure,> 22 Nov 2012,"> 05 Aug 2013
 > 22 Nov 2012","> 21 Nov 2013 (changes in original approval)
 > 29 Nov 2012",20 years concession period inclusive of construction period,Region VII - Cebu,"Status from the PPP Center Website accessed on 5 September 2014: 
 
On-going pre-construction activities. On-going procurement of Independent Consultant (IC). Private proponent: Megawide-GMR Consortium.","DOTC provided its response to the 05 August 2013 and 04 October 2013 ICC conditions on 03 October 2013 and 31 October 2013, respectively.
 
 Request from Department of Budget and Management for issuance/approval of Multi-Year Obligation Authority and submission of Funding Strategy was made on 28 August 2013","Status from the PPP Center Website accessed on 5 September 2014: 
 
On-going pre-construction activities. On-going procurement of Independent Consultant (IC). Private proponent: Megawide-GMR Consortium."
New Bohol Airport Development and Operations/Maintenance Project,"Involves the structuring and implementation of a PPP arrangement for the O&M of the New Bohol Airport at Panglao Island, wherein: 
 a. The Concessionaire will share with DOTC the revenues generated by the facility;
 b. The Concessionaire will also be required to undertake capital investments which will have to be operational at the earlier of the following events: 
 i. When the traffic hits 1.7 million passengers per annum; or 
 ii. Before the end of the 10th year of the Concession Agreement.",Department of Transportation and Communications,"2,335.20",Public-Private Partnership (PPP),Infrastructure,>10 Dec 2013,>16 Dec 2013,>19 Jun 2014,2014-2017,Region VII,"PPP Center Website: 4 September 2014
Issuance of Invitation to Bid","The NEDA Board, in its 19 June 2014 meeting: 
 a. Approved the O&M for PPP financing, but for DOTC to study the airport expansion for JICA financing, or for GAA financing if JICA timing does not allow to fasttrack the project, which will be subject again to NEDA Board approval;
 b. Approved the Operate-Add-Transfer contractual agreement under the BOT Law; and
 c. Granted the flexibility of determining a concession period up to a maximum of 35 years.

Through a 17 January 2014 electronic mail, DOTC provided a copy of the 17 December 2013 DENR-EMB certification that the ECC for the New Bohol Airport Construction and Sustainable Environment Protection Project issued on 16 April 2013 is valid and effective from the date of issuance until completion of the project

16 December 2013 - DOTC provided their responses to the concerns raised during the 10 December 2013 ICC TB meeting discussing the project

13 December 2013 - DOF letter to NEDA providing comments on the project with regard to DOTC request for DOF-CAG review on the proposed structuring and implementation for the project.","Status from the PPP Center Website accessed on 4 September 2014:
Issuance of Invitation to Bid

18 March 2014 - NEDA-IS provided validation  of the revised powerpoint presentation on the project

15 January 2014 - NEDA reminded DOTC to submit a copy of the new Environmental Compliance Certificate (ECC) from the Department of Environment and Natural Resources, and noted that DOTC has yet to submit a copy of the Civil Aviation Authority of the Philippines Board Resolution approving the project."
Cebu Bus Rapid Transit (BRT) Project,"The project will establish a Bus Rapid Transit (BRT) System in Cebu City. A BRT is a high-quality bus-based transit system that delivers fast, comfortable, and cost-effective urban mobility through the provision of segregated right-of-way (ROW) infrastructure, and rapid and frequent operation. BRT emulates a modern rail-based transit system but at a fraction of the cost",Department of Transportation and Communications,"10,617.96",World Bank and AFD (France),Infrastructure,"> 22 Nov 2012
 > 03 Oct 2012","> 22 Nov 2012
 > 07 Nov 2012",> 29 May 2014,4 years,Region VII - Cebu,"WB loan negotiations concluded on 02 September 2014. WB
approval within September 2014, with loan signing to follow thereafter.",Approved by the NEDA Board with no conditions.,"WB loan negotiations concluded on 02 September 2014. WB
approval within September 2014, with loan signing to follow thereafter."
