psgc_brgy,single_house,duplex,apartment_or_condominiums_or_townhouses,commercial_or_industrial_or_agricultural_building_or_house,other_housing_cave_or_boat_or_under_a_bridge_etc.
156615004,440,0,1,0,0
156615005,327,1,1,3,2
156615006,373,1,1,3,0
156615007,157,0,0,1,0
156615009,245,3,0,1,0
156615010,254,1,0,4,0
156615011,604,1,1,0,0
156615012,180,3,1,3,0
156615013,212,49,0,0,0
156615014,313,14,0,1,1
156615015,270,1,0,0,0
156616001,508,21,1,1,0
156616002,702,3,5,5,2
156616003,355,2,0,1,0
156616004,355,18,1,2,7
156616005,609,9,0,6,1
156616006,695,125,2,0,0
156616007,2076,65,2,12,5
156616008,735,7,0,4,4
156616009,424,6,0,5,8
156616010,411,2,2,7,15
156616011,409,17,42,8,5
156616012,512,15,0,7,5
156617001,261,4,0,0,6
156617002,316,27,0,1,4
156617003,221,9,0,1,0
156617004,196,8,0,0,0
156617006,45,0,0,0,10
156617007,115,2,1,1,59
156617008,199,13,1,5,39
156617009,239,8,0,0,0
156617010,125,49,0,1,19
156617011,356,16,4,1,49
156617012,224,34,25,3,0
156617013,73,14,0,0,36
156617014,198,2,0,6,7
156617015,157,19,0,10,5
156617016,203,22,5,1,7
156617017,331,43,0,2,13
156618001,361,20,0,1,0
156618002,283,15,1,0,2
156618003,868,18,0,3,0
156618004,190,69,0,0,0
156618005,371,15,0,2,0
156618006,456,40,1,0,0
156618007,498,19,1,1,1
156618008,173,19,0,0,0
156618009,633,29,0,1,2
156618010,782,19,1,1,0
156618011,377,4,0,0,0
156618012,582,18,0,1,0
156618013,455,14,0,1,0
156618014,550,23,0,0,2
156618015,256,6,0,1,0
156618016,126,11,0,0,0
156619001,406,3,1,4,35
156619002,832,32,1,13,3
156619003,1145,59,9,16,44
156619004,536,41,1,2,9
156619005,695,19,1,1,1
156619006,784,34,2,3,26
156619007,626,10,0,4,2
156619008,443,6,1,14,3
157001001,809,125,0,0,1
157001002,473,42,4,3,4
157001003,207,177,0,1,0
157001004,372,14,0,0,0
157001005,318,19,0,0,0
157001007,399,121,0,2,1
157001008,472,20,0,0,1
157001009,560,8,0,0,0
157001010,187,1,0,0,0
157001011,48,351,0,0,0
157001012,668,2,0,0,0
157001013,399,11,0,1,2
157001014,549,4,0,0,0
157001015,330,3,0,0,1
157001016,417,14,6,1,1
157001017,307,1,0,2,0
157001018,248,195,0,0,0
157002005,0,0,0,0,0
157002006,0,0,0,0,0
157002007,0,0,0,0,0
157002009,0,0,0,0,0
157002010,0,0,0,0,0
157002012,0,0,0,0,0
157002013,0,0,0,0,0
157002014,0,0,0,0,0
157002015,0,0,0,0,0
157002016,0,0,0,0,0
157002017,0,0,0,0,0
157002018,0,0,0,0,0
157002019,0,0,0,0,0
157002021,0,0,0,0,0
157002022,0,0,0,0,0
157002023,0,0,0,0,0
157002024,0,0,0,0,0
157002025,0,0,0,0,0
157002026,0,0,0,0,0
157002027,0,0,0,0,0
157002030,0,0,0,0,0
157002031,0,0,0,0,0
157002033,0,0,0,0,0
157002034,0,0,0,0,0
157002037,0,0,0,0,0
157002040,0,0,0,0,0
157002042,0,0,0,0,0
157002043,0,0,0,0,0
157002044,0,0,0,0,0
157002045,0,0,0,0,0
157002046,0,0,0,0,0
157002047,0,0,0,0,0
157002048,0,0,0,0,0
157002049,0,0,0,0,0
157002050,0,0,0,0,0
157003001,435,11,0,0,0
157003002,218,22,0,0,0
157003003,175,5,0,0,0
157003004,169,13,1,0,0
157003005,361,7,0,1,0
157003006,470,16,0,0,0
157003007,254,11,0,0,0
157003008,266,7,0,0,1
157003009,183,9,0,1,0
157003010,161,3,0,0,0
157003012,513,3,0,0,0
157003013,165,5,0,0,0
157003014,716,29,1,4,1
157003015,160,5,0,0,1
157003016,333,4,0,0,0
157004001,203,35,0,0,0
157004002,251,2,0,1,0
157004003,111,1,1,0,0
157004004,102,44,0,0,0
157004005,67,48,0,0,0
157004006,515,17,0,2,0
157004007,148,2,0,0,0
157004008,294,38,0,0,5
157004009,267,1,0,0,0
157004010,79,18,0,0,0
157004011,83,15,0,0,0
157004012,234,24,0,0,0
157004013,115,82,0,0,0
157004014,339,22,0,1,0
157004015,27,0,0,0,0
157005001,131,1,0,0,0
157005004,817,16,0,2,2
157005010,428,12,0,0,1
157005012,495,4,0,0,0
157005016,1245,24,2,6,2
157005021,621,24,1,1,0
157005022,703,8,0,1,0
157005023,1351,33,5,4,2
157005025,680,3,0,1,3
157006001,127,4,0,0,0
157006005,170,3,0,0,1
157006006,240,5,0,0,0
157006007,217,4,0,0,0
157006008,98,0,0,1,0
157006009,277,4,0,1,0
157006010,70,4,0,2,0
157006011,97,5,0,3,0
157006012,155,0,0,0,0
157006013,140,0,0,0,0
157006014,83,0,0,0,0
157006015,97,8,0,0,0
157006016,214,3,1,1,0
157006017,135,6,0,0,0
157006019,176,5,0,0,0
157006023,104,4,0,0,0
157006024,80,2,0,0,0
157006025,62,7,0,0,0
157006026,110,0,0,0,0
157006027,336,2,0,0,0
157006028,229,0,0,0,0
157006029,106,0,0,0,0
157006030,115,9,2,0,1
157006032,144,0,0,0,0
157006033,131,1,0,0,0
157006034,64,1,0,2,0
157006035,141,0,0,0,0
157006036,335,6,0,1,0
157006037,116,4,0,0,0
157006038,75,0,0,0,0
157006039,118,8,0,0,0
157007002,235,2,0,0,0
157007009,354,15,0,0,0
157007010,262,1,0,0,0
157007012,279,5,0,0,0
157007026,311,3,0,0,0
157007030,351,11,0,0,0
157007031,342,6,0,1,0
157007033,473,7,0,0,0
157007041,316,2,0,0,1
157007042,210,5,1,0,0
157007043,325,25,0,0,2
157007044,150,8,0,0,0
157007045,278,7,0,0,1
157007046,480,4,0,0,0
157007047,225,7,0,0,0
157007048,201,1,0,0,0
157007049,253,7,0,0,0
157007050,242,3,0,0,1
157007051,254,4,0,0,0
157007052,234,3,0,0,0
157008001,1007,14,0,1,1
157008002,315,5,0,1,0
157009001,132,1,0,0,1
157009002,341,5,0,0,1
157009003,200,0,0,0,1
157009004,375,6,9,2,5
157009005,1,0,0,0,0
157009006,157,1,0,0,0
157009009,125,0,2,1,0
157009010,200,6,3,1,0
157009011,116,2,0,0,0
157009012,249,0,0,0,3
157009013,350,0,0,0,1
157009014,135,1,0,0,0
157009015,137,0,0,0,0
157009017,359,2,0,3,2
157009018,165,1,0,0,0
157009019,266,4,0,0,0
157009020,931,27,5,7,2
157009021,232,9,2,3,1
157009022,279,1,0,0,0
157010001,365,8,0,0,0
157010002,166,1,1,0,0
157010003,660,16,0,0,0
157010004,301,10,0,0,0
157010005,233,1,0,0,0
157010006,165,5,0,0,0
157010008,200,3,0,0,0
157010009,171,0,0,3,0
157010010,311,10,0,0,0
157010011,340,2,0,0,0
157010012,396,3,0,1,1
157010014,395,8,2,1,0
157010015,128,0,1,1,0
157010016,173,0,0,3,0
157010017,254,3,0,0,0
157010018,151,1,0,0,0
157010019,233,1,0,0,0
157010020,61,2,0,0,0
157010021,195,0,0,0,0
157010022,29,0,0,1,0
157010023,154,1,0,0,0
157011001,320,49,0,0,0
157011002,145,15,0,0,0
157011003,293,48,0,1,0
157011004,437,20,0,0,0
157011005,197,6,0,1,1
157011006,165,16,0,3,0
157011007,327,20,0,0,0
157011008,387,28,0,0,0
157011009,379,39,0,0,0
157011010,161,11,0,1,1
157011011,416,32,0,0,6
157011012,566,67,0,0,0
157011013,461,40,0,0,0
157011014,255,21,0,0,0
157011015,330,32,0,0,0
157011016,237,13,0,0,1
158401001,1229,12,0,18,8
158401002,525,12,1,5,3
158401003,399,11,1,6,1
158401004,582,10,0,1,0
158401005,213,5,1,4,0
158401006,414,28,6,3,1
158401007,426,2,1,4,2
158401008,589,2,0,1,1
158401009,522,62,22,17,4
158401010,709,5,1,3,1
158401011,287,3,0,0,1
158401012,306,10,0,8,0
158401013,518,3,6,0,1
158401014,349,7,0,3,0
158402001,227,2,0,1,0
158402002,349,2,0,0,0
158402005,476,51,0,3,3
158402007,1013,20,0,6,1
158402008,800,47,0,7,0
158402009,1141,38,2,7,1
158402011,522,114,2,3,1
158402012,617,18,0,3,0
158402017,727,48,0,0,0
158402018,423,23,0,0,4
158402020,895,25,0,14,3
158402021,434,28,4,9,1
158402022,522,0,1,2,1
158402023,403,7,0,0,0
158402025,542,3,0,1,0
158403001,686,48,10,9,57
158403002,426,39,2,8,55
158403003,459,57,0,1,140
158403004,373,45,1,5,2
158403005,448,42,3,4,10
158403006,814,24,4,4,10
158403007,1096,198,15,8,10
158403008,555,13,0,7,1
158403009,381,31,5,6,5
158403010,250,4,1,4,11
158403011,623,50,5,2,75
158403012,643,75,6,7,18
158404001,847,55,9,3,4
158404002,3299,155,59,52,97
158404003,694,19,0,12,1
158404004,663,7,0,1,15
158404005,605,60,1,6,0
158404006,482,24,0,3,0
158404007,315,86,0,4,0
158404008,776,17,1,2,4
158404009,697,68,0,4,0
158404010,951,32,1,21,13
158404011,723,35,1,3,2
158404013,4093,247,36,46,64
158404014,968,22,4,7,2
158404015,343,45,5,2,0
158404017,721,62,3,4,2
158404018,482,23,2,1,1
158404019,838,61,3,4,7
158404020,523,5,0,4,0
158404021,696,59,2,16,2
158404022,496,5,0,1,0
158404023,1898,126,7,8,11
158404024,631,17,0,8,0
158404025,635,101,0,4,0
158404026,413,8,0,4,1
158404027,790,42,3,6,27
158404028,1114,99,1,8,2
158404029,501,47,3,3,0
158404030,387,37,4,2,0
158404031,552,13,0,7,2
158404032,1588,17,5,18,2
158404033,554,34,0,13,19
158404034,526,123,0,0,0
158404035,953,23,1,5,29
158404036,454,38,1,5,11
158405001,393,90,0,0,0
158405003,358,66,1,1,0
158405005,302,72,0,0,0
158405006,462,40,0,1,0
158405008,414,65,0,1,0
158405009,450,66,1,2,2
158405011,413,82,0,15,1
158405012,334,94,1,0,0
158405013,300,49,0,1,0
158405014,532,28,1,8,0
158405015,334,67,1,0,0
158405016,423,26,0,1,2
158405017,409,52,0,6,2
158405018,467,69,0,0,1
158405019,474,125,4,3,0
158405026,401,43,0,4,0
158405028,498,74,0,1,0
158406001,662,3,0,6,0
158406002,772,4,0,1,0
158406003,968,18,5,3,1
158406004,1827,11,0,10,0
158406005,563,9,0,1,2
158406007,1098,3,2,2,1
158406008,76,0,0,0,0
158406009,1429,32,1,13,2
158407008,547,64,2,1,7
158407009,669,4,1,4,0
158407010,1016,30,2,5,2
158407012,2809,248,31,33,111
158407013,737,15,2,3,1
158407014,1336,38,7,6,8
158407015,1158,123,12,13,30
158407016,1775,151,10,8,3
158407017,873,139,3,4,4
158407018,355,37,0,0,0
158407019,746,61,0,5,0
158407020,1950,183,15,14,54
158407021,1099,161,3,10,21
158407023,820,3,0,4,3
158407024,735,10,2,5,10
158407025,368,123,0,0,16
158407026,677,49,0,2,1
158407027,404,83,0,1,218
158407028,2984,362,7,13,4
158407029,334,29,1,5,1
158407030,385,47,2,6,2
158407031,705,35,2,2,17
158407032,437,3,0,5,0
158407033,231,9,0,2,0
158408001,709,17,5,3,0
158408003,574,32,5,2,1
158408004,612,20,0,13,0
158408006,1777,63,4,14,7
158408007,702,33,1,5,15
158408009,1241,50,0,1,6
158408010,1276,50,9,13,9
158408012,1801,80,4,10,18
158408013,674,9,0,4,0
158408014,879,203,3,3,78
158408015,529,2,2,0,0
158408016,455,19,0,2,1
158408017,418,110,2,3,1
158408018,745,35,1,7,0
158408019,1645,18,2,6,6
158408020,1187,43,13,9,3
158408023,532,28,6,5,10
158408024,1569,125,10,17,27
158408026,533,12,0,0,2
158408027,784,11,1,3,0
158408028,669,85,0,3,1
158408029,513,3,0,3,0
158408030,563,14,0,3,2
158408031,586,22,1,10,3
158408033,370,9,0,2,18
158408034,441,6,0,4,1
158408035,567,100,0,14,0
158408036,739,25,1,5,0
158408037,1234,30,2,7,2
158408038,669,38,1,6,0
158408039,353,9,1,3,0
158408040,528,36,1,0,0
158408041,668,7,3,1,0
158408042,1109,100,4,2,13
158408043,587,118,1,1,1
158408044,483,30,0,1,0
158408051,528,22,0,2,44
158408052,492,62,1,3,0
158408053,642,24,0,3,2
158409001,619,15,2,8,2
158409002,556,18,0,1,6
158409003,326,107,0,0,1
158409004,495,24,0,6,24
158409005,601,24,1,5,18
158409006,655,54,0,7,0
158409007,494,50,0,4,8
158409008,582,28,2,1,25
158409009,615,8,1,3,42
158409010,608,34,1,9,25
158409011,982,73,11,6,39
158409012,430,14,0,8,62
158409013,397,23,0,7,7
158410002,525,23,3,1,1
158410003,236,14,0,0,0
158410004,934,36,4,8,43
158410005,439,4,3,1,11
158410006,460,29,3,1,36
158410008,632,20,0,2,13
158410009,203,21,0,2,1
158410010,301,40,0,2,53
158410012,441,18,9,11,11
158410013,387,14,1,1,19
158410014,312,18,0,0,0
158410017,175,18,0,2,16
158410022,495,19,0,2,0
158410023,786,101,5,7,13
158410025,817,31,0,2,48
158410028,267,4,0,0,0
158410029,295,2,0,1,10
158410030,818,143,0,3,2
158410031,251,16,0,3,4
158410032,316,10,1,1,11
158410034,201,2,0,1,40
158410036,216,87,0,0,19
158410042,394,59,0,1,27
158411001,544,42,1,1,0
158411002,590,0,3,4,0
158411003,597,15,0,1,0
158411004,522,37,1,0,0
158411005,382,3,0,4,1
158411006,361,18,0,0,0
158411007,512,50,3,4,0
158411008,511,33,6,1,1
158411009,535,22,2,8,0
158411010,332,35,1,0,0
158411011,574,44,2,1,0
140101001,425,8,0,0,1
140101002,546,18,0,0,0
140101003,222,10,0,0,0
140101004,372,18,0,2,0
140101005,202,2,0,0,0
140101006,526,8,5,0,0
140101007,270,6,0,0,0
140101008,257,4,0,0,0
140101009,198,2,0,0,0
140101010,358,9,0,0,0
140101011,152,6,0,0,0
140101012,333,24,0,0,0
140101013,132,1,0,0,0
140101014,143,4,0,0,0
140101015,153,8,0,0,1
140101016,145,4,0,0,0
140101017,64,3,0,0,0
140101018,370,35,0,1,1
140101019,279,15,2,0,0
140101020,193,9,0,0,0
140101021,172,25,0,0,1
140101022,287,21,1,0,0
140101023,216,20,0,0,0
140101024,254,10,0,0,0
140101025,200,75,0,1,1
140101026,307,11,1,0,0
140101027,246,80,4,5,0
140101028,376,18,17,11,0
140101029,385,88,4,2,0
140101030,462,26,9,0,2
140101031,295,13,2,0,1
140102001,0,0,0,0,0
140102002,0,0,0,0,0
140102003,0,0,0,0,0
140102004,0,0,0,0,0
140102005,0,0,0,0,0
140102006,0,0,0,0,0
140102007,0,0,0,0,0
140102008,0,0,0,0,0
140103001,0,0,0,0,0
140103002,0,0,0,0,0
140103003,0,0,0,0,0
140103004,0,0,0,0,0
140103005,0,0,0,0,0
140103006,0,0,0,0,0
140103007,0,0,0,0,0
140103008,0,0,0,0,0
140103009,0,0,0,0,0
140103010,0,0,0,0,0
140103011,0,0,0,0,0
140103012,0,0,0,0,0
140103013,0,0,0,0,0
140103014,0,0,0,0,0
140103016,0,0,0,0,0
140103017,0,0,0,0,0
140103018,0,0,0,0,0
140103019,0,0,0,0,0
140103020,0,0,0,0,0
140103021,0,0,0,0,0
140103022,0,0,0,0,0
140104001,0,0,0,0,0
140104002,0,0,0,0,0
140104003,0,0,0,0,0
140104004,0,0,0,0,0
140105001,35,15,0,0,0
140105002,87,18,0,0,0
140105003,59,12,0,1,0
140105004,169,36,0,0,0
140106001,0,0,0,0,0
140106003,0,0,0,0,0
140106004,0,0,0,0,0
140106005,0,0,0,0,0
140106006,0,0,0,0,0
140106007,0,0,0,0,0
140106008,0,0,0,0,0
140107001,105,1,0,0,0
140107002,81,1,0,0,0
140107003,110,0,0,0,0
140107004,133,4,0,0,0
140107005,136,5,0,1,0
140107006,174,2,0,1,0
140107007,142,5,0,1,0
140107008,66,4,0,0,0
140107009,265,8,0,0,0
140107010,107,3,0,0,0
140107011,171,1,0,0,0
140107012,494,9,0,0,0
140107013,105,2,0,0,0
140107014,185,1,0,1,0
140107015,81,0,0,0,0
140108002,0,0,0,0,0
140108003,0,0,0,0,0
140108004,0,0,0,0,0
140108005,0,0,0,0,0
140108006,0,0,0,0,0
140108007,0,0,0,0,0
140108008,0,0,0,0,0
140108009,0,0,0,0,0
140108010,0,0,0,0,0
140108011,0,0,0,0,0
140108012,0,0,0,0,0
140108013,0,0,0,0,0
140109001,0,0,0,0,0
140109002,0,0,0,0,0
140109003,0,0,0,0,0
140109004,0,0,0,0,0
140109005,0,0,0,0,0
140109006,0,0,0,0,0
140110001,69,0,0,0,0
140110002,88,9,0,0,0
140110003,120,5,0,0,0
140110004,168,14,0,0,0
140110005,212,3,0,0,0
140110006,140,5,0,0,0
140110007,123,0,0,0,0
140110008,202,7,0,0,0
140110009,199,4,0,1,1
140110010,239,1,0,0,0
140110011,83,9,0,0,0
140110012,87,3,0,1,0
140110013,279,11,1,0,0
140110014,167,7,0,0,0
140110015,336,11,0,0,0
140110016,337,2,0,0,0
140110017,129,1,0,0,0
140111002,0,0,0,0,0
140111004,0,0,0,0,0
140111005,0,0,0,0,0
140111006,0,0,0,0,0
140111007,0,0,0,0,0
140112001,0,0,0,0,0
140112004,0,0,0,0,0
140112005,0,0,0,0,0
140112006,0,0,0,0,0
140112007,0,0,0,0,0
140112008,0,0,0,0,0
140113001,0,0,0,0,0
140113002,0,0,0,0,0
140113003,0,0,0,0,0
140113004,0,0,0,0,0
140113005,0,0,0,0,0
140113006,0,0,0,0,0
140113007,0,0,0,0,0
140113008,0,0,0,0,0
140113009,0,0,0,0,0
140113010,0,0,0,0,0
140113011,0,0,0,0,0
140114001,0,0,0,0,0
140114002,0,0,0,0,0
140114003,0,0,0,0,0
140114005,0,0,0,0,0
140114006,0,0,0,0,0
140114007,0,0,0,0,0
140114008,0,0,0,0,0
140114009,0,0,0,0,0
140115001,0,0,0,0,0
140115002,0,0,0,0,0
140115003,0,0,0,0,0
140115004,0,0,0,0,0
140115005,0,0,0,0,0
140115006,0,0,0,0,0
140115007,0,0,0,0,0
140115008,0,0,0,0,0
140115009,0,0,0,0,0
140115010,0,0,0,0,0
140115011,0,0,0,0,0
140115012,0,0,0,0,0
140116002,86,11,0,0,0
140116003,200,14,0,1,0
140116004,294,19,0,1,0
140116005,94,14,0,0,0
140116006,103,4,0,0,0
140116007,119,3,0,0,0
140116008,155,8,0,0,0
140116011,407,2,1,2,0
140116012,356,46,0,0,0
140116013,96,2,0,0,0
140116014,105,5,0,0,0
140117001,243,8,0,0,0
140117002,238,9,0,0,0
140117003,196,5,0,0,0
140117004,125,5,0,0,0
140117005,154,5,0,0,0
140117006,171,10,0,0,0
140117007,178,8,0,1,0
140117008,108,1,0,0,0
140117009,121,2,0,0,0
140118001,207,6,0,1,1
140118002,108,2,0,0,0
140118004,125,0,0,0,0
140118005,160,1,0,0,0
140118007,139,0,0,0,0
140118008,139,8,0,0,1
140118009,228,4,0,0,0
140118010,121,5,0,0,0
140118011,187,19,0,0,0
140118012,355,25,0,0,0
140118013,277,5,0,0,1
140118014,82,0,0,0,0
140118016,166,4,0,0,0
140118018,154,6,0,0,0
140118019,88,0,0,0,0
140119002,162,2,0,0,0
140119003,113,2,0,0,0
140119004,108,1,0,0,0
140119005,177,5,0,1,0
140119006,61,0,0,0,0
140119007,131,0,0,0,0
140119008,202,2,0,0,0
140119009,79,0,0,0,0
140119010,60,0,0,0,0
140119011,86,0,0,0,0
140119012,90,1,0,0,0
140119014,133,8,0,0,0
140119015,70,0,0,0,0
140119016,333,11,0,0,0
140119017,79,1,0,0,0
140119018,114,2,0,0,0
140119019,123,2,0,1,0
140119020,58,2,0,0,0
140119021,52,1,0,0,0
140120001,109,12,0,0,0
140120002,100,6,0,0,0
140120003,125,35,0,0,0
140120004,207,28,0,0,0
140120005,124,12,0,0,0
140120006,131,13,0,0,0
140120007,78,13,0,0,0
140120008,150,6,0,0,0
140120009,94,11,0,0,0
140121001,0,0,0,0,0
140121002,0,0,0,0,0
140121003,0,0,0,0,0
140121004,0,0,0,0,0
140121007,0,0,0,0,0
140121008,0,0,0,0,0
140121010,0,0,0,0,0
140121012,0,0,0,0,0
140121013,0,0,0,0,0
140122001,162,10,0,0,0
140122002,267,0,0,1,0
140122003,95,0,0,0,1
140122004,246,16,0,0,0
140122005,72,0,0,0,0
140122006,102,4,0,0,0
140122007,42,6,0,0,0
140122008,81,6,0,0,0
140122009,124,7,0,0,0
140122010,73,4,0,0,0
140122011,85,3,0,0,0
140122012,31,0,0,0,0
140122013,154,16,0,0,0
140122014,105,6,0,0,0
140122015,150,8,0,0,0
140122016,62,6,0,0,0
140122017,148,1,0,0,0
140122018,191,13,0,0,0
140122019,162,5,0,0,0
140123001,242,14,0,0,0
140123002,165,10,0,0,0
140123003,170,4,0,0,0
140123004,206,7,0,0,0
140123005,368,10,0,0,0
140123006,251,4,0,0,0
140124001,177,0,0,0,1
140124002,205,1,0,0,0
140124003,228,12,0,0,0
140124004,172,0,0,1,0
140124005,250,3,0,0,0
140124006,183,4,0,1,0
140124007,280,0,0,0,0
140124008,270,3,0,0,0
140124009,239,1,0,0,0
140124010,474,2,0,1,0
140124011,290,3,0,0,0
140125001,97,0,0,0,0
140125002,125,1,0,0,0
140125003,37,1,0,0,0
140125004,46,0,0,0,0
140125005,38,1,0,0,0
140125006,152,0,0,0,0
140125007,67,0,0,0,0
140125008,21,0,0,0,0
140125009,56,0,0,0,0
140125010,45,1,0,0,0
140126001,0,0,0,0,0
140126002,0,0,0,0,0
140126003,0,0,0,0,0
140126004,0,0,0,0,0
140126005,0,0,0,0,0
140126006,0,0,0,0,0
140126007,0,0,0,0,0
140126008,0,0,0,0,0
140126009,0,0,0,0,0
140126010,0,0,0,0,0
140127001,0,0,0,0,0
140127002,0,0,0,0,0
140127003,0,0,0,0,0
140127004,0,0,0,0,0
140127005,0,0,0,0,0
140127006,0,0,0,0,0
140127007,0,0,0,0,0
140127008,0,0,0,0,0
141101001,390,9,9,1,0
141101002,426,5,0,3,0
141101003,366,14,0,0,0
141101004,219,4,11,0,0
141101005,449,14,25,6,0
141101006,185,2,10,0,0
141101007,304,2,0,0,0
141101008,342,1,18,0,0
141102001,155,27,12,0,0
141102002,418,108,22,3,10
141102003,142,9,6,1,0
141102004,204,16,1,0,0
141102005,44,0,0,0,1
141102006,127,5,0,0,0
141102007,39,3,1,0,0
141102008,30,4,2,2,0
141102010,16,0,5,0,0
141102011,50,14,5,0,0
141102012,19,3,1,1,0
141102013,23,21,7,0,2
141102016,110,10,16,0,0
141102017,150,0,2,0,1
141102018,159,16,16,0,0
141102019,1,0,1,0,0
141102022,50,69,18,0,0
141102023,46,1,1,0,1
141102025,116,8,1,1,0
141102026,61,3,0,0,0
141102028,18,12,2,0,0
141102029,1,13,0,0,0
141102030,14,0,2,0,0
141102034,163,81,71,0,0
141102035,2,2,0,0,0
141102036,255,207,29,1,0
141102037,4,1,1,0,0
141102038,19,0,2,0,0
141102040,76,8,2,1,0
141102041,80,10,12,0,0
141102042,62,0,0,0,0
141102043,57,29,9,0,0
141102045,17,6,0,0,0
141102046,147,24,24,5,0
141102047,3,0,1,2,0
141102049,45,1,1,0,0
141102050,836,132,69,2,0
141102051,13,9,2,0,0
141102052,314,38,19,0,1
141102053,0,0,2,0,1
141102054,121,34,8,0,0
141102055,21,2,13,0,0
141102056,149,20,2,1,0
141102058,42,28,8,0,0
141102061,40,0,5,0,0
141102062,6,0,9,0,0
141102063,40,4,2,3,0
141102064,92,12,0,0,0
141102065,15,1,20,13,0
141102066,35,1,5,0,0
141102067,62,8,3,3,0
141102068,2,1,0,0,0
141102069,94,21,3,0,0
141102071,9,2,0,0,0
141102072,183,16,7,1,0
141102074,46,6,2,0,0
141102075,12,0,2,0,0
141102076,1,2,12,0,0
141102078,26,3,5,0,0
141102079,2,0,1,0,0
141102081,54,0,0,0,0
141102082,53,8,0,0,0
141102086,194,26,38,2,0
141102087,10,0,0,0,0
141102088,71,3,5,0,0
141102089,298,47,62,0,0
141102090,30,8,0,0,0
141102091,25,63,17,0,0
141102092,33,1,6,5,0
141102094,1,0,12,1,0
141102096,101,68,0,0,1
141102097,217,68,2,0,0
141102098,12,0,0,0,0
141102099,143,43,9,0,0
141102100,22,6,2,0,0
141102101,210,17,3,0,0
141102102,22,0,0,0,0
141102103,207,4,5,0,0
141102106,3,0,1,0,0
141102107,105,25,54,10,1
141102109,27,0,0,0,0
141102110,160,5,0,0,0
141102111,10,0,0,0,1
141102112,12,0,0,0,0
141102114,24,0,0,0,0
141102115,165,37,13,1,0
141102116,54,1,11,0,0
141102117,17,2,0,0,0
141102119,27,3,13,0,1
141102120,41,19,1,0,0
141102122,12,5,2,0,0
141102124,11,3,2,0,0
141102125,13,0,1,0,0
141102126,29,5,2,0,2
141102128,52,6,0,0,0
141102131,25,2,0,0,0
141102132,8,6,10,0,0
141102133,16,8,7,0,0
141102134,0,0,1,0,0
141102135,178,55,5,1,1
141102136,2,0,0,0,0
141102137,166,7,3,1,0
141102138,45,1,10,0,0
141102139,8,0,4,0,0
141102140,22,0,0,0,0
141102141,17,1,9,0,0
141102143,4,0,2,0,0
141102144,170,35,12,0,0
141102145,21,7,1,0,0
141102148,15,3,0,0,0
141102149,6,0,23,2,0
141102150,109,31,10,0,0
141102151,30,6,1,0,0
141102152,1,0,1,0,0
141102153,18,18,0,2,0
141102154,103,8,11,0,0
141102156,11,0,0,0,0
141102157,8,0,2,0,1
141102160,23,0,5,0,1
141102161,43,5,11,2,0
141103001,351,96,0,0,0
141103002,129,48,0,0,0
141103004,442,15,0,0,0
141103005,550,184,0,0,0
141103007,229,35,0,0,0
141103009,255,56,0,0,0
141103010,234,2,0,0,0
141104001,233,2,0,0,8
141104002,170,10,0,0,0
141104003,180,0,0,0,0
141104004,168,1,0,0,1
141104005,138,10,0,0,0
141104006,121,0,0,0,0
141104007,138,0,0,0,0
141104008,193,0,0,0,0
141104009,209,0,0,0,0
141104010,119,0,0,0,0
141105001,269,3,5,1,0
141105002,511,8,0,0,0
141105003,658,11,1,1,0
141105004,392,3,1,1,0
141105006,284,6,1,1,0
141105007,401,11,2,0,0
141105008,224,0,0,2,0
141105009,388,3,1,1,0
141105010,280,4,2,2,0
141105012,379,0,0,1,0
141105013,435,4,0,1,0
141105014,391,9,1,0,0
141105015,382,1,0,0,0
141105016,282,8,0,0,0
141106001,376,4,0,0,0
141106002,391,4,0,0,0
141106003,219,5,7,0,0
141106004,1212,5,3,0,23
141106005,225,11,2,0,0
141106006,701,20,11,0,0
141106007,414,13,15,1,0
141106008,485,6,41,0,0
141106009,555,1,237,0,0
141107001,141,9,0,0,0
141107002,53,0,0,0,0
141107003,499,56,0,0,0
141107004,293,14,0,0,0
141107005,243,13,0,0,0
141107009,117,12,0,0,0
141107010,141,10,0,0,0
141107012,251,26,0,0,0
141107013,69,2,0,0,0
141107014,121,1,0,0,0
141107016,221,10,0,0,0
141107017,223,15,0,0,0
141107018,133,8,0,0,0
141108001,284,3,1,0,0
141108002,195,7,0,0,0
141108003,77,26,0,0,0
141108004,161,11,0,0,0
141108006,266,3,0,0,0
141108008,330,46,1,3,0
141108009,312,6,0,0,0
141108010,184,1,0,0,0
141108011,309,39,1,0,0
141108013,290,1,0,0,2
141108014,312,18,0,0,0
141108015,278,30,0,0,1
141108016,125,44,0,0,0
141108017,413,2,0,0,0
141108018,352,1,0,1,0
141109001,139,13,0,0,0
141109002,283,6,0,0,0
141109003,512,0,0,0,0
141109004,204,11,0,0,0
141109005,419,38,0,0,0
141109006,597,22,0,1,0
141109007,351,14,0,0,0
141110001,178,2,0,0,0
141110002,236,3,1,0,0
141110003,231,3,2,0,0
141110004,207,9,0,0,0
141110005,97,4,3,0,0
141110006,240,17,1,0,0
141110007,201,8,0,0,0
141110008,20,29,0,1,0
141110009,17,1,1,0,1
141110010,283,25,26,0,0
141110011,165,11,15,1,0
141110012,44,19,9,3,0
