Selected Accounts,Selected Accounts,Selected Accounts,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-13,Nov-09,Dec-09
Total Other Liabilities,Due to Bangko Sentral ng Pilipinas,Due to Bangko Sentral ng Pilipinas,0.290 ,0.163 ,0.146 ,0.143 ,0.143 ,0.138 ,0.129 ,0.122 ,0.098 ,0.103 ,0.112 ,0.010 
Total Other Liabilities,Due to Philippine Deposit Insurance Corporation,Due to Philippine Deposit Insurance Corporation,0.712 ,0.725 ,0.739 ,0.753 ,0.768 ,0.784 ,0.714 ,0.728 ,0.739 ,0.752 ,0.765 ,0.779 
Total Other Liabilities,Due to Philippine Crop Insurance Corporation,Due to Philippine Crop Insurance Corporation,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Income Tax Payable,Income Tax Payable,0.287 ,0.277 ,0.315 ,0.297 ,0.317 ,0.329 ,0.342 ,0.266 ,0.296 ,0.366 ,0.279 ,0.269 
Total Other Liabilities,Other Taxes and Licenses Payable,Other Taxes and Licenses Payable,0.298 ,0.248 ,0.212 ,0.229 ,0.243 ,0.286 ,0.248 ,0.223 ,0.214 ,0.237 ,0.241 ,0.253 
Total Other Liabilities,Accrued Expenses,Accrued Expenses,2.503 ,2.682 ,2.618 ,2.722 ,2.701 ,2.722 ,2.764 ,3.065 ,2.946 ,2.960 ,2.858 ,2.760 
Total Other Liabilities,Unearned Income ,Unearned Income ,0.636 ,0.618 ,0.620 ,0.524 ,0.567 ,0.466 ,0.452 ,1.455 ,1.388 ,1.368 ,1.356 ,1.368 
Total Other Liabilities,Deferred Tax Liabilities,Deferred Tax Liabilities,0.161 ,0.157 ,0.154 ,0.153 ,0.147 ,0.144 ,0.144 ,0.137 ,0.134 ,0.131 ,0.148 ,0.146 
Total Other Liabilities,Provisions,Provisions,0.019 ,0.022 ,0.024 ,0.025 ,0.027 ,0.029 ,0.023 ,0.023 ,0.023 ,0.029 ,0.030 ,0.029 
Total Other Liabilities,Other Liabilities,Other Liabilities,8.933 ,9.475 ,10.363 ,9.805 ,9.977 ,10.209 ,9.588 ,9.860 ,11.335 ,10.256 ,10.383 ,11.678 
Total Other Liabilities,Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),Due to Head Office/Branches/Agencies (Philippine branch of a foreign bank),0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Total Other Liabilities,Due to FCDU/RBU,Due to FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Capital Accounts total,Capital Accounts total,Capital Accounts total,53.678 ,53.420 ,53.682 ,60.078 ,61.755 ,61.423 ,61.947 ,62.845 ,61.686 ,61.564 ,61.852 ,61.680 
Capital Accounts total,Paid in Capital Stock,Paid in Capital Stock,42.922 ,42.933 ,42.939 ,42.447 ,42.502 ,43.305 ,43.516 ,42.623 ,41.140 ,41.149 ,41.228 ,41.289 
Capital Accounts total,Additional Paid-in Capital,Additional Paid-in Capital,4.983 ,4.983 ,4.983 ,5.266 ,5.736 ,4.932 ,4.932 ,5.289 ,5.289 ,5.678 ,5.678 ,5.678 
Capital Accounts total,Other Equity Instruments,Other Equity Instruments,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Capital Accounts total,Retained Earnings,Retained Earnings,5.611 ,5.624 ,5.484 ,11.803 ,11.512 ,11.377 ,11.239 ,12.033 ,11.573 ,11.240 ,11.242 ,8.887 
Capital Accounts total,Stock Dividend Distributable,Stock Dividend Distributable,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Capital Accounts total,Undivided Profits,Undivided Profits,0.088 ,(0.028),0.018 ,0.258 ,0.651 ,1.015 ,1.195 ,1.419 ,1.684 ,1.843 ,1.989 ,4.419 
Capital Accounts total,Other Comprehensive Income,Other Comprehensive Income,(0.788),(0.954),(0.603),(0.557),0.483 ,(0.039),0.233 ,0.648 ,1.182 ,0.837 ,0.896 ,0.589 
Capital Accounts total,Appraisal Increment Reserve,Appraisal Increment Reserve,0.947 ,0.947 ,0.947 ,0.947 ,0.956 ,0.918 ,0.918 ,0.918 ,0.828 ,0.828 ,0.828 ,0.828 
Capital Accounts total,Treasury Stock,Treasury Stock,(0.085),(0.085),(0.085),(0.085),(0.085),(0.085),(0.085),(0.085),(0.010),(0.010),(0.010),(0.010)
Capital Accounts total,Assigned Capital,Assigned Capital,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Capital Accounts total,Net Due to HO/Br/Ag,Net Due to HO/Br/Ag,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
Key  Ratios,Cash and Due from Banks to Deposits,Cash and Due from Banks to Deposits,,,,,,,,,,,,
Key  Ratios,Liquid Assets to Deposits 3/,Liquid Assets to Deposits 3/,10.93,10.63,11.35,11.52,12.08,13.04,12.78,13.79,13.69,13.59,14.94,13.47
Key  Ratios,"Loans, gross to Deposits","Loans, gross to Deposits",31.9,31.73,33.71,33.97,35.32,35.93,36.48,37.56,37.7,36.07,36.66,34.65
Key  Ratios,Capital Adequacy Ratio (CAR) 4/,Capital Adequacy Ratio (CAR) 4/,77.12,76.67,76.42,76.43,75.43,74.64,74.49,73.81,73.61,73.57,73.25,75.15
Key  Ratios,Capital Adequacy Ratio (CAR) 4/,Solo Basis,,,12.15,,,11.47,,,12.16,,,12.06
Key  Ratios,Capital Adequacy Ratio (CAR) 4/,Consolidated Basis,,,12.15,,,11.47,,,12.16,,,12.06
Key  Ratios,Total Capital Accounts to Total Assets 5/,Total Capital Accounts to Total Assets 5/,11.23,11.12,10.97,12.1,12.04,11.67,11.83,11.88,12.06,11.72,11.54,11.52
,,,,,,,,,,,,,,
Consolidated Statement of Condition and Key Ratios Thrift Banking System as of end of periods indicated in billion pesos,,,,,,,,,,,,,,
Updated as of 28 May 2010,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1/ Inclusive of other branches / subsidiaries of foreign banks,,,,,,,,,,,,,,
"2/ Figures adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,,,,,,,,
"3/ Ratio of Liquid Assets (Cash and Due from Banks + Financial Assets, Net of Allowance for Credit Losses) to Total Deposits",,,,,,,,,,,,,,
"4/ Based on the framework under Circular No. 280 dated 29 March 2001 which was formally adopted on 1 July 2001.  Effective 1 July 2003, the CARs of Universal and Commercial Banks (U/KBs), are based on combined credit and market risks under Circular No. dated 3 December 2002. The capital adequacy framework, covering U/KBs and their subsidiary banks and quasi-banks, was revised under Circular  No. 538 dated 2 June 2006 and was formally adopted on 1 July 2007.  The CAR computation for Thrift Banks, Rural and Cooperative Banks and Quasi-Banks that are not subsidiaries of U/KBs continue to be governed by Circular No. 280 and Circular No. 400 dated 1 September 2003.",,,,,,,,,,,,,,
5/ Ratio of  Total Capital Accounts ( for ratio analysis  consists of Total Capital Accounts + Redeemable Preferred Shares) to Total Assets,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,
