Selected Accounts,Selected Accounts,Selected Accounts,March-08 r/,Apr-08,May-08,Jun-08 r/,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,,
Total Other Liabilities,Due to FCDU/RBU,Due to FCDU/RBU,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Capital Accounts total,Capital Accounts total,Capital Accounts total,59.573 ,59.093 ,57.896 ,57.101 ,57.064 ,58.582 ,58.469 ,51.356 ,51.466 ,53.455 ,,
Capital Accounts total,Paid in Capital Stock,Paid in Capital Stock,43.567 ,43.579 ,44.005 ,43.949 ,43.954 ,44.841 ,44.859 ,42.901 ,42.897 ,42.899 ,,
Capital Accounts total,Additional Paid-in Capital,Additional Paid-in Capital,7.475 ,7.756 ,7.506 ,7.545 ,7.545 ,7.748 ,7.748 ,5.992 ,5.992 ,4.983 ,,
Capital Accounts total,Other Equity Instruments,Other Equity Instruments,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Capital Accounts total,Retained Earnings,Retained Earnings,6.738 ,6.590 ,5.563 ,5.491 ,5.160 ,5.046 ,4.975 ,3.373 ,3.401 ,2.794 ,,
Capital Accounts total,Stock Dividend Distributable,Stock Dividend Distributable,0.000 ,0.002 ,0.004 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Capital Accounts total,Undivided Profits,Undivided Profits,0.696 ,0.626 ,0.686 ,0.686 ,0.642 ,0.638 ,0.785 ,0.946 ,0.711 ,2.664 ,,
Capital Accounts total,Other Comprehensive Income,Other Comprehensive Income,0.108 ,(0.445),(0.829),(1.535),(1.150),(0.601),(0.768),(2.721),(2.401),(0.751),,
Capital Accounts total,Appraisal Increment Reserve,Appraisal Increment Reserve,0.998 ,0.995 ,1.045 ,1.045 ,0.996 ,0.996 ,0.955 ,0.950 ,0.950 ,0.950 ,,
Capital Accounts total,Treasury Stock,Treasury Stock,(0.010),(0.010),(0.085),(0.085),(0.085),(0.085),(0.085),(0.085),(0.085),(0.085),,
Capital Accounts total,Assigned Capital,Assigned Capital,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Capital Accounts total,Net Due to HO/Br/Ag,Net Due to HO/Br/Ag,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,,
Key  Ratios,Cash and Due from Banks to Deposits,Cash and Due from Banks to Deposits,17.54,15.24,14.29,15.01,14.3,14,14.26,13.09,10.31,12.19,,
Key  Ratios,Liquid Assets to Deposits 3/,Liquid Assets to Deposits 3/,35.51,33.53,32.6,33.1,32.92,32.35,32.96,32.52,30.48,33.09,,
Key  Ratios,"Loans, gross to Deposits","Loans, gross to Deposits",81.8,84.97,85.85,76.38,78.82,78.04,77.58,76.77,78.54,77.49,,
Key  Ratios,Capital Adequacy Ratio (CAR) 4/,Capital Adequacy Ratio (CAR) 4/,,,,,,,,,,,,
Key  Ratios,Capital Adequacy Ratio (CAR) 4/,Solo Basis,15.16,,,14.5,,,14.59,,,12.8,,
Key  Ratios,Capital Adequacy Ratio (CAR) 4/,Consolidated Basis,15.16,,,14.5,,,14.59,,,12.8,,
Key  Ratios,Total Capital Accounts to Total Assets 5/,Total Capital Accounts to Total Assets 5/,12.3,11.98,11.58,11.83,11.81,12.13,12.13,10.86,10.76,11.1,,
,,,,,,,,,,,,,,
Consolidated Statement of Condition and Key Ratios Thrift Banking System as of end of periods indicated in billion pesos,,,,,,,,,,,,,,
Updated as of 5 March 2009,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1/ Inclusive of other branches / subsidiaries of foreign banks,,,,,,,,,,,,,,
"2/ Figures adjusted to net off the account ""Due from Head Office"" with ""Due to Head Office"" of branches of foreign banks",,,,,,,,,,,,,,
"3/ Ratio of Liquid Assets (Cash and Due from Banks + Financial Assets, Net of Allowance for Credit Losses) to Total Deposits",,,,,,,,,,,,,,
"4/ Based on the framework under Circular No. 280 dated 29 March 2001 which was formally adopted on 1 July 2001.  Effective 1 July 2003, the CARs of Universal and Commercial Banks (U/KBs), are based on combined credit and market risks under Circular No. dated 3 December 2002. The capital adequacy framework, covering U/KBs and their subsidiary banks and quasi-banks, was revised under Circular  No. 538 dated 2 June 2006 and was formally adopted on 1 July 2007.  The CAR computation for Thrift Banks, Rural and Cooperative Banks and Quasi-Banks that are not subsidiaries of U/KBs continue to be governed by Circular No. 280 and Circular No. 400 dated 1 September 2003.",,,,,,,,,,,,,,
5/ Ratio of  Total Capital Accounts ( for ratio analysis  consists of Total Capital Accounts + Redeemable Preferred Shares) to Total Assets,,,,,,,,,,,,,,
r/ Revised,,,,,,,,,,,,,,
Note: Details may not add up to totals due to rounding-off,,,,,,,,,,,,,,
"Source : Supervisory Data Center, Supervision and Examination Sector",,,,,,,,,,,,,,
