operator,operator_address,date_established,families_served
Brgy. Council of Rang-Ayan,"Brgy. Rang-Ayan, Angandanan, Isabela",3/11/2009,2263
Brgy. Council of Guam,"Brgy. Guam, San Guillermo, Isabela",3/17/2009,733
Brgy. Council of Imelda Bliss,"Brgy. Imelda Bliss, Ilagan, Isabela",6/10/2008,1338
Ilagan Association of Women,"Brgy. Bintacan, Ilagan, Isabela",3/12/2009 (turn-over last 11/8/11),674
Brgy. Council of Minanga Norte,"Brgy. Minanga Norte, San Pablo, Isabela",10/20/2008,616
Brgy. Council of Auitan,"Brgy. Auitan San Pablo, Isabela",10/20/2008,685
Brgy. Council of Linao East,"Brgy. Linao East,Tuguegarao City",1/11/2008,1520
Brgy. Council of Pinopoc,"Brgy. Pinopoc, Alcala, Cagayan",6/18/2008,507
Mauan WomenÍs Marketing Cooperative,"Brgy. Mauan Bambang, Nueva Vizcaya",12/29/2010,786
Saint Joseph Parish Multi-Purpose Cooperative,"Brgy. Belance, Dupax Del Norte, Nueva Vizcaya",12/28/2010,720
KINGBIKS FARMERS COOP.,"Brgy. Kinabuan, Dupax Del Sur, Nueva Vizcaya",3/23/2012,1050
RIC,"Brgy. Centro, Sto. Ana, Cagayan",8/8/2008,1000
Sto.Domingo Multi-Purpose Cooperative,"Brgy. Sto. Domingo, Baggao, Cagayan",3/25/2010,1000
Brgy. Council of Imurung,"Brgy. Imurung, Baggao, Cagayan",-,1392
Brgy. Council of Remus,"Brgy. Remus, Baggao, Cagayan",11/12/2010,1229
Nangalisan Credit Coopertive(NACRECO),"Brgy. Nangalisan Bagabag, Nueva Vizcaya",11/25/2010,1118
Brgy. Council of Ineangan,"Brgy. Ineangan, Dupax Del Norte, Nueva Vizcaya",3/24/2010,1076
Brgy. Council of Decabacan,"Brgy. Decabacan, Diadi, Nueva Vizcaya",2/18/2012,655
Rural Improvement Club(RIC),"Brgy.Poblacion Ambaguio, Nueva Vizcaya",2/27/10 (turn-over to RIC 2/27/12),300
Dept.of Agri.Multi-Purpose Coop.(RFU2),"Brgy. San Gabriel, Tuguegarao City",1/18/2008,1654
Brgy. Council of Cataggaman,"Brgy. Cataggaman Nuevo, Tuguegarao City",7/18/2008,2010
Brgy. Council of Gosi Norte,"Brgy. Gosi Norte, Tuguegarao City",8/28/2008,584
Coop managed Solana west Farmers Coop (SOWESFACO),"Brgy. Ubong, Western Solana, Cagayan",7/7/2011,1353
Brgy. Council of Niug Sur,"Brgy. Niug Sur, Sto.Nino, Cagayan",7/7/2011,2235
Brgy. Council of Tabang,"Brgy. Tabang, Sto.Nino, Cagayan",3/18/2009,580
RIC,"Brgy. Taggat Norte, Cagayan",3/18/2009,2973
Municipal Council of Sto.Praxedes,"Brgy. Centro 2, Sto. Praxedes, Cagayan",6/8/2010,1292
Masisit Fishery Based Multi-purpose Coop,"Brgy. Masisit, Sanchez Mira, Cagayan",4/16/2010,1534
RIC,"Brgy. Dagueray, Sanchez Mira, Cagayan",4/17/2009,950
Sto.Nino RIC,"Brgy. Abbariongan, Sto.Nino, Cagayan",7/23/2008,344
Federation of Vegetable Growers,"Brgy. Cabulay, Santiago City, Isabela",4/23/2010,2335
Rural Improvement Club,"Brgy. Balintocatoc, Santiago City, Isabela",4/21/2010,460
Bannawag Norte RIC,"Brgy. Bannawag Norte, Santiago City, Isabela",4/23/2010,460
Rural Improvement Club,"Brgy. San Jose, Santiago City, Isabela",6/10/2010,636
Diffun Saranay and Dev't Cooperative (DISADECO),"Brgy. Andres Bonifacio, Diffun, Quirino",1/18/2011,1188
Brgy. Council of Dipantan,"Brgy. Dipantan, Nagtipunan, Quirino",6/11/2010,3129
Brgy. Council of San Bernabe,"Brgy. San Bernabe, Maddela, Quirino",4/19/2010,3129
Brgy. Council of Ricarte Sur,"Brgy. Ricarte Sur, Diffun, Quirino",7/8/2011,463
Brgy. Council of Magsaysay,"Brgy. Magsaysay, Diffun, Quirino",6/17/2010,710
Brgy. Council of Kayuganan,"Brgy. Kayuganan, Uyugan, Batanes",5/28/2011,800
"Ivana WomenÍs Employee,s","Brgy. Poblacion, Ivana, Batanes",6/26/2011,765
Municipal Council of Mahatao,"Brgy. Poblacion, Mahatao, Batanes",5/20/2010,796
Provincial Council of Batanes,"Brgy. Ihubok II, Basco, Batanes",5/19/2010,3939
Sto. Barbara Sweet Carabao Mango Association,"Brgy. Tebag West, Sto. Barbara, Pangasinan",12/10/2010,3751
Kababaihan tungo sa Kaunlaran Multi-Purpose Cooperative,"Brgy. Telbang, Alaminos, Pangasinan",3/18/2009,1566
Santiago Sur Farmers and Fishermen Consumer,"Brgy. Santiago Sur, Caba, La Union",2/2/2011,1210
Sekdar Tan Ilalo Farmers Cooperative,"Brgy. Pagal Bliss, San Carlos City, Pangasinan",2/10/2011,4223
Municipal LGU,"Brgy. Poblacion, Binalonan, Pangasinan",3/23/2011,54873
Brgy. LGU,"Brgy. Amansabina, Mangaldan, Pangasinan",3/12/2010,1800
Paringao Rural Improvement Club,"Brgy. Paringao, Bauang, La Union",4/1/2011,43599
Brgy. Council of San Francisco Sur,"Brgy. San Francisco Sur, Sudipen, La Union",11/23/2011,1375
Filipino Farmers Tigergrass Grower Multi-Purpose,"Brgy. Baay, Bagulin, La Union",-,2504
Municipal LGU,"Brgy. Poblacion Este, Sto. Cruz, Ilocos Sur",2/8/2011,3085
San Pablo Multi-Purpose Progreso Cooperative,"No. 20 Brgy. San Pablo, San Nicolas, Ilocos Norte",11/18/2011,1387
Brgy. Council of Nagbacalan,"No. 22 Nagbacalan, Paoay, Ilocos Norte",12/1/2012,2655
Parada Rural Improvement Club,"Brgy. San Pablo, Sto. Domingo, Ilocos Sur",7/18/2011,1000
