Loan_ID,Loan_Title,Fund_Source,Loan_Type,IA,Sector,Region,Cumulative_Actual_Disbursement,1QT,2QT,3QT,4QT,Cumulative_Target_Disbursement,1C,2C,3C,4C,Cumulative_Cancellations_Year,Undisbursed_Amount_Prev,Loan_Balance,Disbursement_Rate,Cumulative_Actual_Disbursement,Cumulative_Target_Disbursement,Loan_Amount,Net_Commitment,Availment_Rate,Backlog_Amount,Cumulative_Cancellation,Disbursement_Ratio,Loan_Signing_Date,Loan_Closing_Date,Revised_Closing_Date,Loan_Effectivity_Date,Time_Elapsed,Utilization_Rate,Balance,TE-UR,Loan_Status
PH-P239,Pasig Marikina River Channel Improvement Project (Phase II),GOJ-JICA,Project,DPWH,Infrastructure,NCR,33.40,13.35,6.29,10.29,3.62,33.55,0.00,0.00,0.00,0.00,0.00,59.88,59.88,99.55%,85.17,95.76,110.38,110.38,88.94%,10.588,0.00,55.78%,2/27/07,6/21/15,,6/21/07,56.61%,77.16%,25.21,-20.55%,Ongoing
PH-P241,Pinatubo Hazard Urgent Mitigation Project III,GOJ-JICA,Project,DPWH,Infrastructure,,30.00,8.65,5.00,4.01,3.53,21.19,0.00,0.00,0.00,0.00,0.00,72.64,72.64,141.58%,56.57,83.37,98.34,98.34,67.85%,26.799,0.00,41.30%,12/18/07,4/15/15,,4/15/08,53.01%,57.52%,41.78,-4.51%,Ongoing
PH-P242,Agrarian Reform Infrastructure Support Project III,GOJ-JICA,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform",,20.12,2.19,4.58,6.25,7.33,20.35,0.00,0.00,0.00,0.00,0.00,122.62,122.62,98.87%,50.59,86.00,152.64,152.64,58.82%,35.418,0.00,16.41%,12/18/07,4/15/17,,4/15/08,41.22%,33.14%,102.05,8.08%,Ongoing
PH-P243,Environmental Development Project,GOJ-JICA,Project,DBP,Infrastructure,,6.59,4.62,0.63,5.33,7.42,18.00,0.00,0.00,0.00,0.00,0.00,262.10,262.10,36.61%,66.16,58.76,321.33,321.33,112.60%,-7.401,0.00,2.51%,9/30/08,1/7/16,,1/7/09,42.57%,20.59%,255.18,21.98%,Ongoing
PH-P244,Agriculture Credit Support Project,GOJ-JICA,Project,LBP,"Agriculture, Natural Resources and Agrarian Reform",,34.17,6.08,0.00,0.32,0.00,6.40,0.00,0.00,0.00,0.00,0.00,145.14,145.14,533.91%,79.24,48.16,188.93,188.93,164.53%,-31.079,0.00,23.54%,11/25/09,3/23/17,,3/23/10,25.34%,41.94%,109.68,-16.60%,Ongoing
PH-P245,Logistics Infrastructure Development Project,GOJ-JICA,Project,DBP,Infrastructure,,10.14,10.59,0.00,1.66,13.64,25.89,0.00,0.00,0.00,0.00,0.00,241.69,241.69,39.17%,161.99,220.33,392.90,392.90,73.52%,58.335,0.00,4.20%,11/9/09,12/24/16,,12/24/09,28.82%,41.23%,230.91,-12.41%,Ongoing
PH-P246,Post Ondoy and Pepeng Short-term Infrastructure Rehabilitation Project,GOJ-JICA,Project,DPWH,Infrastructure,"NCR, CAR, I, II, III, IV-A, IV-B, V",37.35,7.60,8.82,12.49,7.46,36.37,0.00,0.00,0.00,0.00,0.00,91.73,91.73,102.69%,74.71,47.43,128.19,128.19,157.51%,-27.278,0.00,40.72%,5/26/10,9/21/13,,9/21/10,42.52%,58.28%,53.48,-15.76%,Ongoing
PH-P247,Road Upgrading and Preservation Project,GOJ-JICA,Project,DPWH,Infrastructure,"I, III, IV-A, IV-B, V, XI, XIII",0.08,0.00,0.00,0.00,5.17,5.17,0.00,0.00,0.00,0.00,0.00,523.54,523.54,1.55%,0.08,28.32,523.62,523.62,0.27%,28.247,0.00,0.02%,3/31/11,7/21/23,,7/21/11,3.72%,0.01%,523.54,3.71%,Ongoing
SAUDI-1/433,Mindanao Roads Improvement Project,Saudi Arabia,Project,DPWH,Infrastructure,,1.36,2.77,3.03,1.77,1.40,8.97,0.00,0.00,0.00,0.00,0.00,18.07,18.07,15.14%,3.29,13.57,20.00,20.00,24.24%,10.28,0.00,7.52%,10/21/05,12/31/09,12/31/12,4/2/06,85.15%,16.45%,16.71,68.70%,Ongoing
SIDA-01,Credit Facility for the Environmental Management Project,SIDA,Project,DBP,"Industry, Trade and Tourism",Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00%,0.00,0.00,10.00,0.00,0.00%,0,10.00,0.00%,8/3/05,8/3/08,8/3/11,10/21/05,107.10%,0.00%,0.00,,Cancelled
Spain-8,Bridge Construction/Replacement Project,Spain,Project,DPWH,Infrastructure,"Nationwide except NCR, ARMM",11.83,5.63,9.47,1.73,1.70,18.53,0.00,0.00,0.00,0.00,0.00,21.67,21.67,63.84%,37.80,26.67,47.63,47.63,141.73%,-11.13,0.00,54.61%,11/6/09,6/10/13,,2/10/10,56.66%,79.36%,9.83,-22.70%,Ongoing
UK-5,Tulay ng Pangulo Para sa Magsasaka Project,UK,Project,DAR,"Agriculture, Natural Resources and Agrarian Reform",Nationwide,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.61,130.61,130.61,0.00,0.00%,58.07,58.07,188.68,58.07,100.00%,0,130.61,0.00%,9/1/06,10/15/11,,12/6/06,104.34%,100.00%,0.00,4.34%,Closed
