parliculars_1,parliculars_2,parliculars_3,parliculars_4,reference_check_or_dv_no,date,expense_class,object_of_expenditures,amount
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,"Alaba, Danilo et al",120916764,9/5/2012,200,851,12845
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,"Almazan, Elmorito Sr. et al ",120916837,9/6/2012,200,851,12089
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,"Acero, Alexander et al",120916875,9/6/2012,200,851,3354.13
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,M and B Ceniza Petron Service Station,661997,9/21/2012,200,851,9956
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,M and B Ceniza Petron Service Station,1661950,9/9/2012,200,851,15436.8
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,"Acero, Alexander et al",120917096,9/12/2012,200,851,19291.14
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,"Alaba, Danilo et al",120917456,9/17/2012,200,851,2232
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,M and B Ceniza Petron Service Station,6621261,9/21/2012,200,851,2009.37
Less: Disbursements,Post-Disaster Programs,Const. of Hanging Footbridge Camansi,M and B Ceniza Petron Service Station,662453,10/5/2012,200,851,22596.8
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Ayuban, Buenvinido et al",120917744,9/19/2012,200,851,12886.44
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Masauding, Ernesto et al",662034,9/24/2012,200,851,4460.64
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Algabre, Jeremias et al",120713928,7/25/2012,200,851,2992
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Iraola, elias et al",120713929,7/25/2012,200,851,1412.44
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,660374,7/31/2012,200,851,31546.9
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,660373,7/31/2012,200,851,23376.6
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,660378,7/31/2012,200,851,15584.4
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,660726,6/8/2012,200,851,113664
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,660933,8/10/2012,200,851,134528
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,660933,8/14/2012,200,851,110999
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,661186,8/24/2012,200,851,59995
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Algabre, Jeremias et al",120815913,8/23/2012,200,851,23262
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Lopez, Rey et al",120816084,8/24/2012,200,851,2851.04
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Iraola, elias et al",120816031,8/23/2012,200,851,5649.73
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini",M and B Ceniza Petron Service Station,661485,9/5/2012,200,851,6992.5
Less: Disbursements,Post-Disaster Programs,"Const. of Sitio Settler - Tabon Road, Mabini","Algabre, Jeremias et al",120917438,9/17/2012,200,851,31927
Total,Total,Total,Total,-,-,-,-,6066682.71
Balace,Balace,Balace,Balace,-,-,-,-,32993484.29
