department_office,item_number,description,unit_cost,quantity_1,quantity_2,total_cost,1st_quarter_amount,1st_quarter_quantity,2nd_quarter_quantity,1nd_quarter_amount,3rd_quarter_quantity,3rd_quarter_amount,4th_quarter_quantity,4th_quarter_amount
Provincial Health Office,11,"Compressor Nebulizer Syetem, Pulmo-Aide, Model No: 5650P, Heavy Duty",13104,3,Units,39312,-,-,-,-,3,-,-,-
Provincial Health Office,12,"NIBF Cuff with Connector, Adult (For Schiller Patient Monitor) Model: Argus LSM",5600,2,Pcs,11200,-,-,-,-,2,-,-,-
Provincial Health Office,13,"Airconditioner, 2HP, Window Type",-,1,Unit,30100,-,-,-,-,1,-,-,-
Provincial Health Office,14,"Paper, Book, 300 pages, size: 214mm x 278mm min",57.35,10,Books,573.5,-,-,-,-,10,-,-,-
Provincial Health Office,15,Repair of Oeration Microscope,-,1,Unit,35413.95,-,-,-,-,1,-,-,-
Provincial Health Office,16,Alfaton 20L with Alfalyse 5L,68000,3,Sets,204000,-,-,-,-,3,-,-,-
Provincial Health Office,17,"Projector, LCD w/ Projector Screen, Model No X112",-,1,Unit,25000,-,-,-,-,1,-,-,-
Provincial Health Office,18,"Component, Sound System, Model DM5230",-,1,Unit,9550,-,-,-,-,1,-,-,-
Provincial Health Office,19,Paracetamol,100,20,Boxes,2000,-,-,-,-,20,-,-,-
Provincial Health Office,20,Metoclopramide,950,13,Boxes,12350,-,-,-,-,13,-,-,-
Provincial Health Office,21,Dicycloverine,100,20,Boxes,2000,-,-,-,-,20,-,-,-
Provincial Health Office,22,Citirizine,500,13,Boxes,6500,-,-,-,-,13,-,-,-
Provincial Health Office,23,Multivitamin w/ iron,500,13,Boxes,6500,-,-,-,-,13,-,-,-
Provincial Health Office,24,Urine Strip (10 Parameter),1800,12,Canist,21600,-,-,-,-,12,-,-,-
Provincial Health Office,25,Gasoline,-,-,-,25000,-,-,-,-,-,-,-,-
Provincial Health Office,26,Catering Services 2 Snacks and 1 Lunch,200,100,Pax,20000,-,-,-,-,100,-,-,-
Provincial Health Office,27,"Vitamin B1, B6, B12 Tablets",200,60,Boxes,12000,-,-,-,-,60,-,-,-
Provincial Health Office,-,Total,-,-,-,519659.45,-,-,-,-,-,-,-,-
"Personnel Division, Provincial Governor's Office",1,Computer Ribbon ,150,10,Pcs,1500,-,-,-,-,10,-,-,-
"Personnel Division, Provincial Governor's Office",2,Semantic Antivirus,800,1,Pc,800,-,-,-,-,1,-,-,-
"Personnel Division, Provincial Governor's Office",3,Plaque,600,27,Pcs,16200,-,-,-,-,27,-,-,-
"Personnel Division, Provincial Governor's Office",4,T-Shirts,250,22,Pcs,5500,-,-,-,-,22,-,-,-
"Personnel Division, Provincial Governor's Office",-,Total,-,-,-,24000,-,-,-,-,-,-,-,-
Provincial General Services Office (PGSO),1,Toner for MP 1500,2710.4,5,Tubes,13552,-,-,-,-,2,-,3,-
Provincial General Services Office (PGSO),-,Total,-,-,-,13552,-,-,-,-,-,-,-,-
"Environment and Natural Resources Division, Provincial Governor's Office",1,"Folder, Tagboard for legal size",-,1,Pack,290,-,-,-,-,1,-,-,-
"Environment and Natural Resources Division, Provincial Governor's Office",2,"Folder, Tagboard for A4 size",-,1,Pack,258,-,-,-,-,1,-,-,-
"Environment and Natural Resources Division, Provincial Governor's Office",-,Total,-,-,-,548,-,-,-,-,-,-,-,-
Provincial Budget Office,1,1 Unit CPU Clone Desktop,-,1,Set,17000,-,-,-,-,1,-,-,-
Provincial Budget Office,-,Core i3-3240 3.4Ghz LGA Processor,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,H61 M-E Motherboard Socket 1155,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,4GB DDR3-1333 Memory,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,500 GB Hard Disk,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,DVD-Writer 22X Sata Bulk w/ Logo Black,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,ATX Casing with 600 watts power supply,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,Keyboard and Mouse PS/2,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,AVR 500 watts and multimedia speaker,-,-,-,-,-,-,-,-,-,-,-,-
Provincial Budget Office,-,Total,-,-,-,17000,-,-,-,-,-,-,-,-
Provincial Treasurer's Office,1,Calculator with Tape,-,1,Pc,4450,-,-,-,-,1,-,-,-
Provincial Treasurer's Office,-,Total,-,-,-,4450,-,-,-,-,-,-,-,-
Las Nieves Municipal Hospital,1,D5LR 1L (Euromed),80.5,120,Btls,9660,-,-,-,-,120,-,-,-
Las Nieves Municipal Hospital,2,PNSS 0.9% 1L (Euromed),80.5,120,Btls,9660,-,-,-,-,120,-,-,-
Las Nieves Municipal Hospital,3,PLR 1L (Euromed),80.5,120,Btls,9660,-,-,-,-,120,-,-,-
Las Nieves Municipal Hospital,4,D5 Nm 1L (Euromed),80.5,120,Btls,9660,-,-,-,-,120,-,-,-
Las Nieves Municipal Hospital,5,D5 IMB Euro-Ion in DS Water 500cc,80.5,48,Btls,3864,-,-,-,-,48,-,-,-
Las Nieves Municipal Hospital,6,D5 0.3% NaCl 500cc,80.5,48,Btls,3864,-,-,-,-,48,-,-,-
Las Nieves Municipal Hospital,-,Total,-,-,-,46368,-,-,-,-,-,-,-,-
Kitcharao District Hospital,1,"Airconditioner, Windowytpe, 2HP",20000,4,Unit,80000,-,-,-,-,4,-,-,-
Kitcharao District Hospital,2,Duplicating Machine (Risograph),150000,1,Unit,150000,-,-,-,-,1,-,-,-
Kitcharao District Hospital,3,Desktop Computer with Accessories,35000,2,Unit,70000,-,-,-,-,-,-,2,-
Kitcharao District Hospital,4,Steel Cabinet 4 drawers,20000,2,Unit,40000,-,-,-,-,-,-,2,-
Kitcharao District Hospital,5,Refrigerator 5 cu. ft.,15000,1,Unit,15000,-,-,-,-,-,-,1,-
Kitcharao District Hospital,6,Washing Machine w/ drier,15000,1,Unit,15000,-,-,-,-,-,-,1,-
Kitcharao District Hospital,-,Total,-,-,-,370000,-,-,-,-,-,-,-,-
Provincial Governor's Office,1,"Computer Printer (Built in Printer) Continious Ink Tank 180 nozzle Black, 59 nozzles per color 8 pl, dye ink. 720x720 dpi 8.5 pages/min. color,black,cyan,yellow,magenta a4, letter, user defined, legal 50 sheets standard",-,1,Unit,5500,-,-,-,-,1,-,-,-
Provincial Governor's Office,2,"Computer Ink: T 6641-Black, T-6642-Cyan, T-6643-Magenta, T-6644-Yellow",-,4,Pcs,1400,-,-,-,-,4,-,-,-
Provincial Governor's Office,3,Paint Quick Dry (Enamel),-,1,Gal,2300,-,-,-,-,1,-,-,-
Provincial Governor's Office,4,Paint Thinner,-,3,Btls,-,-,-,-,-,3,-,-,-
Provincial Governor's Office,5,Paint Brush 1 Inch.,-,1,Pc,-,-,-,-,-,1,-,-,-
Provincial Governor's Office,6,Glazy Putty,-,1,Ltr,-,-,-,-,-,1,-,-,-
Provincial Governor's Office,7,#120 Sand Paper,-,4,Pcs,-,-,-,-,-,4,-,-,-
Provincial Governor's Office,8,Lacquer Thinner,-,1,Btl,-,-,-,-,-,1,-,-,-
Provincial Governor's Office,9,Mini Roller Foam,-,2,Pcs,-,-,-,-,-,1,-,-,-
Provincial Governor's Office,10,Flourescent Lamp Tube (Slim 36 Watts),-,10,Pcs,4500,-,-,-,-,10,-,-,-
Provincial Governor's Office,11,Ballast 40 Watts,-,5,Pcs,-,-,-,-,-,5,-,-,-
Provincial Governor's Office,12,Starter 40 Watts,-,7,Pcs,-,-,-,-,-,7,-,-,-
Provincial Governor's Office,13,T-5 Flourescent Tube (Blue 28 Watts),-,6,Pcs,-,-,-,-,-,6,-,-,-
Provincial Governor's Office,-,Total,-,-,-,13700,-,-,-,-,-,-,-,-
Sangguniang Panlalawigan Office (VG),1,"Bond Paper subs. 18, long",160,20,Reams,3200,-,-,-,-,20,-,-,-
Sangguniang Panlalawigan Office (VG),2,"Bond Paper subs. 18, short",130,20,Reams,2600,-,-,-,-,20,-,-,-
Sangguniang Panlalawigan Office (VG),3,Engineering Pen,600,2,Sets,1200,-,-,-,-,2,-,-,-
Sangguniang Panlalawigan Office (VG),4,Catering Services for Sesyon sa Kalungsoran at,150,840,Pax,126000,-,-,120,-,360,-,360,-
Sangguniang Panlalawigan Office (VG),5,Stamping Pad,70,1,Pc,70,-,-,-,-,1,-,-,-
Sangguniang Panlalawigan Office (VG),6,"Catering Services for VG Consultation Approaches w/ Sectors for Appropriate Legislations (VG-Casal) ""Bise-Bisita sa Baryo ni Bise Governador RAMBU"" Menu: Rice, Chicken and Juice Note: Packlunch Delivered on-site",50,6000,Pax,300000,-,-,-,-,1920,-,4080,-
Sangguniang Panlalawigan Office (VG),7,Basketball,195,50,Pcs,9750,-,-,-,-,50,-,-,-
Sangguniang Panlalawigan Office (VG),8,Anti-Viruskaspersky,1000,3,Pcs,3000,-,-,-,-,3,-,-,-
Sangguniang Panlalawigan Office (VG),9,"Scissors, Heavy Duty",65,1,Pc,65,-,-,-,-,1,-,-,-
Sangguniang Panlalawigan Office (VG),-,Total,-,-,-,445885,-,-,-,-,-,-,-,-
Provincial Disaster Risk Reduction and Management Office,1,Tarpaulin,-,2,Pcs,3200,-,-,-,-,2,-,-,-
Provincial Disaster Risk Reduction and Management Office,2,Fire Extinguisher,-,3,Tanks,3600,-,-,-,-,3,-,-,-
Provincial Disaster Risk Reduction and Management Office,3,Portable Sound System,-,1,Unit,20000,-,-,-,-,1,-,-,-
Provincial Disaster Risk Reduction and Management Office,4,Microphone,-,1,Unit,5500,-,-,-,-,1,-,-,-
Provincial Disaster Risk Reduction and Management Office,5,"Speaker Stand, tripod",-,1,Unit,2000,-,-,-,-,1,-,-,-
Provincial Disaster Risk Reduction and Management Office,6,Tactical Pants,-,70,Pcs,98000,-,-,35,-,35,-,-,-
Provincial Disaster Risk Reduction and Management Office,7,Board laid white short,-,50,Packs,2250,-,-,-,-,50,-,-,-
Provincial Disaster Risk Reduction and Management Office,8,Bookpaper sub20 short,-,10,Reams,1600,-,-,-,-,10,-,-,-
Provincial Disaster Risk Reduction and Management Office,9,Bookpaper sub20 long,-,10,Reams,1750,-,-,-,-,10,-,-,-
Provincial Disaster Risk Reduction and Management Office,10,"Masking tape 2""",-,5,Rolls,125,-,-,-,-,5,-,-,-
Provincial Disaster Risk Reduction and Management Office,11,"Masking tape 1""",-,5,Rolls,125,-,-,-,-,5,-,-,-
Provincial Disaster Risk Reduction and Management Office,12,Fastener Plastic coated,-,5,Boxes,125,-,-,-,-,5,-,-,-
Provincial Disaster Risk Reduction and Management Office,13,"Ink, permanent pen black",-,1,Bot,65,-,-,-,-,1,-,-,-
Provincial Disaster Risk Reduction and Management Office,14,Stopwatch,-,12,Pcs,1200,-,-,-,-,12,-,-,-
Provincial Disaster Risk Reduction and Management Office,-,Total,-,-,-,139540,-,-,-,-,-,-,-,-
Provincial Economic Enterprise Development and Management Office (PEEDMO),1,Oxygen Refill (STD),712,2,Tanks,1424,-,-,-,-,2,-,-,-
Provincial Economic Enterprise Development and Management Office (PEEDMO),2,Acetylene Refill (STD),1500,1,Tank,1500,-,-,-,-,1,-,-,-
Provincial Economic Enterprise Development and Management Office (PEEDMO),3,Hard Disk (DTUVF) SATA 500GB,2670,1,Pcs,2670,-,-,-,-,1,-,-,-
Provincial Economic Enterprise Development and Management Office (PEEDMO),4,USB 8GB,450,2,Pcs,900,-,-,-,-,2,-,-,-
Provincial Economic Enterprise Development and Management Office (PEEDMO),-,Total,-,-,-,6494,-,-,-,-,-,-,-,-
PGO-Community Affairs Division,1,Candle,1500,1,Set,1500,-,-,-,-,1,-,-,-
PGO-Community Affairs Division,2,Abaca made basket,600,1,Pc,600,-,-,-,-,1,-,-,-
PGO-Community Affairs Division,3,Assorted Colored Paper Short,350,1,Ream,350,-,-,-,-,1,-,-,-
PGO-Community Affairs Division,4,Tape Eraser,240,6,Pcs,1440,-,-,-,-,6,-,-,-
PGO-Community Affairs Division,5,Continous Paper short 3 ply,375,1,Box,375,-,-,-,-,1,-,-,-
PGO-Community Affairs Division,6,Tire for L200 Mitsubishi 185 x 14 8 ply,11200,2,Pcs,22400,-,-,-,-,2,-,-,-
PGO-Community Affairs Division,-,Total,-,-,-,26665,-,-,-,-,-,-,-,-
Provincial Engineers Office,1," Ink, Whiteboard",50,2,Pcs,100,-,-,-,-,2,-,-,-
Provincial Engineers Office,2," Marker, Whiteboard",20,5,Pcs,100,-,-,-,-,5,-,-,-
Provincial Engineers Office,3," Ink Plotter, Designjet 510, Black 82",1900,2,Pcs,3800,-,-,-,-,2,-,-,-
Provincial Engineers Office,4," Ink Plotter, Designjet 510, Yellow 82",1900,1,Pc,1900,-,-,-,-,1,-,-,-
Provincial Engineers Office,5," Stapler, HD, No. 35",285,2,Pcs,570,-,-,-,-,2,-,-,-
Provincial Engineers Office,6,Correction Tape,75,10,Pcs,750,-,-,-,-,10,-,-,-
Provincial Engineers Office,7,"Continious Paper, 4 Ply. 11 x 14",1250,1,Pcs,1250,-,-,-,-,1,-,-,-
Provincial Engineers Office,8,Sign Pen (0.5),30,25,Pcs,750,-,-,-,-,25,-,-,-
Provincial Engineers Office,9,"Grasscutters (6x20,000.00)",20000,3,Sets,60000,-,-,-,-,6,-,-,-
Provincial Engineers Office,10,"Fuel, Diesel",53,94981,Liters,5034000,23745.27,-,23745.27,-,23745.27,-,23745.27,-
Provincial Engineers Office,11,"Fuel, Gasoline",60,4600,Liters,276000,1149.99,-,1149.99,-,1149.99,-,1149.99,-
Provincial Engineers Office,12,Oil and Lubricants,300,2300,Liters,690000,575.01,-,575.01,-,575.01,-,575.01,-
Provincial Engineers Office,13,IT Equipment and Software,4166.67,12,Mons.,50000,12501,-,12501,-,12501,-,12501,-
Provincial Engineers Office,14,Office Equipment,4166.67,12,Mons.,50000,12501,-,12501,-,12501,-,12501,-
Provincial Engineers Office,15,Office Building,2500,12,Mons.,30000,7500,-,7500,-,7500,-,7500,-
Provincial Engineers Office,16,Motor Vehicle,308333.33,12,Mons.,3700000,924999,-,924999,-,924999,-,924999,-
Provincial Engineers Office,17,Provincial Roads and Bridges,308333.33,12,Mons.,3700000,924999,-,924999,-,924999,-,924999,-
Provincial Engineers Office,18," LABOR for Prosposed Construction of Two Classroom  School Bldg. Located at Bokbokon High School Annex, Las Nieves, Agusan del Norte",-,1,JO,203790.99,-,-,-,-,1,-,-,-
Provincial Engineers Office,19,"Materials - Ordinary Plywood, 1/4"" x 4' x 8'",353,5,Pcs.,1765,-,-,-,-,5,-,-,-
Provincial Engineers Office,20,"Materials - Nails, CW, #3""",75,14,Kls.,1050,-,-,-,-,14,-,-,-
Provincial Engineers Office,21,"Materials - Nails, CW, # 2 1/2""",75,23,Kls.,1725,-,-,-,-,23,-,-,-
Provincial Engineers Office,22,"Materials - Nails, CW, #1""",75,4,Kls.,300,-,-,-,-,4,-,-,-
Provincial Engineers Office,23,"Materials - Def. Bars, 16mm X 6.0m, (Grade -60)",615.55,79,Pcs.,48628.45,-,-,-,-,79,-,-,-
Provincial Engineers Office,24,"Materials - Def. Bars, 10mm X 6.0m, (Grade -60)",240.5,110,Pcs.,26455,-,-,-,-,110,-,-,-
Provincial Engineers Office,25,"Materials - Tire Wire, #16",100,13,Kls.,1300,-,-,-,-,13,-,-,-
Provincial Engineers Office,26,Materials - Hacksaw Blade,92,3,Pcs.,276,-,-,-,-,3,-,-,-
Provincial Engineers Office,27,"Materials - Gravel, 3/4"" dia.",900,16,Load,14400,-,-,-,-,16,-,-,-
Provincial Engineers Office,28,"Materials - Sand, Fine",800,17,Load,13600,-,-,-,-,17,-,-,-
Provincial Engineers Office,29,"Materials - Cement, Portland",245,229,Bags,56105,-,-,-,-,229,-,-,-
Provincial Engineers Office,30,Materials - Rubber Pail,180,5,Pcs.,900,-,-,-,-,5,-,-,-
Provincial Engineers Office,31,"Materials - CHB, 4"" x 8"" x 16""",10,819,Pcs.,8190,-,-,-,-,819,-,-,-
Provincial Engineers Office,32,"Materials - Corrugated Roofing, GA 26 (0.551mm x 3.05m)",600,118,Pcs.,70800,-,-,-,-,118,-,-,-
Provincial Engineers Office,33,"Materials - Ordinary Ridge Roll, GA 24 (0.701mm x 2.44m)",232,8,Pcs.,1856,-,-,-,-,8,-,-,-
Provincial Engineers Office,34,"Materials - Nails, Umbrella",80,10,Kls.,800,-,-,-,-,10,-,-,-
Provincial Engineers Office,35,Materials - Roof Sealant,450,1,Gallon,450,-,-,-,-,1,-,-,-
Provincial Engineers Office,36,"Materials - Machine Bolt w/ Nut and Washer, 1/2"" x 5""",35,250,Pcs.,8750,-,-,-,-,250,-,-,-
Provincial Engineers Office,37,"Materials - Machine Bolt w/ Nut and Washer, 1/2"" x 7""",55,210,Pcs.,11550,-,-,-,-,210,-,-,-
Provincial Engineers Office,38,"Materials - Post Strap, 1/4"" x 2"" x 12""",195,13,Pcs.,2535,-,-,-,-,13,-,-,-
Provincial Engineers Office,39,"Materials - Nails, CW, # 1 1/2""",75,8,Kls.,600,-,-,-,-,8,-,-,-
Provincial Engineers Office,40,"Materials - Plywood, Marine, 1/4 x 4' x 8'",388,123,Pcs.,47724,-,-,-,-,123,-,-,-
Provincial Engineers Office,41,Materials - Hinges (50mm x 10mm),65,12,Sets,780,-,-,-,-,12,-,-,-
Provincial Engineers Office,42,Materials - Door Knob,900,4,Sets,3600,-,-,-,-,4,-,-,-
Provincial Engineers Office,43,"Materials - Nails, CW, #4""",75,3,Kls.,225,-,-,-,-,3,-,-,-
Provincial Engineers Office,-,Total,-,-,-,14127375.44,-,-,-,-,-,-,-,-
