region,suc,discipline,passers_2010,passers_2011,passers_2012,passers_total,takers_2010,takers_2011,takers_2012,takers_total,percent_passing_2010,percent_passing_2011,percent_passing_2012,percent_passing_total
IV (CALABARZON),Batangas State University,Chemical Engineering,14,5,27,46,43,28,68,139,32.56,17.86,39.71,33.09
IV (CALABARZON),Batangas State University,Chemistry,1,1,1,3,4,8,9,21,25,12.5,11.11,14.29
IV (CALABARZON),Batangas State University,Civil Engineering,27,31,37,95,59,63,77,199,45.76,49.21,48.05,47.74
IV (CALABARZON),Batangas State University,Criminology,12,28,39,79,25,63,110,198,48,44.44,35.45,39.9
IV (CALABARZON),Batangas State University,Customs ADM,11,21,9,41,16,22,11,49,68.75,95.45,81.82,83.67
IV (CALABARZON),Batangas State University,Electrical Engineering,22,53,61,136,76,84,85,245,28.95,63.1,71.76,55.51
IV (CALABARZON),Batangas State University,Electronics Engineering,23,56,47,126,72,95,67,234,31.94,58.95,70.15,53.85
IV (CALABARZON),Batangas State University,Fisheries Technology,-,0,1,1,-,1,3,4,0,0,33.33,25
IV (CALABARZON),Batangas State University,Forestry,0,1,0,1,1,1,1,3,0,100,0,33.33
IV (CALABARZON),Batangas State University,Interior Design,0,-,2,2,1,-,3,4,0,0,66.67,50
IV (CALABARZON),Batangas State University,LET-Elementary,35,42,170,247,223,265,277,765,15.7,15.85,61.37,32.29
IV (CALABARZON),Batangas State University,LET-Secondary,64,112,152,328,311,354,419,1084,20.58,31.64,36.28,30.26
IV (CALABARZON),Batangas State University,Library Science,-,0,0,0,-,2,2,4,0,0,0,0
IV (CALABARZON),Batangas State University,Marine Engineering,0,-,0,0,3,-,1,4,0,0,0,0
IV (CALABARZON),Batangas State University,Marine Transportation,2,3,2,7,4,3,3,10,50,100,66.67,70
IV (CALABARZON),Batangas State University,Mechanical Engineering,119,110,147,376,119,114,150,383,100,96.49,98,98.17
IV (CALABARZON),Batangas State University,Midwifery,-,0,-,0,-,1,-,1,0,0,0,0
IV (CALABARZON),Batangas State University,Nursing,99,83,91,273,320,285,189,794,30.94,29.12,48.15,34.38
IV (CALABARZON),Batangas State University,Nutrition and Dietetics,2,1,-,3,2,1,-,3,100,100,0,100
IV (CALABARZON),Batangas State University,Sanitary Engineering,1,1,7,9,3,3,10,16,33.33,33.33,70,56.25
IV (CALABARZON),Cavite State University,Accountancy,10,7,15,32,12,23,24,59,83.33,30.43,62.5,54.24
IV (CALABARZON),Cavite State University,Agricultural Engineering,0,3,4,7,1,6,15,22,0,50,26.67,31.82
IV (CALABARZON),Cavite State University,Agriculture,10,8,12,30,13,14,14,41,76.92,57.14,85.71,73.17
IV (CALABARZON),Cavite State University,Architecture,-,-,1,1,-,-,3,3,0,0,33.33,33.33
IV (CALABARZON),Cavite State University,Chemistry,0,-,0,0,3,-,1,4,0,0,0,0
IV (CALABARZON),Cavite State University,Civil Engineering,8,8,11,27,44,36,36,116,18.18,22.22,30.56,23.28
IV (CALABARZON),Cavite State University,Criminology,3,11,3,17,4,12,6,22,75,91.67,50,77.27
IV (CALABARZON),Cavite State University,Electrical Engineering,3,3,8,14,12,6,12,30,25,50,66.67,46.67
IV (CALABARZON),Cavite State University,Electronics Engineering,8,3,8,19,18,12,17,47,44.44,25,47.06,40.43
IV (CALABARZON),Cavite State University,Fisheries Technology,5,1,2,8,15,4,12,31,33.33,25,16.67,25.81
IV (CALABARZON),Cavite State University,LET-Elementary,22,16,29,67,56,63,44,163,39.29,25.4,65.91,41.1
IV (CALABARZON),Cavite State University,LET-Secondary,91,104,191,386,433,479,531,1443,21.02,21.71,35.97,26.75
IV (CALABARZON),Cavite State University,Library Science,1,-,0,1,2,-,1,3,50,0,0,33.33
IV (CALABARZON),Cavite State University,Medical Technology,6,8,21,35,9,10,22,41,66.67,80,95.45,85.37
IV (CALABARZON),Cavite State University,Midwifery,18,26,20,64,27,33,22,82,66.67,78.79,90.91,78.05
IV (CALABARZON),Cavite State University,Nursing,85,167,141,393,115,209,182,506,73.91,79.9,77.47,77.67
IV (CALABARZON),Cavite State University,Veterinary Medicine,5,8,2,15,19,22,11,52,26.32,36.36,18.18,28.85
IV (CALABARZON),Laguna State Polytechnic University,Agricultural Engineering,2,1,0,3,6,2,4,12,33.33,50,0,25
IV (CALABARZON),Laguna State Polytechnic University,Agriculture,1,3,6,10,6,16,22,44,16.67,18.75,27.27,22.73
IV (CALABARZON),Laguna State Polytechnic University,Civil Engineering,17,14,7,38,44,24,34,102,38.64,58.33,20.59,37.25
IV (CALABARZON),Laguna State Polytechnic University,Criminology,-,-,0,0,-,-,1,1,0,0,0,0
IV (CALABARZON),Laguna State Polytechnic University,Electrical Engineering,3,10,14,27,15,16,25,56,20,62.5,56,48.21
IV (CALABARZON),Laguna State Polytechnic University,Electronics Engineering,5,6,21,32,65,52,71,188,7.69,11.54,29.58,17.02
IV (CALABARZON),Laguna State Polytechnic University,Fisheries Technology,0,4,3,7,4,7,15,26,0,57.14,20,26.92
IV (CALABARZON),Laguna State Polytechnic University,Guidance Counseling,0,0,0,0,4,4,2,10,0,0,0,0
IV (CALABARZON),Laguna State Polytechnic University,LET-Elementary,46,59,173,278,203,242,268,713,22.66,24.38,64.55,38.99
IV (CALABARZON),Laguna State Polytechnic University,LET-Secondary,165,198,307,670,1062,1004,1062,3128,15.54,19.72,28.91,21.42
IV (CALABARZON),Laguna State Polytechnic University,Library Science,-,0,0,0,-,1,1,2,0,0,0,0
IV (CALABARZON),Laguna State Polytechnic University,Mechanical Engineering,5,12,12,29,15,18,20,53,33.33,66.67,60,54.72
IV (CALABARZON),Laguna State Polytechnic University,Midwifery,-,-,0,0,-,-,1,1,0,0,0,0
IV (CALABARZON),Laguna State Polytechnic University,Nursing,2,16,32,50,11,26,40,77,18.18,61.54,80,64.94
IV (CALABARZON),Laguna State Polytechnic University,Nutrition and Dietetics,3,1,4,8,9,8,14,31,33.33,12.5,28.57,25.81
IV (CALABARZON),Laguna State Polytechnic University,Sanitary Engineering,0,-,-,0,1,-,-,1,0,0,0,0
IV (CALABARZON),Southern Luzon State University,Accountancy,33,40,50,123,61,82,87,230,54.1,48.78,57.47,53.48
IV (CALABARZON),Southern Luzon State University,Agriculture,15,18,22,55,50,60,70,180,30,30,31.43,30.56
IV (CALABARZON),Southern Luzon State University,Civil Engineering,17,22,19,58,48,61,63,172,35.42,36.07,30.16,33.72
IV (CALABARZON),Southern Luzon State University,Electrical Engineering,16,35,34,85,37,51,59,147,43.24,68.63,57.63,57.82
IV (CALABARZON),Southern Luzon State University,Electronics Engineering,8,22,44,74,48,57,72,177,16.67,38.6,61.11,41.81
IV (CALABARZON),Southern Luzon State University,Fisheries Technology,-,0,1,1,-,2,7,9,0,0,14.29,11.11
IV (CALABARZON),Southern Luzon State University,Forestry,5,6,2,13,10,12,7,29,50,50,28.57,44.83
IV (CALABARZON),Southern Luzon State University,LET-Elementary,78,119,259,456,180,268,311,759,43.33,44.4,83.28,60.08
IV (CALABARZON),Southern Luzon State University,LET-Secondary,114,117,203,434,343,357,402,1102,33.24,32.77,50.5,39.38
IV (CALABARZON),Southern Luzon State University,Mechanical Engineering,27,28,39,94,45,41,50,136,60,68.29,78,69.12
IV (CALABARZON),Southern Luzon State University,Midwifery,42,3,13,58,58,9,14,81,72.41,33.33,92.86,71.6
IV (CALABARZON),Southern Luzon State University,Nursing,196,197,209,602,217,238,240,695,90.32,82.77,87.08,86.62
IV (CALABARZON),University of Rizal System,Accountancy,5,5,5,15,26,31,41,98,19.23,16.13,12.2,15.31
IV (CALABARZON),University of Rizal System,Agricultural Engineering,0,0,0,0,3,2,1,6,0,0,0,0
IV (CALABARZON),University of Rizal System,Agriculture,2,1,2,5,8,6,8,22,25,16.67,25,22.73
IV (CALABARZON),University of Rizal System,Civil Engineering,13,16,19,48,28,31,44,103,46.43,51.61,43.18,46.6
IV (CALABARZON),University of Rizal System,Electrical Engineering,3,7,6,16,17,8,9,34,17.65,87.5,66.67,47.06
IV (CALABARZON),University of Rizal System,Electronics Engineering,2,8,12,22,15,17,25,57,13.33,47.06,48,38.6
IV (CALABARZON),University of Rizal System,Fisheries Technology,0,0,0,0,4,2,2,8,0,0,0,0
IV (CALABARZON),University of Rizal System,Forestry,1,-,0,1,1,-,2,3,100,0,0,33.33
IV (CALABARZON),University of Rizal System,Geodetic Engineering,1,1,-,2,2,4,-,6,50,25,0,33.33
IV (CALABARZON),University of Rizal System,Guidance Counseling,0,0,0,0,1,2,7,10,0,0,0,0
IV (CALABARZON),University of Rizal System,LET-Elementary,95,92,319,506,685,683,680,2048,13.87,13.47,46.91,24.71
IV (CALABARZON),University of Rizal System,LET-Secondary,214,254,372,840,1055,1071,1104,3230,20.28,23.72,33.7,26.01
IV (CALABARZON),University of Rizal System,Mechanical Engineering,10,2,8,20,13,7,12,32,76.92,28.57,66.67,62.5
IV (CALABARZON),University of Rizal System,Social Work,12,11,15,38,20,21,26,67,60,52.38,57.69,56.72
V (Bicol Region),Bicol University,Accountancy,68,59,71,198,86,68,74,228,79.07,86.76,95.95,86.84
V (Bicol Region),Bicol University,Agricultural Engineering,4,4,6,14,14,25,16,55,28.57,16,37.5,25.45
V (Bicol Region),Bicol University,Agriculture,5,11,13,29,31,40,44,115,16.13,27.5,29.55,25.22
V (Bicol Region),Bicol University,Architecture,43,49,53,145,91,108,101,300,47.25,45.37,52.48,48.33
V (Bicol Region),Bicol University,Chemical Engineering,16,16,33,65,38,49,62,149,42.11,32.65,53.23,43.62
V (Bicol Region),Bicol University,Chemistry,20,17,17,54,45,52,60,157,44.44,32.69,28.33,34.39
V (Bicol Region),Bicol University,Civil Engineering,43,54,42,139,115,145,129,389,37.39,37.24,32.56,35.73
V (Bicol Region),Bicol University,Criminology,0,-,-,0,1,-,-,1,0,0,0,0
V (Bicol Region),Bicol University,Electrical Engineering,22,53,61,136,94,125,134,353,23.4,42.4,45.52,38.53
V (Bicol Region),Bicol University,Fisheries Technology,4,1,7,12,18,13,19,50,22.22,7.69,36.84,24
V (Bicol Region),Bicol University,Forestry,1,6,3,10,19,21,32,72,5.26,28.57,9.38,13.89
V (Bicol Region),Bicol University,Guidance Counseling,-,0,1,1,-,2,3,5,0,0,33.33,20
V (Bicol Region),Bicol University,Interior Design,0,-,-,0,1,-,-,1,0,0,0,0
V (Bicol Region),Bicol University,LET-Elementary,184,253,468,905,594,670,649,1913,30.98,37.76,72.11,47.31
V (Bicol Region),Bicol University,LET-Secondary,311,406,526,1243,983,1109,1108,3200,31.64,36.61,47.47,38.84
V (Bicol Region),Bicol University,Library Science,2,0,3,5,10,8,7,25,20,0,42.86,20
V (Bicol Region),Bicol University,Mechanical Engineering,57,49,49,155,75,71,63,209,76,69.01,77.78,74.16
V (Bicol Region),Bicol University,Medicine,0,-,-,0,2,-,-,2,0,0,0,0
V (Bicol Region),Bicol University,Midwifery,160,135,119,414,168,148,121,437,95.24,91.22,98.35,94.74
V (Bicol Region),Bicol University,Nursing,314,384,315,1013,479,461,397,1337,65.55,83.3,79.35,75.77
V (Bicol Region),Bicol University,Social Work,97,92,84,273,114,102,90,306,85.09,90.2,93.33,89.22
V (Bicol Region),Camarines Norte State College,Accountancy,9,8,21,38,14,22,45,81,64.29,36.36,46.67,46.91
V (Bicol Region),Camarines Norte State College,Agricultural Engineering,1,1,2,4,2,1,2,5,50,100,100,80
V (Bicol Region),Camarines Norte State College,Agriculture,1,2,6,9,1,15,26,42,100,13.33,23.08,21.43
V (Bicol Region),Camarines Norte State College,Civil Engineering,9,17,18,44,21,24,23,68,42.86,70.83,78.26,64.71
V (Bicol Region),Camarines Norte State College,Criminology,0,-,-,0,1,-,-,1,0,0,0,0
V (Bicol Region),Camarines Norte State College,Electrical Engineering,8,12,17,37,16,14,19,49,50,85.71,89.47,75.51
V (Bicol Region),Camarines Norte State College,Fisheries Technology,0,0,1,1,1,1,2,4,0,0,50,25
V (Bicol Region),Camarines Norte State College,Guidance Counseling,-,-,0,0,-,-,1,1,0,0,0,0
V (Bicol Region),Camarines Norte State College,LET-Elementary,34,49,130,213,161,183,212,556,21.12,26.78,61.32,38.31
V (Bicol Region),Camarines Norte State College,LET-Secondary,49,83,117,249,223,315,298,836,21.97,26.35,39.26,29.78
V (Bicol Region),Camarines Norte State College,Mechanical Engineering,7,7,25,39,9,9,26,44,77.78,77.78,96.15,88.64
V (Bicol Region),Camarines Norte State College,Architecture,11,18,19,48,25,26,30,81,44,69.23,63.33,59.26
V (Bicol Region),Camarines Norte State College,Civil Engineering,16,23,20,59,61,68,57,186,26.23,33.82,35.09,31.72
V (Bicol Region),Camarines Norte State College,Electrical Engineering,9,25,30,64,47,58,77,182,19.15,43.1,38.96,35.16
V (Bicol Region),Camarines Norte State College,Electronics Engineering,19,40,51,110,95,108,126,329,20,37.04,40.48,33.43
V (Bicol Region),Camarines Norte State College,LET-Elementary,23,36,90,149,90,120,124,334,25.56,30,72.58,44.61
V (Bicol Region),Camarines Norte State College,LET-Secondary,35,61,106,202,137,199,190,526,25.55,30.65,55.79,38.4
V (Bicol Region),Camarines Norte State College,Mechanical Engineering,19,32,46,97,36,50,55,141,52.78,64,83.64,68.79
V (Bicol Region),Camarines Norte State College,Midwifery,225,113,94,432,262,140,105,507,85.88,80.71,89.52,85.21
V (Bicol Region),Camarines Norte State College,Nursing,163,167,166,496,278,301,273,852,58.63,55.48,60.81,58.22
V (Bicol Region),Catanduanes State College,Accountancy,10,16,18,44,27,26,25,78,37.04,61.54,72,56.41
V (Bicol Region),Catanduanes State College,Agriculture,2,3,14,19,22,25,51,98,9.09,12,27.45,19.39
V (Bicol Region),Catanduanes State College,Civil Engineering,22,58,49,129,58,93,123,274,37.93,62.37,39.84,47.08
V (Bicol Region),Catanduanes State College,LET-Elementary,92,145,307,544,352,429,447,1228,26.14,33.8,68.68,44.3
V (Bicol Region),Catanduanes State College,LET-Secondary,59,74,164,297,372,365,485,1222,15.86,20.27,33.81,24.3
V (Bicol Region),Catanduanes State College,Midwifery,47,27,42,116,56,34,51,141,83.93,79.41,82.35,82.27
V (Bicol Region),Catanduanes State College,Nursing,96,86,93,275,152,127,129,408,63.16,67.72,72.09,67.4
V (Bicol Region),Catanduanes State College,Nutrition and Dietetics,18,6,14,38,25,14,25,64,72,42.86,56,59.38
V (Bicol Region),Central Bicol State University of Agriculture,Agricultural Engineering,4,1,0,5,8,8,10,26,50,12.5,0,19.23
V (Bicol Region),Central Bicol State University of Agriculture,Agriculture,16,22,27,65,54,61,71,186,29.63,36.07,38.03,34.95
V (Bicol Region),Central Bicol State University of Agriculture,Criminology,12,24,29,65,63,72,92,227,19.05,33.33,31.52,28.63
V (Bicol Region),Central Bicol State University of Agriculture,LET-Elementary,45,78,162,285,158,220,237,615,28.48,35.45,68.35,46.34
V (Bicol Region),Central Bicol State University of Agriculture,LET-Secondary,41,118,153,312,252,378,431,1061,16.27,31.22,35.5,29.41
V (Bicol Region),Central Bicol State University of Agriculture,Social Work,0,-,-,0,1,-,-,1,0,0,0,0
V (Bicol Region),Central Bicol State University of Agriculture,Veterinary Medicine,6,8,14,28,17,17,23,57,35.29,47.06,60.87,49.12
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,Agricultural Engineering,1,4,3,8,8,8,18,34,12.5,50,16.67,23.53
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,Agriculture,8,6,3,17,39,35,25,99,20.51,17.14,12,17.17
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,LET-Elementary,20,17,87,124,107,118,151,376,18.69,14.41,57.62,32.98
V (Bicol Region),Dr. Emilio B. Espinosa Sr. Memorial State College of Agriculture and Technology,LET-Secondary,22,32,69,123,222,258,360,840,9.91,12.4,19.17,14.64
V (Bicol Region),Partido State University,Accountancy,3,10,10,23,21,34,33,88,14.29,29.41,30.3,26.14
V (Bicol Region),Partido State University,Civil Engineering,7,1,4,12,18,12,11,41,38.89,8.33,36.36,29.27
V (Bicol Region),Partido State University,Criminology,-,0,0,0,-,1,1,2,0,0,0,0
V (Bicol Region),Partido State University,Environmental Planning,-,-,1,1,-,-,1,1,0,0,100,100
V (Bicol Region),Partido State University,Fisheries Technology,0,0,-,0,8,7,-,15,0,0,0,0
V (Bicol Region),Partido State University,Geology,-,1,5,6,-,4,13,17,0,25,38.46,35.29
V (Bicol Region),Partido State University,LET-Elementary,12,21,48,81,71,111,101,283,16.9,18.92,47.52,28.62
V (Bicol Region),Partido State University,LET-Secondary,44,55,78,177,185,246,246,677,23.78,22.36,31.71,26.14
V (Bicol Region),Partido State University,Midwifery,-,1,-,1,-,1,-,1,0,100,0,100
V (Bicol Region),Partido State University,Nutrition and Dietetics,4,1,3,8,8,8,10,26,50,12.5,30,30.77
V (Bicol Region),Partido State University,Sanitary Engineering,7,7,5,19,10,15,15,40,70,46.67,33.33,47.5
V (Bicol Region),Sorsogon State College,Accountancy,1,4,0,5,9,8,11,28,11.11,50,0,17.86
V (Bicol Region),Sorsogon State College,Agriculture,1,1,0,2,3,7,4,14,33.33,14.29,0,14.29
V (Bicol Region),Sorsogon State College,Architecture,3,6,5,14,4,14,13,31,75,42.86,38.46,45.16
V (Bicol Region),Sorsogon State College,Civil Engineering,22,13,19,54,40,52,67,159,55,25,28.36,33.96
V (Bicol Region),Sorsogon State College,Criminology,-,0,-,0,-,2,-,2,0,0,0,0
V (Bicol Region),Sorsogon State College,Electrical Engineering,12,20,30,62,36,41,57,134,33.33,48.78,52.63,46.27
V (Bicol Region),Sorsogon State College,Fisheries Technology,0,1,0,1,4,4,8,16,0,25,0,6.25
V (Bicol Region),Sorsogon State College,LET-Elementary,74,105,214,393,254,291,260,805,29.13,36.08,82.31,48.82
V (Bicol Region),Sorsogon State College,LET-Secondary,54,72,115,241,270,272,286,828,20,26.47,40.21,29.11
V (Bicol Region),Sorsogon State College,Mechanical Engineering,10,19,18,47,15,26,24,65,66.67,73.08,75,72.31
VI (Western Visayas),Aklan State University,Accountancy,0,-,8,8,1,-,13,14,0,0,61.54,57.14
VI (Western Visayas),Aklan State University,Agriculture,8,8,10,26,31,39,50,120,25.81,20.51,20,21.67
VI (Western Visayas),Aklan State University,Architecture,1,3,5,9,3,5,9,17,33.33,60,55.56,52.94
VI (Western Visayas),Aklan State University,Chemical Engineering,1,-,-,1,1,-,-,1,100,0,0,100
VI (Western Visayas),Aklan State University,Civil Engineering,-,5,13,18,-,7,15,22,0,71.43,86.67,81.82
VI (Western Visayas),Aklan State University,Customs ADM,1,0,0,1,3,6,4,13,33.33,0,0,7.69
VI (Western Visayas),Aklan State University,Electrical Engineering,0,-,-,0,1,-,-,1,0,0,0,0
VI (Western Visayas),Aklan State University,Fisheries Technology,0,0,0,0,2,6,6,14,0,0,0,0
VI (Western Visayas),Aklan State University,Forestry,2,0,0,2,3,11,2,16,66.67,0,0,12.5
VI (Western Visayas),Aklan State University,LET-Elementary,29,38,67,134,144,124,121,389,20.14,30.65,55.37,34.45
VI (Western Visayas),Aklan State University,LET-Secondary,106,175,204,485,564,545,571,1680,18.79,32.11,35.73,28.87
VI (Western Visayas),Aklan State University,Marine Engineering,-,1,2,3,-,1,2,3,0,100,100,100
VI (Western Visayas),Aklan State University,Nursing,74,102,69,245,148,187,145,480,50,54.55,47.59,51.04
VI (Western Visayas),Aklan State University,Veterinary Medicine,6,14,6,26,29,38,33,100,20.69,36.84,18.18,26
VI (Western Visayas),Capiz State University,Agricultural Engineering,3,-,0,3,8,-,1,9,37.5,0,0,33.33
VI (Western Visayas),Capiz State University,Agriculture,3,1,3,7,20,33,23,76,15,3.03,13.04,9.21
VI (Western Visayas),Capiz State University,Architecture,5,6,7,18,19,23,16,58,26.32,26.09,43.75,31.03
VI (Western Visayas),Capiz State University,Criminology,89,5,5,99,344,34,56,434,25.87,14.71,8.93,22.81
VI (Western Visayas),Capiz State University,Electrical Engineering,4,13,9,26,24,35,34,93,16.67,37.14,26.47,27.96
VI (Western Visayas),Capiz State University,Fisheries Technology,0,-,-,0,3,-,-,3,0,0,0,0
VI (Western Visayas),Capiz State University,Forestry,-,-,0,0,-,-,1,1,0,0,0,0
VI (Western Visayas),Capiz State University,LET-Elementary,69,61,193,323,444,405,417,1266,15.54,15.06,46.28,25.51
VI (Western Visayas),Capiz State University,LET-Secondary,73,94,120,287,447,392,416,1255,16.33,23.98,28.85,22.87
VI (Western Visayas),Capiz State University,Mechanical Engineering,22,14,8,44,35,22,17,74,62.86,63.64,47.06,59.46
VI (Western Visayas),Capiz State University,Nursing,34,27,44,105,95,92,83,270,35.79,29.35,53.01,38.89
VI (Western Visayas),Capiz State University,Social Work,0,1,0,1,5,2,2,9,0,50,0,11.11
VI (Western Visayas),Capiz State University,Veterinary Medicine,2,0,1,3,12,6,3,21,16.67,0,33.33,14.29
VI (Western Visayas),Carlos C. Hilado Memorial State College,Accountancy,11,12,12,35,23,24,26,73,47.83,50,46.15,47.95
VI (Western Visayas),Carlos C. Hilado Memorial State College,Civil Engineering,13,11,16,40,23,14,21,58,56.52,78.57,76.19,68.97
VI (Western Visayas),Carlos C. Hilado Memorial State College,Criminology,-,1,30,31,-,1,48,49,-,100,62.5,63.27
VI (Western Visayas),Carlos C. Hilado Memorial State College,Fisheries Technology,2,3,3,8,7,9,23,39,28.57,33.33,13.04,20.51
VI (Western Visayas),Carlos C. Hilado Memorial State College,LET-Elementary,108,137,211,456,234,261,245,740,46.15,52.49,86.12,61.62
VI (Western Visayas),Carlos C. Hilado Memorial State College,LET-Secondary,57,99,145,301,250,296,321,867,22.8,33.45,45.17,34.72
VI (Western Visayas),Guimaras State College,Criminology,-,17,16,33,-,30,41,71,0,56.67,39.02,46.48
VI (Western Visayas),Guimaras State College,LET-Elementary,13,16,22,51,41,43,29,113,31.71,37.21,75.86,45.13
VI (Western Visayas),Guimaras State College,LET-Secondary,14,14,11,39,48,50,38,136,29.17,28,28.95,28.68
VI (Western Visayas),Iloilo State College of Fisheries,Agriculture,2,0,5,7,13,1,17,31,15.38,0,29.41,22.58
VI (Western Visayas),Iloilo State College of Fisheries,Environmental Planning,0,-,-,0,1,-,-,1,0,0,0,0
VI (Western Visayas),Iloilo State College of Fisheries,Fisheries Technology,0,3,3,6,1,11,14,26,0,27.27,21.43,23.08
VI (Western Visayas),Iloilo State College of Fisheries,LET-Elementary,35,39,81,155,131,136,130,397,26.72,28.68,62.31,39.04
VI (Western Visayas),Iloilo State College of Fisheries,LET-Secondary,31,41,34,106,165,174,121,460,18.79,23.56,28.1,23.04
VI (Western Visayas),Iloilo State College of Fisheries,Marine Transportation,17,5,7,29,40,13,21,74,42.5,38.46,33.33,39.19
VI (Western Visayas),Negros State College of Agriculture,Agricultural Engineering,-,-,3,3,-,-,7,7,0,0,42.86,42.86
VI (Western Visayas),Negros State College of Agriculture,Agriculture,6,7,19,32,16,17,59,92,37.5,41.18,32.2,34.78
VI (Western Visayas),Negros State College of Agriculture,Criminology,-,-,17,17,-,-,64,64,0,0,26.56,26.56
VI (Western Visayas),Negros State College of Agriculture,Customs ADM,-,0,-,0,-,1,-,1,0,0,0,0
VI (Western Visayas),Negros State College of Agriculture,Fisheries Technology,-,0,1,1,-,3,1,4,0,0,100,25
VI (Western Visayas),Negros State College of Agriculture,Forestry,1,2,1,4,2,5,6,13,50,40,16.67,30.77
VI (Western Visayas),Negros State College of Agriculture,LET-Elementary,29,48,111,188,81,110,145,336,35.8,43.64,76.55,55.95
VI (Western Visayas),Negros State College of Agriculture,LET-Secondary,11,34,38,83,101,138,135,374,10.89,24.64,28.15,22.19
VI (Western Visayas),Northern Iloilo Polytechnic State College,Agriculture,1,5,3,9,9,24,24,57,11.11,20.83,12.5,15.79
VI (Western Visayas),Northern Iloilo Polytechnic State College,Civil Engineering,5,8,4,17,20,23,19,62,25,34.78,21.05,27.42
VI (Western Visayas),Northern Iloilo Polytechnic State College,Criminology,24,41,51,116,57,105,150,312,42.11,39.05,34,37.18
VI (Western Visayas),Northern Iloilo Polytechnic State College,Fisheries Technology,0,0,0,0,1,1,4,6,0,0,0,0
VI (Western Visayas),Northern Iloilo Polytechnic State College,LET-Elementary,51,64,168,283,213,268,269,750,23.94,23.88,62.45,37.73
VI (Western Visayas),Northern Iloilo Polytechnic State College,LET-Secondary,33,71,71,175,287,315,307,909,11.5,22.54,23.13,19.25
VI (Western Visayas),Northern Iloilo Polytechnic State College,Marine Engineering,15,6,8,29,35,16,14,65,42.86,37.5,57.14,44.62
VI (Western Visayas),Northern Iloilo Polytechnic State College,Mechanical Engineering,1,0,2,3,6,2,2,10,16.67,0,100,30
VI (Western Visayas),Northern Iloilo Polytechnic State College,Midwifery,16,16,8,40,17,18,9,44,94.12,88.89,88.89,90.91
VI (Western Visayas),Northern Iloilo Polytechnic State College,Social Work,-,0,-,0,-,1,-,1,0,0,0,0
VI (Western Visayas),Northern Negros State College of Science and Technology,Agriculture,4,6,6,16,12,18,30,60,33.33,33.33,20,26.67
VI (Western Visayas),Northern Negros State College of Science and Technology,Criminology,11,30,43,84,15,56,97,168,73.33,53.57,44.33,50
VI (Western Visayas),Northern Negros State College of Science and Technology,Fisheries Technology,-,0,-,0,-,1,-,1,0,0,0,0
VI (Western Visayas),Northern Negros State College of Science and Technology,LET-Secondary,12,22,34,68,121,142,140,403,9.92,15.49,24.29,16.87
VI (Western Visayas),Northern Negros State College of Science and Technology,Nursing,49,68,73,190,87,125,120,332,56.32,54.4,60.83,57.23
VI (Western Visayas),University of Antique,Agriculture,0,3,9,12,7,10,16,33,0,30,56.25,36.36
VI (Western Visayas),University of Antique,Architecture,-,-,0,0,-,-,1,1,0,0,0,0
VI (Western Visayas),University of Antique,Civil Engineering,3,2,6,11,4,5,16,25,75,40,37.5,44
VI (Western Visayas),University of Antique,Criminology,73,75,60,208,259,259,351,869,28.19,28.96,17.09,23.94
VI (Western Visayas),University of Antique,Electrical Engineering,0,5,6,11,2,10,15,27,0,50,40,40.74
VI (Western Visayas),University of Antique,Electronics Engineering,1,1,7,9,6,4,14,24,16.67,25,50,37.5
VI (Western Visayas),University of Antique,Fisheries Technology,-,-,0,0,-,-,1,1,0,0,0,0
VI (Western Visayas),University of Antique,LET-Elementary,78,73,178,329,201,211,234,646,38.81,34.6,76.07,50.93
VI (Western Visayas),University of Antique,LET-Secondary,31,50,72,153,98,136,132,366,31.63,36.76,54.55,41.8
VI (Western Visayas),University of Antique,Marine Engineering,18,9,1,28,30,13,3,46,60,69.23,33.33,60.87
VI (Western Visayas),University of Antique,Marine Transportation,1,-,-,1,1,-,-,1,100,0,0,100
VI (Western Visayas),West Visayas State University,Agriculture,8,9,7,24,18,28,40,86,44.44,32.14,17.5,27.91
VI (Western Visayas),West Visayas State University,Criminology,52,69,66,187,142,179,227,548,36.62,38.55,29.07,34.12
VI (Western Visayas),West Visayas State University,Electronics Engineering,1,-,-,1,1,-,-,1,100,0,0,100
VI (Western Visayas),West Visayas State University,Forestry,3,0,0,3,6,1,3,10,50,0,0,30
VI (Western Visayas),West Visayas State University,Guidance Counseling,5,0,5,10,6,1,5,12,83.33,0,100,83.33
VI (Western Visayas),West Visayas State University,LET-Elementary,357,404,578,1339,809,877,797,2483,44.13,46.07,72.52,53.93
VI (Western Visayas),West Visayas State University,LET-Secondary,226,280,332,838,587,619,602,1808,38.5,45.23,55.15,46.35
VI (Western Visayas),West Visayas State University,Library Science,0,0,1,1,2,2,1,5,0,0,100,20
VI (Western Visayas),West Visayas State University,Marine Engineering,-,1,0,1,-,2,3,5,0,50,0,20
VI (Western Visayas),West Visayas State University,Medicine,99,72,79,250,106,77,82,265,93.4,93.51,96.34,94.34
VI (Western Visayas),West Visayas State University,Midwifery,1,-,-,1,1,-,-,1,100,0,0,100
