classification,subclassification,region,project,2010,2011,2012,2013,2014
Maritime,Ports,VIII (Eastern Visayas),"Construction of Various River Landings with Waiting Shed Maydolong, Eastern Samar: Brgy. Patag",0,0,2000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Various River Landings with Waiting Shed Maydolong, Eastern Samar: Brgy. Canloterio",0,0,2000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Rehabilitation of Wharf and River Control and Extension of May-Olo Wharf (Salcedo, Eastern Samar)",0,0,4000,0,0
Maritime,Ports,VIII (Eastern Visayas),"Construction of Brgy. Banquel Fish Landing Wharf (Villareal Wharf, Samar)",0,0,2000,0,0
Maritime,Ports,IX (Zamboanga Peninsula),Galas Port (Dipolog),0,0,0,0,50000
Maritime,Ports,IX (Zamboanga Peninsula),"Construction of Port, Brgy. Madaup (Ipil, Zamboanga-Sibugay)",0,0,1000,0,0
Maritime,Ports,IX (Zamboanga Peninsula),"Improvement of Talusan Port (Talusan, Zamboanga-Sibugay)",0,0,2000,0,0
Maritime,Ports,IX (Zamboanga Peninsula),"Extension of Port: Brgy. Taytay, Manalo",0,0,1000,0,0
Maritime,Ports,IX (Zamboanga Peninsula),"Completion of Rock Causeway: Brgy. Kaliantana, connecting Brgy. Baluno",0,0,1000,0,0
Maritime,Ports,X (Northern Mindanao),"Rehabilitation/Improvement of Lawigan Port (Catarman, Camiguin)",0,0,0,0,10000
Maritime,Ports,X (Northern Mindanao),"Extension of San Vicente Bajo Port (Oroquieta City, Misamis Occidental)",0,0,0,0,10000
Maritime,Ports,X (Northern Mindanao),"Improvement of Balbagon Port (Balbagon, Mambajao, Camiguin)",0,0,10000,0,0
Maritime,Ports,X (Northern Mindanao),"Repair/Rehabilitation of Gingoog Port (Gingoog, Misamis Oriental)",0,0,2000,0,0
Maritime,Ports,X (Northern Mindanao),"Repair/Rehabilitation of Balingasag Port (Balingasag, Misamis Oriental)",0,0,2000,0,0
Maritime,Ports,X (Northern Mindanao),"Repair/Rehabilitation of El Salvador Port (El Salvador, Misamis Oriental)",0,0,2000,0,0
Maritime,Ports,X (Northern Mindanao),Benoni Port (Camiguin),0,0,35000,0,0
Maritime,Ports,XI (Davao Region),"Construction of Barangay Wharves in the Municipality of Jose Abad Santos, 2nd District, Davao del Sur: Barangay Caburan Small",0,0,0,0,5000
Maritime,Ports,XI (Davao Region),"Construction of Barangay Wharves in the Municipality of Jose Abad Santos, 2nd District, Davao del Sur: Barangay Balangoan",0,0,0,0,5000
Maritime,Ports,XI (Davao Region),"Rehabilitation of Lupon Port (Lupon, Davao Oriental)",0,0,8000,0,55000
Maritime,Ports,XI (Davao Region),"Construction of Kaputian Multi-Purpose Port (Island Garden City of Samal, Davao del Norte)",0,0,3000,0,0
Maritime,Ports,XII (SOCCSKSARGEN),"Extension of Placer Port (Placer, Surigao del Norte)",0,0,0,0,20000
Maritime,Ports,XII (SOCCSKSARGEN),"Repair/Rehabilitation of Kiamba Port, Kiamba, Sarangani",0,0,5000,0,0
Maritime,Ports,XII (SOCCSKSARGEN),Improvement of Polloc Port (Cotabato City),0,0,12000,0,0
Maritime,Ports,XII (SOCCSKSARGEN),"Development of Mabila Port (Mabila, Sarangani)",0,0,5000,0,0
Maritime,Ports,XII (SOCCSKSARGEN),"Development of Patuco Port (Patuco, Sarangani)",0,0,5000,0,0
Maritime,Ports,XII (SOCCSKSARGEN),"Rehabilitation of Lebak Port (Lebak, Sultan Kudarat)",0,0,5000,0,0
Maritime,Ports,XII (SOCCSKSARGEN),"Development of Palimbang Port (Palimbang, Sultan Kudarat)",0,0,5000,0,0
Maritime,Ports,XIII (Caraga),"Construction of Montserrat Port (Dapa, Surigao del Norte)",0,0,10000,0,0
Maritime,Ports,XIII (Caraga),"Construction of Malimono Port (Malimono, Surigao del Norte)",0,0,5000,0,0
Maritime,Ports,XIII (Caraga),"Construction of Gigaquit Port (Guigaquit, Surigao del Norte)",0,0,5000,0,0
Maritime,Ports,ARMM,"Continuation of Expansion of Jolo Port, Sulu",0,0,0,0,50000
Maritime,Ports,ARMM,"Construction of mini-port in Sultan Matsura (Brgy. Simuay Shore, Sultan Matsura, Maguindanao)",0,0,0,0,10000
Maritime,Ports,ARMM,"Extension of boat landing in Brgy. Lugus Proper (Lugus, Sulu)",0,0,0,0,10000
Maritime,Ports,ARMM,"Construction of Fish Landing- Rock Causeway (Brgy. Poblacion, Parang, Sulu)",0,0,8000,0,0
Maritime,Ports,ARMM,"Continuation of Tamparan Port (Tamparan, Lanao del Sur)",0,0,8000,0,0
Maritime,Ports,ARMM,"Construction of Marawi Port (Marawi, Lanao del Sur)",0,0,5000,0,0
Maritime,Ports,ARMM,"Widening of Taraka Port (Taraka, Lanao del Sur)",0,0,5000,0,0
Maritime,Ports,ARMM,"Construction of Cadayonan Wharf (Balindong, Lanao del Sur)",0,0,5000,0,0
Maritime,Ports,ARMM,"Construction of Sibutu Wharf (Sibutu Island, Tawi-Tawi)",0,0,5000,0,0
Maritime,Ports,ARMM,"Construction of Sitangkai Port (Sitangkai, Tawi-Tawi)",0,0,10000,0,0
Maritime,Ports,ARMM,"Development of Bongao Port Mooring Breast Dolphins and Expansion of Back-Up Area (Bongao, Tawi-Tawi)",0,0,15000,0,0
Maritime,Ports,ARMM,"Taganak Port Development Project (Turtle Island, Tawi-Tawi)",0,0,50000,0,0
Maritime,Ports,ARMM,"Construction of Mini-Wharf in Brgy. Lower Cabengbeng (Sumisip, Basilan)",0,0,5000,0,0
Maritime,Ports,ARMM,Rehabilitation and Upgrading of Jolo Port,0,0,50000,0,0
Maritime,Maritime,IV-B (MIMAROPA),Romblon Buoy Base,0,75000,268750,0,0
Maritime,Maritime,VII (Central Visayas),Mactan Buoy Base,0,150000,316590,0,0
Maritime,Maritime,X (Northern Mindanao),Northern Mindanao (PCG Support Base),0,0,75000,0,0
Maritime,Maritime,Nationwide,Acquisition of PCG Disaster Response/Rescue Equipment,0,0,550000,0,0
Maritime,Maritime,Nationwide,Contractor/Consultant's claims arising from Variation Orders (SRRFPDP),0,31578,0,0,0
Railways,Railways,NCR,LRT Line 1 North Extension Project,0,1608718,0,0,0
Railways,Railways,NCR,LRT Line 1 North Extension (Common Station),0,0,0,0,629844
Railways,Railways,NCR,LRT Line 1 South Extension Project,748440,2212443,0,0,0
Railways,Railways,NCR,LRT Line 2 East Extension (to Masinag),0,0,0,2000000,0
Railways,Railways,NCR,MRT 3 Operation and Maintenance (EDSA LRT III),645006,765400,1766642,1114586,0
Railways,Railways,NCR,Subsidy for Mass Transport (MRT 3),5116749,6923253,4289865,5115959,4091473
Railways,Railways,NCR,Signalling System for MRT 3,0,78000,0,0,0
Railways,Railways,NCR,Automatic Fare Collection System for MRT 3,0,162000,0,0,0
Railways,Railways,NCR,Acquisition of rolling stocks for the MRT 3 Capacity Expansion Projects,0,0,0,0,4500000
Road,Road,Nationwide,DOTC Road Transportation IT Infrastructure Project,0,0,0,1300000,1298348
PPP,Aviation,IV-B (MIMAROPA),Puerto Princesa Airport Development Project,0,0,1000000,0,0
PPP,Aviation,V (Bicol Region),New Legaspi (Daraga) Airport Development,0,0,500000,0,0
PPP,Aviation,VII (Central Visayas),Mactan Cebu Airport Expansion,0,0,0,2075000,123600
PPP,Aviation,VII (Central Visayas),New Bohol (Panglao) Airport Development Project,0,0,1200000,0,0
PPP,Maritime,XI (Davao Region),Davao Sasa Port,0,0,0,1000000,0
PPP,Railways,NCR,LRT 1 South Extension and Privatization,0,0,3272291,0,0
PPP,Railways,NCR,MRT/LRT Common Ticketing Project,0,0,371250,0,0
PPP,Road,NCR,Integrated Transport System Project,0,0,0,0,2466979
PPP,Road,NCR,Northern Integrated Bus Terminal System,0,0,0,400000,0
PPP,Road,NCR,Southern Integrated Bus Terminal System,0,0,0,800000,0
PPP,Maritime,Nationwide,Central Spine RORO Project,0,0,0,800000,0
PPP,PPP,Nationwide,Project Development Fund,0,0,250000,0,0
PPP,PPP,Nationwide,Public - Private Partnership Strategic Support Fund,0,5000000,0,0,0
PPP,PPP,Nationwide,Support to PPP Transport Infrastructure Projects,0,0,2000000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),"DOTC Regional Office - Expansion of Lecture, Conference Room, Camera Room and Records Room",0,0,500,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Construction of LTFRB-CARAGA Regional Office Building,10000,0,0,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Butuan City District Office - Construction of Concrete Fencing with Steel Gate,0,0,1000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Surigao District Office - Construction of Concrete Fencing with Steel Gate,0,0,1000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Bislig District Office - Construction of Concrete Fencing with Steel Gate,0,0,700,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Tandag District Office - Construction of Concrete Fencing with Steel Gate,0,0,1000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Patin-ay District Office - Completion of Perimeter Fence,0,0,3000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),"Butuan City District Office - Expansion of Lecture, Conference Room, Camera Room and Records Room",0,0,3000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),"Patin-ay District Office - Expansion of Lecture, Conference Room, Camera Room and Records Room",0,0,500,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Patin-ay District Office - Repair/Rehabilitation of Office Building,0,0,300,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Butuan City District Office - Rehabilitation of Electrical System,0,0,3000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Construction and Completion of DOTC-CARAGA Regional Office Building (Phase II),0,0,15000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),MV Impounding Area and Warehouse for Overload MV and Cargoes,0,0,30000,0,0
Buildings and Other Structures,DOTC-CARAGA,XIII (Caraga),Roofing/Concreting of MV Impounding Area in Patin-ay District Office,0,0,2000,0,0
Buildings and Other Structures,DOTC-CAR,CAR,Development of a DOTC-CAR website,0,0,430,0,0
Buildings and Other Structures,DOTC-CAR,CAR,Provision of Housing for Genset Units,0,0,1000,0,0
Buildings and Other Structures,DOTC-CAR,CAR,Construction of District Office Building in Apayao,0,0,5000,0,0
Buildings and Other Structures,DOTC-CAR,CAR,Construction of DOTC-CAR Building,0,0,25000,0,0
Buildings and Other Structures,DOTC-CAR,CAR,Computerization of LTFRB Records and Transactions,0,0,1300,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Rehabilitation/Improvement of Regional Office's 2nd floor,0,0,3000,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Construction of San Carlos City District Office,0,0,9000,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Continuation of Lingayen District Office's 2nd floor and Construction of Public Comfort Rooms,0,0,2000,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),"Rehabilitation & Improvement of Waiting Area, Lecture/Examination Room of Dagupan City District Office",0,0,3000,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Continuation of Perimeter Fence of Batac District Office,0,0,500,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Rehabilitation of the Perimeter Fence/Roofing of Candon District Office,0,0,1000,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Construction/Improvement of Perimeter Fence of Vigan District Office,0,0,800,0,0
Buildings and Other Structures,LTO,I (Ilocos Region),Provision of Second Floor for Records Room of Laoag City District Office,0,0,1500,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Major Rehabilitation of Regional Office,0,0,2500,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Repair and Rehabilitation of Tuguegarao District Office,0,0,1500,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Repair and Rehabilitation of Roxas District Office,0,0,1000,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Repair and Rehabilitation of San Isidro District Office,0,0,1200,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Repair and Rehabilitation of Ilagan District Office,0,0,1500,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Repair and Rehabilitation of Aparri District Office,0,0,1300,0,0
Buildings and Other Structures,LTO,II (Cagayn Valley),Repair and Rehabilitation of Cabarroguis District Office,0,0,1000,0,0
Buildings and Other Structures,LTO,III (Central Luzon),Construction of Regional Office,0,0,55000,0,0
Buildings and Other Structures,LTO,III (Central Luzon),Renovation/Improvement of Baloc District Office,0,0,3500,0,0
Buildings and Other Structures,LTO,III (Central Luzon),Construction of Perimeter Fence and Site Development of Lot in Government Center,0,0,1500,0,0
Buildings and Other Structures,LTO,IV-A (CALABARZON),Rehabilitation of Imus District Office,0,0,10000,0,0
Buildings and Other Structures,LTO,IV-A (CALABARZON),Rehabilitation of San Pablo City District Office,0,0,5000,0,0
Buildings and Other Structures,LTO,IV-A (CALABARZON),Rehabilitation of Regional Office Building,0,0,11000,0,0
Buildings and Other Structures,LTO,IV-B (MIMAROPA),Completion of Building & Site Development for Boac District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,IV-B (MIMAROPA),Rehabilitation/Repair/Improvement of Palawan District Office,0,0,1500,0,0
Buildings and Other Structures,LTO,IV-B (MIMAROPA),Rehabilitation/Repair/Improvement of Romblon District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,IV-B (MIMAROPA),Rehabilitation/Repair/Improvement of San Jose District Office,0,0,1000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Guinobatan District Office, Albay",0,0,14000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Regional Office, Legazpi City",0,0,5000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Legazpi City District Office, Albay",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Tabaco City District Office, Albay",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Sorsogon City District Office, Sorsogon",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Virac District Office, Catanduanes",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Masbate City District Office, Masbate",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Naga City District Office, Naga City, Camarines Sur",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Iriga City District Office, Iriga City, Camarines Sur",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Daet District Office, Daet, Camarines Norte",0,0,4000,0,0
Buildings and Other Structures,LTO,V (Bicol Region),"Rehabilitation/Repair/Improvement of Ragay District Office, Camarines Sur",0,0,2000,0,0
Buildings and Other Structures,LTO,VI (Western Visayas),Rehabilitation and Repair of Bacolod District Office: Law Enforcement Office and Impounding Area,0,0,1500,0,0
Buildings and Other Structures,LTO,VI (Western Visayas),Rehabilitation and Repair of Cadiz City District Office: Fencing of Impounding Area,0,0,800,0,0
Buildings and Other Structures,LTO,VI (Western Visayas),"Rehabilitation and Repair of San Jose, Antique District Office: Extension of Lecture Room and Fencing of Impounding Area",0,0,1000,0,0
Buildings and Other Structures,LTO,VI (Western Visayas),Rehabilitation and Repair of Calinog  District Office: Fencing of Impounding Area,0,0,1000,0,0
Buildings and Other Structures,LTO,VI (Western Visayas),Rehabilitation and Repair of Roxas City District Office: Fencing of Impounding Area,0,0,1000,0,0
Buildings and Other Structures,LTO,VI (Western Visayas),Rehabilitation and Repair of Regional Office and Iloilo City District Office: Fencing of Impounding Area & Expansion of Records Room and Supply Room,0,0,2200,0,0
Buildings and Other Structures,LTO,VII (Central Visayas),Rehabilitation of Siquijor District Office: Fencing of Impounding Area & Repair and Rehabilitation of Building and Roofing,0,0,4000,0,0
Buildings and Other Structures,LTO,VII (Central Visayas),Rehabilitation of Dumaguete City District Office: Fencing of Impounding Area & Repair and Rehabilitation of Building and Roofing,0,0,4000,0,0
Buildings and Other Structures,LTO,VII (Central Visayas),Rehabilitation of Danao City District Office: Extension of Record Room & Waiting Area,0,0,2000,0,0
Buildings and Other Structures,LTO,VII (Central Visayas),Rehabilitation of Bais City District Office: Rehabilitation and Repair of Building,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Tacloban District Office,0,0,2500,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Borongan District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Catarman District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Calbayog District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Catbalogan District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Naval District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Ormoc District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of Palompon District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,VIII (Eastern Visayas),Rehabilitation/Repair of San Juan District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,IX (Zamboanga Peninsula),"Construction/Rehabilitation/Improvement of Zamboanga City District Office: Repair of Roofing, Rehabilitation & Expansion of Record Room",0,0,3000,0,0
Buildings and Other Structures,LTO,IX (Zamboanga Peninsula),"Construction/Rehabilitation/Improvement of Dipolog City District Office: Repair of Roofing, Rehabilitation & Expansion of Record Room and Improvement of Waiting Area",0,0,2000,0,0
Buildings and Other Structures,LTO,IX (Zamboanga Peninsula),"Construction/Rehabilitation/Improvement of Ipil Sibugay Province: Repair of Roofing, Rehabilitation & Expansion of Record Room",0,0,1500,0,0
Buildings and Other Structures,LTO,X (Northern Mindanao),Rehabilitation/Repainting/Reroofing of Regional Office and Cagayan de Oro City District Office,0,0,5000,0,0
Buildings and Other Structures,LTO,X (Northern Mindanao),Rehabilitation of Iligan City District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,X (Northern Mindanao),Construction of Tangub City District Office,0,0,5000,0,0
Buildings and Other Structures,LTO,XI (Davao Region),Repair/Rehabilitation of Improvement of Drainage System: Regional Office,0,0,5000,0,0
Buildings and Other Structures,LTO,XI (Davao Region),Repair/Rehabilitation of Expansion of existing GYM-TYPE BAY,0,0,4000,0,0
Buildings and Other Structures,LTO,XI (Davao Region),Repair/Rehabilitation of Mati District Office: including perimeter fence,0,0,2000,0,0
Buildings and Other Structures,LTO,XI (Davao Region),Repair/Rehabilitation of Digos District Office: including perimeter fence,0,0,2000,0,0
Buildings and Other Structures,LTO,XI (Davao Region),Repair/Rehabilitation of Tagum District Office: including perimeter fence,0,0,2000,0,0
Buildings and Other Structures,LTO,XII (SOCCSKSARGEN),"Lot Acquisition and Site Development, Koronadal City Regional Office",0,0,10000,0,0
Buildings and Other Structures,LTO,NCR,"Extension of LETAS Building, East Ave., Q.C.",0,0,4000,0,0
Buildings and Other Structures,LTO,NCR,"Improvement of Drainage System, East Ave., Q.C.",0,0,3000,0,0
Buildings and Other Structures,LTO,NCR,"Rehabilitation of Main Service Line - Power Supply, East Ave., Q.C.",0,0,3500,0,0
Buildings and Other Structures,LTO,NCR,"Major Rehabilitation of Administrative Bldg., East Ave., Q.C.",0,0,20000,0,0
Buildings and Other Structures,LTO,NCR,"Expansion of Records Room at PMP building, East Ave., Q.C.",0,0,8000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Manila East District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Quezon City District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Pasay City Licensing Center,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Manila North District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Quezon City Licensing Office,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Caloocan District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Diliman District Office,0,0,2000,0,0
Buildings and Other Structures,LTO,NCR,Improvement of District/Licensing of Offices: Makati District Office,0,0,1000,0,0
Buildings and Other Structures,LTFRB,I (Ilocos Region),"Repair/Renovation of San Fernando, La Union Regional Office",0,0,10000,0,0
Buildings and Other Structures,LTFRB,II (Cagayn Valley),Repair/Expansion of Tuguegarao Regional Office,0,0,5000,0,0
Buildings and Other Structures,LTFRB,III (Central Luzon),"Expansion/Site Development of San Fernando, Pampanga Regional Office",0,0,4000,0,0
Buildings and Other Structures,LTFRB,IV-A (CALABARZON),"Lot Acquisition and Site Development of Lipa City, Batangas",0,0,20000,0,0
Buildings and Other Structures,LTFRB,V (Bicol Region),Legaspi City LTFRB Regional Office: Building Construction - Camarines Sur Building,0,0,18000,0,0
Buildings and Other Structures,LTFRB,V (Bicol Region),Legaspi City LTFRB Regional Office: Building Expansion - Legazpi City,0,0,6500,0,0
Buildings and Other Structures,LTFRB,VI (Western Visayas),Repair/Rehabilitation of Iloilo City Regional Office,0,0,5000,0,0
Buildings and Other Structures,LTFRB,VII (Central Visayas),Construction and Site Development of Regional Office Building - Cebu City,25000,0,50000,0,0
Buildings and Other Structures,LTFRB,VIII (Eastern Visayas),Site Development of Tacloban City Regional Office,0,0,2500,0,0
Buildings and Other Structures,LTFRB,VIII (Eastern Visayas),Building Completion of Tacloban City Regional Office,0,0,1500,0,0
Buildings and Other Structures,LTFRB,IX (Zamboanga Peninsula),"Zamboanga/Pagadian Regional Office: Lot Acquisition, Zamboanga",0,0,6000,0,0
Buildings and Other Structures,LTFRB,IX (Zamboanga Peninsula),"Zamboanga/Pagadian Regional Office: Building Completion, Pagadian",0,0,3500,0,0
Buildings and Other Structures,LTFRB,IX (Zamboanga Peninsula),Zamboanga/Pagadian Regional Office: Site Development,0,0,1500,0,0
Buildings and Other Structures,LTFRB,X (Northern Mindanao),Cagayan de Oro City Regional Office: Site Development,0,0,2000,0,0
Buildings and Other Structures,LTFRB,XI (Davao Region),Expansion of Davao City Regional Office,0,0,20000,0,0
Buildings and Other Structures,LTFRB,XII (SOCCSKSARGEN),"Lot Acquisition and Site Development of Regional Office - Koronadal City, South Cotabato",0,0,10000,0,0
Buildings and Other Structures,LTFRB,XII (SOCCSKSARGEN),Repair/Rehabilitation of Cotabato City Office,0,0,3576,0,0
Buildings and Other Structures,LTFRB,XIII (Caraga),Construction of LTFRB-CARAGA Regional Office Building,10000,0,0,0,0
Buildings and Other Structures,LTFRB,NCR,Expansion/Construction of Central and NCR Regional Office,0,0,50000,0,0
Buildings and Other Structures,LTFRB,NCR,Repair/Renovation of Central and NCR Regional Office,0,0,20000,0,0
Miscellaneous,Miscellaneous,Nationwide,Acquisition of Transport Security Equipment,0,0,630000,0,0
Miscellaneous,Miscellaneous,Nationwide,Disaster Related Rehabilitation Project (Quick Response Fund),0,0,0,0,1000000
Miscellaneous,Miscellaneous,Nationwide,DOTC-Executive Management Information System,100000,150000,20000,30000,0
Miscellaneous,Miscellaneous,Nationwide,Information Technology Equipment Procurement Project,0,0,150000,120000,0
Miscellaneous,Miscellaneous,Nationwide,Transport Studies Fund,0,200000,200000,880000,0
Miscellaneous,Miscellaneous,Nationwide,"Various Airports, Ports, and Rail Projects",900000,1065000,0,0,0
Total,Total,Total,Total,8294695,18911392,20434894,16907416,18976218
