psgc_prov,pov_prov_year,pov_prov_type_of_poverty,pov_prov_measure,pov_prov_universe,estimate,coefficient_of_variation,standard_error,lower_limit,upper_limit
82600000,2012,Poverty,Magnitude,Among Families,52189.24,-,5075.22122,43840.50109,60537.97891
83700000,2012,Poverty,Magnitude,Among Families,128272.6,-,10116.40711,111631.1103,144914.0897
84800000,2012,Poverty,Magnitude,Among Families,51663.38,-,6218.154436,41434.51595,61892.24405
86400000,2012,Poverty,Magnitude,Among Families,31889.95,-,5897.583019,22188.42593,41591.47407
86000000,2012,Poverty,Magnitude,Among Families,65737.35,-,7558.703212,53303.28322,78171.41678
97200000,2012,Poverty,Magnitude,Among Families,104137.5,-,10694.8384,86544.49083,121730.5092
97300000,2012,Poverty,Magnitude,Among Families,104133.3,-,11525.32357,85174.14273,123092.4573
98300000,2012,Poverty,Magnitude,Among Families,48049.78,-,5632.35042,38784.56356,57314.99644
99700000,2012,Poverty,Magnitude,Among Families,3428.527,-,400.6215255,2769.504591,4087.549409
101300000,2012,Poverty,Magnitude,Among Families,120759.6,-,12149.7072,100773.3317,140745.8683
101800000,2012,Poverty,Magnitude,Among Families,7795.774,-,450.5269698,7054.657135,8536.890865
103500000,2012,Poverty,Magnitude,Among Families,83639.8,-,12640.21984,62846.63836,104432.9616
104200000,2012,Poverty,Magnitude,Among Families,44404.88,-,5866.727122,34754.11388,54055.64612
104300000,2012,Poverty,Magnitude,Among Families,63513.19,-,10945.19436,45508.34528,81518.03472
112300000,2012,Poverty,Magnitude,Among Families,60652.1,-,13010.37623,39250.03109,82054.16891
112400000,2012,Poverty,Magnitude,Among Families,113947.7,-,16376.05977,87009.08169,140886.3183
112500000,2012,Poverty,Magnitude,Among Families,45429.21,-,5568.371652,36269.23863,54589.18137
118200000,2012,Poverty,Magnitude,Among Families,48928.27,-,9838.212896,32744.40979,65112.13021
124700000,2012,Poverty,Magnitude,Among Families,131743.7,-,12739.9332,110786.5099,152700.8901
128000000,2012,Poverty,Magnitude,Among Families,52981.79,-,4431.036089,45692.73563,60270.84437
126300000,2012,Poverty,Magnitude,Among Families,85813.78,-,12281.8524,65610.1328,106017.4272
126500000,2012,Poverty,Magnitude,Among Families,74074.88,-,11373.87256,55364.85963,92784.90037
129800000,2012,Poverty,Magnitude,Among Families,21554.86,-,4959.496766,13396.48782,29713.23218
160200000,2012,Poverty,Magnitude,Among Families,39124.54,-,5697.753352,29751.73574,48497.34426
160300000,2012,Poverty,Magnitude,Among Families,52808.95,-,6210.016872,42593.47225,63024.42775
166700000,2012,Poverty,Magnitude,Among Families,43620.12,-,3384.940217,38051.89334,49188.34666
166800000,2012,Poverty,Magnitude,Among Families,33968.38,-,3806.121335,27707.3104,40229.4496
150700000,2012,Poverty,Magnitude,Among Families,16832.32,-,3449.319882,11158.18879,22506.45121
153600000,2012,Poverty,Magnitude,Among Families,100945.9,-,8125.518984,87579.42127,114312.3787
153800000,2012,Poverty,Magnitude,Among Families,87799.61,-,8496.361813,73823.09482,101776.1252
156600000,2012,Poverty,Magnitude,Among Families,51278.33,-,6032.194179,41355.37058,61201.28942
157000000,2012,Poverty,Magnitude,Among Families,14498.6,-,4117.045292,7726.060494,21271.13951
130000000,1991,Poverty,Incidence,Among Population,7.10113,8.736679,-,-,-
140100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
148100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
141100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
142700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
143200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
144400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
12800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
12900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
13300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
15500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
20900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
21500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
23100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
25000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
25700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
37700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
30800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
31400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
34900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
35400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
36900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
37100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
41000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
42100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
43400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
45600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
45800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
174000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
175100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
175200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
175300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
175900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
50500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
51600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
51700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
52000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
54100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
56200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
60400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
60600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
61900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
67900000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
63000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
64500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
71200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
72200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
74600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
76100000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
87800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
82600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
83700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
84800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
86400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
86000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
97200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
97300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
98300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
99700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
101300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
101800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
103500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
104200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
104300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
112300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
112400000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
112500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
118200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
124700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
128000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
126300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
126500000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
129800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
160200000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
160300000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
166700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
166800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
150700000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
153600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
153800000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
156600000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
157000000,1991,Poverty,Incidence,Among Population,-,-,-,-,-
130000000,2006,Poverty,Incidence,Among Population,4.65816,23.88858,1.11277,2.82765335,6.48866665
140100000,2006,Poverty,Incidence,Among Population,49.28226,9.710592,4.7856,41.409948,57.154572
148100000,2006,Poverty,Incidence,Among Population,46.76603,19.86544,9.29028,31.4835194,62.0485406
141100000,2006,Poverty,Incidence,Among Population,5.77207,25.43568,1.46817,3.35693035,8.18720965
142700000,2006,Poverty,Incidence,Among Population,27.98537,27.7264,7.75934,15.2212557,40.7494843
143200000,2006,Poverty,Incidence,Among Population,47.29979,15.06602,7.12619,35.57720745,59.02237255
144400000,2006,Poverty,Incidence,Among Population,44.0654,22.83569,10.06264,27.5123572,60.6184428
12800000,2006,Poverty,Incidence,Among Population,17.74578,30.66474,5.4417,8.7941835,26.6973765
12900000,2006,Poverty,Incidence,Among Population,20.80727,23.23794,4.83518,12.8533989,28.7611411
13300000,2006,Poverty,Incidence,Among Population,25.9895,15.65909,4.06972,19.2948106,32.6841894
15500000,2006,Poverty,Incidence,Among Population,28.6682,7.87993,2.25903,24.95209565,32.38430435
20900000,2006,Poverty,Incidence,Among Population,16.55629,0.0425952,0.00705,16.54469275,16.56788725
21500000,2006,Poverty,Incidence,Among Population,29.62794,10.61619,3.14536,24.4538228,34.8020572
23100000,2006,Poverty,Incidence,Among Population,29.64447,8.898983,2.63806,25.3048613,33.9840787
25000000,2006,Poverty,Incidence,Among Population,14.9704,28.61944,4.28445,7.92247975,22.01832025
25700000,2006,Poverty,Incidence,Among Population,14.64044,44.31089,6.48731,3.96881505,25.31206495
37700000,2006,Poverty,Incidence,Among Population,30.45797,42.45183,12.92997,9.18816935,51.72777065
30800000,2006,Poverty,Incidence,Among Population,9.6993,21.50721,2.08605,6.26774775,13.13085225
31400000,2006,Poverty,Incidence,Among Population,7.27042,15.67841,1.13989,5.39530095,9.14553905
34900000,2006,Poverty,Incidence,Among Population,26.50782,10.08754,2.67399,22.10910645,30.90653355
35400000,2006,Poverty,Incidence,Among Population,2.69092,26.48755,0.71276,1.5184298,3.8634102
36900000,2006,Poverty,Incidence,Among Population,18.1486,15.41974,2.79847,13.54511685,22.75208315
37100000,2006,Poverty,Incidence,Among Population,23.63706,18.61728,4.40058,16.3981059,30.8760141
41000000,2006,Poverty,Incidence,Among Population,14.40764,12.39783,1.78624,11.4692752,17.3460048
42100000,2006,Poverty,Incidence,Among Population,1.83736,41.06566,0.75452,0.5961746,3.0785454
43400000,2006,Poverty,Incidence,Among Population,5.53364,19.57439,1.08318,3.7518089,7.3154711
45600000,2006,Poverty,Incidence,Among Population,33.48078,10.20413,3.41642,27.8607691,39.1007909
45800000,2006,Poverty,Incidence,Among Population,3.26137,26.0554,0.84976,1.8635148,4.6592252
174000000,2006,Poverty,Incidence,Among Population,40.51097,14.96238,6.0614,30.539967,50.481973
175100000,2006,Poverty,Incidence,Among Population,43.16533,17.01501,7.34458,31.0834959,55.2471641
175200000,2006,Poverty,Incidence,Among Population,43.66973,9.463004,4.13247,36.87181685,50.46764315
175300000,2006,Poverty,Incidence,Among Population,35.17707,15.6379,5.50096,26.1279908,44.2261492
175900000,2006,Poverty,Incidence,Among Population,46.12495,7.482042,3.45109,40.44790695,51.80199305
50500000,2006,Poverty,Incidence,Among Population,36.43167,9.430592,3.43572,30.7799106,42.0834294
51600000,2006,Poverty,Incidence,Among Population,41.09892,15.05991,6.18946,30.9172583,51.2805817
51700000,2006,Poverty,Incidence,Among Population,47.84862,6.232287,2.98206,42.9431313,52.7541087
52000000,2006,Poverty,Incidence,Among Population,41.40961,24.3531,10.08452,24.8205746,57.9986454
54100000,2006,Poverty,Incidence,Among Population,53.56659,9.03301,4.83868,45.6069614,61.5262186
56200000,2006,Poverty,Incidence,Among Population,41.15104,10.94132,4.50247,33.74447685,48.55760315
60400000,2006,Poverty,Incidence,Among Population,41.77506,14.01729,5.85573,32.14238415,51.40773585
60600000,2006,Poverty,Incidence,Among Population,51.60506,14.69923,7.58555,39.12683025,64.08328975
61900000,2006,Poverty,Incidence,Among Population,29.92167,12.04994,3.60554,23.9905567,35.8527833
67900000,2006,Poverty,Incidence,Among Population,25.29964,28.3071,7.16159,13.51882445,37.08045555
63000000,2006,Poverty,Incidence,Among Population,21.7611,14.00461,3.04756,16.7478638,26.7743362
64500000,2006,Poverty,Incidence,Among Population,28.23341,9.406013,2.65564,23.8648822,32.6019378
71200000,2006,Poverty,Incidence,Among Population,48.2328,10.15863,4.89979,40.17264545,56.29295455
72200000,2006,Poverty,Incidence,Among Population,30.40787,7.634735,2.32156,26.5889038,34.2268362
74600000,2006,Poverty,Incidence,Among Population,42.9287,11.47565,4.92635,34.82485425,51.03254575
76100000,2006,Poverty,Incidence,Among Population,22.72229,30.23359,6.86977,11.42151835,34.02306165
87800000,2006,Poverty,Incidence,Among Population,29.80877,27.11287,8.08201,16.51386355,43.10367645
82600000,2006,Poverty,Incidence,Among Population,51.34918,11.59651,5.95471,41.55368205,61.14467795
83700000,2006,Poverty,Incidence,Among Population,38.42407,7.79221,2.99408,33.4988084,43.3493316
84800000,2006,Poverty,Incidence,Among Population,53.41051,14.7945,7.90182,40.4120161,66.4090039
86400000,2006,Poverty,Incidence,Among Population,33.71797,11.42961,3.85383,27.37841965,40.05752035
86000000,2006,Poverty,Incidence,Among Population,40.37389,12.06316,4.87037,32.36213135,48.38564865
97200000,2006,Poverty,Incidence,Among Population,65.47551,8.011643,5.24566,56.8463993,74.1046207
97300000,2006,Poverty,Incidence,Among Population,31.68208,10.08171,3.19409,26.42780195,36.93635805
98300000,2006,Poverty,Incidence,Among Population,50.66237,12.80869,6.48919,39.98765245,61.33708755
99700000,2006,Poverty,Incidence,Among Population,41.90367,43.70037,18.31206,11.7803313,72.0270087
101300000,2006,Poverty,Incidence,Among Population,43.55044,12.22371,5.32348,34.7933154,52.3075646
101800000,2006,Poverty,Incidence,Among Population,34.59677,23.70521,8.20124,21.1057302,48.0878098
103500000,2006,Poverty,Incidence,Among Population,40.70529,11.74075,4.77911,32.84365405,48.56692595
104200000,2006,Poverty,Incidence,Among Population,43.95241,11.4629,5.03822,35.6645381,52.2402819
104300000,2006,Poverty,Incidence,Among Population,32.02126,9.637626,3.08609,26.94464195,37.09787805
112300000,2006,Poverty,Incidence,Among Population,31.72979,19.61386,6.22344,21.4922312,41.9673488
112400000,2006,Poverty,Incidence,Among Population,23.71382,12.21488,2.89661,18.94889655,28.47874345
112500000,2006,Poverty,Incidence,Among Population,50.50258,12.47206,6.29871,40.14120205,60.86395795
118200000,2006,Poverty,Incidence,Among Population,37.725,14.03868,5.29609,29.01293195,46.43706805
124700000,2006,Poverty,Incidence,Among Population,31.38037,12.95192,4.06436,24.6944978,38.0662422
128000000,2006,Poverty,Incidence,Among Population,48.96422,8.951693,4.38313,41.75397115,56.17446885
126300000,2006,Poverty,Incidence,Among Population,31.73649,9.611344,3.0503,26.7187465,36.7542335
126500000,2006,Poverty,Incidence,Among Population,51.96506,10.5039,5.45836,42.9860578,60.9440622
129800000,2006,Poverty,Incidence,Among Population,34.41305,31.02621,10.67706,16.8492863,51.9768137
160200000,2006,Poverty,Incidence,Among Population,44.07189,9.275708,4.08798,37.3471629,50.7966171
160300000,2006,Poverty,Incidence,Among Population,53.83707,9.48093,5.10426,45.4405623,62.2335777
166700000,2006,Poverty,Incidence,Among Population,52.69819,8.100962,4.26906,45.6755863,59.7207937
166800000,2006,Poverty,Incidence,Among Population,46.513,11.83593,5.50525,37.45686375,55.56913625
150700000,2006,Poverty,Incidence,Among Population,39.02014,31.39962,12.25218,18.8653039,59.1749761
153600000,2006,Poverty,Incidence,Among Population,44.71709,16.54879,7.40014,32.5438597,56.8903203
153800000,2006,Poverty,Incidence,Among Population,54.60044,8.158391,4.45452,47.2727546,61.9281254
156600000,2006,Poverty,Incidence,Among Population,40.70466,15.09661,6.14502,30.5961021,50.8132179
157000000,2006,Poverty,Incidence,Among Population,52.41014,16.89226,8.85326,37.8465273,66.9737527
130000000,2009,Poverty,Incidence,Among Population,3.61563,15.65073,0.56587,2.68477385,4.54648615
140100000,2009,Poverty,Incidence,Among Population,48.84975,17.56618,8.58104,34.7339392,62.9655608
148100000,2009,Poverty,Incidence,Among Population,45.66908,22.66666,10.35166,28.6405993,62.6975607
141100000,2009,Poverty,Incidence,Among Population,6.10467,28.82768,1.75984,3.2097332,8.9996068
142700000,2009,Poverty,Incidence,Among Population,32.12815,16.67404,5.35706,23.3157863,40.9405137
143200000,2009,Poverty,Incidence,Among Population,30.1453,16.20379,4.88468,22.1100014,38.1805986
144400000,2009,Poverty,Incidence,Among Population,52.15943,17.50249,9.1292,37.141896,67.176964
12800000,2009,Poverty,Incidence,Among Population,14.7036,21.52393,3.16479,9.49752045,19.90967955
12900000,2009,Poverty,Incidence,Among Population,18.06388,18.57907,3.3561,12.5430955,23.5846645
13300000,2009,Poverty,Incidence,Among Population,29.28809,18.23046,5.33936,20.5048428,38.0713372
15500000,2009,Poverty,Incidence,Among Population,22.27119,8.916133,1.98573,19.00466415,25.53771585
20900000,2009,Poverty,Incidence,Among Population,14.4,0.0163581,0.00236,14.3961178,14.4038822
21500000,2009,Poverty,Incidence,Among Population,27.7518,10.6881,2.96614,22.8724997,32.6311003
23100000,2009,Poverty,Incidence,Among Population,28.90226,9.735555,2.8138,24.273559,33.530961
25000000,2009,Poverty,Incidence,Among Population,13.25752,30.41831,4.03271,6.62371205,19.89132795
25700000,2009,Poverty,Incidence,Among Population,15.56127,30.32534,4.71901,7.79849855,23.32404145
37700000,2009,Poverty,Incidence,Among Population,18.18819,50.44894,9.17575,3.09408125,33.28229875
30800000,2009,Poverty,Incidence,Among Population,7.73396,23.76587,1.83804,4.7103842,10.7575358
31400000,2009,Poverty,Incidence,Among Population,6.89983,13.98973,0.96527,5.31196085,8.48769915
34900000,2009,Poverty,Incidence,Among Population,29.87856,8.818584,2.63487,25.54419885,34.21292115
35400000,2009,Poverty,Incidence,Among Population,6.8704,19.85116,1.36385,4.62686675,9.11393325
36900000,2009,Poverty,Incidence,Among Population,17.49554,15.28308,2.67386,13.0970403,21.8940397
37100000,2009,Poverty,Incidence,Among Population,17.27533,16.90812,2.92093,12.47040015,22.08025985
41000000,2009,Poverty,Incidence,Among Population,17.07889,17.45666,2.9814,12.174487,21.983293
42100000,2009,Poverty,Incidence,Among Population,3.16015,23.48145,0.74205,1.93947775,4.38082225
43400000,2009,Poverty,Incidence,Among Population,8.37337,19.77162,1.65555,5.64999025,11.09674975
45600000,2009,Poverty,Incidence,Among Population,29.82902,10.84188,3.23403,24.50904065,35.14899935
45800000,2009,Poverty,Incidence,Among Population,8.58634,20.20426,1.73481,5.73257755,11.44010245
174000000,2009,Poverty,Incidence,Among Population,33.58429,14.38839,4.83224,25.6352552,41.5333248
175100000,2009,Poverty,Incidence,Among Population,35.88486,15.58769,5.59362,26.6833551,45.0863649
175200000,2009,Poverty,Incidence,Among Population,36.07987,9.297244,3.35443,30.56183265,41.59790735
175300000,2009,Poverty,Incidence,Among Population,30.8715,18.37812,5.6736,21.538428,40.204572
175900000,2009,Poverty,Incidence,Among Population,41.90058,12.85832,5.38771,33.03779705,50.76336295
50500000,2009,Poverty,Incidence,Among Population,36.70886,11.34754,4.16555,29.85653025,43.56118975
51600000,2009,Poverty,Incidence,Among Population,41.78248,14.23974,5.94972,31.9951906,51.5697694
51700000,2009,Poverty,Incidence,Among Population,47.93634,7.074227,3.39113,42.35793115,53.51474885
52000000,2009,Poverty,Incidence,Among Population,29.10065,28.51573,8.29826,15.4500123,42.7512877
54100000,2009,Poverty,Incidence,Among Population,56.32659,7.759329,4.37056,49.1370188,63.5161612
56200000,2009,Poverty,Incidence,Among Population,39.28132,9.184711,3.60788,33.3463574,45.2162826
60400000,2009,Poverty,Incidence,Among Population,44.71313,15.85696,7.09014,33.0498497,56.3764103
60600000,2009,Poverty,Incidence,Among Population,44.25335,14.51728,6.42438,33.6852449,54.8214551
61900000,2009,Poverty,Incidence,Among Population,28.9562,32.14503,9.30798,13.6445729,44.2678271
67900000,2009,Poverty,Incidence,Among Population,20.72777,38.0205,7.8808,7.763854,33.691686
63000000,2009,Poverty,Incidence,Among Population,26.619,10.16862,2.70678,22.1663469,31.0716531
64500000,2009,Poverty,Incidence,Among Population,30.40693,8.140699,2.47534,26.3349957,34.4788643
71200000,2009,Poverty,Incidence,Among Population,43.72564,11.35529,4.96517,35.55793535,51.89334465
72200000,2009,Poverty,Incidence,Among Population,26.77856,9.157653,2.45229,22.74454295,30.81257705
74600000,2009,Poverty,Incidence,Among Population,33.19087,13.79502,4.57869,25.65892495,40.72281505
76100000,2009,Poverty,Incidence,Among Population,30.99176,23.5947,7.31241,18.96284555,43.02067445
87800000,2009,Poverty,Incidence,Among Population,39.17519,16.42097,6.43294,28.5930037,49.7573763
82600000,2009,Poverty,Incidence,Among Population,56.36288,9.48035,5.3434,47.572987,65.152773
83700000,2009,Poverty,Incidence,Among Population,36.30959,7.438029,2.70072,31.8669056,40.7522744
84800000,2009,Poverty,Incidence,Among Population,52.10289,11.18286,5.82659,42.51814945,61.68763055
86400000,2009,Poverty,Incidence,Among Population,43.06715,12.03998,5.18528,34.5373644,51.5969356
86000000,2009,Poverty,Incidence,Among Population,42.5027,10.14969,4.31389,35.40635095,49.59904905
97200000,2009,Poverty,Incidence,Among Population,68.50836,5.975038,4.0934,61.774717,75.242003
97300000,2009,Poverty,Incidence,Among Population,31.60714,10.05371,3.17769,26.37983995,36.83444005
98300000,2009,Poverty,Incidence,Among Population,52.73972,8.38049,4.41985,45.46906675,60.01037325
99700000,2009,Poverty,Incidence,Among Population,27.40893,27.70581,7.59387,14.91701385,39.90084615
101300000,2009,Poverty,Incidence,Among Population,45.96874,9.728603,4.47212,38.6121026,53.3253774
101800000,2009,Poverty,Incidence,Among Population,25.5469,13.5176,3.45333,19.86617215,31.22762785
103500000,2009,Poverty,Incidence,Among Population,46.24159,10.74498,4.96865,38.06816075,54.41501925
104200000,2009,Poverty,Incidence,Among Population,46.4585,10.73092,4.98542,38.2574841,54.6595159
104300000,2009,Poverty,Incidence,Among Population,28.94075,11.88179,3.43868,23.2841214,34.5973786
112300000,2009,Poverty,Incidence,Among Population,31.95604,22.54227,7.20362,20.1060851,43.8059949
112400000,2009,Poverty,Incidence,Among Population,24.82651,14.88767,3.69609,18.74644195,30.90657805
112500000,2009,Poverty,Incidence,Among Population,54.41461,8.158389,4.43936,47.1118628,61.7173572
118200000,2009,Poverty,Incidence,Among Population,36.63637,12.32545,4.5156,29.208208,44.064532
124700000,2009,Poverty,Incidence,Among Population,30.63965,14.10157,4.32067,23.53214785,37.74715215
128000000,2009,Poverty,Incidence,Among Population,57.72723,9.180867,5.29986,49.0089603,66.4454997
126300000,2009,Poverty,Incidence,Among Population,31.62345,11.24331,3.55552,25.7746196,37.4722804
126500000,2009,Poverty,Incidence,Among Population,51.46719,10.56527,5.43765,42.52225575,60.41212425
129800000,2009,Poverty,Incidence,Among Population,34.01424,23.08913,7.85359,21.09508445,46.93339555
160200000,2009,Poverty,Incidence,Among Population,45.92631,8.581109,3.94099,39.44338145,52.40923855
160300000,2009,Poverty,Incidence,Among Population,60.03498,7.377719,4.42921,52.74892955,67.32103045
166700000,2009,Poverty,Incidence,Among Population,57.92961,6.202625,3.59316,52.0188618,63.8403582
166800000,2009,Poverty,Incidence,Among Population,53.68654,7.094131,3.80859,47.42140945,59.95167055
150700000,2009,Poverty,Incidence,Among Population,36.55356,26.24248,9.59256,20.7737988,52.3333212
153600000,2009,Poverty,Incidence,Among Population,56.58582,13.2913,7.52099,44.21379145,68.95784855
153800000,2009,Poverty,Incidence,Among Population,52.1512,11.27983,5.88257,42.47437235,61.82802765
156600000,2009,Poverty,Incidence,Among Population,41.58893,11.88664,4.94353,33.45682315,49.72103685
157000000,2009,Poverty,Incidence,Among Population,35.27656,23.63708,8.33835,21.55997425,48.99314575
130000000,2012,Poverty,Incidence,Among Population,3.90751,12.8947,0.50386,3.0786603,4.7363597
140100000,2012,Poverty,Incidence,Among Population,37.35946,19.21099,7.17712,25.5530976,49.1658224
148100000,2012,Poverty,Incidence,Among Population,61.36667,15.93127,9.77649,45.28434395,77.44899605
141100000,2012,Poverty,Incidence,Among Population,3.69417,31.33483,1.15756,1.7899838,5.5983562
142700000,2012,Poverty,Incidence,Among Population,42.44743,14.73007,6.25253,32.16201815,52.73284185
143200000,2012,Poverty,Incidence,Among Population,26.7678,28.98396,7.75837,14.00528135,39.53031865
144400000,2012,Poverty,Incidence,Among Population,37.63485,25.38056,9.55193,21.92192515,53.34777485
12800000,2012,Poverty,Incidence,Among Population,9.88187,25.85648,2.5551,5.6787305,14.0850095
12900000,2012,Poverty,Incidence,Among Population,17.28976,34.31431,5.93286,7.5302053,27.0493147
13300000,2012,Poverty,Incidence,Among Population,18.49658,18.44378,3.41147,12.88471185,24.10844815
15500000,2012,Poverty,Incidence,Among Population,20.37179,8.983302,1.83006,17.3613413,23.3822387
20900000,2012,Poverty,Incidence,Among Population,33.33333,0.0107619,0.00359,33.32742445,33.33923555
21500000,2012,Poverty,Incidence,Among Population,19.70833,11.62979,2.29204,15.9379242,23.4787358
23100000,2012,Poverty,Incidence,Among Population,24.37012,10.07458,2.45519,20.33133245,28.40890755
25000000,2012,Poverty,Incidence,Among Population,20.67043,50.68941,10.47772,3.4345806,37.9062794
25700000,2012,Poverty,Incidence,Among Population,21.2089,22.47117,4.76589,13.36901095,29.04878905
37700000,2012,Poverty,Incidence,Among Population,30.83171,33.19962,10.23601,13.99347355,47.66994645
30800000,2012,Poverty,Incidence,Among Population,7.11549,29.07527,2.06885,3.71223175,10.51874825
31400000,2012,Poverty,Incidence,Among Population,7.30876,18.35622,1.34161,5.10181155,9.51570845
34900000,2012,Poverty,Incidence,Among Population,25.1958,10.55894,2.66041,20.81942555,29.57217445
35400000,2012,Poverty,Incidence,Among Population,7.58104,20.61316,1.56269,5.01041495,10.15166505
36900000,2012,Poverty,Incidence,Among Population,16.55709,14.91999,2.47032,12.4934136,20.6207664
37100000,2012,Poverty,Incidence,Among Population,15.99814,34.49594,5.51871,6.91986205,25.07641795
41000000,2012,Poverty,Incidence,Among Population,19.03506,14.39659,2.7404,14.527102,23.543018
42100000,2012,Poverty,Incidence,Among Population,3.41172,32.38891,1.10502,1.5939621,5.2294779
43400000,2012,Poverty,Incidence,Among Population,6.39343,25.7978,1.64936,3.6802328,9.1066272
45600000,2012,Poverty,Incidence,Among Population,27.5423,10.90098,3.00238,22.6033849,32.4812151
45800000,2012,Poverty,Incidence,Among Population,6.0974,25.70292,1.56721,3.51933955,8.67546045
174000000,2012,Poverty,Incidence,Among Population,32.91193,15.31549,5.04062,24.6201101,41.2037499
175100000,2012,Poverty,Incidence,Among Population,38.09529,20.0316,7.6311,25.5421305,50.6484495
175200000,2012,Poverty,Incidence,Among Population,29.32625,15.48499,4.54117,21.85602535,36.79647465
175300000,2012,Poverty,Incidence,Among Population,26.38115,22.39427,5.90787,16.66270385,36.09959615
175900000,2012,Poverty,Incidence,Among Population,40.4718,12.69108,5.13631,32.02257005,48.92102995
50500000,2012,Poverty,Incidence,Among Population,40.95874,10.08699,4.1315,34.1624225,47.7550575
51600000,2012,Poverty,Incidence,Among Population,28.69515,19.53618,5.60594,19.4733787,37.9169213
