psgc_regn,pov_regn_year,pov_reign_sector,pov_regn_type_of_poverty,pov_regn_measure,pov_regn_universe,estimate,coefficient_of_variation,standard_error,lower_limit,upper_limit
10000000,2009,All,Subsistence,Magnitude,Among Population,356934,-,51522.18256,272180.0097,441687.9903
20000000,2009,All,Subsistence,Magnitude,Among Population,274969.8,-,34395.03829,218389.962,331549.638
30000000,2009,All,Subsistence,Magnitude,Among Population,420852.5,-,56130.78623,328517.3566,513187.6434
40000000,2009,All,Subsistence,Magnitude,Among Population,343604.2,-,65656.88304,235598.6274,451609.7726
170000000,2009,All,Subsistence,Magnitude,Among Population,372599.5,-,52937.88728,285516.6754,459682.3246
90000000,2009,All,Subsistence,Magnitude,Among Population,945633.2,-,83267.69769,808657.8373,1082608.563
50000000,2009,All,Subsistence,Magnitude,Among Population,761359.6,-,96230.35377,603060.668,919658.532
60000000,2009,All,Subsistence,Magnitude,Among Population,960200.7,-,93311.10194,806703.9373,1113697.463
70000000,2009,All,Subsistence,Magnitude,Among Population,778364.6,-,71380.33107,660943.9554,895785.2446
80000000,2009,All,Subsistence,Magnitude,Among Population,872323.3,-,77757.98211,744411.4194,1000235.181
100000000,2009,All,Subsistence,Magnitude,Among Population,876175.4,-,76083.76984,751017.5986,1001333.201
110000000,2009,All,Subsistence,Magnitude,Among Population,642899.6,-,95737.58307,485411.2758,800387.9242
120000000,2009,All,Subsistence,Magnitude,Among Population,658867.9,-,61495.55884,557707.7057,760028.0943
160000000,2009,All,Subsistence,Magnitude,Among Population,731148.2,-,49584.47506,649581.7385,812714.6615
150000000,2009,All,Subsistence,Magnitude,Among Population,452479.7,-,70197.10829,337005.4569,567953.9431
130000000,2012,All,Subsistence,Magnitude,Among Population,58192.68,-,19107.74,26760.4477,89624.9123
140000000,2012,All,Subsistence,Magnitude,Among Population,163097.3,-,25413.86946,121291.4847,204903.1153
10000000,2012,All,Subsistence,Magnitude,Among Population,268507.9,-,39784.58614,203062.2558,333953.5442
20000000,2012,All,Subsistence,Magnitude,Among Population,189757.5,-,38530.95926,126374.072,253140.928
30000000,2012,All,Subsistence,Magnitude,Among Population,392975.7,-,58108.96,297386.4608,488564.9392
40000000,2012,All,Subsistence,Magnitude,Among Population,417527.7,-,66675.07,307847.2099,527208.1902
170000000,2012,All,Subsistence,Magnitude,Among Population,349338.3,-,55356.93478,258276.1423,440400.4577
90000000,2012,All,Subsistence,Magnitude,Among Population,929921.6,-,80149.98078,798074.8816,1061768.318
50000000,2012,All,Subsistence,Magnitude,Among Population,795985.3,-,84753.78764,656565.3193,935405.2807
60000000,2012,All,Subsistence,Magnitude,Among Population,943523.4,-,101350.6354,776801.6048,1110245.195
70000000,2012,All,Subsistence,Magnitude,Among Population,840517.5,-,74561.82387,717863.2997,963171.7003
80000000,2012,All,Subsistence,Magnitude,Among Population,670254.7,-,55647.45881,578714.6303,761794.7697
100000000,2012,All,Subsistence,Magnitude,Among Population,918611,-,99561.02067,754833.121,1082388.879
110000000,2012,All,Subsistence,Magnitude,Among Population,602247.5,-,84055.10199,463976.8572,740518.1428
120000000,2012,All,Subsistence,Magnitude,Among Population,982244,-,92894.92484,829431.8486,1135056.151
160000000,2012,All,Subsistence,Magnitude,Among Population,455903.2,-,44243.26627,383123.027,528683.373
150000000,2012,All,Subsistence,Magnitude,Among Population,832480.9,-,106270.59,657665.7795,1007296.02
130000000,2003,Women,Poverty,Incidence,Among Population,2.83616,13.56149,-,2.203444,3.468876
140000000,2003,Women,Poverty,Incidence,Among Population,21.19396,11.88563,-,17.05016,25.33776
10000000,2003,Women,Poverty,Incidence,Among Population,21.98758,8.024221,-,19.08526,24.8899
20000000,2003,Women,Poverty,Incidence,Among Population,18.51251,10.16551,-,15.4168,21.60822
30000000,2003,Women,Poverty,Incidence,Among Population,12.35089,9.115769,-,10.49882,14.20296
40000000,2003,Women,Poverty,Incidence,Among Population,12.19292,9.568658,-,10.2737,14.11214
170000000,2003,Women,Poverty,Incidence,Among Population,34.87344,6.834785,-,30.95255,38.79433
50000000,2003,Women,Poverty,Incidence,Among Population,44.31915,5.234873,-,40.50267,48.13563
60000000,2003,Women,Poverty,Incidence,Among Population,29.68798,7.200469,-,26.17151,33.20445
70000000,2003,Women,Poverty,Incidence,Among Population,34.97465,7.482193,-,30.6699,39.2794
80000000,2003,Women,Poverty,Incidence,Among Population,36.74794,6.013072,-,33.11302,40.38286
90000000,2003,Women,Poverty,Incidence,Among Population,45.5188,7.395504,-,39.98117,51.05643
100000000,2003,Women,Poverty,Incidence,Among Population,37.13497,7.427279,-,32.59786,41.67208
110000000,2003,Women,Poverty,Incidence,Among Population,30.2223,8.915164,-,25.79006,34.65454
120000000,2003,Women,Poverty,Incidence,Among Population,33.69829,7.720232,-,29.41867,37.97791
160000000,2003,Women,Poverty,Incidence,Among Population,32.31058,9.809236,-,27.09688,37.52428
150000000,2003,Women,Poverty,Incidence,Among Population,41.42545,6.925871,-,36.70583,46.14507
130000000,2006,Women,Poverty,Incidence,Among Population,4.32874,17.31,-,3.0961415,5.5613385
140000000,2006,Women,Poverty,Incidence,Among Population,27.89527,11.15429,-,22.7768196,33.0137204
10000000,2006,Women,Poverty,Incidence,Among Population,24.92796,8.214652,-,21.55941125,28.29650875
20000000,2006,Women,Poverty,Incidence,Among Population,26.29251,7.651195,-,22.98327995,29.60174005
30000000,2006,Women,Poverty,Incidence,Among Population,12.45463,8.673481,-,10.67761875,14.23164125
40000000,2006,Women,Poverty,Incidence,Among Population,10.23898,11.56371,-,8.29128355,12.18667645
170000000,2006,Women,Poverty,Incidence,Among Population,41.14304,7.014386,-,36.39568515,45.89039485
50000000,2006,Women,Poverty,Incidence,Among Population,43.06991,4.923697,-,39.58147365,46.55834635
60000000,2006,Women,Poverty,Incidence,Among Population,28.39047,6.966231,-,25.13707125,31.64386875
70000000,2006,Women,Poverty,Incidence,Among Population,34.45963,7.027019,-,30.4762954,38.4429646
80000000,2006,Women,Poverty,Incidence,Among Population,40.1546,5.890413,-,36.26373085,44.04546915
90000000,2006,Women,Poverty,Incidence,Among Population,45.01557,7.419796,-,39.5211713,50.5099687
100000000,2006,Women,Poverty,Incidence,Among Population,37.25255,6.719673,-,33.13470375,41.37039625
110000000,2006,Women,Poverty,Incidence,Among Population,29.82645,9.528137,-,25.15150805,34.50139195
120000000,2006,Women,Poverty,Incidence,Among Population,36.63887,6.339959,-,32.81771595,40.46002405
160000000,2006,Women,Poverty,Incidence,Among Population,48.5171,5.616065,-,44.03488625,52.99931375
150000000,2006,Women,Poverty,Incidence,Among Population,45.52312,7.117701,-,40.192991,50.853249
130000000,2009,Women,Poverty,Incidence,Among Population,3.59536,16.26262,-,2.6335285,4.5571915
140000000,2009,Women,Poverty,Incidence,Among Population,25.55253,12.52922,-,20.28601315,30.81904685
10000000,2009,Women,Poverty,Incidence,Among Population,21.67681,8.713471,-,18.569734,24.783886
20000000,2009,Women,Poverty,Incidence,Among Population,25.19498,8.966921,-,21.47857955,28.91138045
30000000,2009,Women,Poverty,Incidence,Among Population,13.35653,8.115851,-,11.57335,15.13971
40000000,2009,Women,Poverty,Incidence,Among Population,11.80785,9.808096,-,9.90272615,13.71297385
170000000,2009,Women,Poverty,Incidence,Among Population,35.27671,8.090057,-,30.58202805,39.97139195
50000000,2009,Women,Poverty,Incidence,Among Population,42.68538,5.117169,-,39.0922394,46.2785206
60000000,2009,Women,Poverty,Incidence,Among Population,28.80524,7.077331,-,25.4516772,32.1588028
70000000,2009,Women,Poverty,Incidence,Among Population,29.94201,7.62906,-,26.18435295,33.69966705
80000000,2009,Women,Poverty,Incidence,Among Population,41.95932,5.902387,-,37.885313,46.033327
90000000,2009,Women,Poverty,Incidence,Among Population,44.14527,7.258449,-,38.8742623,49.4162777
100000000,2009,Women,Poverty,Incidence,Among Population,38.90067,6.315528,-,34.8592669,42.9420731
110000000,2009,Women,Poverty,Incidence,Among Population,30.59148,10.07303,-,25.52242895,35.66053105
120000000,2009,Women,Poverty,Incidence,Among Population,37.38888,7.558631,-,32.73996195,42.03779805
160000000,2009,Women,Poverty,Incidence,Among Population,52.49531,4.61564,-,48.50949145,56.48112855
150000000,2009,Women,Poverty,Incidence,Among Population,47.05809,7.907534,-,40.93683115,53.17934885
130000000,2012,Women,Poverty,Incidence,Among Population,4.10676,14.36252,-,3.13648965,5.07703035
140000000,2012,Women,Poverty,Incidence,Among Population,23.45196,14.5416,-,17.84203295,29.06188705
10000000,2012,Women,Poverty,Incidence,Among Population,18.20062,9.027472,-,15.4977863,20.9034537
20000000,2012,Women,Poverty,Incidence,Among Population,22.08665,9.573718,-,18.60828105,25.56501895
30000000,2012,Women,Poverty,Incidence,Among Population,13.29676,8.452144,-,11.4480103,15.1455097
40000000,2012,Women,Poverty,Incidence,Among Population,11.66634,10.10789,-,9.7265231,13.6061569
170000000,2012,Women,Poverty,Incidence,Among Population,32.02614,10.47849,-,26.5057503,37.5465297
50000000,2012,Women,Poverty,Incidence,Among Population,40.70979,6.18833,-,36.5656073,44.8539727
60000000,2012,Women,Poverty,Incidence,Among Population,28.82959,7.25734,-,25.3878223,32.2713577
70000000,2012,Women,Poverty,Incidence,Among Population,30.68551,7.547947,-,26.87547615,34.49554385
80000000,2012,Women,Poverty,Incidence,Among Population,44.90863,5.498395,-,40.84671375,48.97054625
90000000,2012,Women,Poverty,Incidence,Among Population,38.55557,6.854305,-,34.2082956,42.9028444
100000000,2012,Women,Poverty,Incidence,Among Population,39.90294,7.386848,-,35.05418735,44.75169265
110000000,2012,Women,Poverty,Incidence,Among Population,29.38466,9.934209,-,24.58269115,34.18662885
120000000,2012,Women,Poverty,Incidence,Among Population,43.33754,8.205466,-,37.48783775,49.18724225
160000000,2012,Women,Poverty,Incidence,Among Population,39.67429,6.636736,-,35.3428734,44.0057066
150000000,2012,Women,Poverty,Incidence,Among Population,55.03243,6.261797,-,49.3637271,60.7011329
130000000,2003,Youth,Poverty,Incidence,Among Population,2.24271,16.22514,-,1.644127,2.841293
140000000,2003,Youth,Poverty,Incidence,Among Population,15.65647,13.6509,-,12.14069,19.17225
10000000,2003,Youth,Poverty,Incidence,Among Population,16.62991,9.681401,-,13.98144,19.27838
20000000,2003,Youth,Poverty,Incidence,Among Population,14.02062,12.35456,-,11.17117,16.87007
30000000,2003,Youth,Poverty,Incidence,Among Population,8.92636,10.77205,-,7.34461,10.50811
40000000,2003,Youth,Poverty,Incidence,Among Population,9.20374,11.41443,-,7.475585,10.93189
170000000,2003,Youth,Poverty,Incidence,Among Population,28.18419,9.084705,-,23.97225,32.39613
50000000,2003,Youth,Poverty,Incidence,Among Population,35.68531,5.995759,-,32.16565,39.20497
60000000,2003,Youth,Poverty,Incidence,Among Population,24.87353,8.352043,-,21.45612,28.29094
70000000,2003,Youth,Poverty,Incidence,Among Population,28.51796,8.261502,-,24.64232,32.3936
80000000,2003,Youth,Poverty,Incidence,Among Population,28.83722,7.315772,-,25.36683,32.30761
90000000,2003,Youth,Poverty,Incidence,Among Population,39.69607,8.87554,-,33.90034,45.4918
100000000,2003,Youth,Poverty,Incidence,Among Population,32.07273,8.385234,-,27.64872,36.49674
110000000,2003,Youth,Poverty,Incidence,Among Population,24.57911,10.16608,-,20.4687,28.68952
120000000,2003,Youth,Poverty,Incidence,Among Population,28.85659,8.543059,-,24.80127,32.91191
160000000,2003,Youth,Poverty,Incidence,Among Population,29.34829,10.34037,-,24.35618,34.3404
150000000,2003,Youth,Poverty,Incidence,Among Population,36.49603,8.027534,-,31.67662,41.31544
130000000,2006,Youth,Poverty,Incidence,Among Population,3.09542,19.03344,-,2.12623535,4.06460465
140000000,2006,Youth,Poverty,Incidence,Among Population,25.03886,12.58178,-,19.85656715,30.22115285
10000000,2006,Youth,Poverty,Incidence,Among Population,21.40016,9.248733,-,18.1443102,24.6560098
20000000,2006,Youth,Poverty,Incidence,Among Population,23.5296,8.755779,-,20.140571,26.918629
30000000,2006,Youth,Poverty,Incidence,Among Population,10.22414,11.30347,-,8.3230464,12.1252336
40000000,2006,Youth,Poverty,Incidence,Among Population,6.87641,16.88178,-,4.9667953,8.7860247
170000000,2006,Youth,Poverty,Incidence,Among Population,34.48646,9.744181,-,28.9585691,40.0143509
50000000,2006,Youth,Poverty,Incidence,Among Population,37.41384,6.51869,-,33.40186595,41.42581405
60000000,2006,Youth,Poverty,Incidence,Among Population,23.26074,8.855883,-,19.8721387,26.6493413
70000000,2006,Youth,Poverty,Incidence,Among Population,27.72935,8.287469,-,23.9490413,31.5096587
80000000,2006,Youth,Poverty,Incidence,Among Population,32.95773,7.470411,-,28.9076084,37.0078516
90000000,2006,Youth,Poverty,Incidence,Among Population,37.84049,8.846677,-,32.33363865,43.34734135
100000000,2006,Youth,Poverty,Incidence,Among Population,31.77707,7.772573,-,27.7140845,35.8400555
110000000,2006,Youth,Poverty,Incidence,Among Population,23.42447,11.87633,-,18.84812935,28.00081065
120000000,2006,Youth,Poverty,Incidence,Among Population,33.36221,7.505608,-,29.2430642,37.4813558
160000000,2006,Youth,Poverty,Incidence,Among Population,44.12474,8.207725,-,38.1671422,50.0823378
150000000,2006,Youth,Poverty,Incidence,Among Population,40.27044,9.92622,-,33.69483215,46.84604785
130000000,2009,Youth,Poverty,Incidence,Among Population,2.71027,20.68736,-,1.7879514,3.6325886
140000000,2009,Youth,Poverty,Incidence,Among Population,21.50233,13.02718,-,16.89443825,26.11022175
10000000,2009,Youth,Poverty,Incidence,Among Population,18.25951,10.78835,-,15.0190245,21.4999955
20000000,2009,Youth,Poverty,Incidence,Among Population,22.38796,10.88685,-,18.3785357,26.3973843
30000000,2009,Youth,Poverty,Incidence,Among Population,10.74084,9.701101,-,9.0267829,12.4548971
40000000,2009,Youth,Poverty,Incidence,Among Population,9.65789,13.45238,-,7.5206731,11.7951069
170000000,2009,Youth,Poverty,Incidence,Among Population,26.41461,10.24215,-,21.96417765,30.86504235
50000000,2009,Youth,Poverty,Incidence,Among Population,37.67643,6.526325,-,33.63155595,41.72130405
60000000,2009,Youth,Poverty,Incidence,Among Population,25.57122,8.857248,-,21.84544305,29.29699695
70000000,2009,Youth,Poverty,Incidence,Among Population,24.0472,8.885975,-,20.53211465,27.56228535
80000000,2009,Youth,Poverty,Incidence,Among Population,38.02497,5.978364,-,34.28544085,41.76449915
90000000,2009,Youth,Poverty,Incidence,Among Population,38.92544,8.660336,-,33.38002985,44.47085015
100000000,2009,Youth,Poverty,Incidence,Among Population,35.8181,8.513344,-,30.8019686,40.8342314
110000000,2009,Youth,Poverty,Incidence,Among Population,24.69837,12.24842,-,19.7219818,29.6747582
120000000,2009,Youth,Poverty,Incidence,Among Population,32.90571,8.543376,-,28.2811873,37.5302327
160000000,2009,Youth,Poverty,Incidence,Among Population,47.25034,6.190207,-,42.43889595,52.06178405
150000000,2009,Youth,Poverty,Incidence,Among Population,40.38841,9.304167,-,34.206829,46.569991
130000000,2012,Youth,Poverty,Incidence,Among Population,2.29248,20.96916,-,1.50171205,3.08324795
140000000,2012,Youth,Poverty,Incidence,Among Population,20.98271,17.17582,-,15.05421225,26.91120775
10000000,2012,Youth,Poverty,Incidence,Among Population,15.10903,12.19381,-,12.07833135,18.13972865
20000000,2012,Youth,Poverty,Incidence,Among Population,19.57121,12.77433,-,15.45856195,23.68385805
30000000,2012,Youth,Poverty,Incidence,Among Population,10.7927,11.3919,-,8.77018895,12.81521105
40000000,2012,Youth,Poverty,Incidence,Among Population,7.7985,12.45081,-,6.2012379,9.3957621
170000000,2012,Youth,Poverty,Incidence,Among Population,28.51745,10.8293,-,23.4372952,33.5976048
50000000,2012,Youth,Poverty,Incidence,Among Population,36.20448,8.654403,-,31.0502344,41.3587256
60000000,2012,Youth,Poverty,Incidence,Among Population,23.78851,7.577325,-,20.82334815,26.75367185
70000000,2012,Youth,Poverty,Incidence,Among Population,25.80859,9.265999,-,21.8747041,29.7424759
80000000,2012,Youth,Poverty,Incidence,Among Population,41.62079,6.42301,-,37.22319505,46.01838495
90000000,2012,Youth,Poverty,Incidence,Among Population,33.03726,8.271102,-,28.54221525,37.53230475
100000000,2012,Youth,Poverty,Incidence,Among Population,34.99462,8.440147,-,30.135948,39.853292
110000000,2012,Youth,Poverty,Incidence,Among Population,26.59114,12.76228,-,21.00861865,32.17366135
120000000,2012,Youth,Poverty,Incidence,Among Population,37.86756,11.30924,-,30.82279815,44.91232185
160000000,2012,Youth,Poverty,Incidence,Among Population,35.48083,8.155428,-,30.72084155,40.24081845
150000000,2012,Youth,Poverty,Incidence,Among Population,48.76897,8.629336,-,41.8460862,55.6918538
130000000,2003,Children,Poverty,Incidence,Among Population,5.1624,12.60959,-,4.091571,6.233229
140000000,2003,Children,Poverty,Incidence,Among Population,28.14661,10.78855,-,23.15139,33.14183
10000000,2003,Children,Poverty,Incidence,Among Population,31.15062,6.969671,-,27.57916,34.72208
20000000,2003,Children,Poverty,Incidence,Among Population,25.96792,9.237607,-,22.02188,29.91396
30000000,2003,Children,Poverty,Incidence,Among Population,17.5395,8.160178,-,15.18509,19.89391
40000000,2003,Children,Poverty,Incidence,Among Population,17.474,8.900893,-,14.91547,20.03253
170000000,2003,Children,Poverty,Incidence,Among Population,44.44588,5.511328,-,40.41635,48.47541
50000000,2003,Children,Poverty,Incidence,Among Population,55.68312,4.01757,-,52.00307,59.36317
60000000,2003,Children,Poverty,Incidence,Among Population,40.55782,6.167273,-,36.44317,44.67247
70000000,2003,Children,Poverty,Incidence,Among Population,45.98478,6.28851,-,41.22783,50.74173
80000000,2003,Children,Poverty,Incidence,Among Population,46.72145,5.241493,-,42.69301,50.74989
90000000,2003,Children,Poverty,Incidence,Among Population,55.00448,6.045265,-,49.53458,60.47438
100000000,2003,Children,Poverty,Incidence,Among Population,46.83282,6.453684,-,41.86091,51.80473
110000000,2003,Children,Poverty,Incidence,Among Population,38.32051,7.999086,-,33.27811,43.36291
120000000,2003,Children,Poverty,Incidence,Among Population,41.54909,6.902349,-,36.83146,46.26672
160000000,2003,Children,Poverty,Incidence,Among Population,38.50669,9.519831,-,32.4765,44.53688
150000000,2003,Children,Poverty,Incidence,Among Population,51.39309,5.647344,-,46.61874,56.16744
130000000,2006,Children,Poverty,Incidence,Among Population,7.14543,21.26396,-,4.646017,9.644843
140000000,2006,Children,Poverty,Incidence,Among Population,35.24215,10.8818,-,28.9336079,41.5506921
10000000,2006,Children,Poverty,Incidence,Among Population,34.4388,7.263521,-,30.32388185,38.55371815
20000000,2006,Children,Poverty,Incidence,Among Population,34.39344,7.322987,-,30.25029365,38.53658635
30000000,2006,Children,Poverty,Incidence,Among Population,17.53269,9.083426,-,14.91291235,20.15246765
40000000,2006,Children,Poverty,Incidence,Among Population,15.37887,11.15333,-,12.5572673,18.2004727
170000000,2006,Children,Poverty,Incidence,Among Population,50.55045,6.409616,-,45.22050195,55.88039805
50000000,2006,Children,Poverty,Incidence,Among Population,53.4824,4.103322,-,49.87236525,57.09243475
60000000,2006,Children,Poverty,Incidence,Among Population,39.37218,6.081209,-,35.4335565,43.3108035
70000000,2006,Children,Poverty,Incidence,Among Population,45.63532,6.284124,-,40.9178219,50.3528181
80000000,2006,Children,Poverty,Incidence,Among Population,50.95983,5.701664,-,46.1801838,55.7394762
90000000,2006,Children,Poverty,Incidence,Among Population,55.0492,6.712801,-,48.9703657,61.1280343
100000000,2006,Children,Poverty,Incidence,Among Population,47.51221,5.472496,-,43.2350455,51.7893745
110000000,2006,Children,Poverty,Incidence,Among Population,39.91601,8.819898,-,34.12470525,45.70731475
120000000,2006,Children,Poverty,Incidence,Among Population,45.40446,5.515671,-,41.2847878,49.5241322
160000000,2006,Children,Poverty,Incidence,Among Population,58.32115,5.13784,-,53.39198975,63.25031025
150000000,2006,Children,Poverty,Incidence,Among Population,52.60244,6.906571,-,46.6261221,58.5787579
130000000,2009,Children,Poverty,Incidence,Among Population,6.12334,16.20213,-,4.49131905,7.75536095
140000000,2009,Children,Poverty,Incidence,Among Population,33.37523,12.36984,-,26.5839133,40.1665467
10000000,2009,Children,Poverty,Incidence,Among Population,29.52601,8.333383,-,25.4784546,33.5735654
20000000,2009,Children,Poverty,Incidence,Among Population,32.88652,8.870527,-,28.08770955,37.68533045
30000000,2009,Children,Poverty,Incidence,Among Population,19.55203,8.392276,-,16.8528153,22.2512447
40000000,2009,Children,Poverty,Incidence,Among Population,17.64746,9.535832,-,14.87920465,20.41571535
170000000,2009,Children,Poverty,Incidence,Among Population,44.36275,6.823997,-,39.38282505,49.34267495
50000000,2009,Children,Poverty,Incidence,Among Population,53.41774,4.298483,-,49.64057325,57.19490675
60000000,2009,Children,Poverty,Incidence,Among Population,40.99637,6.054638,-,36.9131839,45.0795561
70000000,2009,Children,Poverty,Incidence,Among Population,40.19403,7.247995,-,35.4017173,44.9863427
80000000,2009,Children,Poverty,Incidence,Among Population,52.57472,5.185808,-,48.0897591,57.0596809
90000000,2009,Children,Poverty,Incidence,Among Population,54.60429,6.12396,-,49.1035087,60.1050713
100000000,2009,Children,Poverty,Incidence,Among Population,49.2904,5.538661,-,44.79950065,53.78129935
110000000,2009,Children,Poverty,Incidence,Among Population,40.80707,10.65409,-,33.6552351,47.9589049
120000000,2009,Children,Poverty,Incidence,Among Population,46.74823,6.246337,-,41.94474775,51.55171225
160000000,2009,Children,Poverty,Incidence,Among Population,63.37425,3.775724,-,59.4380282,67.3104718
150000000,2009,Children,Poverty,Incidence,Among Population,56.11709,7.699113,-,49.0098346,63.2243454
130000000,2012,Children,Poverty,Incidence,Among Population,7.06741,15.32066,-,5.28625335,8.84856665
140000000,2012,Children,Poverty,Incidence,Among Population,30.99989,13.10774,-,24.31561345,37.68416655
10000000,2012,Children,Poverty,Incidence,Among Population,26.59757,9.349858,-,22.5067182,30.6884218
20000000,2012,Children,Poverty,Incidence,Among Population,29.32993,9.190061,-,24.8959312,33.7639288
30000000,2012,Children,Poverty,Incidence,Among Population,19.76083,8.775895,-,16.90808745,22.61357255
40000000,2012,Children,Poverty,Incidence,Among Population,18.1371,10.49275,-,15.0065334,21.2676666
170000000,2012,Children,Poverty,Incidence,Among Population,39.93279,9.520837,-,33.6785987,46.1869813
50000000,2012,Children,Poverty,Incidence,Among Population,51.09412,5.482541,-,46.4860473,55.7021927
60000000,2012,Children,Poverty,Incidence,Among Population,39.89114,6.346582,-,35.7264606,44.0558194
70000000,2012,Children,Poverty,Incidence,Among Population,40.35375,7.943897,-,35.0804393,45.6270607
80000000,2012,Children,Poverty,Incidence,Among Population,56.53566,4.504843,-,52.3461082,60.7252118
90000000,2012,Children,Poverty,Incidence,Among Population,48.58471,6.63098,-,43.2851122,53.8843078
100000000,2012,Children,Poverty,Incidence,Among Population,50.5794,6.696372,-,45.0078179,56.1509821
110000000,2012,Children,Poverty,Incidence,Among Population,40.80194,7.720083,-,35.6202887,45.9835913
120000000,2012,Children,Poverty,Incidence,Among Population,54.12872,6.290118,-,48.5278898,59.7295502
160000000,2012,Children,Poverty,Incidence,Among Population,49.70134,6.40664,-,44.46334745,54.93933255
150000000,2012,Children,Poverty,Incidence,Among Population,64.14244,5.44463,-,58.3975736,69.8873064
130000000,2003,Senior Citizens,Poverty,Incidence,Among Population,0.97939,32.61102,-,0.453993,1.504787
140000000,2003,Senior Citizens,Poverty,Incidence,Among Population,12.25974,16.98711,-,8.833912,15.68557
10000000,2003,Senior Citizens,Poverty,Incidence,Among Population,9.90258,14.15775,-,7.596323,12.20884
20000000,2003,Senior Citizens,Poverty,Incidence,Among Population,8.87215,15.88651,-,6.553555,11.19074
30000000,2003,Senior Citizens,Poverty,Incidence,Among Population,6.92647,15.62462,-,5.146185,8.706755
40000000,2003,Senior Citizens,Poverty,Incidence,Among Population,7.47918,14.78462,-,5.660188,9.298172
170000000,2003,Senior Citizens,Poverty,Incidence,Among Population,22.06476,11.90692,-,17.74297,26.38655
50000000,2003,Senior Citizens,Poverty,Incidence,Among Population,23.75678,8.916091,-,20.27237,27.24119
60000000,2003,Senior Citizens,Poverty,Incidence,Among Population,14.04226,11.94758,-,11.28243,16.80209
70000000,2003,Senior Citizens,Poverty,Incidence,Among Population,27.52108,9.031186,-,23.43247,31.60969
80000000,2003,Senior Citizens,Poverty,Incidence,Among Population,20.30762,9.732944,-,17.05623,23.55901
90000000,2003,Senior Citizens,Poverty,Incidence,Among Population,35.48566,9.174218,-,30.13031,40.84101
100000000,2003,Senior Citizens,Poverty,Incidence,Among Population,24.0051,10.3992,-,19.89862,28.11158
110000000,2003,Senior Citizens,Poverty,Incidence,Among Population,20.49837,12.10523,-,16.4165,24.58024
120000000,2003,Senior Citizens,Poverty,Incidence,Among Population,20.71259,10.75128,-,17.04939,24.37579
160000000,2003,Senior Citizens,Poverty,Incidence,Among Population,18.47514,16.44613,-,13.47691,23.47337
150000000,2003,Senior Citizens,Poverty,Incidence,Among Population,27.96979,7.906554,-,24.33195,31.60763
130000000,2006,Senior Citizens,Poverty,Incidence,Among Population,1.43291,28.24182,-,0.7672114,2.0986086
140000000,2006,Senior Citizens,Poverty,Incidence,Among Population,19.87767,15.79078,-,14.7142782,25.0410618
10000000,2006,Senior Citizens,Poverty,Incidence,Among Population,14.18863,16.52132,-,10.33250325,18.04475675
20000000,2006,Senior Citizens,Poverty,Incidence,Among Population,15.17426,16.53851,-,11.045968,19.302552
30000000,2006,Senior Citizens,Poverty,Incidence,Among Population,6.80077,15.36528,-,5.0818108,8.5197292
40000000,2006,Senior Citizens,Poverty,Incidence,Among Population,4.9017,26.60829,-,2.7561923,7.0472077
170000000,2006,Senior Citizens,Poverty,Incidence,Among Population,19.65617,17.93753,-,13.85617965,25.45616035
50000000,2006,Senior Citizens,Poverty,Incidence,Among Population,23.83382,12.94883,-,18.757021,28.910619
60000000,2006,Senior Citizens,Poverty,Incidence,Among Population,14.90067,15.5527,-,11.0884483,18.7128917
70000000,2006,Senior Citizens,Poverty,Incidence,Among Population,28.28676,10.94927,-,23.19188245,33.38163755
80000000,2006,Senior Citizens,Poverty,Incidence,Among Population,26.96998,10.27352,-,22.41206335,31.52789665
90000000,2006,Senior Citizens,Poverty,Incidence,Among Population,37.53272,12.14728,-,30.03281955,45.03262045
100000000,2006,Senior Citizens,Poverty,Incidence,Among Population,24.97363,14.90663,-,18.84973915,31.09752085
110000000,2006,Senior Citizens,Poverty,Incidence,Among Population,20.40417,16.57936,-,14.8393324,25.9690076
120000000,2006,Senior Citizens,Poverty,Incidence,Among Population,24.44174,12.57791,-,19.3845823,29.4988977
160000000,2006,Senior Citizens,Poverty,Incidence,Among Population,33.18304,9.813733,-,27.82611395,38.53996605
150000000,2006,Senior Citizens,Poverty,Incidence,Among Population,35.50154,17.78114,-,25.1173459,45.8857341
130000000,2009,Senior Citizens,Poverty,Incidence,Among Population,0.94974,46.57664,-,0.2220578,1.6774222
140000000,2009,Senior Citizens,Poverty,Incidence,Among Population,14.52551,18.27002,-,10.15999255,18.89102745
10000000,2009,Senior Citizens,Poverty,Incidence,Among Population,13.06012,12.90717,-,10.28715995,15.83308005
20000000,2009,Senior Citizens,Poverty,Incidence,Among Population,16.15997,14.47265,-,12.3126769,20.0072631
30000000,2009,Senior Citizens,Poverty,Incidence,Among Population,7.32133,14.89394,-,5.52757265,9.11508735
40000000,2009,Senior Citizens,Poverty,Incidence,Among Population,6.15487,17.77403,-,4.35528935,7.95445065
170000000,2009,Senior Citizens,Poverty,Incidence,Among Population,20.25787,13.7568,-,15.6735182,24.8422218
50000000,2009,Senior Citizens,Poverty,Incidence,Among Population,23.8574,8.871252,-,20.37583975,27.33896025
60000000,2009,Senior Citizens,Poverty,Incidence,Among Population,14.00554,11.4111,-,11.37651745,16.63456255
70000000,2009,Senior Citizens,Poverty,Incidence,Among Population,23.18792,9.828314,-,19.4389979,26.9368421
