particulars,function_program_project_activity_1,function_program_project_activity_2,code,annal_appropriation,allotments,obligation,balance_of_appropriation,balances_of_allotments
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Relief Assistance to Fisherfolks of Storm Sendon,Relief Assistance to Fisherfolks of Storm Sendon,200,1100000,1100000,291000,-,809000
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Purchase Disaster related Equipments,Purchase Disaster related Equipments,300,480000,480000,-,-,480000
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Construction of Aloran River Control System,Construction of Aloran River Control System,300,10000000,10000000,10000000,-,-
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Construction of MOAP Flood Control System,Construction of MOAP Flood Control System,300,8000000,8000000,-,-,8000000
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Construction of Flood Control System Taguima Tude,Construction of Flood Control System Taguima Tude,300,1500000,1500000,-,-,1500000
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Construction Jimenez Shoreline Protection,Construction Jimenez Shoreline Protection,300,1000000,1000000,-,-,1000000
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Construction of Clarin Shoreline Protecion,Construction of Clarin Shoreline Protecion,300,2000000,2000000,2000000,-,-
Supplemental Budget no.2 (Reprogram of LDRRMF CY 2010),Grand Total,Grand Total,-,27580000,27580000,13168669.95,-,14411330.05
Special Education Fund,Repair/Maintenance School Bldgs etc.,Repair/Maintenance School Bldgs etc.,B.1.1-200,1000000,750000,200000,250000,550000
Special Education Fund,Salaries and Wages Extension Teachers,Salaries and Wages Extension Teachers,B.1.2.1-100,300000,225000,-,75000,225000
Special Education Fund,Organization of Alternative Learning System (ALS),Organization of Alternative Learning System (ALS),B.1.2.200,700000,525000,100133,175000,424867
Special Education Fund,"School Sport (Municipal, Provincial, Regional and Natio","School Sport (Municipal, Provincial, Regional and Natio",B.1.3-200,2600000,1950000,444800,650000,1505200
Special Education Fund,Incentives of Winning Athletes,Incentives of Winning Athletes,B.1.3.1-200,300000,225000,-,75000,225000
Special Education Fund,"School Press Conference ( Division, Regional and Nation","School Press Conference (Division, Regional and Nation)",B.2.1-200,600000,450000,247150,150000,202850
Special Education Fund,Science Activities ( Division/Regional/National),"Science Activities (Division, Regional, National)",B.2.2-200,200000,200000,181406.76,-,18593.24
Special Education Fund,YECS/STEP (Division/Regional and National),"YECS/STEP (Division, Regional, National)",B.2.3200,150000,112500,-,37500,112500
Special Education Fund,SPED,SPED,B.2.4-200,50000,37500,-,12500,37500
Special Education Fund,Boy Scout Activities/Movement -BSP Activities,Boy Scout Activities/Movement-BSP Activities,B.2.5-200,75000,56250,49500,18750,6750
Special Education Fund,Girl Scout Activities/Movement -GSP Activities,Girl Scout Activities/Movement-GSP Activities,B.2.6-200,75000,56250,-,18750,56250
Special Education Fund,"Tagisan ng Talino, Balagtasan, Wika at Panitikan","Tagisan ng Talino, Balagtasan, Wika at Panitikan",B.2.7-200,50000,37500,-,12500,37500
Special Education Fund,Reading Program,Reading Program,B.2.8-200,50000,37500,-,12500,37500
Special Education Fund,PTA,PTA,B.2.9-200,200000,150000,-,50000,150000
Special Education Fund,Cultural Activities,Cultural Activities,B.3-200,300000,225000,-,75000,225000
Special Education Fund,Repair/Improvement of the Division Office,Repair/Improvement of the Division Office,B.4-200,500000,375000,-,125000,375000
Special Education Fund,Site Preparation (New Site DIWAT NHS),Site Preparation (New Site DIWAT NHS),B.5-300,200000,150000,-,50000,150000
Special Education Fund,IT Equipment for LSB Secretariat,IT Equipment for LSB Secretariat,B.6-300,200000,200000,199956.84,-,43.16
Special Education Fund,Revenue Adjustment,Revenue Adjustment,B.7-200,250000,187500,40450,62500,147050
Special Education Fund,Total,Total,-,7800000,5950000,1463396.6,1850000,4486603.4
